Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,2.29,2.29,2.28,2.28,0,EUR,MAP,spain
2009-02-12,2.28,2.31,2.26,2.26,0,EUR,MAP,spain
2009-02-13,2.3,2.3,2.15,2.15,0,EUR,MAP,spain
2009-02-16,2.13,2.15,2.08,2.08,0,EUR,MAP,spain
2009-02-17,2.09,2.09,2.03,2.03,0,EUR,MAP,spain
2009-02-18,2.09,2.09,2.01,2.01,0,EUR,MAP,spain
2009-02-19,2.03,2.05,2.01,2.01,0,EUR,MAP,spain
2009-02-20,1.98,1.98,1.86,1.86,0,EUR,MAP,spain
2009-02-25,1.75,1.77,1.65,1.65,0,EUR,MAP,spain
2009-02-26,1.69,1.72,1.69,1.72,0,EUR,MAP,spain
2009-02-27,1.69,1.69,1.6,1.6,0,EUR,MAP,spain
2009-03-06,1.62,1.62,1.38,1.38,0,EUR,MAP,spain
2009-03-09,1.45,1.46,1.42,1.42,0,EUR,MAP,spain
2009-03-10,1.44,1.6,1.42,1.6,0,EUR,MAP,spain
2009-03-11,1.57,1.6,1.53,1.6,0,EUR,MAP,spain
2009-03-12,1.52,1.53,1.48,1.53,0,EUR,MAP,spain
2009-03-13,1.58,1.6,1.55,1.6,0,EUR,MAP,spain
2009-03-16,1.65,1.65,1.64,1.64,0,EUR,MAP,spain
2009-03-17,1.64,1.64,1.56,1.56,0,EUR,MAP,spain
2009-03-18,1.6,1.65,1.59,1.65,0,EUR,MAP,spain
2009-03-19,1.68,1.75,1.66,1.75,0,EUR,MAP,spain
2009-03-20,1.68,1.72,1.65,1.72,0,EUR,MAP,spain
2009-04-01,1.67,1.72,1.67,1.72,0,EUR,MAP,spain
2009-04-02,1.68,1.76,1.65,1.76,0,EUR,MAP,spain
2009-04-03,1.73,1.83,1.69,1.83,0,EUR,MAP,spain
2009-04-06,1.77,1.79,1.72,1.72,0,EUR,MAP,spain
2009-04-07,1.74,1.78,1.71,1.78,0,EUR,MAP,spain
2009-04-08,1.73,1.78,1.7,1.78,0,EUR,MAP,spain
2009-04-09,1.8,1.91,1.78,1.91,0,EUR,MAP,spain
2009-04-16,2.07,2.13,2.06,2.13,0,EUR,MAP,spain
2009-04-17,2.09,2.1,2.08,2.08,0,EUR,MAP,spain
2009-04-20,2.09,2.1,2.01,2.01,0,EUR,MAP,spain
2009-04-21,2.01,2.09,1.99,2.09,0,EUR,MAP,spain
2009-04-22,2.07,2.12,2.05,2.12,0,EUR,MAP,spain
2009-04-23,2.12,2.17,2.1,2.17,0,EUR,MAP,spain
2009-04-24,2.15,2.16,2.12,2.12,0,EUR,MAP,spain
2009-04-27,2.07,2.09,2.07,2.09,0,EUR,MAP,spain
2009-04-28,2.07,2.08,2.01,2.08,0,EUR,MAP,spain
2009-04-29,2.03,2.1,2.03,2.1,0,EUR,MAP,spain
2009-04-30,2.09,2.21,2.08,2.21,0,EUR,MAP,spain
2009-05-05,2.22,2.23,2.18,2.18,0,EUR,MAP,spain
2009-05-06,2.19,2.27,2.18,2.27,0,EUR,MAP,spain
2009-05-07,2.28,2.37,2.27,2.27,0,EUR,MAP,spain
2009-05-08,2.31,2.38,2.29,2.38,0,EUR,MAP,spain
2009-05-14,2.26,2.29,2.23,2.29,0,EUR,MAP,spain
2009-05-15,2.31,2.33,2.27,2.27,0,EUR,MAP,spain
2009-05-18,2.27,2.35,2.26,2.35,0,EUR,MAP,spain
2009-05-19,2.39,2.4,2.34,2.4,0,EUR,MAP,spain
2009-05-20,2.39,2.39,2.32,2.32,0,EUR,MAP,spain
2009-05-21,2.34,2.34,2.27,2.27,0,EUR,MAP,spain
2009-05-22,2.29,2.36,2.28,2.36,0,EUR,MAP,spain
2009-05-25,2.35,2.35,2.34,2.34,0,EUR,MAP,spain
2009-05-26,2.34,2.35,2.26,2.26,0,EUR,MAP,spain
2009-05-27,2.37,2.41,2.34,2.34,0,EUR,MAP,spain
2009-05-28,2.33,2.36,2.32,2.36,0,EUR,MAP,spain
2009-05-29,2.36,2.4,2.36,2.4,0,EUR,MAP,spain
2009-06-02,2.48,2.52,2.48,2.52,0,EUR,MAP,spain
2009-06-03,2.52,2.52,2.44,2.44,0,EUR,MAP,spain
2009-06-04,2.47,2.49,2.45,2.49,0,EUR,MAP,spain
2009-06-05,2.47,2.5,2.4,2.4,0,EUR,MAP,spain
2009-06-11,2.4,2.45,2.4,2.45,0,EUR,MAP,spain
2009-06-12,2.44,2.5,2.42,2.5,0,EUR,MAP,spain
2009-06-15,2.43,2.47,2.4,2.4,0,EUR,MAP,spain
2009-06-16,2.4,2.43,2.39,2.39,0,EUR,MAP,spain
2009-06-17,2.32,2.34,2.31,2.34,0,EUR,MAP,spain
2009-06-18,2.33,2.35,2.2,2.2,0,EUR,MAP,spain
2009-06-19,2.29,2.32,2.27,2.32,0,EUR,MAP,spain
2009-06-24,2.25,2.3,2.21,2.3,0,EUR,MAP,spain
2009-06-25,2.28,2.28,2.24,2.24,0,EUR,MAP,spain
2009-06-26,2.29,2.3,2.29,2.29,0,EUR,MAP,spain
2009-07-02,2.29,2.31,2.26,2.26,0,EUR,MAP,spain
2009-07-03,2.27,2.28,2.22,2.22,0,EUR,MAP,spain
2009-07-06,2.17,2.22,2.15,2.22,0,EUR,MAP,spain
2009-07-07,2.21,2.22,2.18,2.18,0,EUR,MAP,spain
2009-07-08,2.16,2.16,2.1,2.1,0,EUR,MAP,spain
2009-07-09,2.1,2.15,2.1,2.12,0,EUR,MAP,spain
