Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-04-02,0.78,0.78,0.77,0.77,4051,EUR,MASM,spain
2012-04-03,0.76,0.77,0.76,0.76,1982,EUR,MASM,spain
2012-04-04,0.76,0.76,0.74,0.75,925,EUR,MASM,spain
2012-04-05,0.76,0.76,0.7,0.75,1847,EUR,MASM,spain
2012-04-10,0.75,0.75,0.74,0.74,3724,EUR,MASM,spain
2012-04-11,0.74,0.74,0.74,0.74,529,EUR,MASM,spain
2012-04-12,0.74,0.74,0.74,0.74,285,EUR,MASM,spain
2012-04-13,0.74,0.74,0.74,0.74,991,EUR,MASM,spain
2012-04-16,0.74,0.74,0.73,0.73,986,EUR,MASM,spain
2012-04-17,0.74,0.74,0.74,0.74,1229,EUR,MASM,spain
2012-04-18,0.74,0.74,0.72,0.72,2164,EUR,MASM,spain
2012-04-19,0.73,0.73,0.72,0.72,1446,EUR,MASM,spain
2012-04-20,0.72,0.72,0.72,0.72,104,EUR,MASM,spain
2012-04-23,0.72,0.72,0.72,0.72,104,EUR,MASM,spain
2012-04-24,0.72,0.72,0.72,0.72,370,EUR,MASM,spain
2012-04-26,0.72,0.72,0.72,0.72,265,EUR,MASM,spain
2012-04-27,0.72,0.72,0.72,0.72,500,EUR,MASM,spain
2012-04-30,0.72,0.72,0.72,0.72,396,EUR,MASM,spain
2012-05-02,0.72,0.72,0.72,0.72,132,EUR,MASM,spain
2012-05-03,0.72,0.72,0.72,0.72,529,EUR,MASM,spain
2012-05-04,0.73,0.73,0.73,0.73,7939,EUR,MASM,spain
2012-05-08,0.73,0.73,0.73,0.73,109,EUR,MASM,spain
2012-05-11,0.72,0.72,0.72,0.73,156,EUR,MASM,spain
2012-05-14,0.72,0.72,0.72,0.72,1078,EUR,MASM,spain
2012-05-15,0.72,0.72,0.72,0.72,844,EUR,MASM,spain
2012-05-16,0.72,0.72,0.71,0.72,400,EUR,MASM,spain
2012-05-17,0.71,0.71,0.71,0.71,2116,EUR,MASM,spain
2012-05-18,0.71,0.71,0.67,0.68,1634,EUR,MASM,spain
2012-05-23,0.67,0.67,0.67,0.68,106,EUR,MASM,spain
2012-05-24,0.67,0.7,0.67,0.7,1072,EUR,MASM,spain
2012-05-25,0.72,0.72,0.7,0.7,1375,EUR,MASM,spain
2012-05-28,0.7,0.7,0.7,0.7,2456,EUR,MASM,spain
2012-05-29,0.71,0.71,0.71,0.71,569,EUR,MASM,spain
2012-05-30,0.7,0.72,0.7,0.7,925,EUR,MASM,spain
2012-05-31,0.72,0.72,0.69,0.69,550,EUR,MASM,spain
