Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-22,15.09,15.17,14.89,14.9,1655,EUR,MCM,spain
2010-10-25,14.78,15.13,14.78,14.93,1324,EUR,MCM,spain
2010-10-26,14.89,15.13,14.89,14.93,2123,EUR,MCM,spain
2010-10-27,15.04,15.17,15.04,15.04,1035,EUR,MCM,spain
2010-10-28,15.03,15.17,15.0,15.01,2411,EUR,MCM,spain
2010-10-29,15.1,15.38,14.98,15.38,6919,EUR,MCM,spain
2010-11-01,15.38,15.71,15.17,15.39,4503,EUR,MCM,spain
2010-11-02,15.45,15.75,15.45,15.75,8251,EUR,MCM,spain
2010-11-03,15.75,15.75,15.26,15.75,6691,EUR,MCM,spain
2010-11-04,15.75,16.1,15.75,16.03,17627,EUR,MCM,spain
2010-11-05,16.12,16.45,15.94,16.16,5721,EUR,MCM,spain
2010-11-08,16.16,16.57,16.16,16.18,19839,EUR,MCM,spain
2010-11-09,16.08,16.65,16.08,16.46,3279,EUR,MCM,spain
2010-11-10,16.5,16.69,15.77,15.88,30168,EUR,MCM,spain
2010-11-11,16.18,16.61,15.88,15.96,36305,EUR,MCM,spain
2010-11-12,16.35,16.39,15.91,16.04,21005,EUR,MCM,spain
2010-11-15,16.37,16.43,15.95,16.06,58419,EUR,MCM,spain
2010-11-16,16.5,16.5,16.15,16.35,10741,EUR,MCM,spain
2010-11-17,16.46,16.49,16.13,16.39,4649,EUR,MCM,spain
2010-11-18,16.39,16.48,16.22,16.23,4320,EUR,MCM,spain
2010-11-19,16.31,16.31,16.06,16.29,3893,EUR,MCM,spain
2010-11-22,16.3,16.39,16.09,16.31,7899,EUR,MCM,spain
2010-11-23,16.27,16.27,15.91,15.97,3543,EUR,MCM,spain
2010-11-24,15.98,15.98,15.38,15.68,6805,EUR,MCM,spain
2010-11-25,15.38,15.38,14.63,14.7,10984,EUR,MCM,spain
2010-11-26,14.91,14.91,14.74,14.74,4437,EUR,MCM,spain
2010-11-29,14.66,15.45,14.66,14.96,5571,EUR,MCM,spain
2010-11-30,14.98,15.27,14.71,14.97,12417,EUR,MCM,spain
2010-12-01,15.33,15.33,14.72,14.96,7244,EUR,MCM,spain
2010-12-02,15.0,15.68,14.96,15.68,33112,EUR,MCM,spain
2010-12-03,15.09,15.62,15.09,15.19,14012,EUR,MCM,spain
2010-12-06,15.68,15.68,14.99,15.48,6017,EUR,MCM,spain
2010-12-07,15.25,15.66,15.0,15.05,3855,EUR,MCM,spain
2010-12-08,15.0,15.67,15.0,15.67,8212,EUR,MCM,spain
2010-12-09,15.35,15.66,15.17,15.59,1803,EUR,MCM,spain
2010-12-10,15.59,15.68,15.59,15.68,737,EUR,MCM,spain
2010-12-13,15.6,16.05,15.53,16.05,13720,EUR,MCM,spain
2010-12-14,16.12,16.16,16.02,16.16,4456,EUR,MCM,spain
2010-12-15,16.16,16.35,15.79,16.35,3993,EUR,MCM,spain
2010-12-16,16.18,16.34,16.09,16.34,3292,EUR,MCM,spain
2010-12-17,16.09,16.35,16.09,16.31,5167,EUR,MCM,spain
2010-12-20,16.11,16.31,15.9,15.94,4857,EUR,MCM,spain
2010-12-21,15.62,16.0,15.38,15.84,8468,EUR,MCM,spain
2010-12-22,15.74,16.25,15.72,16.25,6756,EUR,MCM,spain
2010-12-23,16.23,16.35,15.55,16.14,6129,EUR,MCM,spain
2010-12-27,16.14,16.5,16.03,16.5,3013,EUR,MCM,spain
2010-12-28,16.25,16.5,16.21,16.24,1737,EUR,MCM,spain
2010-12-29,16.21,16.4,16.21,16.39,2137,EUR,MCM,spain
2010-12-30,16.28,16.89,16.28,16.89,8527,EUR,MCM,spain
2011-01-03,16.64,17.14,16.52,17.14,5805,EUR,MCM,spain
2011-01-04,16.63,16.75,16.63,16.75,1508,EUR,MCM,spain
2011-01-05,16.6,16.63,16.16,16.16,43188,EUR,MCM,spain
2011-01-06,16.09,16.8,15.34,15.57,27724,EUR,MCM,spain
2011-01-07,15.4,16.62,15.13,15.55,8612,EUR,MCM,spain
2011-01-10,15.56,15.61,15.22,15.53,5196,EUR,MCM,spain
2011-01-11,16.05,16.05,15.49,15.75,2105,EUR,MCM,spain
2011-01-12,15.75,16.01,15.6,15.6,3831,EUR,MCM,spain
2011-01-13,16.02,16.02,15.6,15.71,5003,EUR,MCM,spain
2011-01-14,15.53,15.75,14.79,15.22,7189,EUR,MCM,spain
2011-01-17,15.19,15.37,15.04,15.24,4517,EUR,MCM,spain
2011-01-18,15.25,15.73,15.25,15.73,7876,EUR,MCM,spain
2011-01-19,15.68,15.74,15.38,15.39,5125,EUR,MCM,spain
2011-01-20,15.63,15.67,15.62,15.67,1492,EUR,MCM,spain
2011-01-21,15.38,16.0,15.38,15.97,4065,EUR,MCM,spain
2011-01-24,15.82,15.84,15.39,15.56,2419,EUR,MCM,spain
2011-01-25,15.97,15.97,15.57,15.86,5668,EUR,MCM,spain
2011-01-26,15.96,16.01,15.14,16.01,5419,EUR,MCM,spain
2011-01-27,15.9,16.03,15.42,15.88,3996,EUR,MCM,spain
2011-01-28,16.04,16.49,15.94,16.49,1691,EUR,MCM,spain
2011-01-31,16.18,16.65,16.18,16.56,3892,EUR,MCM,spain
2011-02-01,16.82,16.82,16.23,16.54,2044,EUR,MCM,spain
2011-02-02,16.65,16.65,16.39,16.54,1335,EUR,MCM,spain
2011-02-03,16.5,16.65,16.5,16.6,5901,EUR,MCM,spain
2011-02-04,16.7,16.87,16.5,16.51,4047,EUR,MCM,spain
2011-02-07,16.57,17.0,16.5,17.0,3821,EUR,MCM,spain
2011-02-08,16.51,17.2,16.51,17.19,4965,EUR,MCM,spain
2011-02-09,16.95,17.21,16.95,17.21,1696,EUR,MCM,spain
2011-02-10,17.21,17.21,16.63,16.64,3500,EUR,MCM,spain
2011-02-11,16.8,17.17,16.64,16.8,5291,EUR,MCM,spain
2011-02-14,17.17,17.25,16.61,17.25,3293,EUR,MCM,spain
2011-02-15,17.18,17.25,16.88,17.25,1048,EUR,MCM,spain
2011-02-16,16.88,17.1,16.8,17.1,3456,EUR,MCM,spain
2011-02-17,17.03,17.05,16.86,16.88,3297,EUR,MCM,spain
2011-02-18,16.88,17.23,16.77,16.88,8160,EUR,MCM,spain
2011-02-21,16.53,17.09,16.5,16.68,7817,EUR,MCM,spain
2011-02-22,16.5,16.88,16.34,16.88,8173,EUR,MCM,spain
2011-02-23,16.72,17.09,16.65,17.07,4049,EUR,MCM,spain
2011-02-24,16.98,17.25,16.81,16.88,11872,EUR,MCM,spain
2011-02-25,17.0,17.18,16.56,17.0,1508,EUR,MCM,spain
2011-02-28,16.69,17.16,16.68,17.16,7337,EUR,MCM,spain
2011-03-01,17.16,18.11,16.78,18.11,21109,EUR,MCM,spain
2011-03-02,17.96,18.19,17.3,17.33,27225,EUR,MCM,spain
2011-03-03,18.07,18.07,17.37,17.37,8983,EUR,MCM,spain
2011-03-04,17.4,17.98,17.06,17.16,10349,EUR,MCM,spain
2011-03-07,17.34,17.61,17.25,17.32,2772,EUR,MCM,spain
2011-03-08,17.44,17.59,16.88,17.26,9867,EUR,MCM,spain
2011-03-09,17.25,17.93,16.73,16.73,37552,EUR,MCM,spain
2011-03-10,16.55,17.24,15.25,15.94,36723,EUR,MCM,spain
2011-03-11,16.34,16.5,15.93,16.12,10032,EUR,MCM,spain
2011-03-14,16.49,16.49,15.53,15.72,5756,EUR,MCM,spain
2011-03-15,16.34,16.34,15.38,15.52,7747,EUR,MCM,spain
2011-03-16,15.75,16.11,15.38,15.38,2317,EUR,MCM,spain
2011-03-17,15.99,15.99,15.38,15.73,880,EUR,MCM,spain
2011-03-18,16.06,16.49,15.75,15.75,3865,EUR,MCM,spain
2011-03-21,16.58,16.58,15.88,15.94,21487,EUR,MCM,spain
