Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-04-20,2.32,2.32,2.32,2.32,1512,EUR,MEDC,spain
2012-04-30,2.32,2.32,2.32,2.32,101,EUR,MEDC,spain
2012-06-13,2.28,2.28,2.28,2.32,110,EUR,MEDC,spain
2012-06-22,2.31,2.31,2.31,2.31,1300,EUR,MEDC,spain
2012-07-12,2.26,2.26,2.26,2.26,2500,EUR,MEDC,spain
2012-07-13,2.25,2.25,2.25,2.25,2500,EUR,MEDC,spain
2012-07-31,2.2,2.2,2.2,2.2,2500,EUR,MEDC,spain
2012-08-01,2.2,2.2,2.2,2.2,2500,EUR,MEDC,spain
2012-08-02,2.2,2.2,2.2,2.2,800,EUR,MEDC,spain
2012-08-03,2.15,2.15,2.15,2.15,2500,EUR,MEDC,spain
2012-08-14,2.1,2.1,2.1,2.1,2400,EUR,MEDC,spain
2012-08-23,2.05,2.05,2.05,2.05,2450,EUR,MEDC,spain
2012-09-12,2.05,2.05,2.05,2.05,4878,EUR,MEDC,spain
2012-09-20,1.97,1.97,1.97,1.97,2600,EUR,MEDC,spain
2012-09-21,2.0,2.0,2.0,2.0,248500,EUR,MEDC,spain
2012-10-02,1.92,1.92,1.92,1.92,2700,EUR,MEDC,spain
2012-11-19,1.87,1.87,1.83,1.83,5600,EUR,MEDC,spain
2012-11-23,1.79,1.79,1.79,1.79,3000,EUR,MEDC,spain
2012-11-27,1.75,1.75,1.75,1.75,2900,EUR,MEDC,spain
2012-12-10,1.7,1.7,1.7,1.7,3000,EUR,MEDC,spain
2012-12-11,1.7,1.7,1.7,1.7,3000,EUR,MEDC,spain
2012-12-13,1.65,1.65,1.65,1.65,3050,EUR,MEDC,spain
2012-12-14,1.61,1.61,1.61,1.61,3120,EUR,MEDC,spain
2012-12-17,1.57,1.57,1.57,1.57,400,EUR,MEDC,spain
2012-12-21,1.42,1.42,1.42,1.42,13500,EUR,MEDC,spain
2012-12-28,1.42,1.42,1.42,1.42,3850,EUR,MEDC,spain
2013-01-11,1.4,1.4,1.4,1.4,400,EUR,MEDC,spain
2013-02-05,1.4,1.4,1.4,1.4,7150,EUR,MEDC,spain
2013-02-06,1.38,1.38,1.37,1.37,4700,EUR,MEDC,spain
2013-02-07,1.36,1.36,1.36,1.36,1000,EUR,MEDC,spain
2013-02-08,1.34,1.34,1.34,1.34,750,EUR,MEDC,spain
2013-02-11,1.34,1.34,1.34,1.34,2832,EUR,MEDC,spain
2013-02-20,1.34,1.34,1.34,1.34,100,EUR,MEDC,spain
2013-02-21,1.34,1.34,1.34,1.34,9534,EUR,MEDC,spain
2013-02-22,1.34,1.34,1.34,1.34,4966,EUR,MEDC,spain
2013-02-28,1.4,1.4,1.4,1.4,17100,EUR,MEDC,spain
2013-03-01,1.4,1.4,1.4,1.4,3600,EUR,MEDC,spain
2013-03-05,1.47,1.47,1.47,1.47,6600,EUR,MEDC,spain
2013-03-11,1.54,1.54,1.54,1.54,2600,EUR,MEDC,spain
2013-03-12,1.54,1.54,1.54,1.54,3300,EUR,MEDC,spain
2013-03-13,1.61,1.61,1.61,1.61,500,EUR,MEDC,spain
2013-03-15,1.77,1.77,1.77,1.77,8563,EUR,MEDC,spain
2013-03-18,1.75,1.75,1.74,1.74,6010,EUR,MEDC,spain
2013-03-19,1.59,1.59,1.59,1.59,9242,EUR,MEDC,spain
2013-03-20,1.6,1.66,1.6,1.66,15158,EUR,MEDC,spain
2013-03-21,1.6,1.6,1.6,1.6,8000,EUR,MEDC,spain
2013-03-22,1.61,1.61,1.61,1.61,2850,EUR,MEDC,spain
2013-03-25,1.6,1.6,1.6,1.61,100,EUR,MEDC,spain
2013-03-28,1.66,1.66,1.66,1.66,200,EUR,MEDC,spain
2013-04-02,1.6,1.6,1.6,1.6,32342,EUR,MEDC,spain
2013-04-03,1.6,1.6,1.6,1.6,66900,EUR,MEDC,spain
2013-04-04,1.66,1.66,1.66,1.66,6446,EUR,MEDC,spain
2013-04-08,1.74,1.74,1.74,1.74,1800,EUR,MEDC,spain
2013-04-09,1.73,1.73,1.73,1.73,1200,EUR,MEDC,spain
2013-04-10,1.66,1.66,1.66,1.66,500,EUR,MEDC,spain
2013-04-11,1.66,1.66,1.66,1.66,500,EUR,MEDC,spain
2013-04-15,1.73,1.73,1.73,1.73,1500,EUR,MEDC,spain
2013-04-18,1.66,1.66,1.66,1.66,300,EUR,MEDC,spain
2013-04-25,1.66,1.66,1.66,1.66,500,EUR,MEDC,spain
2013-04-30,1.74,1.74,1.74,1.74,800,EUR,MEDC,spain
2013-05-06,1.74,1.74,1.74,1.74,400,EUR,MEDC,spain
2013-05-08,1.74,1.74,1.74,1.74,3300,EUR,MEDC,spain
2013-05-17,1.74,1.74,1.74,1.74,6600,EUR,MEDC,spain
2013-05-23,1.74,1.74,1.74,1.74,800,EUR,MEDC,spain
2013-05-24,1.71,1.71,1.71,1.71,400,EUR,MEDC,spain
2013-05-28,1.7,1.7,1.7,1.71,10,EUR,MEDC,spain
2013-06-03,1.78,1.78,1.78,1.78,750,EUR,MEDC,spain
2013-06-20,1.7,1.7,1.7,1.7,2400,EUR,MEDC,spain
2013-06-25,1.78,1.78,1.78,1.78,589,EUR,MEDC,spain
2013-06-28,1.78,1.78,1.78,1.78,100,EUR,MEDC,spain
2013-07-15,1.78,1.78,1.78,1.78,1000,EUR,MEDC,spain
2013-07-24,1.78,1.78,1.78,1.78,1500,EUR,MEDC,spain
2013-08-07,1.83,1.83,1.83,1.83,800,EUR,MEDC,spain
2013-08-15,1.85,1.85,1.85,1.85,200,EUR,MEDC,spain
2013-08-20,1.87,1.87,1.87,1.87,3013,EUR,MEDC,spain
2013-08-26,1.89,1.89,1.89,1.89,400,EUR,MEDC,spain
2013-09-11,1.89,1.89,1.89,1.89,530,EUR,MEDC,spain
2013-09-18,2.07,2.13,2.07,2.13,50000,EUR,MEDC,spain
2013-09-20,2.13,2.13,2.13,2.13,500,EUR,MEDC,spain
2013-09-23,2.13,2.13,2.13,2.13,469,EUR,MEDC,spain
2013-09-27,2.13,2.13,2.13,2.13,3000,EUR,MEDC,spain
2013-09-30,2.18,2.18,2.18,2.18,750,EUR,MEDC,spain
2013-10-01,2.2,2.2,2.2,2.2,3000,EUR,MEDC,spain
2013-10-02,2.28,2.28,2.28,2.28,3000,EUR,MEDC,spain
2013-10-03,2.36,2.36,2.36,2.36,5438,EUR,MEDC,spain
2013-10-04,2.43,2.5,2.43,2.5,11513,EUR,MEDC,spain
2013-10-07,2.55,2.55,2.55,2.55,2000,EUR,MEDC,spain
2013-10-08,2.58,2.58,2.58,2.58,1500,EUR,MEDC,spain
2013-10-09,2.62,2.62,2.62,2.62,2000,EUR,MEDC,spain
2013-10-10,2.68,2.68,2.68,2.68,1619,EUR,MEDC,spain
2013-10-14,2.7,2.73,2.7,2.73,1500,EUR,MEDC,spain
2013-10-15,2.7,2.7,2.7,2.7,200,EUR,MEDC,spain
2013-10-16,2.68,2.68,2.68,2.68,1000,EUR,MEDC,spain
2013-10-17,2.77,2.83,2.77,2.83,4800,EUR,MEDC,spain
2013-10-18,2.87,2.92,2.87,2.92,4000,EUR,MEDC,spain
2013-10-21,2.92,2.95,2.92,2.95,3100,EUR,MEDC,spain
2013-10-22,2.94,2.94,2.94,2.94,3930,EUR,MEDC,spain
2013-10-23,2.94,2.95,2.94,2.95,8471,EUR,MEDC,spain
2013-10-25,2.95,2.95,2.95,2.95,2000,EUR,MEDC,spain
2013-10-28,2.95,3.0,2.95,3.0,3900,EUR,MEDC,spain
2013-10-29,3.15,3.15,3.15,3.15,2414,EUR,MEDC,spain
2013-10-30,3.2,3.3,3.2,3.3,4200,EUR,MEDC,spain
2013-10-31,3.45,3.45,3.45,3.45,11880,EUR,MEDC,spain
2013-11-01,3.45,3.45,3.45,3.45,4399,EUR,MEDC,spain
2013-11-04,3.45,3.45,3.3,3.3,18941,EUR,MEDC,spain
2013-11-05,3.45,3.6,3.45,3.6,25000,EUR,MEDC,spain
2013-11-06,3.76,3.9,3.76,3.9,6781,EUR,MEDC,spain
2013-11-07,3.95,3.96,3.95,3.96,28913,EUR,MEDC,spain
2013-11-08,3.95,3.95,3.95,3.95,34735,EUR,MEDC,spain
2013-11-11,3.95,3.98,3.95,3.98,7645,EUR,MEDC,spain
2013-11-12,3.98,4.0,3.98,4.0,27555,EUR,MEDC,spain
2013-11-13,4.1,4.21,4.1,4.21,6500,EUR,MEDC,spain
2013-11-14,4.44,4.5,4.44,4.5,29454,EUR,MEDC,spain
2013-11-15,4.5,4.5,4.49,4.49,3079,EUR,MEDC,spain
2013-11-18,4.54,4.54,4.54,4.54,11200,EUR,MEDC,spain
2013-11-19,4.6,4.67,4.6,4.67,6374,EUR,MEDC,spain
2013-11-20,4.67,4.67,4.6,4.6,6637,EUR,MEDC,spain
2013-11-21,4.62,4.62,4.59,4.59,3900,EUR,MEDC,spain
2013-11-22,4.59,4.59,4.59,4.59,4920,EUR,MEDC,spain
2013-11-25,4.59,4.59,4.59,4.59,4500,EUR,MEDC,spain
2013-11-26,4.59,4.59,4.51,4.51,1250,EUR,MEDC,spain
2013-11-27,4.51,4.51,4.51,4.51,348,EUR,MEDC,spain
2013-11-28,4.6,4.6,4.51,4.51,1480,EUR,MEDC,spain
2013-11-29,4.4,4.4,4.3,4.3,5342,EUR,MEDC,spain
2013-12-02,4.2,4.2,4.1,4.1,9292,EUR,MEDC,spain
2013-12-03,4.05,4.05,3.95,3.95,8546,EUR,MEDC,spain
2013-12-04,3.86,3.86,3.64,3.64,6057,EUR,MEDC,spain
2013-12-05,3.6,3.6,3.6,3.6,5178,EUR,MEDC,spain
2013-12-06,3.89,3.89,3.89,3.89,4800,EUR,MEDC,spain
2013-12-09,4.24,4.25,4.24,4.25,15631,EUR,MEDC,spain
2013-12-10,4.25,4.25,4.25,4.25,3800,EUR,MEDC,spain
2013-12-11,4.15,4.15,4.15,4.15,750,EUR,MEDC,spain
2013-12-12,4.25,4.25,4.25,4.25,2044,EUR,MEDC,spain
2013-12-13,4.3,4.3,4.28,4.28,2913,EUR,MEDC,spain
2013-12-16,4.25,4.25,4.25,4.25,1050,EUR,MEDC,spain
2013-12-17,4.24,4.24,4.24,4.24,200,EUR,MEDC,spain
2013-12-18,4.24,4.24,4.2,4.2,2410,EUR,MEDC,spain
2013-12-19,4.2,4.2,4.2,4.2,200,EUR,MEDC,spain
2013-12-20,4.25,4.25,4.25,4.25,16610,EUR,MEDC,spain
2013-12-23,4.25,4.25,4.25,4.25,12530,EUR,MEDC,spain
2013-12-24,4.3,4.3,4.3,4.3,4363,EUR,MEDC,spain
2013-12-27,4.29,4.3,4.29,4.3,3376,EUR,MEDC,spain
2013-12-31,4.28,4.3,4.28,4.3,3500,EUR,MEDC,spain
2014-01-02,4.15,4.15,4.15,4.15,1200,EUR,MEDC,spain
2014-01-07,4.1,4.15,4.1,4.15,2250,EUR,MEDC,spain
2014-01-08,4.15,4.15,4.15,4.15,1226,EUR,MEDC,spain
2014-01-09,4.15,4.15,4.15,4.15,2027,EUR,MEDC,spain
2014-01-10,4.29,4.29,4.29,4.29,1400,EUR,MEDC,spain
2014-01-13,4.35,4.35,4.3,4.3,2400,EUR,MEDC,spain
2014-01-14,4.45,4.45,4.45,4.45,3975,EUR,MEDC,spain
2014-01-15,4.4,4.4,4.4,4.4,1786,EUR,MEDC,spain
2014-01-16,4.4,4.49,4.4,4.49,2465,EUR,MEDC,spain
2014-01-17,4.5,4.51,4.5,4.51,2308,EUR,MEDC,spain
2014-01-20,4.6,4.75,4.6,4.75,10350,EUR,MEDC,spain
2014-01-21,4.92,5.16,4.92,5.16,7543,EUR,MEDC,spain
2014-01-22,5.4,5.6,5.4,5.6,14387,EUR,MEDC,spain
2014-01-23,5.8,6.0,5.8,6.0,9000,EUR,MEDC,spain
2014-01-24,5.85,5.99,5.85,5.99,14323,EUR,MEDC,spain
2014-01-27,5.99,5.99,5.99,5.99,1455,EUR,MEDC,spain
2014-01-28,5.8,5.8,5.8,5.8,2072,EUR,MEDC,spain
2014-01-29,5.75,5.75,5.75,5.75,1800,EUR,MEDC,spain
2014-01-30,5.9,5.9,5.85,5.85,3399,EUR,MEDC,spain
2014-01-31,5.99,5.99,5.99,5.99,1045,EUR,MEDC,spain
2014-02-03,5.99,5.99,5.99,5.99,2700,EUR,MEDC,spain
2014-02-04,5.8,5.8,5.6,5.6,4647,EUR,MEDC,spain
2014-02-05,5.51,5.73,5.51,5.73,1683,EUR,MEDC,spain
2014-02-06,5.75,5.75,5.75,5.75,4400,EUR,MEDC,spain
2014-02-07,5.85,5.85,5.85,5.75,100,EUR,MEDC,spain
2014-02-10,5.75,5.75,5.75,5.75,1100,EUR,MEDC,spain
2014-02-11,5.85,6.1,5.85,6.1,3091,EUR,MEDC,spain
2014-02-12,6.4,6.6,6.4,6.6,8641,EUR,MEDC,spain
2014-02-13,6.93,6.93,6.8,6.8,10104,EUR,MEDC,spain
2014-02-14,6.72,6.72,6.71,6.71,3379,EUR,MEDC,spain
2014-02-17,6.7,6.7,6.62,6.62,6180,EUR,MEDC,spain
2014-02-18,6.72,6.72,6.72,6.72,1450,EUR,MEDC,spain
2014-02-19,6.72,6.72,6.72,6.72,2554,EUR,MEDC,spain
2014-02-20,6.72,6.72,6.72,6.72,5500,EUR,MEDC,spain
2014-02-21,6.72,6.72,6.72,6.72,1875,EUR,MEDC,spain
2014-02-24,6.72,6.72,6.72,6.72,7589,EUR,MEDC,spain
2014-02-25,6.86,6.86,6.86,6.86,11238,EUR,MEDC,spain
2014-02-26,7.2,7.45,7.2,7.45,21283,EUR,MEDC,spain
2014-02-27,7.56,7.56,7.5,7.5,16855,EUR,MEDC,spain
2014-02-28,7.5,7.5,7.5,7.5,17757,EUR,MEDC,spain
2014-03-03,7.25,7.5,7.25,7.5,3710,EUR,MEDC,spain
2014-03-04,7.5,7.5,7.5,7.5,4332,EUR,MEDC,spain
2014-03-05,7.5,7.5,7.5,7.5,3511,EUR,MEDC,spain
2014-03-06,7.5,7.5,7.5,7.5,3855,EUR,MEDC,spain
2014-03-07,7.6,7.6,7.6,7.6,12522,EUR,MEDC,spain
2014-03-10,7.98,7.98,7.98,7.98,12260,EUR,MEDC,spain
2014-03-11,7.98,8.07,7.98,8.07,11940,EUR,MEDC,spain
2014-03-12,8.08,8.35,8.08,8.35,15884,EUR,MEDC,spain
2014-03-13,8.75,9.18,8.75,9.18,1210,EUR,MEDC,spain
2014-03-14,9.63,10.11,9.63,10.11,11770,EUR,MEDC,spain
2014-03-17,10.6,11.13,10.6,11.13,11322,EUR,MEDC,spain
2014-03-18,11.66,12.0,11.66,12.0,24918,EUR,MEDC,spain
