Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-12-27,1.51,1.51,1.47,1.47,7197,EUR,MONIB,spain
2016-12-28,1.5,1.5,1.46,1.46,10311,EUR,MONIB,spain
2016-12-29,1.39,1.39,1.33,1.33,12660,EUR,MONIB,spain
2016-12-30,1.3,1.3,1.24,1.24,18274,EUR,MONIB,spain
2017-01-02,1.2,1.2,1.19,1.19,11585,EUR,MONIB,spain
2017-01-03,1.15,1.15,1.13,1.13,25624,EUR,MONIB,spain
2017-01-04,1.1,1.1,1.08,1.08,16217,EUR,MONIB,spain
2017-01-05,1.05,1.05,1.03,1.03,24519,EUR,MONIB,spain
2017-01-06,1.03,1.03,1.01,1.01,6110,EUR,MONIB,spain
2017-01-09,1.0,1.0,1.0,1.0,9541,EUR,MONIB,spain
2017-01-10,0.98,1.0,0.98,1.0,13232,EUR,MONIB,spain
2017-01-11,0.99,1.0,0.99,1.0,5481,EUR,MONIB,spain
2017-01-12,0.98,1.01,0.98,1.01,9424,EUR,MONIB,spain
2017-01-13,1.03,1.05,1.03,1.05,19178,EUR,MONIB,spain
2017-01-16,1.06,1.09,1.06,1.09,8823,EUR,MONIB,spain
2017-01-17,1.11,1.13,1.11,1.13,19226,EUR,MONIB,spain
2017-01-18,1.15,1.15,1.15,1.15,4613,EUR,MONIB,spain
2017-01-19,1.17,1.17,1.17,1.17,9327,EUR,MONIB,spain
2017-01-20,1.17,1.17,1.17,1.17,5755,EUR,MONIB,spain
2017-01-23,1.17,1.17,1.14,1.14,5636,EUR,MONIB,spain
2017-01-24,1.14,1.14,1.14,1.14,4673,EUR,MONIB,spain
2017-01-25,1.15,1.15,1.12,1.12,6603,EUR,MONIB,spain
2017-01-26,1.09,1.12,1.09,1.12,11307,EUR,MONIB,spain
2017-01-27,1.09,1.09,1.07,1.07,9771,EUR,MONIB,spain
2017-01-30,1.05,1.07,1.05,1.07,4938,EUR,MONIB,spain
2017-01-31,1.09,1.11,1.09,1.11,2978,EUR,MONIB,spain
2017-02-01,1.1,1.1,1.07,1.07,6097,EUR,MONIB,spain
2017-02-02,1.04,1.06,1.04,1.06,2856,EUR,MONIB,spain
2017-02-03,1.04,1.06,1.04,1.06,1876,EUR,MONIB,spain
2017-02-06,1.04,1.04,1.04,1.04,719,EUR,MONIB,spain
2017-02-07,1.02,1.02,1.02,1.02,2499,EUR,MONIB,spain
2017-02-08,1.02,1.02,1.0,1.0,3401,EUR,MONIB,spain
2017-02-09,1.0,1.02,1.0,1.02,5746,EUR,MONIB,spain
2017-02-10,1.02,1.02,1.0,1.0,18613,EUR,MONIB,spain
2017-02-13,1.05,1.06,1.05,1.06,10144,EUR,MONIB,spain
2017-02-14,1.08,1.08,1.05,1.05,3169,EUR,MONIB,spain
2017-02-15,1.03,1.03,1.03,1.03,2534,EUR,MONIB,spain
2017-02-16,1.05,1.05,1.03,1.03,4084,EUR,MONIB,spain
2017-02-17,1.03,1.03,1.0,1.0,918,EUR,MONIB,spain
2017-02-20,0.98,0.99,0.98,0.99,770,EUR,MONIB,spain
2017-02-21,0.97,0.97,0.95,0.95,14824,EUR,MONIB,spain
2017-02-22,0.93,0.93,0.93,0.93,4458,EUR,MONIB,spain
2017-02-23,0.95,0.97,0.95,0.97,9071,EUR,MONIB,spain
2017-02-24,0.95,0.97,0.95,0.97,4390,EUR,MONIB,spain
2017-02-27,0.96,0.96,0.96,0.96,560,EUR,MONIB,spain
2017-02-28,0.94,0.94,0.92,0.92,7647,EUR,MONIB,spain
2017-03-01,0.94,0.95,0.94,0.95,1130,EUR,MONIB,spain
2017-03-02,0.93,0.95,0.93,0.95,2847,EUR,MONIB,spain
2017-03-03,0.95,0.97,0.95,0.97,565,EUR,MONIB,spain
2017-03-06,0.95,0.97,0.95,0.97,1363,EUR,MONIB,spain
