Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-07-01,7.8,8.22,7.78,8.05,3042537,EUR,MRL,spain
2014-07-02,8.05,8.29,8.0,8.25,3346007,EUR,MRL,spain
2014-07-03,8.26,8.5,8.21,8.34,9080203,EUR,MRL,spain
2014-07-04,8.5,8.5,8.23,8.43,9217302,EUR,MRL,spain
2014-07-07,8.38,8.4,8.3,8.37,438638,EUR,MRL,spain
2014-07-08,8.37,8.37,8.16,8.22,703797,EUR,MRL,spain
2014-07-09,8.24,8.24,8.11,8.14,2518855,EUR,MRL,spain
2014-07-10,8.17,8.18,7.98,7.98,339972,EUR,MRL,spain
2014-07-11,8.25,8.25,7.98,7.98,115700,EUR,MRL,spain
2014-07-14,8.09,8.09,7.89,8.02,344219,EUR,MRL,spain
2014-07-15,8.06,8.06,7.92,7.98,200110,EUR,MRL,spain
2014-07-16,7.97,8.02,7.97,8.02,325384,EUR,MRL,spain
2014-07-17,7.98,8.02,7.98,7.98,77225,EUR,MRL,spain
2014-07-18,8.01,8.01,7.91,7.94,139429,EUR,MRL,spain
2014-07-21,8.0,8.01,7.91,7.98,143503,EUR,MRL,spain
2014-07-22,7.98,7.99,7.97,7.98,134178,EUR,MRL,spain
2014-07-23,8.0,8.0,7.91,7.98,88338,EUR,MRL,spain
2014-07-24,7.99,8.0,7.98,8.0,75391,EUR,MRL,spain
2014-07-25,7.98,7.99,7.97,7.98,254460,EUR,MRL,spain
2014-07-28,7.97,7.98,7.92,7.98,375725,EUR,MRL,spain
2014-07-29,7.97,8.0,7.91,7.97,187193,EUR,MRL,spain
2014-07-30,7.97,7.98,7.9,7.97,199238,EUR,MRL,spain
2014-07-31,7.94,7.98,7.89,7.89,284606,EUR,MRL,spain
2014-08-01,7.94,7.94,7.58,7.71,673742,EUR,MRL,spain
2014-08-04,7.81,7.9,7.58,7.62,392423,EUR,MRL,spain
2014-08-05,7.33,7.58,7.33,7.44,630893,EUR,MRL,spain
2014-08-06,7.44,7.53,7.34,7.37,459115,EUR,MRL,spain
2014-08-07,7.38,7.68,7.38,7.51,918269,EUR,MRL,spain
2014-08-08,7.48,7.71,7.26,7.38,752561,EUR,MRL,spain
2014-08-11,7.39,7.49,7.38,7.42,322569,EUR,MRL,spain
2014-08-12,7.42,7.82,7.39,7.46,341277,EUR,MRL,spain
2014-08-13,7.46,7.69,7.28,7.32,647405,EUR,MRL,spain
2014-08-14,7.31,7.67,7.26,7.64,327832,EUR,MRL,spain
2014-08-15,7.41,7.74,7.28,7.5,520488,EUR,MRL,spain
2014-08-18,7.49,7.58,7.37,7.42,268157,EUR,MRL,spain
2014-08-19,7.45,7.5,7.38,7.5,407528,EUR,MRL,spain
2014-08-20,7.43,7.66,7.4,7.42,274425,EUR,MRL,spain
2014-08-21,7.4,7.5,7.4,7.41,142143,EUR,MRL,spain
2014-08-22,7.41,7.54,7.41,7.5,191244,EUR,MRL,spain
2014-08-25,7.58,7.79,7.45,7.79,193010,EUR,MRL,spain
2014-08-26,7.69,7.79,7.54,7.66,201301,EUR,MRL,spain
2014-08-27,7.76,7.82,7.61,7.81,296224,EUR,MRL,spain
2014-08-28,7.71,7.9,7.68,7.9,214978,EUR,MRL,spain
2014-08-29,7.88,7.98,7.79,7.98,131953,EUR,MRL,spain
2014-09-01,7.95,7.97,7.81,7.9,56529,EUR,MRL,spain
2014-09-02,7.97,7.97,7.86,7.97,288729,EUR,MRL,spain
2014-09-03,7.98,7.98,7.9,7.9,358776,EUR,MRL,spain
2014-09-04,7.59,8.06,7.59,8.06,665337,EUR,MRL,spain
2014-09-05,8.05,8.18,7.99,8.05,817530,EUR,MRL,spain
2014-09-08,8.06,8.13,7.96,8.06,288268,EUR,MRL,spain
2014-09-09,8.13,8.13,7.94,7.94,39569,EUR,MRL,spain
2014-09-10,7.98,7.98,7.78,7.85,169978,EUR,MRL,spain
2014-09-11,7.87,7.98,7.83,7.83,122369,EUR,MRL,spain
2014-09-12,7.86,7.97,7.83,7.92,100027,EUR,MRL,spain
2014-09-15,7.8,7.87,7.78,7.78,161644,EUR,MRL,spain
2014-09-16,7.78,7.94,7.74,7.74,95178,EUR,MRL,spain
2014-09-17,7.82,7.86,7.74,7.82,359297,EUR,MRL,spain
2014-09-18,7.93,8.0,7.74,8.0,263851,EUR,MRL,spain
2014-09-19,7.95,8.22,7.95,8.22,643282,EUR,MRL,spain
2014-09-22,7.98,8.1,7.92,8.02,316774,EUR,MRL,spain
2014-09-23,7.98,8.02,7.84,7.93,151708,EUR,MRL,spain
2014-09-24,7.85,7.97,7.85,7.92,199025,EUR,MRL,spain
2014-09-25,7.93,7.98,7.86,7.9,250089,EUR,MRL,spain
2014-09-26,7.98,7.98,7.83,7.83,259527,EUR,MRL,spain
2014-09-29,7.92,7.97,7.83,7.87,279074,EUR,MRL,spain
2014-09-30,7.89,8.02,7.86,8.02,219494,EUR,MRL,spain
2014-10-01,8.05,8.05,7.88,7.9,654767,EUR,MRL,spain
2014-10-02,7.9,7.91,7.82,7.87,631527,EUR,MRL,spain
2014-10-03,8.06,8.1,7.86,7.99,1061971,EUR,MRL,spain
2014-10-06,8.05,8.05,7.95,8.01,324036,EUR,MRL,spain
2014-10-07,8.04,8.04,7.84,7.9,178900,EUR,MRL,spain
2014-10-08,7.97,7.97,7.83,7.83,73931,EUR,MRL,spain
2014-10-09,7.93,8.01,7.91,7.95,668400,EUR,MRL,spain
2014-10-10,7.98,7.98,7.83,7.9,1389235,EUR,MRL,spain
2014-10-13,7.94,8.0,7.9,7.97,231455,EUR,MRL,spain
2014-10-14,7.98,8.0,7.94,7.94,732786,EUR,MRL,spain
2014-10-15,7.95,7.98,7.74,7.74,725082,EUR,MRL,spain
2014-10-16,7.86,7.9,7.51,7.51,493480,EUR,MRL,spain
2014-10-17,7.58,7.69,7.51,7.51,353250,EUR,MRL,spain
2014-10-20,7.52,7.66,7.51,7.6,300776,EUR,MRL,spain
2014-10-21,7.66,7.66,7.54,7.54,368137,EUR,MRL,spain
2014-10-22,7.7,7.7,7.58,7.61,324832,EUR,MRL,spain
2014-10-23,7.65,7.65,7.46,7.56,337692,EUR,MRL,spain
