Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-17,2.11,2.17,2.06,2.08,4022,EUR,MTBA,spain
2010-11-18,2.06,2.1,1.93,2.0,7893,EUR,MTBA,spain
2010-11-19,2.01,2.15,1.98,2.0,10688,EUR,MTBA,spain
2010-11-22,2.0,2.09,1.93,1.93,2145,EUR,MTBA,spain
2010-11-23,1.93,2.02,1.81,1.91,3102,EUR,MTBA,spain
2010-11-24,1.98,1.98,1.81,1.98,1779,EUR,MTBA,spain
2010-11-25,2.08,2.08,1.88,2.0,2766,EUR,MTBA,spain
2010-11-26,1.98,2.0,1.98,2.0,800,EUR,MTBA,spain
2010-11-29,1.84,2.02,1.84,2.0,356,EUR,MTBA,spain
2010-11-30,1.87,1.97,1.8,1.8,3439,EUR,MTBA,spain
2010-12-01,1.9,1.9,1.79,1.8,4016,EUR,MTBA,spain
2010-12-02,1.98,2.0,1.84,1.98,12123,EUR,MTBA,spain
2010-12-03,1.97,2.0,1.79,1.85,14894,EUR,MTBA,spain
2010-12-06,1.85,1.85,1.85,1.85,0,EUR,MTBA,spain
2010-12-07,1.8,1.87,1.75,1.87,3165,EUR,MTBA,spain
2010-12-08,1.87,1.87,1.76,1.76,504,EUR,MTBA,spain
2010-12-09,1.8,1.87,1.75,1.75,10579,EUR,MTBA,spain
2010-12-10,1.76,1.76,1.71,1.75,11648,EUR,MTBA,spain
2010-12-13,1.65,1.75,1.62,1.63,16095,EUR,MTBA,spain
2010-12-14,1.63,1.7,1.52,1.7,25446,EUR,MTBA,spain
2010-12-15,1.63,1.63,1.53,1.56,43403,EUR,MTBA,spain
2010-12-16,1.54,1.6,1.54,1.6,4913,EUR,MTBA,spain
2010-12-17,1.6,1.68,1.6,1.67,26744,EUR,MTBA,spain
2010-12-20,1.67,1.67,1.52,1.54,12505,EUR,MTBA,spain
2010-12-21,1.6,1.6,1.46,1.5,20036,EUR,MTBA,spain
2010-12-22,1.5,1.54,1.5,1.54,1993,EUR,MTBA,spain
2010-12-23,1.54,1.57,1.5,1.51,4957,EUR,MTBA,spain
2010-12-27,1.5,1.52,1.5,1.52,2742,EUR,MTBA,spain
2010-12-28,1.53,1.59,1.53,1.57,8767,EUR,MTBA,spain
2010-12-29,1.57,1.6,1.57,1.57,5813,EUR,MTBA,spain
2010-12-30,1.57,1.7,1.57,1.6,8640,EUR,MTBA,spain
2011-01-03,1.58,1.82,1.58,1.6,20742,EUR,MTBA,spain
2011-01-04,1.61,1.61,1.6,1.6,3353,EUR,MTBA,spain
2011-01-05,1.6,1.6,1.6,1.6,1027,EUR,MTBA,spain
2011-01-06,1.57,1.62,1.57,1.62,1291,EUR,MTBA,spain
2011-01-07,1.57,1.58,1.5,1.58,4000,EUR,MTBA,spain
2011-01-10,1.54,1.59,1.51,1.51,1524,EUR,MTBA,spain
2011-01-11,1.56,1.56,1.54,1.54,6314,EUR,MTBA,spain
2011-01-12,1.52,1.59,1.52,1.59,630,EUR,MTBA,spain
2011-01-13,1.58,1.58,1.58,1.58,25000,EUR,MTBA,spain
2011-01-14,1.57,1.64,1.57,1.64,1097,EUR,MTBA,spain
2011-01-17,1.64,1.65,1.64,1.65,1891,EUR,MTBA,spain
2011-01-18,1.64,1.68,1.6,1.68,3435,EUR,MTBA,spain
2011-01-19,1.68,1.68,1.65,1.65,4076,EUR,MTBA,spain
2011-01-20,1.64,1.7,1.64,1.7,2183,EUR,MTBA,spain
2011-01-21,1.65,1.8,1.62,1.79,7267,EUR,MTBA,spain
2011-01-24,1.79,1.94,1.79,1.87,12156,EUR,MTBA,spain
2011-01-25,1.8,1.82,1.79,1.82,3825,EUR,MTBA,spain
2011-01-26,1.81,2.26,1.81,2.08,18050,EUR,MTBA,spain
2011-01-27,2.07,2.2,1.91,2.06,17833,EUR,MTBA,spain
2011-01-28,2.06,2.26,2.04,2.17,44621,EUR,MTBA,spain
2011-01-31,2.32,2.39,2.19,2.31,40716,EUR,MTBA,spain
2011-02-01,2.47,2.47,2.28,2.3,29975,EUR,MTBA,spain
2011-02-02,2.29,2.38,2.29,2.29,11665,EUR,MTBA,spain
2011-02-03,2.21,2.38,2.21,2.38,29150,EUR,MTBA,spain
2011-02-04,2.38,2.45,2.26,2.45,25580,EUR,MTBA,spain
2011-02-07,2.45,2.45,2.3,2.4,29756,EUR,MTBA,spain
2011-02-08,2.4,2.4,2.3,2.3,9611,EUR,MTBA,spain
2011-02-09,2.3,2.38,2.3,2.31,4150,EUR,MTBA,spain
2011-02-10,2.3,2.38,2.25,2.35,10252,EUR,MTBA,spain
2011-02-11,2.35,2.35,2.35,2.35,0,EUR,MTBA,spain
2011-02-14,2.24,2.37,2.24,2.26,18517,EUR,MTBA,spain
2011-02-15,2.27,2.36,2.27,2.36,1333,EUR,MTBA,spain
2011-02-16,2.27,2.36,2.27,2.27,7685,EUR,MTBA,spain
2011-02-17,2.29,2.35,2.29,2.35,798,EUR,MTBA,spain
2011-02-18,2.29,2.33,2.28,2.33,2661,EUR,MTBA,spain
2011-02-21,2.31,2.36,2.27,2.28,23315,EUR,MTBA,spain
2011-02-22,2.35,2.35,2.29,2.29,3400,EUR,MTBA,spain
2011-02-23,2.34,2.34,2.1,2.21,34751,EUR,MTBA,spain
2011-02-24,2.06,2.29,2.06,2.25,9282,EUR,MTBA,spain
2011-02-25,2.25,2.25,2.1,2.23,9928,EUR,MTBA,spain
2011-02-28,2.23,2.25,2.16,2.25,7731,EUR,MTBA,spain
2011-03-01,2.18,2.25,2.15,2.25,10197,EUR,MTBA,spain
2011-03-02,2.24,2.25,2.12,2.12,47520,EUR,MTBA,spain
2011-03-03,2.12,2.15,2.06,2.07,11810,EUR,MTBA,spain
2011-03-04,2.02,2.12,1.91,1.95,153934,EUR,MTBA,spain
