Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-09-28,12.31,12.655,12.025,12.065,1590418,EUR,MTS,spain
2011-09-29,12.01,12.37,11.86,12.33,1303922,EUR,MTS,spain
2011-09-30,12.205,12.545,11.905,12.025,993540,EUR,MTS,spain
2011-10-03,11.62,12.26,11.51,12.13,861319,EUR,MTS,spain
2011-10-04,11.85,11.925,11.42,11.72,1871652,EUR,MTS,spain
2011-10-05,12.1,12.535,11.975,12.51,1570372,EUR,MTS,spain
2011-10-06,12.66,13.22,12.6,13.22,2302387,EUR,MTS,spain
2011-10-07,13.28,13.47,12.96,13.175,1229030,EUR,MTS,spain
2011-10-10,13.33,13.765,13.01,13.73,1233932,EUR,MTS,spain
2011-10-11,13.78,14.025,13.435,13.965,1022327,EUR,MTS,spain
2011-10-12,13.8,14.61,13.645,14.465,1100538,EUR,MTS,spain
2011-10-13,14.4,14.71,13.785,13.925,1612833,EUR,MTS,spain
2011-10-14,14.02,14.58,13.8,14.325,1206171,EUR,MTS,spain
2011-10-17,14.6,14.89,13.73,13.795,1447895,EUR,MTS,spain
2011-10-18,13.5,13.665,12.99,13.545,1949732,EUR,MTS,spain
2011-10-19,13.85,13.93,13.385,13.56,1054252,EUR,MTS,spain
2011-10-20,13.25,13.42,13.02,13.025,1272447,EUR,MTS,spain
2011-10-21,13.215,13.65,13.13,13.65,1510580,EUR,MTS,spain
2011-10-24,13.9,14.42,13.715,14.42,1369289,EUR,MTS,spain
2011-10-25,14.335,14.77,13.93,14.1,1725938,EUR,MTS,spain
2011-10-26,14.09,14.28,13.705,13.85,1564991,EUR,MTS,spain
2011-10-27,14.6,15.55,14.385,15.55,2656465,EUR,MTS,spain
2011-10-28,15.57,15.99,15.06,15.695,2429125,EUR,MTS,spain
2011-10-31,15.355,15.885,15.035,15.035,1601793,EUR,MTS,spain
2011-11-01,14.51,14.67,13.925,14.14,2009775,EUR,MTS,spain
2011-11-02,14.46,14.58,13.975,14.41,1609661,EUR,MTS,spain
2011-11-03,13.775,14.845,13.52,14.67,2858365,EUR,MTS,spain
2011-11-04,14.865,15.02,14.36,14.69,1271524,EUR,MTS,spain
2011-11-07,14.55,15.05,14.25,14.65,1116846,EUR,MTS,spain
2011-11-08,14.715,15.12,14.635,14.74,1110117,EUR,MTS,spain
2011-11-09,14.94,14.94,13.83,13.95,2062283,EUR,MTS,spain
2011-11-10,13.63,14.2,13.51,13.74,1435357,EUR,MTS,spain
2011-11-11,13.765,14.26,13.65,14.25,852324,EUR,MTS,spain
2011-11-14,14.39,14.44,13.87,13.93,767160,EUR,MTS,spain
2011-11-15,13.77,13.995,13.405,13.585,832697,EUR,MTS,spain
2011-11-16,13.435,13.895,13.41,13.78,976644,EUR,MTS,spain
2011-11-17,13.685,13.8,13.35,13.49,1046250,EUR,MTS,spain
2011-11-18,13.29,13.415,13.05,13.075,1618935,EUR,MTS,spain
2011-11-21,13.02,13.02,12.13,12.13,1288517,EUR,MTS,spain
2011-11-22,12.385,12.47,11.845,11.845,878493,EUR,MTS,spain
2011-11-23,11.775,11.92,11.37,11.37,1203654,EUR,MTS,spain
2011-11-24,11.55,11.78,11.3,11.415,905267,EUR,MTS,spain
2011-11-25,11.42,11.785,11.145,11.785,873989,EUR,MTS,spain
2011-11-28,12.02,12.66,11.92,12.66,1321770,EUR,MTS,spain
2011-11-29,12.59,12.805,12.305,12.58,1492985,EUR,MTS,spain
2011-11-30,12.38,14.075,12.22,13.9,2176039,EUR,MTS,spain
2011-12-01,13.9,14.34,13.595,14.09,1209991,EUR,MTS,spain
2011-12-02,14.34,14.555,14.12,14.22,1215150,EUR,MTS,spain
2011-12-05,14.49,14.845,14.3,14.705,918993,EUR,MTS,spain
2011-12-06,14.51,14.67,14.28,14.28,882444,EUR,MTS,spain
2011-12-07,14.66,14.84,13.795,14.115,1478548,EUR,MTS,spain
2011-12-08,14.38,14.52,13.495,13.54,1275964,EUR,MTS,spain
2011-12-09,13.37,14.18,13.295,14.14,1439155,EUR,MTS,spain
