Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-26,2.38,2.38,2.33,2.38,2401,EUR,MVC,spain
2010-11-29,2.38,2.38,2.34,2.34,1683,EUR,MVC,spain
2010-11-30,2.33,2.45,2.33,2.45,1683,EUR,MVC,spain
2010-12-01,2.34,2.45,2.34,2.35,5569,EUR,MVC,spain
2010-12-02,2.34,2.78,2.34,2.59,18954,EUR,MVC,spain
2010-12-03,2.59,2.88,2.51,2.66,16307,EUR,MVC,spain
2010-12-06,2.76,2.76,2.51,2.51,6982,EUR,MVC,spain
2010-12-07,2.51,2.67,2.49,2.49,13890,EUR,MVC,spain
2010-12-08,2.45,2.45,2.45,2.49,409,EUR,MVC,spain
2010-12-09,2.4,2.53,2.4,2.53,2229,EUR,MVC,spain
2010-12-10,2.5,2.51,2.45,2.49,6898,EUR,MVC,spain
2010-12-13,2.49,2.67,2.49,2.5,53790,EUR,MVC,spain
2010-12-14,2.49,2.55,2.49,2.5,1109,EUR,MVC,spain
2010-12-15,2.49,2.49,2.31,2.48,10753,EUR,MVC,spain
2010-12-16,2.46,2.48,2.35,2.38,4409,EUR,MVC,spain
2010-12-17,2.38,2.46,2.32,2.33,10246,EUR,MVC,spain
2010-12-20,2.45,2.47,2.3,2.43,11023,EUR,MVC,spain
2010-12-21,2.43,2.43,2.36,2.38,4983,EUR,MVC,spain
2010-12-22,2.33,2.38,2.31,2.38,4677,EUR,MVC,spain
2010-12-23,2.39,2.47,2.31,2.47,5782,EUR,MVC,spain
2010-12-27,2.4,2.4,2.4,2.4,4514,EUR,MVC,spain
2010-12-28,2.4,2.49,2.3,2.44,23725,EUR,MVC,spain
2010-12-29,2.36,2.46,2.34,2.42,22194,EUR,MVC,spain
2010-12-30,2.37,2.42,2.32,2.34,28318,EUR,MVC,spain
2011-01-03,2.3,2.38,2.3,2.38,5170,EUR,MVC,spain
2011-01-04,2.3,2.36,2.3,2.34,5292,EUR,MVC,spain
2011-01-05,2.28,2.32,2.22,2.29,6992,EUR,MVC,spain
2011-01-06,2.22,2.25,2.15,2.23,7099,EUR,MVC,spain
2011-01-07,2.18,2.21,2.18,2.18,5323,EUR,MVC,spain
2011-01-10,2.19,2.19,2.18,2.18,3178,EUR,MVC,spain
2011-01-11,2.18,2.28,2.17,2.18,13091,EUR,MVC,spain
2011-01-12,2.28,2.28,2.11,2.27,108329,EUR,MVC,spain
2011-01-13,2.25,2.27,2.17,2.26,8606,EUR,MVC,spain
2011-01-14,2.2,2.75,2.2,2.53,91271,EUR,MVC,spain
2011-01-17,2.54,2.69,2.41,2.41,52576,EUR,MVC,spain
2011-01-18,2.52,2.55,2.43,2.45,66597,EUR,MVC,spain
2011-01-19,2.47,2.55,2.43,2.43,11908,EUR,MVC,spain
2011-01-20,2.49,2.61,2.45,2.45,71735,EUR,MVC,spain
2011-01-21,2.45,2.58,2.45,2.48,18849,EUR,MVC,spain
2011-01-24,2.48,2.58,2.47,2.51,48573,EUR,MVC,spain
2011-01-25,2.57,2.57,2.5,2.5,8962,EUR,MVC,spain
2011-01-26,2.55,2.88,2.55,2.88,79528,EUR,MVC,spain
2011-01-27,2.91,3.53,2.74,3.35,302635,EUR,MVC,spain
2011-01-28,3.4,3.97,3.35,3.42,300951,EUR,MVC,spain
2011-01-31,3.43,3.73,3.43,3.55,87376,EUR,MVC,spain
2011-02-01,3.72,3.72,3.43,3.65,86295,EUR,MVC,spain
2011-02-02,3.65,3.9,3.58,3.87,69447,EUR,MVC,spain
2011-02-03,3.95,4.09,3.58,3.62,157495,EUR,MVC,spain
2011-02-04,3.82,3.93,3.6,3.71,76398,EUR,MVC,spain
2011-02-07,3.76,3.89,3.71,3.78,119952,EUR,MVC,spain
2011-02-08,3.84,3.87,3.48,3.68,97717,EUR,MVC,spain
2011-02-09,3.64,3.72,3.51,3.64,52456,EUR,MVC,spain
2011-02-10,3.58,3.58,3.41,3.49,28292,EUR,MVC,spain
2011-02-11,3.41,3.7,3.41,3.58,42122,EUR,MVC,spain
2011-02-14,3.44,3.64,3.44,3.59,30487,EUR,MVC,spain
2011-02-15,3.59,3.59,3.45,3.52,55911,EUR,MVC,spain
2011-02-16,3.5,3.52,3.43,3.48,32275,EUR,MVC,spain
2011-02-17,3.46,3.49,3.45,3.48,15650,EUR,MVC,spain
2011-02-18,3.44,3.44,3.31,3.35,15927,EUR,MVC,spain
2011-02-21,3.35,3.47,3.27,3.3,35948,EUR,MVC,spain
2011-02-22,3.18,3.35,3.18,3.32,48133,EUR,MVC,spain
2011-02-23,3.35,3.4,3.25,3.31,23251,EUR,MVC,spain
2011-02-24,3.35,3.35,3.26,3.33,11243,EUR,MVC,spain
2011-02-25,3.34,3.35,3.26,3.35,26534,EUR,MVC,spain
2011-02-28,3.28,3.34,3.28,3.31,15066,EUR,MVC,spain
