Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-04-09,1.88,1.88,1.79,1.79,60517,EUR,NBIB,spain
2015-04-10,1.73,1.75,1.73,1.75,122408,EUR,NBIB,spain
2015-04-13,1.83,1.83,1.82,1.82,42135,EUR,NBIB,spain
2015-04-14,1.88,1.88,1.83,1.83,47236,EUR,NBIB,spain
2015-04-15,1.84,1.87,1.84,1.87,2850,EUR,NBIB,spain
2015-04-16,1.88,1.88,1.81,1.81,7355,EUR,NBIB,spain
2015-04-17,1.76,1.81,1.76,1.81,13500,EUR,NBIB,spain
2015-04-20,1.82,1.82,1.77,1.77,39623,EUR,NBIB,spain
2015-04-21,1.78,1.79,1.78,1.79,3270,EUR,NBIB,spain
2015-04-22,1.8,1.8,1.8,1.8,8000,EUR,NBIB,spain
2015-04-23,1.77,1.77,1.73,1.73,7995,EUR,NBIB,spain
2015-04-24,1.79,1.8,1.79,1.8,21318,EUR,NBIB,spain
2015-04-27,1.82,1.82,1.81,1.81,10280,EUR,NBIB,spain
2015-04-28,1.83,1.84,1.83,1.84,5910,EUR,NBIB,spain
2015-04-29,1.8,1.8,1.8,1.8,8250,EUR,NBIB,spain
2015-04-30,1.85,1.85,1.82,1.82,3886,EUR,NBIB,spain
2015-05-04,1.78,1.78,1.78,1.78,46000,EUR,NBIB,spain
2015-05-05,1.75,1.78,1.75,1.78,5760,EUR,NBIB,spain
2015-05-06,1.75,1.75,1.75,1.75,6486,EUR,NBIB,spain
2015-05-07,1.69,1.69,1.69,1.69,7034,EUR,NBIB,spain
2015-05-08,1.7,1.7,1.7,1.7,300,EUR,NBIB,spain
2015-05-11,1.71,1.71,1.71,1.71,18829,EUR,NBIB,spain
2015-05-12,1.7,1.7,1.7,1.7,1000,EUR,NBIB,spain
2015-05-13,1.7,1.7,1.7,1.7,15845,EUR,NBIB,spain
2015-05-14,1.7,1.7,1.7,1.7,79400,EUR,NBIB,spain
2015-05-15,1.7,1.7,1.7,1.7,57000,EUR,NBIB,spain
2015-05-18,1.67,1.67,1.67,1.67,5140,EUR,NBIB,spain
2015-05-19,1.67,1.67,1.65,1.65,12369,EUR,NBIB,spain
2015-05-21,1.65,1.65,1.65,1.65,1500,EUR,NBIB,spain
2015-05-22,1.6,1.6,1.6,1.6,20338,EUR,NBIB,spain
2015-05-25,1.52,1.52,1.45,1.45,6825,EUR,NBIB,spain
2015-05-26,1.46,1.46,1.45,1.45,21655,EUR,NBIB,spain
