Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-13,1.41,1.45,1.41,1.45,1663,EUR,NEA,spain
2010-09-14,1.4,1.45,1.4,1.45,11713,EUR,NEA,spain
2010-09-15,1.44,1.44,1.44,1.45,6,EUR,NEA,spain
2010-09-16,1.45,1.45,1.45,1.45,137,EUR,NEA,spain
2010-09-17,1.45,1.45,1.45,1.45,0,EUR,NEA,spain
2010-09-20,1.44,1.44,1.44,1.45,122,EUR,NEA,spain
2010-09-21,1.41,1.44,1.4,1.41,1151,EUR,NEA,spain
2010-09-22,1.4,1.44,1.4,1.44,2251,EUR,NEA,spain
2010-09-23,1.39,1.39,1.39,1.44,380,EUR,NEA,spain
2010-09-24,1.44,1.44,1.35,1.44,8,EUR,NEA,spain
2010-09-27,1.34,1.44,1.34,1.42,2247,EUR,NEA,spain
2010-09-28,1.35,1.41,1.35,1.39,8135,EUR,NEA,spain
2010-09-29,1.37,1.41,1.34,1.41,118712,EUR,NEA,spain
2010-09-30,1.34,1.39,1.34,1.39,31562,EUR,NEA,spain
2010-10-01,1.33,1.39,1.33,1.39,3203,EUR,NEA,spain
2010-10-04,1.39,1.39,1.35,1.39,353,EUR,NEA,spain
2010-10-05,1.35,1.36,1.33,1.36,7158,EUR,NEA,spain
2010-10-06,1.36,1.36,1.3,1.36,9490,EUR,NEA,spain
2010-10-07,1.35,1.35,1.29,1.3,19503,EUR,NEA,spain
2010-10-08,1.3,1.35,1.28,1.35,9972,EUR,NEA,spain
2010-10-11,1.3,1.3,1.3,1.3,639,EUR,NEA,spain
2010-10-12,1.3,1.3,1.25,1.3,10427,EUR,NEA,spain
2010-10-13,1.3,1.3,1.28,1.28,9002,EUR,NEA,spain
2010-10-14,1.29,1.3,1.22,1.28,17114,EUR,NEA,spain
2010-10-15,1.24,1.27,1.23,1.24,12924,EUR,NEA,spain
2010-10-18,1.29,1.29,1.22,1.27,9300,EUR,NEA,spain
2010-10-19,1.23,1.25,1.22,1.25,15535,EUR,NEA,spain
2010-10-20,1.23,1.25,1.23,1.23,5458,EUR,NEA,spain
2010-10-21,1.25,1.27,1.23,1.26,17123,EUR,NEA,spain
2010-10-22,1.26,1.28,1.24,1.28,377546,EUR,NEA,spain
2010-10-25,1.29,1.32,1.25,1.31,28267,EUR,NEA,spain
2010-10-26,1.31,1.35,1.3,1.35,27249,EUR,NEA,spain
2010-10-27,1.3,1.41,1.3,1.4,40939,EUR,NEA,spain
2010-10-28,1.42,1.52,1.39,1.43,55422,EUR,NEA,spain
2010-10-29,1.43,1.46,1.39,1.43,23517,EUR,NEA,spain
2010-11-01,1.46,1.46,1.44,1.44,3000,EUR,NEA,spain
2010-11-02,1.36,1.43,1.36,1.43,5985,EUR,NEA,spain
2010-11-03,1.38,1.4,1.36,1.4,7409,EUR,NEA,spain
2010-11-04,1.37,1.4,1.37,1.4,2550,EUR,NEA,spain
2010-11-05,1.36,1.39,1.35,1.39,3851,EUR,NEA,spain
2010-11-08,1.35,1.35,1.29,1.31,41636,EUR,NEA,spain
2010-11-09,1.34,1.34,1.32,1.34,9777,EUR,NEA,spain
2010-11-10,1.32,1.32,1.3,1.3,3082,EUR,NEA,spain
2010-11-11,1.25,1.34,1.24,1.32,30291,EUR,NEA,spain
2010-11-12,1.32,1.32,1.24,1.32,7736,EUR,NEA,spain
2010-11-15,1.3,1.34,1.3,1.32,31242,EUR,NEA,spain
2010-11-16,1.32,1.38,1.28,1.38,37667,EUR,NEA,spain
2010-11-17,1.38,1.43,1.38,1.39,21738,EUR,NEA,spain
2010-11-18,1.39,1.39,1.32,1.32,16053,EUR,NEA,spain
2010-11-19,1.33,1.38,1.32,1.38,11263,EUR,NEA,spain
2010-11-22,1.33,1.33,1.33,1.33,2500,EUR,NEA,spain
2010-11-23,1.33,1.33,1.31,1.31,1814,EUR,NEA,spain
2010-11-24,1.31,1.33,1.29,1.33,12850,EUR,NEA,spain
2010-11-25,1.31,1.31,1.31,1.31,2000,EUR,NEA,spain
2010-11-26,1.29,1.29,1.28,1.29,5400,EUR,NEA,spain
2010-11-29,1.32,1.33,1.27,1.27,5383,EUR,NEA,spain
2010-11-30,1.32,1.32,1.3,1.3,4450,EUR,NEA,spain
2010-12-01,1.33,1.33,1.27,1.32,4257,EUR,NEA,spain
2010-12-02,1.32,1.38,1.3,1.34,24022,EUR,NEA,spain
2010-12-03,1.36,1.39,1.31,1.34,16809,EUR,NEA,spain
2010-12-06,1.35,1.39,1.35,1.39,1800,EUR,NEA,spain
2010-12-07,1.39,1.39,1.39,1.39,0,EUR,NEA,spain
2010-12-08,1.32,1.39,1.32,1.39,1207,EUR,NEA,spain
2010-12-09,1.35,1.39,1.35,1.39,10747,EUR,NEA,spain
2010-12-10,1.39,1.39,1.39,1.39,230,EUR,NEA,spain
2010-12-13,1.39,1.42,1.35,1.4,23584,EUR,NEA,spain
2010-12-14,1.4,1.4,1.36,1.4,5200,EUR,NEA,spain
2010-12-15,1.36,1.42,1.36,1.42,14599,EUR,NEA,spain
2010-12-16,1.42,1.44,1.42,1.44,10932,EUR,NEA,spain
2010-12-17,1.45,1.45,1.4,1.44,6500,EUR,NEA,spain
2010-12-20,1.44,1.47,1.36,1.46,12245,EUR,NEA,spain
2010-12-21,1.46,1.63,1.46,1.6,165471,EUR,NEA,spain
2010-12-22,1.6,1.62,1.57,1.62,33151,EUR,NEA,spain
2010-12-23,1.58,1.62,1.54,1.62,26085,EUR,NEA,spain
2010-12-27,1.56,1.6,1.53,1.54,14040,EUR,NEA,spain
2010-12-28,1.52,1.57,1.49,1.55,23680,EUR,NEA,spain
2010-12-29,1.53,1.53,1.5,1.5,5493,EUR,NEA,spain
2010-12-30,1.5,1.5,1.43,1.48,12919,EUR,NEA,spain
2011-01-03,1.56,1.56,1.52,1.52,6800,EUR,NEA,spain
2011-01-04,1.51,1.51,1.51,1.51,2631,EUR,NEA,spain
2011-01-05,1.47,1.5,1.44,1.5,11686,EUR,NEA,spain
2011-01-06,1.54,1.54,1.54,1.54,1000,EUR,NEA,spain
2011-01-07,1.44,1.5,1.44,1.44,5200,EUR,NEA,spain
2011-01-10,1.42,1.44,1.39,1.39,8122,EUR,NEA,spain
2011-01-11,1.39,1.4,1.39,1.4,1010,EUR,NEA,spain
2011-01-12,1.45,1.47,1.45,1.47,1047,EUR,NEA,spain
2011-01-13,1.48,1.48,1.47,1.47,596,EUR,NEA,spain
2011-01-14,1.48,1.51,1.48,1.51,11450,EUR,NEA,spain
2011-01-17,1.51,1.54,1.5,1.5,28100,EUR,NEA,spain
2011-01-18,1.54,1.6,1.52,1.57,32815,EUR,NEA,spain
2011-01-19,1.58,1.59,1.55,1.56,19903,EUR,NEA,spain
2011-01-20,1.59,1.6,1.51,1.59,14054,EUR,NEA,spain
2011-01-21,1.6,1.84,1.55,1.73,236583,EUR,NEA,spain
2011-01-24,1.76,1.76,1.7,1.74,27261,EUR,NEA,spain
2011-01-25,1.68,1.82,1.68,1.76,45159,EUR,NEA,spain
2011-01-26,1.76,1.83,1.76,1.78,24685,EUR,NEA,spain
2011-01-27,1.79,1.93,1.79,1.9,68698,EUR,NEA,spain
2011-01-28,1.92,2.05,1.92,1.96,205356,EUR,NEA,spain
2011-01-31,2.0,2.0,1.86,1.94,110071,EUR,NEA,spain
2011-02-01,1.94,1.94,1.86,1.88,45697,EUR,NEA,spain
2011-02-02,1.88,1.9,1.85,1.9,37716,EUR,NEA,spain
2011-02-03,1.9,1.95,1.86,1.86,4600,EUR,NEA,spain
2011-02-04,1.89,1.94,1.82,1.93,49305,EUR,NEA,spain
2011-02-07,1.97,1.98,1.89,1.98,27235,EUR,NEA,spain
2011-02-08,2.02,2.02,1.99,2.0,17828,EUR,NEA,spain
2011-02-09,1.98,1.98,1.89,1.98,3678,EUR,NEA,spain
2011-02-10,1.9,1.9,1.9,1.9,700,EUR,NEA,spain
2011-02-11,1.97,1.98,1.91,1.97,4500,EUR,NEA,spain
2011-02-14,1.97,2.04,1.92,2.04,86229,EUR,NEA,spain
2011-02-15,2.04,2.1,2.04,2.04,93921,EUR,NEA,spain
2011-02-16,2.05,2.1,2.01,2.08,11492,EUR,NEA,spain
2011-02-17,2.09,2.1,2.02,2.05,15425,EUR,NEA,spain
2011-02-18,2.05,2.05,1.96,2.04,11020,EUR,NEA,spain
2011-02-21,2.04,2.04,1.98,2.0,30094,EUR,NEA,spain
2011-02-22,1.94,1.95,1.94,1.95,5090,EUR,NEA,spain
2011-02-23,1.97,1.97,1.97,1.95,450,EUR,NEA,spain
2011-02-24,1.94,2.0,1.81,2.0,45250,EUR,NEA,spain
2011-02-25,2.04,2.15,2.0,2.08,88399,EUR,NEA,spain
2011-02-28,2.1,2.18,2.04,2.16,26818,EUR,NEA,spain
2011-03-01,2.19,2.19,2.02,2.08,43128,EUR,NEA,spain
2011-03-02,2.02,2.05,1.98,2.0,21235,EUR,NEA,spain
2011-03-03,2.0,2.05,2.0,2.05,3747,EUR,NEA,spain
2011-03-04,2.09,2.1,2.09,2.09,5500,EUR,NEA,spain
2011-03-07,2.09,2.09,2.04,2.08,8288,EUR,NEA,spain
2011-03-08,2.03,2.06,2.03,2.05,12604,EUR,NEA,spain
2011-03-09,2.05,2.08,2.05,2.08,1985,EUR,NEA,spain
2011-03-10,2.04,2.06,1.99,2.05,11127,EUR,NEA,spain
2011-03-11,2.05,2.05,1.98,2.0,5004,EUR,NEA,spain
2011-03-14,1.97,2.03,1.95,2.02,17981,EUR,NEA,spain
2011-03-15,1.96,1.96,1.9,1.94,11460,EUR,NEA,spain
2011-03-16,1.89,1.94,1.85,1.85,5142,EUR,NEA,spain
2011-03-17,1.85,1.85,1.85,1.85,4633,EUR,NEA,spain
2011-03-18,1.85,1.9,1.85,1.9,4944,EUR,NEA,spain
2011-03-21,1.91,1.91,1.85,1.91,13090,EUR,NEA,spain
2011-03-22,1.92,1.95,1.92,1.95,2503,EUR,NEA,spain
2011-03-23,1.95,1.95,1.92,1.92,3680,EUR,NEA,spain
2011-03-24,1.85,1.94,1.85,1.9,8302,EUR,NEA,spain
2011-03-25,1.86,1.95,1.86,1.95,5450,EUR,NEA,spain
2011-03-28,1.83,1.95,1.83,1.95,8948,EUR,NEA,spain
2011-03-29,1.9,2.1,1.9,2.05,70132,EUR,NEA,spain
2011-03-30,2.07,2.08,1.93,2.07,5305,EUR,NEA,spain
2011-03-31,2.03,2.07,1.97,2.06,15924,EUR,NEA,spain
2011-04-01,1.95,2.08,1.95,2.08,19902,EUR,NEA,spain
2011-04-04,2.02,2.14,2.0,2.08,136115,EUR,NEA,spain
2011-04-05,2.12,2.18,2.04,2.1,82426,EUR,NEA,spain
2011-04-06,2.06,2.18,2.06,2.11,45634,EUR,NEA,spain
2011-04-07,2.15,2.15,2.1,2.15,10215,EUR,NEA,spain
2011-04-08,2.15,2.17,2.08,2.17,34595,EUR,NEA,spain
2011-04-11,2.17,2.23,2.17,2.23,52096,EUR,NEA,spain
2011-04-12,2.23,2.23,2.14,2.17,12490,EUR,NEA,spain
2011-04-13,2.15,2.17,2.12,2.17,3250,EUR,NEA,spain
2011-04-14,2.14,2.16,2.13,2.16,5002,EUR,NEA,spain
2011-04-15,2.12,2.15,2.1,2.15,27047,EUR,NEA,spain
2011-04-18,2.06,2.06,2.02,2.05,12217,EUR,NEA,spain
2011-04-19,2.02,2.11,2.02,2.04,7957,EUR,NEA,spain
2011-04-20,2.06,2.08,2.03,2.08,7340,EUR,NEA,spain
2011-04-21,2.08,2.13,2.05,2.13,3375,EUR,NEA,spain
2011-04-26,2.05,2.13,2.05,2.13,7856,EUR,NEA,spain
2011-04-27,2.08,2.15,2.08,2.08,2425,EUR,NEA,spain
2011-04-28,2.1,2.15,2.06,2.13,6205,EUR,NEA,spain
2011-04-29,2.12,2.13,2.12,2.13,2311,EUR,NEA,spain
2011-05-02,2.06,2.09,2.04,2.09,8361,EUR,NEA,spain
2011-05-03,2.05,2.07,2.04,2.04,4037,EUR,NEA,spain
2011-05-04,2.04,2.06,1.98,2.06,31545,EUR,NEA,spain
2011-05-05,2.09,2.09,2.02,2.04,8010,EUR,NEA,spain
2011-05-06,2.06,2.06,2.01,2.01,9155,EUR,NEA,spain
2011-05-09,2.0,2.12,1.99,2.09,34188,EUR,NEA,spain
2011-05-10,2.13,2.13,2.12,2.12,3158,EUR,NEA,spain
2011-05-11,2.04,2.12,2.04,2.09,3001,EUR,NEA,spain
2011-05-12,2.04,2.11,2.04,2.05,7699,EUR,NEA,spain
2011-05-13,2.11,2.21,2.11,2.21,43770,EUR,NEA,spain
2011-05-16,2.19,2.19,2.1,2.15,6447,EUR,NEA,spain
2011-05-17,2.11,2.15,2.1,2.11,1476,EUR,NEA,spain
2011-05-18,2.08,2.17,2.08,2.12,8264,EUR,NEA,spain
2011-05-19,2.13,2.15,2.11,2.15,2440,EUR,NEA,spain
2011-05-20,2.15,2.15,2.1,2.13,3934,EUR,NEA,spain
2011-05-23,2.1,2.15,2.1,2.15,2283,EUR,NEA,spain
2011-05-24,2.07,2.13,2.06,2.09,5600,EUR,NEA,spain
2011-05-25,2.06,2.08,2.01,2.08,17000,EUR,NEA,spain
2011-05-26,2.08,2.08,2.08,2.08,800,EUR,NEA,spain
2011-05-27,2.04,2.04,2.02,2.02,8500,EUR,NEA,spain
2011-05-30,2.08,2.08,2.02,2.02,1300,EUR,NEA,spain
2011-05-31,2.06,2.06,2.06,2.06,701,EUR,NEA,spain
2011-06-01,2.01,2.08,2.01,2.08,2401,EUR,NEA,spain
2011-06-02,2.02,2.07,2.02,2.07,1310,EUR,NEA,spain
2011-06-03,2.02,2.08,2.02,2.02,3660,EUR,NEA,spain
2011-06-06,2.02,2.02,2.02,2.02,1000,EUR,NEA,spain
2011-06-07,2.04,2.04,1.93,2.02,4500,EUR,NEA,spain
2011-06-08,2.02,2.02,2.02,2.02,0,EUR,NEA,spain
2011-06-09,2.0,2.04,1.93,2.04,9567,EUR,NEA,spain
2011-06-10,1.9,1.98,1.9,1.93,3994,EUR,NEA,spain
2011-06-13,1.98,1.98,1.91,1.97,3750,EUR,NEA,spain
2011-06-14,1.98,2.02,1.98,1.97,318,EUR,NEA,spain
2011-06-15,1.9,2.0,1.9,2.0,1001,EUR,NEA,spain
2011-06-16,1.91,1.97,1.83,1.94,2324,EUR,NEA,spain
2011-06-17,1.94,1.95,1.88,1.95,1145,EUR,NEA,spain
2011-06-20,1.95,1.95,1.95,1.95,0,EUR,NEA,spain
2011-06-21,1.96,1.98,1.96,1.98,2445,EUR,NEA,spain
2011-06-22,1.95,2.01,1.91,2.01,2800,EUR,NEA,spain
2011-06-23,1.91,2.02,1.9,1.98,9142,EUR,NEA,spain
2011-06-24,1.98,1.98,1.98,1.98,0,EUR,NEA,spain
2011-06-27,1.91,1.91,1.83,1.9,12575,EUR,NEA,spain
2011-06-28,1.85,1.96,1.85,1.94,15150,EUR,NEA,spain
2011-06-29,1.95,1.95,1.95,1.94,445,EUR,NEA,spain
2011-06-30,1.95,2.09,1.95,2.07,23340,EUR,NEA,spain
2011-07-01,2.12,2.12,1.98,2.07,2432,EUR,NEA,spain
2011-07-04,2.08,2.08,1.95,2.08,7325,EUR,NEA,spain
2011-07-05,1.96,2.08,1.88,1.95,18107,EUR,NEA,spain
2011-07-06,1.99,1.99,1.99,1.99,1800,EUR,NEA,spain
2011-07-07,1.99,1.99,1.99,1.99,0,EUR,NEA,spain
2011-07-08,2.0,2.0,2.0,2.0,650,EUR,NEA,spain
2011-07-11,1.86,1.96,1.86,1.95,6255,EUR,NEA,spain
2011-07-12,1.86,1.9,1.86,1.9,883,EUR,NEA,spain
2011-07-13,1.9,1.9,1.9,1.9,0,EUR,NEA,spain
2011-07-14,1.9,1.9,1.9,1.9,450,EUR,NEA,spain
2011-07-15,1.9,1.95,1.9,1.95,925,EUR,NEA,spain
2011-07-18,1.93,1.93,1.86,1.93,1751,EUR,NEA,spain
2011-07-19,1.8,1.93,1.78,1.93,5392,EUR,NEA,spain
2011-07-20,1.93,1.93,1.93,1.93,0,EUR,NEA,spain
2011-07-21,1.93,1.93,1.93,1.93,0,EUR,NEA,spain
