Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-02,3.66,3.74,3.62,3.74,359606,EUR,NHH,spain
2010-11-03,3.73,3.77,3.7,3.71,511472,EUR,NHH,spain
2010-11-04,3.73,3.75,3.64,3.67,441571,EUR,NHH,spain
2010-11-05,3.68,3.69,3.54,3.58,337500,EUR,NHH,spain
2010-11-08,3.53,3.56,3.46,3.55,1490451,EUR,NHH,spain
2010-11-09,3.51,3.67,3.5,3.67,563875,EUR,NHH,spain
2010-11-10,3.61,3.65,3.53,3.56,396294,EUR,NHH,spain
2010-11-11,3.52,3.64,3.42,3.48,745790,EUR,NHH,spain
2010-11-12,3.45,3.52,3.34,3.45,309640,EUR,NHH,spain
2010-11-15,3.46,3.59,3.44,3.58,623146,EUR,NHH,spain
2010-11-16,3.54,3.58,3.4,3.41,339932,EUR,NHH,spain
2010-11-17,3.4,3.48,3.37,3.42,360247,EUR,NHH,spain
2010-11-18,3.42,3.54,3.42,3.48,416005,EUR,NHH,spain
2010-11-19,3.48,3.51,3.4,3.46,234766,EUR,NHH,spain
2010-11-22,3.48,3.53,3.41,3.42,348097,EUR,NHH,spain
2010-11-23,3.41,3.42,3.26,3.26,642061,EUR,NHH,spain
2010-11-24,3.25,3.37,3.17,3.29,1532037,EUR,NHH,spain
2010-11-25,3.27,3.31,3.2,3.25,217189,EUR,NHH,spain
2010-11-26,3.19,3.28,3.12,3.12,646489,EUR,NHH,spain
2010-11-29,3.13,3.22,3.04,3.06,598117,EUR,NHH,spain
2010-11-30,3.09,3.09,2.96,3.02,678909,EUR,NHH,spain
2010-12-01,3.05,3.15,3.02,3.13,687796,EUR,NHH,spain
2010-12-02,3.15,3.23,3.06,3.19,971804,EUR,NHH,spain
2010-12-03,3.14,3.27,3.12,3.25,316014,EUR,NHH,spain
2010-12-06,3.2,3.33,3.2,3.33,485653,EUR,NHH,spain
2010-12-07,3.32,3.33,3.21,3.25,411825,EUR,NHH,spain
2010-12-08,3.18,3.26,3.18,3.23,212994,EUR,NHH,spain
2010-12-09,3.26,3.29,3.15,3.21,534139,EUR,NHH,spain
2010-12-10,3.18,3.22,3.12,3.18,387806,EUR,NHH,spain
2010-12-13,3.19,3.25,3.19,3.25,327497,EUR,NHH,spain
2010-12-14,3.27,3.27,3.22,3.26,374388,EUR,NHH,spain
2010-12-15,3.25,3.25,3.17,3.22,219871,EUR,NHH,spain
2010-12-16,3.22,3.28,3.16,3.18,295164,EUR,NHH,spain
2010-12-17,3.2,3.21,3.1,3.13,292408,EUR,NHH,spain
2010-12-20,3.13,3.18,3.1,3.13,269700,EUR,NHH,spain
2010-12-21,3.14,3.19,3.14,3.19,221400,EUR,NHH,spain
2010-12-22,3.2,3.22,3.14,3.16,523044,EUR,NHH,spain
2010-12-23,3.12,3.25,3.12,3.23,415473,EUR,NHH,spain
2010-12-27,3.23,3.31,3.2,3.31,323173,EUR,NHH,spain
2010-12-28,3.32,3.37,3.31,3.37,247296,EUR,NHH,spain
2010-12-29,3.36,3.46,3.32,3.45,466140,EUR,NHH,spain
2010-12-30,3.45,3.53,3.27,3.4,1240147,EUR,NHH,spain
