Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,16.82,17.14,16.82,17.14,0,EUR,NTGY,spain
2009-02-12,16.87,17.02,16.55,16.55,0,EUR,NTGY,spain
2009-02-13,16.88,17.26,16.41,16.41,0,EUR,NTGY,spain
2009-02-16,16.32,16.33,16.02,16.02,0,EUR,NTGY,spain
2009-02-17,16.0,16.3,15.75,16.3,0,EUR,NTGY,spain
2009-02-18,16.21,16.33,15.81,15.81,0,EUR,NTGY,spain
2009-02-19,16.07,16.23,15.94,15.94,0,EUR,NTGY,spain
2009-02-20,15.82,15.85,15.4,15.4,0,EUR,NTGY,spain
2009-02-25,15.45,15.49,14.6,14.6,0,EUR,NTGY,spain
2009-02-26,14.95,15.43,14.91,15.43,0,EUR,NTGY,spain
2009-02-27,14.9,15.1,14.01,14.01,0,EUR,NTGY,spain
2009-03-06,12.94,13.14,12.42,12.42,0,EUR,NTGY,spain
2009-03-09,12.44,12.5,12.34,12.5,0,EUR,NTGY,spain
2009-03-10,12.05,12.55,10.81,10.81,0,EUR,NTGY,spain
2009-03-11,11.28,11.84,11.01,11.84,0,EUR,NTGY,spain
2009-03-12,11.81,11.86,11.43,11.43,0,EUR,NTGY,spain
2009-03-13,11.87,11.96,11.01,11.01,0,EUR,NTGY,spain
2009-03-16,9.4,9.51,9.37,9.51,0,EUR,NTGY,spain
2009-03-17,9.38,9.4,8.53,8.53,0,EUR,NTGY,spain
2009-03-18,8.78,8.91,8.59,8.59,0,EUR,NTGY,spain
2009-03-19,8.65,8.68,8.5,8.5,0,EUR,NTGY,spain
2009-03-20,8.41,8.51,8.39,8.51,0,EUR,NTGY,spain
2009-04-01,10.76,11.07,10.56,10.56,0,EUR,NTGY,spain
2009-04-02,10.83,11.03,10.6,11.03,0,EUR,NTGY,spain
2009-04-03,10.21,10.74,10.21,10.74,0,EUR,NTGY,spain
2009-04-06,10.81,10.82,10.46,10.46,0,EUR,NTGY,spain
2009-04-07,10.73,10.88,10.63,10.88,0,EUR,NTGY,spain
2009-04-08,10.72,11.01,10.63,11.01,0,EUR,NTGY,spain
2009-04-09,11.07,11.18,10.82,10.82,0,EUR,NTGY,spain
2009-04-16,11.55,12.16,11.4,12.16,0,EUR,NTGY,spain
2009-04-17,12.25,12.3,11.76,11.76,0,EUR,NTGY,spain
2009-04-20,11.89,12.23,11.82,11.82,0,EUR,NTGY,spain
2009-04-21,11.82,12.12,11.8,12.12,0,EUR,NTGY,spain
2009-04-22,12.05,12.21,11.88,12.21,0,EUR,NTGY,spain
2009-04-23,12.1,12.61,12.05,12.61,0,EUR,NTGY,spain
2009-04-24,12.21,12.24,12.01,12.01,0,EUR,NTGY,spain
2009-04-27,11.74,11.86,11.73,11.86,0,EUR,NTGY,spain
2009-04-28,11.7,11.7,11.4,11.4,0,EUR,NTGY,spain
2009-04-29,11.55,11.95,11.52,11.95,0,EUR,NTGY,spain
2009-04-30,12.04,12.18,11.97,12.18,0,EUR,NTGY,spain
2009-05-05,12.17,12.27,11.99,11.99,0,EUR,NTGY,spain
2009-05-06,12.26,12.8,12.21,12.8,0,EUR,NTGY,spain
2009-05-07,12.78,12.99,12.45,12.45,0,EUR,NTGY,spain
2009-05-08,12.57,12.75,12.54,12.54,0,EUR,NTGY,spain
2009-05-14,12.37,12.57,12.34,12.57,0,EUR,NTGY,spain
2009-05-15,12.5,12.73,12.35,12.73,0,EUR,NTGY,spain
2009-05-18,12.46,12.83,12.42,12.83,0,EUR,NTGY,spain
2009-05-19,12.92,13.17,12.92,13.17,0,EUR,NTGY,spain
2009-05-20,13.15,13.29,13.02,13.02,0,EUR,NTGY,spain
2009-05-21,13.0,13.07,12.9,12.9,0,EUR,NTGY,spain
2009-05-22,12.85,13.12,12.84,12.84,0,EUR,NTGY,spain
2009-05-25,12.88,13.06,12.83,13.06,0,EUR,NTGY,spain
2009-05-26,12.97,13.06,12.76,13.06,0,EUR,NTGY,spain
2009-05-27,13.1,13.18,13.04,13.04,0,EUR,NTGY,spain
2009-05-28,13.02,13.06,12.95,13.06,0,EUR,NTGY,spain
2009-05-29,13.1,13.12,12.71,12.71,0,EUR,NTGY,spain
2009-06-02,12.84,12.84,12.73,12.73,0,EUR,NTGY,spain
2009-06-03,12.79,12.83,12.45,12.45,0,EUR,NTGY,spain
2009-06-04,12.54,12.63,12.14,12.14,0,EUR,NTGY,spain
2009-06-05,12.45,12.52,12.3,12.3,0,EUR,NTGY,spain
2009-06-11,12.47,12.61,12.46,12.61,0,EUR,NTGY,spain
2009-06-12,12.54,12.71,12.51,12.71,0,EUR,NTGY,spain
2009-06-15,12.4,12.41,12.14,12.14,0,EUR,NTGY,spain
2009-06-16,12.17,12.39,12.16,12.39,0,EUR,NTGY,spain
2009-06-17,11.74,11.77,11.61,11.61,0,EUR,NTGY,spain
