Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-04-27,5.149,5.235,4.99,5.16,651618,EUR,NTH,spain
2015-04-28,5.24,5.596,5.21,5.45,640983,EUR,NTH,spain
2015-04-29,5.6,5.69,5.16,5.26,510544,EUR,NTH,spain
2015-04-30,5.25,5.25,5.07,5.162,768322,EUR,NTH,spain
2015-05-04,5.2,5.247,5.04,5.094,127864,EUR,NTH,spain
2015-05-05,5.14,5.14,4.816,4.85,359634,EUR,NTH,spain
2015-05-06,4.88,4.88,4.622,4.8,616099,EUR,NTH,spain
2015-05-07,4.8,4.928,4.8,4.85,112226,EUR,NTH,spain
2015-05-08,5.02,5.07,4.871,5.019,36602,EUR,NTH,spain
2015-05-11,4.88,5.0,4.851,4.96,66673,EUR,NTH,spain
2015-05-12,4.9,4.9,4.82,4.85,93862,EUR,NTH,spain
2015-05-13,4.86,4.97,4.722,4.828,165644,EUR,NTH,spain
2015-05-14,4.84,4.84,4.72,4.805,46601,EUR,NTH,spain
2015-05-15,4.84,4.84,4.7,4.81,37469,EUR,NTH,spain
2015-05-18,4.91,4.91,4.7,4.759,27218,EUR,NTH,spain
2015-05-19,4.78,4.909,4.751,4.909,68924,EUR,NTH,spain
2015-05-20,4.9,4.92,4.87,4.88,24108,EUR,NTH,spain
2015-05-21,4.88,4.88,4.739,4.739,182638,EUR,NTH,spain
2015-05-22,4.73,4.9,4.73,4.9,52092,EUR,NTH,spain
2015-05-25,4.8,4.899,4.764,4.764,30729,EUR,NTH,spain
2015-05-26,4.753,4.81,4.716,4.717,39625,EUR,NTH,spain
2015-05-27,4.72,4.866,4.662,4.866,24963,EUR,NTH,spain
2015-05-28,4.85,4.91,4.756,4.91,13999,EUR,NTH,spain
2015-05-29,4.801,4.9,4.75,4.8,51994,EUR,NTH,spain
2015-06-01,4.839,4.849,4.755,4.849,11799,EUR,NTH,spain
2015-06-02,4.881,4.881,4.777,4.83,26677,EUR,NTH,spain
2015-06-03,4.733,4.83,4.733,4.83,63303,EUR,NTH,spain
2015-06-04,4.79,4.884,4.752,4.85,28603,EUR,NTH,spain
2015-06-05,4.8,4.889,4.8,4.85,75957,EUR,NTH,spain
2015-06-08,4.806,4.84,4.71,4.84,159165,EUR,NTH,spain
2015-06-09,4.81,4.83,4.81,4.82,22637,EUR,NTH,spain
2015-06-10,4.859,4.936,4.751,4.86,46882,EUR,NTH,spain
2015-06-11,4.9,4.9,4.812,4.85,16747,EUR,NTH,spain
2015-06-12,4.82,4.9,4.815,4.85,39597,EUR,NTH,spain
2015-06-15,4.802,4.949,4.802,4.87,19372,EUR,NTH,spain
2015-06-16,4.85,4.889,4.812,4.851,47505,EUR,NTH,spain
2015-06-17,4.85,4.887,4.801,4.82,11598,EUR,NTH,spain
2015-06-18,4.889,4.889,4.82,4.859,35216,EUR,NTH,spain
2015-06-19,4.86,4.941,4.85,4.91,46769,EUR,NTH,spain
2015-06-22,4.92,5.091,4.92,5.07,73078,EUR,NTH,spain
2015-06-23,5.05,5.24,5.05,5.12,50372,EUR,NTH,spain
2015-06-24,5.1,5.12,5.0,5.04,17024,EUR,NTH,spain
2015-06-25,5.09,5.09,5.04,5.062,2846,EUR,NTH,spain
2015-06-26,5.02,5.099,5.011,5.05,28276,EUR,NTH,spain
2015-06-29,4.9,4.98,4.9,4.98,64534,EUR,NTH,spain
2015-06-30,4.901,5.03,4.901,5.03,77663,EUR,NTH,spain
2015-07-01,5.14,5.14,4.89,5.089,8069,EUR,NTH,spain
2015-07-02,5.129,5.17,4.97,5.14,29186,EUR,NTH,spain
2015-07-03,5.15,5.2,5.01,5.2,51401,EUR,NTH,spain
2015-07-06,5.02,5.16,5.02,5.072,6515,EUR,NTH,spain
2015-07-07,5.076,5.148,5.003,5.1,21956,EUR,NTH,spain
2015-07-08,5.179,5.179,5.011,5.04,6772,EUR,NTH,spain
2015-07-09,5.09,5.17,5.002,5.011,40717,EUR,NTH,spain
2015-07-10,5.051,5.062,5.004,5.05,44990,EUR,NTH,spain
2015-07-13,5.154,5.154,5.0,5.139,10551,EUR,NTH,spain
2015-07-14,5.13,5.149,5.06,5.079,4928,EUR,NTH,spain
2015-07-15,5.07,5.14,5.022,5.068,3090,EUR,NTH,spain
2015-07-16,5.1,5.28,5.074,5.26,117920,EUR,NTH,spain
2015-07-17,5.151,5.34,5.11,5.34,39920,EUR,NTH,spain
2015-07-20,5.35,5.45,5.34,5.45,66286,EUR,NTH,spain
2015-07-21,5.549,5.58,5.45,5.573,71874,EUR,NTH,spain
2015-07-22,5.573,5.58,5.451,5.55,19253,EUR,NTH,spain
2015-07-23,5.55,5.599,5.481,5.55,16343,EUR,NTH,spain
