Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-11-01,1.95,1.98,1.95,1.98,4325,EUR,NTX,spain
2017-11-02,2.05,2.06,2.05,2.06,10977,EUR,NTX,spain
2017-11-03,2.11,2.16,2.11,2.16,4916,EUR,NTX,spain
2017-11-06,2.23,2.28,2.23,2.28,12458,EUR,NTX,spain
2017-11-07,2.33,2.37,2.33,2.37,12103,EUR,NTX,spain
2017-11-08,2.41,2.41,2.41,2.41,32120,EUR,NTX,spain
2017-11-09,2.47,2.47,2.47,2.47,12026,EUR,NTX,spain
2017-11-10,2.5,2.56,2.5,2.56,28130,EUR,NTX,spain
2017-11-13,2.62,2.75,2.62,2.75,38305,EUR,NTX,spain
2017-11-14,2.69,2.69,2.63,2.63,13713,EUR,NTX,spain
2017-11-15,2.5,2.5,2.38,2.38,6503,EUR,NTX,spain
2017-11-16,2.27,2.27,2.16,2.16,4806,EUR,NTX,spain
2017-11-17,2.06,2.06,2.02,2.02,10649,EUR,NTX,spain
2017-11-20,2.07,2.12,2.07,2.12,2500,EUR,NTX,spain
2017-11-21,2.14,2.14,2.09,2.09,2500,EUR,NTX,spain
2017-11-24,2.04,2.04,2.04,2.09,50,EUR,NTX,spain
2017-11-28,2.04,2.04,2.04,2.04,1500,EUR,NTX,spain
2017-11-29,2.08,2.08,2.03,2.03,3411,EUR,NTX,spain
2017-11-30,2.08,2.08,2.08,2.08,600,EUR,NTX,spain
2017-12-05,2.03,2.03,2.03,2.03,2465,EUR,NTX,spain
2017-12-13,2.01,2.01,2.01,2.01,1250,EUR,NTX,spain
2017-12-14,1.96,1.96,1.96,1.96,2553,EUR,NTX,spain
2017-12-15,1.92,1.92,1.9,1.9,5637,EUR,NTX,spain
2017-12-18,1.86,1.86,1.86,1.86,3216,EUR,NTX,spain
2017-12-20,1.82,1.82,1.82,1.82,2941,EUR,NTX,spain
2017-12-22,1.9,1.94,1.9,1.94,5200,EUR,NTX,spain
2017-12-28,1.98,1.98,1.98,1.98,2000,EUR,NTX,spain
2018-01-04,2.02,2.02,2.02,2.02,757,EUR,NTX,spain
2018-02-22,1.97,1.97,1.97,1.97,300,EUR,NTX,spain
2018-03-02,1.93,1.93,1.93,1.93,2000,EUR,NTX,spain
2018-03-13,1.89,1.89,1.89,1.89,2300,EUR,NTX,spain
2018-03-19,1.85,1.85,1.85,1.85,1623,EUR,NTX,spain
2018-03-26,1.89,1.89,1.89,1.89,200,EUR,NTX,spain
2018-03-27,1.85,1.85,1.81,1.81,5200,EUR,NTX,spain
2018-03-28,1.85,1.85,1.85,1.85,500,EUR,NTX,spain
2018-03-29,1.85,1.85,1.85,1.85,100,EUR,NTX,spain
2018-04-05,1.89,1.89,1.89,1.89,500,EUR,NTX,spain
2018-04-09,1.93,1.93,1.93,1.93,500,EUR,NTX,spain
2018-04-30,1.89,1.89,1.89,1.89,2000,EUR,NTX,spain
2018-05-02,1.85,1.85,1.81,1.81,6968,EUR,NTX,spain
2018-05-03,1.77,1.77,1.73,1.73,3032,EUR,NTX,spain
2018-05-04,1.77,1.77,1.77,1.77,1734,EUR,NTX,spain
2018-05-09,1.73,1.73,1.73,1.77,150,EUR,NTX,spain
2018-05-16,1.77,1.77,1.77,1.77,280,EUR,NTX,spain
2018-05-23,1.7,1.7,1.7,1.7,7853,EUR,NTX,spain
2018-05-24,1.62,1.62,1.62,1.62,3845,EUR,NTX,spain
2018-05-28,1.62,1.62,1.62,1.62,1000,EUR,NTX,spain
2018-05-29,1.6,1.6,1.6,1.6,2455,EUR,NTX,spain
2018-06-05,1.55,1.55,1.55,1.55,3166,EUR,NTX,spain
2018-06-07,1.52,1.52,1.52,1.52,1000,EUR,NTX,spain
2018-06-08,1.49,1.49,1.49,1.49,250,EUR,NTX,spain
2018-06-12,1.52,1.52,1.52,1.49,50,EUR,NTX,spain
2018-06-13,1.46,1.46,1.46,1.46,400,EUR,NTX,spain
2018-06-18,1.43,1.43,1.43,1.43,704,EUR,NTX,spain
2018-06-20,1.41,1.41,1.41,1.43,170,EUR,NTX,spain
2018-06-25,1.41,1.41,1.41,1.41,3000,EUR,NTX,spain
2018-06-26,1.4,1.4,1.4,1.4,2446,EUR,NTX,spain
2018-07-05,1.41,1.41,1.41,1.41,400,EUR,NTX,spain
2018-07-23,1.4,1.4,1.4,1.4,400,EUR,NTX,spain
2018-08-16,1.39,1.39,1.39,1.4,9,EUR,NTX,spain
2018-08-23,1.35,1.35,1.35,1.35,3599,EUR,NTX,spain
2018-08-30,1.34,1.34,1.34,1.34,364,EUR,NTX,spain
2018-09-18,1.35,1.35,1.35,1.35,3500,EUR,NTX,spain
2018-09-24,1.32,1.32,1.32,1.32,3733,EUR,NTX,spain
2018-10-01,1.31,1.31,1.31,1.31,1500,EUR,NTX,spain
2018-10-22,1.3,1.3,1.3,1.3,448,EUR,NTX,spain
2018-10-24,1.31,1.31,1.31,1.31,3818,EUR,NTX,spain
2018-11-23,1.3,1.3,1.3,1.3,1500,EUR,NTX,spain
2018-12-10,1.31,1.32,1.31,1.32,7607,EUR,NTX,spain
2018-12-11,1.33,1.33,1.33,1.33,770,EUR,NTX,spain
2018-12-12,1.34,1.34,1.34,1.34,500,EUR,NTX,spain
2018-12-14,1.33,1.33,1.33,1.33,2000,EUR,NTX,spain
2018-12-27,1.3,1.3,1.3,1.3,5328,EUR,NTX,spain
2018-12-31,1.29,1.29,1.29,1.29,3937,EUR,NTX,spain
2019-01-07,1.28,1.28,1.28,1.29,100,EUR,NTX,spain
2019-01-28,1.28,1.28,1.28,1.28,2000,EUR,NTX,spain
2019-01-30,1.27,1.27,1.27,1.28,10,EUR,NTX,spain
2019-02-05,1.27,1.27,1.27,1.27,2000,EUR,NTX,spain
2019-02-19,1.26,1.26,1.26,1.26,565,EUR,NTX,spain
2019-02-20,1.27,1.27,1.27,1.27,1574,EUR,NTX,spain
