Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-02,23.59,23.81,23.05,23.81,1319262,EUR,OHL,spain
2010-11-03,23.95,24.0,23.3,23.44,368023,EUR,OHL,spain
2010-11-04,23.5,23.82,23.2,23.25,467183,EUR,OHL,spain
2010-11-05,23.2,23.65,22.84,23.44,505063,EUR,OHL,spain
2010-11-08,23.23,23.49,23.01,23.29,392146,EUR,OHL,spain
2010-11-09,23.39,24.68,23.28,24.45,625704,EUR,OHL,spain
2010-11-10,24.4,24.64,23.8,24.23,943310,EUR,OHL,spain
2010-11-11,24.01,24.26,22.55,22.64,1503477,EUR,OHL,spain
2010-11-12,22.55,23.0,21.87,22.57,959446,EUR,OHL,spain
2010-11-15,22.27,23.59,22.27,23.4,525197,EUR,OHL,spain
2010-11-16,23.2,23.26,22.25,22.35,530882,EUR,OHL,spain
2010-11-17,22.37,22.99,22.32,22.7,298644,EUR,OHL,spain
2010-11-18,22.91,22.99,22.44,22.66,331197,EUR,OHL,spain
2010-11-19,22.7,22.7,22.34,22.58,329891,EUR,OHL,spain
2010-11-22,23.0,23.71,22.11,22.3,609037,EUR,OHL,spain
2010-11-23,22.02,22.29,22.0,22.0,794144,EUR,OHL,spain
2010-11-24,21.9,22.4,21.57,22.13,443040,EUR,OHL,spain
2010-11-25,22.41,22.41,21.45,21.62,453506,EUR,OHL,spain
2010-11-26,21.38,21.58,20.64,20.97,948120,EUR,OHL,spain
2010-11-29,20.95,21.2,20.43,20.46,647784,EUR,OHL,spain
2010-11-30,20.36,20.49,20.02,20.05,791502,EUR,OHL,spain
2010-12-01,20.0,22.07,19.93,21.86,1551916,EUR,OHL,spain
2010-12-02,22.0,22.39,21.39,22.18,796907,EUR,OHL,spain
2010-12-03,22.04,23.05,22.04,22.34,860111,EUR,OHL,spain
2010-12-06,22.54,22.57,22.04,22.05,299863,EUR,OHL,spain
2010-12-07,22.03,22.5,21.63,22.14,344560,EUR,OHL,spain
2010-12-08,22.12,22.4,21.93,22.18,363825,EUR,OHL,spain
2010-12-09,22.18,22.3,21.78,21.78,389822,EUR,OHL,spain
2010-12-10,21.81,21.95,21.43,21.6,334237,EUR,OHL,spain
2010-12-13,21.7,22.6,21.6,22.43,520157,EUR,OHL,spain
2010-12-14,22.78,23.02,22.22,23.02,757090,EUR,OHL,spain
2010-12-15,22.95,22.95,22.07,22.4,713955,EUR,OHL,spain
2010-12-16,22.57,22.89,22.08,22.34,439145,EUR,OHL,spain
2010-12-17,22.6,22.6,22.0,22.3,534206,EUR,OHL,spain
2010-12-20,22.45,23.09,22.3,22.56,444461,EUR,OHL,spain
2010-12-21,22.8,23.12,22.61,23.08,303836,EUR,OHL,spain
2010-12-22,23.14,23.5,22.94,23.13,342307,EUR,OHL,spain
2010-12-23,23.2,23.3,22.91,22.96,130035,EUR,OHL,spain
