Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-21,0.62,0.62,0.61,0.62,256025,EUR,OLEO,spain
2010-10-22,0.61,0.61,0.6,0.61,371110,EUR,OLEO,spain
2010-10-25,0.62,0.74,0.61,0.71,4055816,EUR,OLEO,spain
2010-10-26,0.74,0.79,0.73,0.76,4580303,EUR,OLEO,spain
2010-10-27,0.77,1.31,0.77,1.09,16761095,EUR,OLEO,spain
2010-10-28,1.08,1.2,0.87,0.93,12684314,EUR,OLEO,spain
2010-10-29,0.98,1.01,0.84,0.9,4061443,EUR,OLEO,spain
2010-11-01,0.93,0.97,0.87,0.87,1568835,EUR,OLEO,spain
2010-11-02,0.88,0.9,0.77,0.8,3409106,EUR,OLEO,spain
2010-11-03,0.8,0.96,0.78,0.9,5734865,EUR,OLEO,spain
2010-11-04,0.92,0.99,0.89,0.94,5727888,EUR,OLEO,spain
2010-11-05,1.0,1.02,0.94,0.97,4287007,EUR,OLEO,spain
2010-11-08,0.97,0.97,0.89,0.9,1733809,EUR,OLEO,spain
2010-11-09,0.9,0.95,0.9,0.93,1165188,EUR,OLEO,spain
2010-11-10,0.92,0.94,0.89,0.9,982560,EUR,OLEO,spain
2010-11-11,0.92,0.92,0.84,0.85,989969,EUR,OLEO,spain
2010-11-12,0.82,0.89,0.81,0.86,1180103,EUR,OLEO,spain
2010-11-15,0.88,0.91,0.83,0.89,1227453,EUR,OLEO,spain
2010-11-16,0.91,0.91,0.86,0.87,553278,EUR,OLEO,spain
2010-11-17,0.86,0.89,0.85,0.88,456155,EUR,OLEO,spain
2010-11-18,0.88,0.89,0.85,0.87,458489,EUR,OLEO,spain
2010-11-19,0.88,0.88,0.85,0.86,358045,EUR,OLEO,spain
2010-11-22,0.83,0.83,0.77,0.79,2122243,EUR,OLEO,spain
2010-11-23,0.82,0.97,0.78,0.88,3973003,EUR,OLEO,spain
2010-11-24,0.88,0.9,0.82,0.86,2651687,EUR,OLEO,spain
2010-11-25,0.88,0.97,0.82,0.86,1414372,EUR,OLEO,spain
2010-11-26,0.86,0.86,0.78,0.8,2016625,EUR,OLEO,spain
2010-11-29,0.8,0.81,0.73,0.76,1378998,EUR,OLEO,spain
2010-11-30,0.74,0.76,0.68,0.72,3610260,EUR,OLEO,spain
2010-12-01,0.71,0.76,0.69,0.73,2636233,EUR,OLEO,spain
2010-12-02,0.73,0.73,0.66,0.69,1617579,EUR,OLEO,spain
2010-12-03,0.68,0.69,0.64,0.65,1368124,EUR,OLEO,spain
2010-12-06,0.67,0.74,0.67,0.71,1694192,EUR,OLEO,spain
2010-12-07,0.74,0.81,0.7,0.71,3248298,EUR,OLEO,spain
2010-12-08,0.71,0.73,0.65,0.71,1669463,EUR,OLEO,spain
2010-12-09,0.73,0.77,0.71,0.72,1777944,EUR,OLEO,spain
2010-12-10,0.74,0.74,0.7,0.72,520647,EUR,OLEO,spain
2010-12-13,0.73,0.8,0.72,0.8,1252559,EUR,OLEO,spain
2010-12-14,0.81,1.0,0.81,0.99,5216905,EUR,OLEO,spain
2010-12-15,1.05,1.09,1.0,1.07,5560965,EUR,OLEO,spain
2010-12-16,1.05,1.07,0.95,1.0,2684580,EUR,OLEO,spain
2010-12-17,0.97,0.98,0.83,0.85,4241658,EUR,OLEO,spain
2010-12-20,0.86,0.87,0.77,0.79,2698383,EUR,OLEO,spain
2010-12-21,0.81,0.84,0.78,0.82,2523333,EUR,OLEO,spain
2010-12-22,0.83,0.86,0.8,0.85,1780776,EUR,OLEO,spain
2010-12-23,0.87,1.02,0.84,1.0,5942311,EUR,OLEO,spain
2010-12-27,1.04,1.28,1.0,1.16,7967603,EUR,OLEO,spain
2010-12-28,1.16,1.2,0.96,1.02,4866345,EUR,OLEO,spain
2010-12-29,1.06,1.13,1.04,1.06,2808270,EUR,OLEO,spain
2010-12-30,1.05,1.09,1.02,1.04,2869975,EUR,OLEO,spain
2011-01-03,1.05,1.05,0.92,0.94,2886060,EUR,OLEO,spain
2011-01-04,0.92,0.93,0.83,0.86,5025489,EUR,OLEO,spain
2011-01-05,0.85,0.9,0.8,0.85,5759903,EUR,OLEO,spain
2011-01-06,0.84,0.84,0.48,0.65,41142292,EUR,OLEO,spain
2011-01-07,0.59,0.69,0.55,0.63,34067696,EUR,OLEO,spain
2011-01-10,0.67,0.74,0.65,0.71,26159566,EUR,OLEO,spain
2011-01-11,0.72,0.76,0.67,0.68,19145092,EUR,OLEO,spain
2011-01-12,0.69,0.69,0.65,0.66,15580094,EUR,OLEO,spain
2011-01-13,0.66,0.68,0.63,0.66,8254653,EUR,OLEO,spain
2011-01-14,0.67,0.68,0.64,0.65,11586846,EUR,OLEO,spain
2011-01-17,0.66,0.67,0.65,0.65,4654383,EUR,OLEO,spain
2011-01-18,0.66,0.66,0.62,0.65,11915435,EUR,OLEO,spain
2011-01-19,0.65,0.69,0.65,0.67,9795031,EUR,OLEO,spain
