Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-12-15,4.9,5.19,4.013,4.013,340731,EUR,ORY,spain
2015-12-16,4.1,4.111,3.665,3.9,192740,EUR,ORY,spain
2015-12-17,3.96,4.0,3.601,3.601,145756,EUR,ORY,spain
2015-12-18,3.695,3.695,3.551,3.551,52412,EUR,ORY,spain
2015-12-21,3.55,3.67,3.55,3.6,79096,EUR,ORY,spain
2015-12-22,3.67,3.67,3.55,3.55,26806,EUR,ORY,spain
2015-12-23,3.551,3.6,3.5,3.53,33332,EUR,ORY,spain
2015-12-24,3.589,3.589,3.55,3.589,1260,EUR,ORY,spain
2015-12-28,3.59,3.7,3.59,3.591,4187,EUR,ORY,spain
2015-12-29,3.55,3.6,3.502,3.502,11792,EUR,ORY,spain
2015-12-30,3.55,3.55,3.45,3.55,41618,EUR,ORY,spain
2015-12-31,3.55,3.769,3.55,3.6,5114,EUR,ORY,spain
2016-01-04,3.959,3.959,3.605,3.72,8939,EUR,ORY,spain
2016-01-05,3.7,3.749,3.7,3.749,732,EUR,ORY,spain
2016-01-06,3.75,3.75,3.503,3.597,9294,EUR,ORY,spain
2016-01-07,3.52,3.805,3.51,3.72,14574,EUR,ORY,spain
2016-01-08,3.75,3.8,3.74,3.795,18840,EUR,ORY,spain
2016-01-11,3.85,3.986,3.64,3.64,41087,EUR,ORY,spain
2016-01-12,3.7,3.7,3.7,3.7,7500,EUR,ORY,spain
2016-01-13,3.799,3.85,3.798,3.81,6123,EUR,ORY,spain
2016-01-14,3.715,3.765,3.71,3.71,1740,EUR,ORY,spain
2016-01-15,3.849,3.849,3.677,3.678,7881,EUR,ORY,spain
2016-01-18,3.701,3.85,3.701,3.85,7691,EUR,ORY,spain
2016-01-19,3.85,4.0,3.85,3.95,8864,EUR,ORY,spain
2016-01-20,4.0,4.399,3.92,4.25,65488,EUR,ORY,spain
2016-01-21,4.287,4.45,4.12,4.265,50991,EUR,ORY,spain
2016-01-22,4.34,4.34,4.141,4.266,21464,EUR,ORY,spain
2016-01-25,4.181,4.25,3.913,3.914,24393,EUR,ORY,spain
2016-01-26,3.979,3.979,3.601,3.73,35221,EUR,ORY,spain
2016-01-27,3.73,3.8,3.615,3.7,23532,EUR,ORY,spain
2016-01-28,3.61,3.791,3.61,3.7,14423,EUR,ORY,spain
2016-01-29,3.707,3.999,3.67,3.67,55295,EUR,ORY,spain
2016-02-01,3.75,3.84,3.564,3.601,29486,EUR,ORY,spain
2016-02-02,3.55,3.646,3.55,3.6,15913,EUR,ORY,spain
2016-02-03,3.54,3.582,3.45,3.45,31350,EUR,ORY,spain
2016-02-04,3.486,3.609,3.45,3.57,11066,EUR,ORY,spain
2016-02-05,3.598,3.6,3.48,3.58,8640,EUR,ORY,spain
2016-02-08,3.568,3.568,3.45,3.451,6636,EUR,ORY,spain
2016-02-09,3.4,3.478,3.111,3.41,21951,EUR,ORY,spain
2016-02-10,3.44,3.441,3.4,3.4,8222,EUR,ORY,spain
2016-02-11,3.4,3.4,3.35,3.37,5855,EUR,ORY,spain
2016-02-12,3.45,3.47,3.4,3.4,3977,EUR,ORY,spain
2016-02-15,3.42,3.468,3.4,3.4,13081,EUR,ORY,spain
2016-02-16,3.599,3.599,3.453,3.454,51620,EUR,ORY,spain
2016-02-17,3.503,3.503,3.4,3.42,11364,EUR,ORY,spain
2016-02-18,3.4,3.42,3.4,3.42,7404,EUR,ORY,spain
2016-02-19,3.42,3.42,3.41,3.41,8374,EUR,ORY,spain
2016-02-22,3.456,3.467,3.4,3.42,1950,EUR,ORY,spain
2016-02-23,3.42,3.42,3.42,3.42,5325,EUR,ORY,spain
2016-02-24,3.39,3.39,3.39,3.39,600,EUR,ORY,spain
2016-02-25,3.462,3.462,3.3,3.4,7635,EUR,ORY,spain
2016-02-26,3.419,3.419,3.4,3.4,1800,EUR,ORY,spain
2016-02-29,3.336,3.419,3.336,3.35,2123,EUR,ORY,spain
2016-03-01,3.351,3.407,3.35,3.368,5318,EUR,ORY,spain
2016-03-02,3.415,3.415,3.351,3.376,1265,EUR,ORY,spain
2016-03-03,3.399,3.399,3.35,3.37,3799,EUR,ORY,spain
2016-03-04,3.31,3.368,3.31,3.33,11787,EUR,ORY,spain
2016-03-07,3.331,3.367,3.3,3.3,11027,EUR,ORY,spain
2016-03-08,3.301,3.301,3.201,3.25,21013,EUR,ORY,spain
2016-03-09,3.27,3.286,3.27,3.27,11969,EUR,ORY,spain
2016-03-10,3.299,3.3,3.25,3.291,14480,EUR,ORY,spain
2016-03-11,3.3,3.301,3.249,3.299,23528,EUR,ORY,spain
2016-03-14,3.35,3.35,3.2,3.2,21548,EUR,ORY,spain
2016-03-15,3.201,3.201,3.15,3.15,18204,EUR,ORY,spain
2016-03-16,3.12,3.199,2.951,3.066,30057,EUR,ORY,spain
2016-03-17,3.1,3.116,3.05,3.05,12345,EUR,ORY,spain
2016-03-18,3.152,3.152,3.047,3.1,9272,EUR,ORY,spain
2016-03-21,3.001,3.128,3.0,3.0,8639,EUR,ORY,spain
2016-03-22,3.002,3.044,3.001,3.042,10514,EUR,ORY,spain
2016-03-23,3.085,3.085,3.004,3.004,6041,EUR,ORY,spain
2016-03-24,3.025,3.054,2.98,3.0,27809,EUR,ORY,spain
2016-03-29,3.0,3.047,2.95,2.95,6663,EUR,ORY,spain
2016-03-30,2.952,2.998,2.81,2.81,24570,EUR,ORY,spain
2016-03-31,2.9,2.948,2.823,2.919,21863,EUR,ORY,spain
2016-04-01,2.95,2.95,2.85,2.86,14444,EUR,ORY,spain
2016-04-04,2.899,2.899,2.815,2.85,19646,EUR,ORY,spain
2016-04-05,2.803,2.826,2.8,2.8,17278,EUR,ORY,spain
2016-04-06,2.813,2.842,2.8,2.8,13100,EUR,ORY,spain
2016-04-07,2.833,2.833,2.73,2.77,35466,EUR,ORY,spain
2016-04-08,2.818,2.85,2.816,2.85,13823,EUR,ORY,spain
2016-04-11,2.871,2.93,2.86,2.922,14900,EUR,ORY,spain
2016-04-12,2.967,3.044,2.901,2.96,15399,EUR,ORY,spain
2016-04-13,2.969,2.97,2.911,2.912,3767,EUR,ORY,spain
2016-04-14,2.965,2.965,2.935,2.95,3681,EUR,ORY,spain
2016-04-15,2.95,2.989,2.95,2.982,5184,EUR,ORY,spain
2016-04-18,2.983,2.988,2.93,2.931,9034,EUR,ORY,spain
2016-04-19,2.999,3.234,2.999,3.234,15010,EUR,ORY,spain
2016-04-20,3.3,3.344,3.201,3.25,10107,EUR,ORY,spain
2016-04-21,3.33,3.33,3.159,3.16,6644,EUR,ORY,spain
2016-04-22,3.121,3.121,3.021,3.021,5439,EUR,ORY,spain
2016-04-25,3.026,3.1,2.99,3.1,20245,EUR,ORY,spain
2016-04-26,3.09,3.09,3.0,3.059,13475,EUR,ORY,spain
2016-04-27,3.033,3.033,2.955,2.996,8872,EUR,ORY,spain
2016-04-28,3.0,3.0,2.961,2.961,6179,EUR,ORY,spain
2016-04-29,2.979,3.004,2.95,2.951,12996,EUR,ORY,spain
2016-05-02,2.958,2.996,2.958,2.996,1150,EUR,ORY,spain
2016-05-03,2.972,2.973,2.95,2.955,1633,EUR,ORY,spain
2016-05-04,2.999,3.057,2.999,3.0,10276,EUR,ORY,spain
2016-05-05,3.077,3.077,3.0,3.023,2437,EUR,ORY,spain
2016-05-06,3.038,3.043,3.0,3.0,4980,EUR,ORY,spain
2016-05-09,3.039,3.039,3.0,3.0,6179,EUR,ORY,spain
2016-05-10,3.038,3.038,3.0,3.0,3449,EUR,ORY,spain
2016-05-11,3.039,3.039,3.0,3.0,3444,EUR,ORY,spain
2016-05-12,3.039,3.039,2.917,2.94,16432,EUR,ORY,spain
2016-05-13,3.0,3.0,2.85,2.871,18951,EUR,ORY,spain
2016-05-16,2.9,2.9,2.85,2.86,920,EUR,ORY,spain
2016-05-17,2.9,2.9,2.889,2.89,2115,EUR,ORY,spain
2016-05-18,2.89,2.9,2.89,2.9,10375,EUR,ORY,spain
2016-05-19,2.9,2.925,2.9,2.9,4554,EUR,ORY,spain
2016-05-20,2.975,2.975,2.9,2.9,2338,EUR,ORY,spain
2016-05-23,2.974,2.974,2.85,2.853,5388,EUR,ORY,spain
2016-05-24,2.895,2.895,2.85,2.85,6330,EUR,ORY,spain
2016-05-25,2.89,2.89,2.819,2.82,7535,EUR,ORY,spain
2016-05-26,2.82,2.889,2.818,2.889,12103,EUR,ORY,spain
2016-05-27,2.889,2.889,2.8,2.81,7591,EUR,ORY,spain
2016-05-30,2.75,2.843,2.685,2.795,15230,EUR,ORY,spain
2016-05-31,2.7,2.799,2.599,2.67,57290,EUR,ORY,spain
2016-06-01,2.725,2.725,2.603,2.7,22676,EUR,ORY,spain
2016-06-02,2.7,2.76,2.7,2.76,11527,EUR,ORY,spain
2016-06-03,2.753,2.9,2.734,2.9,9183,EUR,ORY,spain
2016-06-06,2.883,2.883,2.746,2.757,13609,EUR,ORY,spain
2016-06-07,2.701,2.799,2.647,2.75,16689,EUR,ORY,spain
2016-06-08,2.789,2.789,2.621,2.708,12730,EUR,ORY,spain
2016-06-09,2.789,2.789,2.704,2.725,6837,EUR,ORY,spain
2016-06-10,2.73,2.73,2.7,2.7,2139,EUR,ORY,spain
2016-06-13,2.776,2.776,2.705,2.706,2727,EUR,ORY,spain
2016-06-14,2.707,2.707,2.707,2.706,433,EUR,ORY,spain
2016-06-15,2.69,2.743,2.65,2.743,17323,EUR,ORY,spain
2016-06-16,2.743,2.758,2.743,2.758,3968,EUR,ORY,spain
2016-06-17,2.758,2.758,2.758,2.758,1196,EUR,ORY,spain
2016-06-20,2.758,2.8,2.758,2.8,4050,EUR,ORY,spain
2016-06-21,2.8,2.8,2.783,2.783,2846,EUR,ORY,spain
2016-06-22,2.779,2.779,2.716,2.721,2091,EUR,ORY,spain
2016-06-23,2.705,2.744,2.67,2.73,3588,EUR,ORY,spain
2016-06-24,2.73,2.8,2.7,2.7,4699,EUR,ORY,spain
2016-06-27,2.684,2.766,2.598,2.598,9100,EUR,ORY,spain
2016-06-28,2.614,2.664,2.55,2.652,2830,EUR,ORY,spain
2016-06-29,2.656,2.749,2.656,2.737,4360,EUR,ORY,spain
