Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-12-30,2.87,2.97,2.87,2.97,8727,EUR,PANGO,spain
2017-01-02,3.08,3.19,3.08,3.19,21597,EUR,PANGO,spain
2017-01-03,3.28,3.36,3.28,3.36,22255,EUR,PANGO,spain
2017-01-04,3.47,3.47,3.42,3.42,31530,EUR,PANGO,spain
2017-01-05,3.37,3.37,3.27,3.27,12451,EUR,PANGO,spain
2017-01-06,3.17,3.27,3.17,3.27,3571,EUR,PANGO,spain
2017-01-09,3.32,3.34,3.32,3.34,25101,EUR,PANGO,spain
2017-01-10,3.27,3.27,3.22,3.22,22932,EUR,PANGO,spain
2017-01-11,3.14,3.14,3.12,3.12,7621,EUR,PANGO,spain
2017-01-12,3.02,3.02,2.97,2.97,2854,EUR,PANGO,spain
2017-01-13,3.08,3.08,3.01,3.01,1590,EUR,PANGO,spain
2017-01-17,3.12,3.12,3.12,3.12,1762,EUR,PANGO,spain
2017-01-18,3.12,3.12,3.12,3.12,5044,EUR,PANGO,spain
2017-01-24,3.05,3.05,3.05,3.05,6278,EUR,PANGO,spain
2017-01-25,2.98,3.05,2.98,3.05,2977,EUR,PANGO,spain
2017-01-27,2.98,2.98,2.98,2.98,674,EUR,PANGO,spain
2017-01-31,2.91,2.91,2.81,2.81,3631,EUR,PANGO,spain
2017-02-01,2.78,2.78,2.73,2.73,2019,EUR,PANGO,spain
2017-02-03,2.72,2.72,2.72,2.72,43986,EUR,PANGO,spain
2017-02-06,2.82,2.91,2.82,2.91,3681,EUR,PANGO,spain
2017-02-09,2.96,2.96,2.96,2.96,449,EUR,PANGO,spain
2017-02-13,3.03,3.03,3.03,3.03,1901,EUR,PANGO,spain
2017-02-14,2.91,2.98,2.91,2.98,8086,EUR,PANGO,spain
2017-02-16,2.91,2.91,2.91,2.98,30,EUR,PANGO,spain
2017-02-21,2.95,2.95,2.95,2.95,605,EUR,PANGO,spain
2017-02-23,2.95,2.95,2.95,2.95,675,EUR,PANGO,spain
2017-02-24,3.02,3.02,3.02,3.02,1008,EUR,PANGO,spain
2017-02-28,2.95,2.95,2.95,3.02,100,EUR,PANGO,spain
2017-03-02,3.09,3.09,3.09,3.09,51956,EUR,PANGO,spain
2017-03-03,3.19,3.19,3.19,3.19,3228,EUR,PANGO,spain
2017-03-06,3.07,3.07,3.07,3.07,1608,EUR,PANGO,spain
2017-03-14,3.0,3.0,3.0,3.0,1666,EUR,PANGO,spain
2017-03-20,2.95,2.95,2.95,2.95,2017,EUR,PANGO,spain
2017-03-24,2.88,2.88,2.88,2.88,1735,EUR,PANGO,spain
2017-03-31,2.82,2.82,2.82,2.88,48,EUR,PANGO,spain
2017-04-03,2.82,2.82,2.75,2.75,3600,EUR,PANGO,spain
2017-04-04,2.69,2.69,2.69,2.75,101,EUR,PANGO,spain
2017-04-05,2.69,2.78,2.69,2.78,686,EUR,PANGO,spain
2017-04-06,2.78,2.78,2.78,2.78,100,EUR,PANGO,spain
2017-04-10,2.84,2.84,2.84,2.84,201,EUR,PANGO,spain
2017-04-11,2.78,2.78,2.78,2.84,42,EUR,PANGO,spain
2017-04-18,2.78,2.78,2.78,2.78,3026,EUR,PANGO,spain
2017-04-19,2.71,2.71,2.71,2.71,1815,EUR,PANGO,spain
2017-04-20,2.65,2.65,2.65,2.65,504,EUR,PANGO,spain
2017-04-21,2.71,2.71,2.71,2.71,1311,EUR,PANGO,spain
