Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-10-07,7.21,7.4,7.21,7.26,15862,EUR,PETR4,spain
2011-10-10,7.21,7.34,7.2,7.23,21203,EUR,PETR4,spain
2011-10-11,7.34,7.34,7.18,7.28,12671,EUR,PETR4,spain
2011-10-12,7.17,7.17,7.17,7.39,9,EUR,PETR4,spain
2011-10-13,7.3,7.51,7.3,7.47,14872,EUR,PETR4,spain
2011-10-14,7.47,7.54,7.38,7.46,17268,EUR,PETR4,spain
2011-10-17,7.57,7.57,7.4,7.44,12673,EUR,PETR4,spain
2011-10-18,7.38,7.45,7.36,7.36,21709,EUR,PETR4,spain
2011-10-19,7.59,7.59,7.35,7.37,12390,EUR,PETR4,spain
2011-10-20,7.39,7.39,7.05,7.07,23260,EUR,PETR4,spain
2011-10-21,7.13,7.37,7.13,7.34,15191,EUR,PETR4,spain
2011-10-24,7.41,7.44,7.28,7.44,16943,EUR,PETR4,spain
2011-10-25,7.56,7.63,7.56,7.56,12475,EUR,PETR4,spain
2011-10-26,7.6,7.66,7.53,7.64,24131,EUR,PETR4,spain
2011-10-27,7.62,7.94,7.62,7.93,20140,EUR,PETR4,spain
2011-10-28,8.17,8.17,7.95,8.13,16019,EUR,PETR4,spain
2011-10-31,8.54,8.54,8.32,8.43,20347,EUR,PETR4,spain
2011-11-01,8.43,8.43,8.12,8.12,11156,EUR,PETR4,spain
2011-11-02,7.57,7.57,7.57,7.57,117,EUR,PETR4,spain
2011-11-03,8.46,8.46,8.34,8.35,11024,EUR,PETR4,spain
2011-11-04,8.47,8.51,8.41,8.52,11204,EUR,PETR4,spain
2011-11-07,8.55,8.65,8.45,8.65,11373,EUR,PETR4,spain
2011-11-08,8.65,8.89,8.65,8.66,11918,EUR,PETR4,spain
2011-11-09,8.72,8.72,8.6,8.6,10636,EUR,PETR4,spain
2011-11-10,8.25,8.47,8.25,8.35,14116,EUR,PETR4,spain
2011-11-11,8.47,8.62,8.31,8.61,10936,EUR,PETR4,spain
2011-11-14,8.78,8.78,8.45,8.46,17210,EUR,PETR4,spain
2011-11-15,8.46,8.46,8.46,8.46,0,EUR,PETR4,spain
2011-11-16,8.58,8.61,8.53,8.62,11499,EUR,PETR4,spain
2011-11-17,8.54,8.77,8.54,8.68,11216,EUR,PETR4,spain
