Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2013-10-07,2.81,2.81,2.765,2.79,352210,EUR,PHMR,spain
2013-10-08,2.79,2.8,2.75,2.75,394721,EUR,PHMR,spain
2013-10-09,2.74,2.755,2.69,2.74,411230,EUR,PHMR,spain
2013-10-10,2.735,2.8,2.715,2.74,719729,EUR,PHMR,spain
2013-10-11,2.76,2.785,2.735,2.755,295601,EUR,PHMR,spain
2013-10-14,2.735,2.75,2.705,2.73,286721,EUR,PHMR,spain
2013-10-15,2.735,2.77,2.715,2.74,427970,EUR,PHMR,spain
2013-10-16,2.74,2.75,2.71,2.725,285397,EUR,PHMR,spain
2013-10-17,2.73,2.76,2.71,2.745,248744,EUR,PHMR,spain
2013-10-18,2.76,2.765,2.72,2.735,430230,EUR,PHMR,spain
2013-10-21,2.735,2.765,2.71,2.72,462894,EUR,PHMR,spain
2013-10-22,2.72,2.745,2.71,2.73,352284,EUR,PHMR,spain
2013-10-23,2.75,2.78,2.63,2.655,1038837,EUR,PHMR,spain
2013-10-24,2.67,2.69,2.635,2.655,392796,EUR,PHMR,spain
2013-10-25,2.705,2.73,2.655,2.69,697775,EUR,PHMR,spain
2013-10-28,2.71,2.71,2.52,2.56,883097,EUR,PHMR,spain
2013-10-29,2.535,2.615,2.51,2.615,495077,EUR,PHMR,spain
2013-10-30,2.625,2.635,2.56,2.58,397226,EUR,PHMR,spain
2013-10-31,2.565,2.575,2.515,2.55,296205,EUR,PHMR,spain
2013-11-01,2.56,2.6,2.55,2.555,103038,EUR,PHMR,spain
2013-11-04,2.62,2.625,2.52,2.525,628902,EUR,PHMR,spain
2013-11-05,2.525,2.54,2.42,2.47,530783,EUR,PHMR,spain
2013-11-06,2.47,2.53,2.47,2.53,257312,EUR,PHMR,spain
2013-11-07,2.53,2.6,2.52,2.56,492415,EUR,PHMR,spain
2013-11-08,2.54,2.54,2.495,2.53,260257,EUR,PHMR,spain
2013-11-11,2.545,2.545,2.505,2.535,124600,EUR,PHMR,spain
2013-11-12,2.54,2.575,2.5,2.53,217479,EUR,PHMR,spain
2013-11-13,2.51,2.545,2.48,2.485,366217,EUR,PHMR,spain
2013-11-14,2.51,2.57,2.475,2.5,220957,EUR,PHMR,spain
2013-11-15,2.505,2.55,2.4,2.445,683661,EUR,PHMR,spain
2013-11-18,2.45,2.465,2.365,2.415,586411,EUR,PHMR,spain
2013-11-19,2.4,2.4,2.305,2.33,774005,EUR,PHMR,spain
2013-11-20,2.35,2.37,2.26,2.27,583877,EUR,PHMR,spain
2013-11-21,2.27,2.35,2.245,2.305,645013,EUR,PHMR,spain
2013-11-22,2.3,2.42,2.3,2.42,544229,EUR,PHMR,spain
2013-11-25,2.435,2.48,2.415,2.455,404941,EUR,PHMR,spain
2013-11-26,2.46,2.495,2.42,2.425,351693,EUR,PHMR,spain
2013-11-27,2.42,2.5,2.42,2.46,496348,EUR,PHMR,spain
2013-11-28,2.44,2.485,2.435,2.45,206898,EUR,PHMR,spain
2013-11-29,2.44,2.475,2.44,2.44,158020,EUR,PHMR,spain
2013-12-02,2.44,2.45,2.39,2.39,279345,EUR,PHMR,spain
2013-12-03,2.39,2.42,2.35,2.355,390415,EUR,PHMR,spain
2013-12-04,2.345,2.39,2.32,2.345,496328,EUR,PHMR,spain
2013-12-05,2.345,2.375,2.26,2.275,415547,EUR,PHMR,spain
2013-12-06,2.295,2.325,2.25,2.29,257783,EUR,PHMR,spain
2013-12-09,2.335,2.34,2.3,2.32,161485,EUR,PHMR,spain
