Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-20,6.08,6.11,6.03,6.11,11087,EUR,PRIM,spain
2010-09-21,6.12,6.12,6.04,6.1,854,EUR,PRIM,spain
2010-09-22,6.16,6.16,6.03,6.07,5931,EUR,PRIM,spain
2010-09-23,6.1,6.1,6.02,6.03,1311,EUR,PRIM,spain
2010-09-24,6.0,6.1,6.0,6.05,3255,EUR,PRIM,spain
2010-09-27,6.09,6.09,6.01,6.06,2523,EUR,PRIM,spain
2010-09-28,6.06,6.06,6.05,6.05,1520,EUR,PRIM,spain
2010-09-29,6.07,6.07,5.92,6.0,12971,EUR,PRIM,spain
2010-09-30,6.05,6.06,6.0,6.06,14542,EUR,PRIM,spain
2010-10-01,6.06,6.06,6.0,6.06,4793,EUR,PRIM,spain
2010-10-04,6.06,6.06,5.88,5.88,6172,EUR,PRIM,spain
2010-10-05,5.87,6.02,5.71,5.83,36139,EUR,PRIM,spain
2010-10-06,6.0,6.06,5.74,5.93,37874,EUR,PRIM,spain
2010-10-07,5.94,5.95,5.75,5.76,17608,EUR,PRIM,spain
2010-10-08,5.9,5.9,5.75,5.85,966,EUR,PRIM,spain
2010-10-11,5.84,5.84,5.71,5.81,2962,EUR,PRIM,spain
2010-10-12,5.82,5.82,5.72,5.8,1616,EUR,PRIM,spain
2010-10-13,5.8,5.85,5.71,5.85,7551,EUR,PRIM,spain
2010-10-14,5.84,5.84,5.73,5.83,8509,EUR,PRIM,spain
2010-10-15,5.84,5.85,5.77,5.85,4902,EUR,PRIM,spain
2010-10-18,5.84,5.9,5.84,5.85,2302,EUR,PRIM,spain
2010-10-19,5.9,5.9,5.75,5.86,3423,EUR,PRIM,spain
2010-10-20,5.82,5.91,5.71,5.85,6516,EUR,PRIM,spain
2010-10-21,5.89,6.0,5.71,6.0,6357,EUR,PRIM,spain
2010-10-22,5.99,6.0,5.99,5.99,504,EUR,PRIM,spain
2010-10-25,5.99,6.0,5.99,6.0,715,EUR,PRIM,spain
2010-10-26,5.99,5.99,5.85,5.98,1844,EUR,PRIM,spain
2010-10-27,5.98,6.0,5.9,5.9,9629,EUR,PRIM,spain
2010-10-28,6.0,6.0,5.8,5.9,14087,EUR,PRIM,spain
2010-10-29,5.94,5.94,5.69,5.77,17858,EUR,PRIM,spain
2010-11-01,5.73,6.0,5.73,6.0,4595,EUR,PRIM,spain
2010-11-02,5.96,5.98,5.81,5.98,4727,EUR,PRIM,spain
2010-11-03,5.87,6.0,5.87,5.99,2365,EUR,PRIM,spain
2010-11-04,5.98,6.0,5.98,6.0,677,EUR,PRIM,spain
2010-11-05,5.98,5.98,5.98,6.0,300,EUR,PRIM,spain
2010-11-08,5.96,5.97,5.73,5.96,3785,EUR,PRIM,spain
2010-11-09,5.96,5.98,5.78,5.98,2440,EUR,PRIM,spain
2010-11-10,5.97,5.98,5.75,5.8,3651,EUR,PRIM,spain
2010-11-11,5.95,5.95,5.8,5.94,2502,EUR,PRIM,spain
2010-11-12,5.94,5.94,5.75,5.8,2213,EUR,PRIM,spain
2010-11-15,5.91,5.91,5.69,5.81,4625,EUR,PRIM,spain
2010-11-16,5.89,5.89,5.53,5.53,10793,EUR,PRIM,spain
2010-11-17,5.56,5.85,5.52,5.85,3931,EUR,PRIM,spain
2010-11-18,5.83,5.83,5.57,5.83,4591,EUR,PRIM,spain
2010-11-19,5.78,5.79,5.53,5.64,40890,EUR,PRIM,spain
2010-11-22,5.82,5.82,5.5,5.65,15015,EUR,PRIM,spain
2010-11-23,5.49,5.62,5.45,5.49,9290,EUR,PRIM,spain
2010-11-24,5.45,5.49,5.31,5.48,13180,EUR,PRIM,spain
2010-11-25,5.49,5.49,5.28,5.48,1833,EUR,PRIM,spain
2010-11-26,5.47,5.47,5.12,5.37,30415,EUR,PRIM,spain
2010-11-29,5.22,5.49,5.12,5.12,6812,EUR,PRIM,spain
2010-11-30,5.3,5.3,4.75,4.89,97791,EUR,PRIM,spain
2010-12-01,4.99,5.1,4.76,5.1,12832,EUR,PRIM,spain
2010-12-02,5.1,5.2,4.86,5.19,8911,EUR,PRIM,spain
2010-12-03,4.91,5.2,4.9,5.0,8640,EUR,PRIM,spain
2010-12-06,5.24,5.24,4.85,4.92,16124,EUR,PRIM,spain
2010-12-07,5.1,5.1,4.8,4.98,8764,EUR,PRIM,spain
2010-12-08,5.13,5.13,5.0,5.1,6545,EUR,PRIM,spain
2010-12-09,5.09,5.15,5.09,5.15,2947,EUR,PRIM,spain
2010-12-10,5.14,5.15,5.03,5.14,1406,EUR,PRIM,spain
