Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2019-03-11,6.0,6.15,6.0,6.15,1665,EUR,PROE,spain
2019-03-12,6.3,6.6,6.3,6.6,1570,EUR,PROE,spain
2019-03-13,6.9,7.2,6.9,7.2,2936,EUR,PROE,spain
2019-03-14,7.55,7.9,7.55,7.9,1537,EUR,PROE,spain
2019-03-15,8.25,8.65,8.25,8.65,6560,EUR,PROE,spain
2019-03-18,8.65,8.65,8.65,8.65,13245,EUR,PROE,spain
2019-03-19,8.6,8.65,8.6,8.65,2141,EUR,PROE,spain
2019-03-20,8.65,8.65,8.65,8.65,1631,EUR,PROE,spain
2019-03-21,8.65,8.65,8.65,8.65,276,EUR,PROE,spain
2019-03-22,8.45,8.5,8.45,8.5,2081,EUR,PROE,spain
2019-03-25,8.5,8.5,8.5,8.5,2800,EUR,PROE,spain
2019-03-26,8.5,8.5,8.5,8.5,531,EUR,PROE,spain
2019-03-29,8.4,8.5,8.4,8.5,578,EUR,PROE,spain
2019-04-02,8.3,8.3,8.3,8.3,230,EUR,PROE,spain
2019-04-03,8.1,8.1,8.1,8.1,250,EUR,PROE,spain
2019-04-04,7.9,7.9,7.7,7.7,2366,EUR,PROE,spain
2019-04-05,7.5,7.5,7.3,7.3,1352,EUR,PROE,spain
2019-04-09,7.2,7.4,7.2,7.4,935,EUR,PROE,spain
2019-04-10,7.55,7.55,7.55,7.4,20,EUR,PROE,spain
2019-04-11,7.2,7.2,7.2,7.2,250,EUR,PROE,spain
2019-04-16,7.5,7.5,7.5,7.5,681,EUR,PROE,spain
2019-04-23,7.3,7.3,7.3,7.5,3,EUR,PROE,spain
2019-05-06,7.3,7.3,7.3,7.3,500,EUR,PROE,spain
2019-05-07,7.1,7.1,7.1,7.1,500,EUR,PROE,spain
2019-05-08,7.25,7.25,7.25,7.25,690,EUR,PROE,spain
2019-05-22,7.1,7.1,7.1,7.25,50,EUR,PROE,spain
2019-05-23,7.4,7.4,7.4,7.25,50,EUR,PROE,spain
2019-05-27,7.4,7.4,7.4,7.4,625,EUR,PROE,spain
2019-06-04,7.55,7.55,7.55,7.4,1,EUR,PROE,spain
2019-06-06,7.2,7.2,7.2,7.4,150,EUR,PROE,spain
2019-07-02,7.2,7.2,7.2,7.4,100,EUR,PROE,spain
2019-07-05,7.2,7.2,7.2,7.4,60,EUR,PROE,spain
2019-07-10,7.2,7.2,7.2,7.2,695,EUR,PROE,spain
2019-07-11,7.2,7.2,7.2,7.2,652,EUR,PROE,spain
2019-07-22,7.0,7.0,7.0,7.2,10,EUR,PROE,spain
2019-07-23,7.2,7.2,7.2,7.2,350,EUR,PROE,spain
2019-08-07,7.2,7.2,7.2,7.2,500,EUR,PROE,spain
2019-08-12,7.0,7.0,7.0,7.2,59,EUR,PROE,spain
2019-08-29,7.35,7.35,7.35,7.35,500,EUR,PROE,spain
2019-08-30,7.5,7.5,7.5,7.5,670,EUR,PROE,spain
2019-09-02,7.65,7.65,7.65,7.5,130,EUR,PROE,spain
2019-09-10,7.3,7.3,7.15,7.15,1750,EUR,PROE,spain
2019-09-11,7.2,7.2,7.2,7.2,650,EUR,PROE,spain
2019-09-12,7.35,7.35,7.35,7.35,685,EUR,PROE,spain
2019-09-13,7.5,7.5,7.5,7.5,665,EUR,PROE,spain
2019-09-23,7.35,7.35,7.35,7.5,140,EUR,PROE,spain
2019-09-25,7.35,7.35,7.35,7.5,100,EUR,PROE,spain
2019-09-30,7.5,7.5,7.5,7.5,40,EUR,PROE,spain
2019-10-08,7.35,7.35,7.35,7.35,220,EUR,PROE,spain
2019-10-21,7.4,7.4,7.4,7.4,265,EUR,PROE,spain
2019-10-22,7.45,7.45,7.45,7.45,675,EUR,PROE,spain
2019-10-23,7.5,7.55,7.5,7.5,302,EUR,PROE,spain
2019-10-31,7.75,7.75,7.75,7.75,1886,EUR,PROE,spain
2019-11-06,7.75,7.75,7.75,7.75,1000,EUR,PROE,spain
2019-11-13,7.65,7.7,7.65,7.7,1179,EUR,PROE,spain
2019-11-19,7.75,7.75,7.75,7.75,1000,EUR,PROE,spain
2019-11-22,7.55,7.55,7.55,7.55,1000,EUR,PROE,spain
2019-11-28,7.6,7.65,7.6,7.65,1060,EUR,PROE,spain
2019-11-29,7.55,7.55,7.55,7.55,1325,EUR,PROE,spain
2019-12-04,7.6,7.6,7.6,7.6,474,EUR,PROE,spain
2019-12-05,7.6,7.6,7.6,7.6,600,EUR,PROE,spain
2019-12-06,7.6,7.6,7.6,7.6,3583,EUR,PROE,spain
2019-12-09,7.6,7.6,7.6,7.6,1417,EUR,PROE,spain
2019-12-13,7.6,7.6,7.5,7.5,203,EUR,PROE,spain
2019-12-18,7.45,7.45,7.45,7.5,67,EUR,PROE,spain
2019-12-23,7.55,7.55,7.55,7.55,1325,EUR,PROE,spain
2019-12-31,7.6,7.6,7.6,7.55,38,EUR,PROE,spain
2020-01-02,7.6,7.6,7.6,7.55,1,EUR,PROE,spain
2020-01-14,7.6,7.6,7.6,7.6,3932,EUR,PROE,spain
2020-01-16,7.6,7.6,7.6,7.6,1660,EUR,PROE,spain
2020-01-20,7.6,7.6,7.6,7.6,1974,EUR,PROE,spain
2020-01-21,7.6,7.6,7.6,7.6,963,EUR,PROE,spain
2020-01-24,7.65,7.65,7.65,7.65,654,EUR,PROE,spain
2020-01-27,7.65,7.65,7.65,7.65,50,EUR,PROE,spain
2020-02-12,7.7,7.7,7.7,7.7,3206318,EUR,PROE,spain
2020-02-13,7.8,7.8,7.8,7.8,645,EUR,PROE,spain
2020-02-18,7.85,7.85,7.85,7.85,300,EUR,PROE,spain
2020-02-19,7.9,7.9,7.9,7.9,1041,EUR,PROE,spain
2020-02-20,7.95,7.95,7.95,7.95,300,EUR,PROE,spain
2020-02-21,8.0,8.05,8.0,8.05,474,EUR,PROE,spain
2020-02-24,8.0,8.0,8.0,8.0,400,EUR,PROE,spain
2020-02-25,8.05,8.15,8.05,8.15,1236,EUR,PROE,spain
2020-02-27,8.25,8.25,8.25,8.25,607,EUR,PROE,spain
2020-02-28,8.35,8.45,8.35,8.45,1820,EUR,PROE,spain
2020-03-02,8.55,8.65,8.55,8.65,282,EUR,PROE,spain
2020-03-03,8.75,8.75,8.65,8.65,805,EUR,PROE,spain
2020-03-04,8.65,8.65,8.65,8.65,200,EUR,PROE,spain
2020-03-09,8.55,8.55,8.45,8.45,2342,EUR,PROE,spain
2020-03-10,8.55,8.65,8.55,8.65,1165,EUR,PROE,spain
2020-03-11,8.55,8.55,8.55,8.55,225,EUR,PROE,spain
2020-03-12,8.45,8.45,8.35,8.35,819,EUR,PROE,spain
2020-03-13,8.45,8.45,8.45,8.45,600,EUR,PROE,spain
2020-03-16,8.35,8.35,8.35,8.45,27,EUR,PROE,spain
2020-03-18,8.6,8.7,8.6,8.7,1160,EUR,PROE,spain
2020-03-19,8.8,8.9,8.8,8.9,1022,EUR,PROE,spain
2020-03-24,8.9,8.9,8.9,8.9,752,EUR,PROE,spain
2020-03-25,9.0,9.0,9.0,9.0,2245,EUR,PROE,spain
2020-03-26,9.1,9.1,9.1,9.1,550,EUR,PROE,spain
2020-03-27,9.1,9.1,9.1,9.1,111,EUR,PROE,spain
2020-03-30,9.0,9.0,9.0,9.0,564,EUR,PROE,spain
2020-03-31,9.1,9.1,9.1,9.1,550,EUR,PROE,spain
2020-04-01,9.0,9.0,9.0,9.0,300,EUR,PROE,spain
2020-04-02,9.1,9.1,9.1,9.1,380,EUR,PROE,spain
2020-04-03,9.2,9.2,9.2,9.2,211,EUR,PROE,spain
2020-04-06,9.2,9.2,9.2,9.2,657,EUR,PROE,spain
2020-04-14,9.2,9.2,9.2,9.2,300,EUR,PROE,spain
2020-04-16,9.1,9.1,9.1,9.1,550,EUR,PROE,spain
2020-04-21,9.2,9.2,9.2,9.2,200,EUR,PROE,spain
2020-04-22,9.2,9.2,9.2,9.2,50,EUR,PROE,spain
2020-04-23,9.1,9.1,9.1,9.2,181,EUR,PROE,spain
2020-04-28,9.15,9.15,9.15,9.15,1238,EUR,PROE,spain
2020-04-30,9.25,9.3,9.25,9.3,600,EUR,PROE,spain
2020-05-04,9.75,10.2,9.75,10.2,4261,EUR,PROE,spain
2020-05-05,10.6,10.6,10.5,10.5,12526,EUR,PROE,spain
2020-05-06,10.3,10.4,10.3,10.4,5544,EUR,PROE,spain
2020-05-07,10.4,10.4,10.4,10.4,1873,EUR,PROE,spain
2020-05-11,10.5,10.5,10.5,10.5,220,EUR,PROE,spain
2020-05-12,10.4,10.5,10.4,10.5,1000,EUR,PROE,spain
2020-05-13,10.4,10.4,10.4,10.4,900,EUR,PROE,spain
2020-05-14,10.4,10.4,10.4,10.4,196,EUR,PROE,spain
2020-05-15,10.3,10.4,10.3,10.4,1000,EUR,PROE,spain
2020-05-18,10.3,10.3,10.3,10.3,971,EUR,PROE,spain
2020-05-19,10.2,10.2,10.1,10.1,1972,EUR,PROE,spain
2020-05-20,10.0,10.0,9.9,9.9,1453,EUR,PROE,spain
2020-05-21,9.8,9.8,9.7,9.7,1852,EUR,PROE,spain
2020-05-22,9.6,9.6,9.6,9.6,700,EUR,PROE,spain
2020-05-25,9.6,9.7,9.6,9.7,1750,EUR,PROE,spain
2020-05-26,9.6,9.6,9.6,9.6,1055,EUR,PROE,spain
2020-05-27,9.3,9.35,9.3,9.35,3969,EUR,PROE,spain
2020-05-29,9.45,9.45,9.45,9.45,1090,EUR,PROE,spain
2020-06-01,9.5,9.5,9.5,9.5,252,EUR,PROE,spain
2020-06-02,9.6,9.6,9.6,9.6,897,EUR,PROE,spain
2020-06-03,9.7,9.7,9.7,9.7,1255,EUR,PROE,spain
2020-06-04,9.7,9.7,9.7,9.7,21,EUR,PROE,spain
2020-06-05,9.6,9.7,9.6,9.7,352,EUR,PROE,spain
2020-06-08,9.8,9.8,9.8,9.7,60,EUR,PROE,spain
