Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-15,1.9,1.94,1.86,1.92,511317,EUR,PRS,spain
2010-11-16,1.94,1.95,1.88,1.88,481526,EUR,PRS,spain
2010-11-17,1.85,1.93,1.85,1.9,371696,EUR,PRS,spain
2010-11-18,1.91,2.02,1.91,1.98,763383,EUR,PRS,spain
2010-11-19,2.02,2.02,1.96,1.97,411591,EUR,PRS,spain
2010-11-22,1.98,2.04,1.91,1.93,525666,EUR,PRS,spain
2010-11-23,1.93,1.95,1.86,1.88,622952,EUR,PRS,spain
2010-11-24,1.87,1.89,1.77,1.79,1379098,EUR,PRS,spain
2010-11-25,1.84,1.9,1.73,1.76,2605583,EUR,PRS,spain
2010-11-26,1.73,1.78,1.65,1.75,1584473,EUR,PRS,spain
2010-11-29,1.8,1.82,1.71,1.74,892208,EUR,PRS,spain
2010-11-30,1.75,1.75,1.62,1.62,1127694,EUR,PRS,spain
2010-12-01,1.63,1.75,1.62,1.72,597669,EUR,PRS,spain
2010-12-02,1.75,1.75,1.52,1.54,5272598,EUR,PRS,spain
2010-12-03,1.53,1.58,1.42,1.43,5832616,EUR,PRS,spain
2010-12-06,1.38,1.4,1.27,1.39,11941691,EUR,PRS,spain
2010-12-07,1.39,1.47,1.35,1.47,7795374,EUR,PRS,spain
2010-12-08,1.45,1.54,1.44,1.54,10325095,EUR,PRS,spain
2010-12-09,1.54,1.57,1.5,1.55,7074055,EUR,PRS,spain
2010-12-10,1.53,1.56,1.5,1.54,4589858,EUR,PRS,spain
2010-12-13,1.54,1.62,1.54,1.58,6071306,EUR,PRS,spain
2010-12-14,1.59,1.6,1.55,1.59,2743152,EUR,PRS,spain
2010-12-15,1.56,1.6,1.54,1.6,4623941,EUR,PRS,spain
2010-12-16,1.57,1.65,1.57,1.62,2929760,EUR,PRS,spain
2010-12-17,1.62,1.64,1.59,1.61,2346138,EUR,PRS,spain
2010-12-20,1.61,1.67,1.6,1.61,5066637,EUR,PRS,spain
2010-12-21,1.62,1.65,1.58,1.59,5540539,EUR,PRS,spain
2010-12-22,1.6,1.61,1.57,1.58,1143844,EUR,PRS,spain
2010-12-23,1.57,1.59,1.57,1.57,731365,EUR,PRS,spain
2010-12-27,1.58,1.59,1.55,1.55,4062406,EUR,PRS,spain
2010-12-28,1.58,1.58,1.53,1.55,826352,EUR,PRS,spain
2010-12-29,1.56,1.56,1.53,1.55,716833,EUR,PRS,spain
2010-12-30,1.55,1.59,1.52,1.52,1479977,EUR,PRS,spain
2011-01-03,1.51,1.54,1.49,1.5,1170937,EUR,PRS,spain
2011-01-04,1.5,1.53,1.49,1.5,3973342,EUR,PRS,spain
2011-01-05,1.5,1.51,1.48,1.5,406544,EUR,PRS,spain
2011-01-06,1.51,1.51,1.47,1.48,1429775,EUR,PRS,spain
2011-01-07,1.48,1.49,1.43,1.47,1011556,EUR,PRS,spain
2011-01-10,1.46,1.46,1.41,1.43,1320229,EUR,PRS,spain
2011-01-11,1.43,1.48,1.4,1.45,3200337,EUR,PRS,spain
2011-01-12,1.46,1.62,1.46,1.55,8690373,EUR,PRS,spain
2011-01-13,1.54,1.62,1.52,1.61,15053161,EUR,PRS,spain
2011-01-14,1.62,1.7,1.58,1.69,5627313,EUR,PRS,spain
2011-01-17,1.69,1.71,1.65,1.69,1903295,EUR,PRS,spain
2011-01-18,1.7,1.85,1.69,1.81,10372175,EUR,PRS,spain
2011-01-19,1.83,1.98,1.79,1.93,11251722,EUR,PRS,spain
2011-01-20,1.97,1.97,1.86,1.88,5142733,EUR,PRS,spain
2011-01-21,1.89,2.0,1.86,1.9,7772056,EUR,PRS,spain
2011-01-24,1.91,1.93,1.87,1.92,1760942,EUR,PRS,spain
2011-01-25,1.95,1.96,1.88,1.89,4130504,EUR,PRS,spain
2011-01-26,1.91,2.0,1.89,1.92,2589044,EUR,PRS,spain
2011-01-27,1.92,1.97,1.91,1.95,2337578,EUR,PRS,spain
2011-01-28,1.96,2.08,1.95,1.99,5273579,EUR,PRS,spain
2011-01-31,1.97,2.02,1.95,1.98,2715001,EUR,PRS,spain
2011-02-01,1.98,2.01,1.97,1.98,1401148,EUR,PRS,spain
2011-02-02,1.99,2.02,1.96,1.99,1899821,EUR,PRS,spain
2011-02-03,1.99,2.0,1.96,1.97,1642543,EUR,PRS,spain
2011-02-04,2.0,2.0,1.96,1.97,2371107,EUR,PRS,spain
2011-02-07,1.98,2.08,1.98,2.04,4807680,EUR,PRS,spain
2011-02-08,2.03,2.17,2.03,2.15,6795052,EUR,PRS,spain
2011-02-09,2.17,2.21,2.12,2.16,8922322,EUR,PRS,spain
2011-02-10,2.15,2.15,2.06,2.08,2215593,EUR,PRS,spain
2011-02-11,2.07,2.12,1.96,2.12,1869877,EUR,PRS,spain
2011-02-14,2.15,2.18,2.11,2.11,2421655,EUR,PRS,spain
2011-02-15,2.11,2.12,2.07,2.07,1613450,EUR,PRS,spain
2011-02-16,2.07,2.15,2.07,2.1,2342160,EUR,PRS,spain
2011-02-17,2.08,2.11,2.06,2.08,2584307,EUR,PRS,spain
2011-02-18,2.1,2.1,2.0,2.05,3078232,EUR,PRS,spain
2011-02-21,2.03,2.04,2.01,2.02,1444503,EUR,PRS,spain
2011-02-22,2.01,2.04,1.96,2.02,2690282,EUR,PRS,spain
2011-02-23,2.01,2.09,1.99,1.99,2773630,EUR,PRS,spain
2011-02-24,2.0,2.01,1.96,1.99,861583,EUR,PRS,spain
2011-02-25,1.99,2.02,1.98,1.99,3024219,EUR,PRS,spain
2011-02-28,2.01,2.01,1.97,2.0,2913657,EUR,PRS,spain
2011-03-01,2.0,2.02,1.97,1.99,2754294,EUR,PRS,spain
2011-03-02,1.99,2.0,1.97,1.97,2756432,EUR,PRS,spain
2011-03-03,1.99,2.0,1.96,1.98,1762442,EUR,PRS,spain
2011-03-04,1.99,2.04,1.97,2.03,2991073,EUR,PRS,spain
2011-03-07,2.02,2.08,2.0,2.02,4050834,EUR,PRS,spain
2011-03-08,2.04,2.1,2.02,2.09,4612862,EUR,PRS,spain
2011-03-09,2.11,2.13,2.06,2.1,3615764,EUR,PRS,spain
2011-03-10,2.1,2.11,2.05,2.06,1708819,EUR,PRS,spain
2011-03-11,2.05,2.06,2.03,2.05,827910,EUR,PRS,spain
2011-03-14,2.06,2.12,2.03,2.07,2539310,EUR,PRS,spain
2011-03-15,2.06,2.06,2.0,2.02,2499724,EUR,PRS,spain
2011-03-16,2.03,2.08,2.0,2.03,2176228,EUR,PRS,spain
2011-03-17,2.02,2.04,2.0,2.02,1990927,EUR,PRS,spain
2011-03-18,2.03,2.04,2.0,2.0,2448075,EUR,PRS,spain
2011-03-21,2.03,2.1,2.03,2.1,3258300,EUR,PRS,spain
2011-03-22,2.1,2.12,2.02,2.04,2470322,EUR,PRS,spain
2011-03-23,2.05,2.06,2.03,2.05,1383877,EUR,PRS,spain
2011-03-24,2.04,2.09,2.02,2.06,2064098,EUR,PRS,spain
2011-03-25,2.07,2.08,2.04,2.07,2020390,EUR,PRS,spain
2011-03-28,2.08,2.08,2.06,2.07,840891,EUR,PRS,spain
2011-03-29,2.07,2.08,2.06,2.06,2656266,EUR,PRS,spain
2011-03-30,2.08,2.09,2.04,2.06,2775931,EUR,PRS,spain
2011-03-31,2.08,2.08,2.04,2.06,2407575,EUR,PRS,spain
2011-04-01,2.04,2.1,2.04,2.08,4753242,EUR,PRS,spain
2011-04-04,2.1,2.17,2.09,2.17,4659123,EUR,PRS,spain
