Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-05,4.45,4.48,4.37,4.39,639840,EUR,PSG,spain
2010-11-08,4.45,4.5,4.35,4.45,1293760,EUR,PSG,spain
2010-11-09,4.5,4.5,4.41,4.46,1921050,EUR,PSG,spain
2010-11-10,4.45,4.5,4.39,4.42,911480,EUR,PSG,spain
2010-11-11,4.43,4.44,4.32,4.36,510400,EUR,PSG,spain
2010-11-12,4.32,4.43,4.21,4.42,510830,EUR,PSG,spain
2010-11-15,4.43,4.49,4.32,4.49,596310,EUR,PSG,spain
2010-11-16,4.41,4.53,4.41,4.42,730020,EUR,PSG,spain
2010-11-17,4.39,4.5,4.38,4.48,854490,EUR,PSG,spain
2010-11-18,4.51,4.51,4.45,4.47,676010,EUR,PSG,spain
2010-11-19,4.5,4.5,4.46,4.48,954300,EUR,PSG,spain
2010-11-22,4.47,4.5,4.45,4.45,349880,EUR,PSG,spain
2010-11-23,4.44,4.48,4.41,4.42,550690,EUR,PSG,spain
2010-11-24,4.39,4.5,4.39,4.45,690000,EUR,PSG,spain
2010-11-25,4.46,4.47,4.4,4.41,327120,EUR,PSG,spain
2010-11-26,4.45,4.48,4.38,4.47,327580,EUR,PSG,spain
2010-11-29,4.49,4.49,4.33,4.37,1224770,EUR,PSG,spain
2010-11-30,4.37,4.39,4.3,4.3,898320,EUR,PSG,spain
2010-12-01,4.34,4.57,4.34,4.57,776830,EUR,PSG,spain
2010-12-02,4.59,4.68,4.5,4.6,1035730,EUR,PSG,spain
2010-12-03,4.64,4.66,4.53,4.57,530330,EUR,PSG,spain
2010-12-06,4.6,4.6,4.51,4.53,638290,EUR,PSG,spain
2010-12-07,4.59,4.59,4.32,4.34,1896500,EUR,PSG,spain
2010-12-08,4.34,4.34,4.22,4.25,947330,EUR,PSG,spain
2010-12-09,4.27,4.3,4.17,4.17,1011780,EUR,PSG,spain
2010-12-10,4.21,4.21,4.1,4.11,808470,EUR,PSG,spain
2010-12-13,4.11,4.3,4.11,4.25,1744310,EUR,PSG,spain
2010-12-14,4.28,4.3,4.2,4.3,844360,EUR,PSG,spain
2010-12-15,4.3,4.3,4.14,4.17,711490,EUR,PSG,spain
2010-12-16,4.11,4.24,4.11,4.17,1137350,EUR,PSG,spain
2010-12-17,4.23,4.27,4.12,4.17,965550,EUR,PSG,spain
2010-12-20,4.19,4.26,4.11,4.18,545590,EUR,PSG,spain
2010-12-21,4.24,4.3,4.12,4.26,819810,EUR,PSG,spain
2010-12-22,4.3,4.3,4.12,4.18,697400,EUR,PSG,spain
2010-12-23,4.2,4.2,4.14,4.16,267110,EUR,PSG,spain
2010-12-27,4.13,4.2,3.96,4.13,720110,EUR,PSG,spain
2010-12-28,4.09,4.2,4.09,4.2,504490,EUR,PSG,spain
2010-12-29,4.18,4.2,4.16,4.2,281400,EUR,PSG,spain
2010-12-30,4.2,4.22,4.14,4.21,644470,EUR,PSG,spain
2011-01-03,4.26,4.4,4.21,4.25,617380,EUR,PSG,spain
2011-01-04,4.21,4.32,4.17,4.17,925190,EUR,PSG,spain
2011-01-05,4.17,4.27,4.05,4.23,1196970,EUR,PSG,spain
2011-01-06,4.22,4.3,4.18,4.2,1702110,EUR,PSG,spain
2011-01-07,4.23,4.23,4.2,4.21,558590,EUR,PSG,spain
2011-01-10,4.23,4.38,4.22,4.32,3224740,EUR,PSG,spain
2011-01-11,4.33,4.59,4.33,4.54,1696990,EUR,PSG,spain
2011-01-12,4.58,4.65,4.54,4.63,1124890,EUR,PSG,spain
2011-01-13,4.65,4.65,4.52,4.56,2834480,EUR,PSG,spain
2011-01-14,4.5,4.58,4.47,4.56,962870,EUR,PSG,spain
2011-01-17,4.58,4.62,4.5,4.55,430230,EUR,PSG,spain
2011-01-18,4.6,4.6,4.5,4.55,906900,EUR,PSG,spain
2011-01-19,4.57,4.58,4.4,4.41,661270,EUR,PSG,spain
2011-01-20,4.37,4.39,4.3,4.32,619420,EUR,PSG,spain
2011-01-21,4.3,4.36,4.3,4.32,421720,EUR,PSG,spain
2011-01-24,4.36,4.37,4.22,4.28,641710,EUR,PSG,spain
2011-01-25,4.3,4.32,4.16,4.18,1055180,EUR,PSG,spain
2011-01-26,4.24,4.28,4.21,4.27,549070,EUR,PSG,spain
2011-01-27,4.3,4.36,4.28,4.32,716750,EUR,PSG,spain
2011-01-28,4.35,4.38,4.26,4.26,320680,EUR,PSG,spain
2011-01-31,4.26,4.28,4.21,4.25,471050,EUR,PSG,spain
2011-02-01,4.3,4.35,4.26,4.32,660000,EUR,PSG,spain
2011-02-02,4.36,4.38,4.27,4.32,674840,EUR,PSG,spain
2011-02-03,4.34,4.34,4.25,4.26,1056510,EUR,PSG,spain
