Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-22,20.76,20.77,20.5,20.58,9008,EUR,PVA,spain
2010-10-25,20.51,20.81,20.49,20.76,23722,EUR,PVA,spain
2010-10-26,20.78,21.15,20.22,21.03,22347,EUR,PVA,spain
2010-10-27,20.9,21.05,20.58,21.04,10911,EUR,PVA,spain
2010-10-28,20.92,21.46,20.87,21.46,22655,EUR,PVA,spain
2010-10-29,21.32,21.64,21.23,21.64,33020,EUR,PVA,spain
2010-11-01,21.68,21.99,21.4,21.97,19118,EUR,PVA,spain
2010-11-02,21.96,21.96,21.69,21.92,50099,EUR,PVA,spain
2010-11-03,21.79,21.96,21.74,21.92,52793,EUR,PVA,spain
2010-11-04,21.96,22.0,21.71,21.91,190075,EUR,PVA,spain
2010-11-05,21.96,21.98,21.29,21.83,112512,EUR,PVA,spain
2010-11-08,21.58,21.92,21.5,21.92,36344,EUR,PVA,spain
2010-11-09,21.95,21.95,21.69,21.87,20882,EUR,PVA,spain
2010-11-10,21.83,21.88,21.69,21.83,29249,EUR,PVA,spain
2010-11-11,21.51,21.87,21.51,21.78,57883,EUR,PVA,spain
2010-11-12,21.48,21.92,21.34,21.87,28880,EUR,PVA,spain
2010-11-15,21.69,22.52,21.69,22.49,27985,EUR,PVA,spain
2010-11-16,22.47,22.47,22.17,22.25,12405,EUR,PVA,spain
2010-11-17,22.24,22.35,22.15,22.15,17128,EUR,PVA,spain
2010-11-18,22.24,22.35,22.15,22.24,13823,EUR,PVA,spain
2010-11-19,22.43,22.44,22.19,22.21,21442,EUR,PVA,spain
2010-11-22,22.33,22.43,22.15,22.2,29687,EUR,PVA,spain
2010-11-23,22.15,22.31,22.11,22.17,57589,EUR,PVA,spain
2010-11-24,22.17,22.29,22.15,22.19,49662,EUR,PVA,spain
2010-11-25,22.19,22.35,22.15,22.17,37196,EUR,PVA,spain
2010-11-26,22.16,22.33,22.15,22.33,119833,EUR,PVA,spain
2010-11-29,22.16,22.33,22.16,22.33,46222,EUR,PVA,spain
2010-11-30,22.16,22.29,21.27,22.23,132171,EUR,PVA,spain
2010-12-01,22.33,22.33,22.15,22.24,115099,EUR,PVA,spain
2010-12-02,22.16,22.42,22.16,22.24,52229,EUR,PVA,spain
2010-12-03,22.33,22.42,22.19,22.42,26037,EUR,PVA,spain
2010-12-06,22.18,22.92,22.18,22.89,8428,EUR,PVA,spain
2010-12-07,22.85,23.44,22.42,22.89,120468,EUR,PVA,spain
2010-12-08,23.13,23.13,22.58,22.85,110439,EUR,PVA,spain
2010-12-09,22.85,22.92,22.85,22.86,26602,EUR,PVA,spain
2010-12-10,22.87,22.92,22.73,22.85,9500,EUR,PVA,spain
2010-12-13,22.86,23.44,22.86,23.44,36838,EUR,PVA,spain
2010-12-14,23.26,23.44,23.25,23.44,6051,EUR,PVA,spain
2010-12-15,23.07,23.42,22.7,23.3,25581,EUR,PVA,spain
2010-12-16,23.15,23.3,22.79,23.15,19812,EUR,PVA,spain
2010-12-17,23.3,23.3,22.75,23.12,23077,EUR,PVA,spain
2010-12-20,22.8,23.25,22.8,23.15,7779,EUR,PVA,spain
2010-12-21,23.26,23.44,22.52,23.44,31206,EUR,PVA,spain
2010-12-22,23.32,23.97,23.07,23.07,33109,EUR,PVA,spain
2010-12-23,23.26,24.72,23.19,23.21,112215,EUR,PVA,spain
2010-12-27,23.39,23.5,22.61,22.92,18918,EUR,PVA,spain
2010-12-28,22.89,22.89,22.7,22.75,30877,EUR,PVA,spain
2010-12-29,22.7,22.76,22.64,22.75,6518,EUR,PVA,spain
2010-12-30,22.68,22.89,22.61,22.7,19945,EUR,PVA,spain
2011-01-03,22.67,22.87,22.61,22.75,39878,EUR,PVA,spain
2011-01-04,22.75,23.07,22.15,22.77,89506,EUR,PVA,spain
2011-01-05,22.92,23.07,22.49,22.79,47344,EUR,PVA,spain
2011-01-06,22.92,22.98,22.22,22.74,20132,EUR,PVA,spain
2011-01-07,22.66,22.8,22.31,22.57,11151,EUR,PVA,spain
2011-01-10,22.57,22.61,22.43,22.57,8107,EUR,PVA,spain
2011-01-11,22.61,23.07,22.61,22.79,23975,EUR,PVA,spain
2011-01-12,22.99,23.16,22.79,23.07,16323,EUR,PVA,spain
2011-01-13,22.97,23.2,22.94,23.1,12289,EUR,PVA,spain
2011-01-14,23.19,23.3,23.07,23.1,15675,EUR,PVA,spain
2011-01-17,23.07,23.26,22.98,23.07,11041,EUR,PVA,spain
2011-01-18,23.06,23.35,22.98,23.26,12659,EUR,PVA,spain
2011-01-19,23.32,23.32,22.98,23.13,10520,EUR,PVA,spain
2011-01-20,23.09,23.16,22.98,23.07,5279,EUR,PVA,spain
2011-01-21,22.99,23.07,22.87,22.94,23719,EUR,PVA,spain
2011-01-24,22.97,23.03,22.83,22.93,7280,EUR,PVA,spain
2011-01-25,22.93,23.07,22.9,22.98,9082,EUR,PVA,spain
2011-01-26,22.96,23.15,22.4,22.9,14191,EUR,PVA,spain
2011-01-27,22.84,22.93,22.39,22.91,5629,EUR,PVA,spain
2011-01-28,22.79,23.24,22.55,23.07,33175,EUR,PVA,spain
2011-01-31,22.92,23.28,22.84,23.23,17087,EUR,PVA,spain
2011-02-01,23.23,23.8,23.16,23.8,15812,EUR,PVA,spain
2011-02-02,23.84,24.13,23.72,23.9,28087,EUR,PVA,spain
2011-02-03,23.92,24.36,23.92,24.05,19911,EUR,PVA,spain
2011-02-04,24.09,24.27,23.86,24.02,19832,EUR,PVA,spain
2011-02-07,23.99,24.23,23.61,23.86,28182,EUR,PVA,spain
2011-02-08,23.76,24.73,23.76,24.46,49646,EUR,PVA,spain
2011-02-09,24.78,24.78,24.18,24.37,23201,EUR,PVA,spain
2011-02-10,24.46,24.78,24.1,24.45,22865,EUR,PVA,spain
2011-02-11,24.48,24.48,23.82,24.05,15097,EUR,PVA,spain
2011-02-14,24.04,25.06,24.04,24.82,26718,EUR,PVA,spain
2011-02-15,24.94,25.19,24.42,24.92,22530,EUR,PVA,spain
2011-02-16,25.19,25.31,24.58,24.99,52914,EUR,PVA,spain
2011-02-17,25.08,25.35,24.69,25.04,22338,EUR,PVA,spain
2011-02-18,25.06,25.06,24.69,24.99,10125,EUR,PVA,spain
2011-02-21,24.72,25.04,24.46,24.81,18205,EUR,PVA,spain
2011-02-22,24.78,25.35,24.65,25.07,18328,EUR,PVA,spain
2011-02-23,25.3,25.3,24.72,24.87,22219,EUR,PVA,spain
2011-02-24,24.82,25.06,24.81,24.92,22060,EUR,PVA,spain
2011-02-25,24.73,25.24,24.73,25.19,7770,EUR,PVA,spain
2011-02-28,25.19,25.47,24.86,25.47,24836,EUR,PVA,spain
2011-03-01,25.79,25.79,25.38,25.59,15752,EUR,PVA,spain
2011-03-02,25.57,25.66,25.06,25.43,25915,EUR,PVA,spain
2011-03-03,25.42,25.53,25.19,25.4,4839,EUR,PVA,spain
2011-03-04,25.53,25.53,24.74,25.14,22612,EUR,PVA,spain
2011-03-07,24.92,25.23,24.73,24.92,87825,EUR,PVA,spain
2011-03-08,24.76,25.35,24.76,25.35,40902,EUR,PVA,spain
