Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-11-29,0.039,0.04,0.038,0.038,2671339,EUR,QBT,spain
2012-11-30,0.039,0.04,0.038,0.039,3569296,EUR,QBT,spain
2012-12-03,0.039,0.04,0.038,0.038,2045593,EUR,QBT,spain
2012-12-04,0.039,0.04,0.038,0.039,1066656,EUR,QBT,spain
2012-12-05,0.039,0.04,0.038,0.04,1453754,EUR,QBT,spain
2012-12-06,0.039,0.04,0.039,0.039,1174131,EUR,QBT,spain
2012-12-07,0.04,0.04,0.038,0.038,1970880,EUR,QBT,spain
2012-12-10,0.039,0.039,0.038,0.039,705884,EUR,QBT,spain
2012-12-11,0.039,0.039,0.038,0.039,2676420,EUR,QBT,spain
2012-12-12,0.039,0.04,0.038,0.039,2591276,EUR,QBT,spain
2012-12-13,0.04,0.045,0.04,0.044,27774108,EUR,QBT,spain
2012-12-14,0.046,0.048,0.04,0.04,19665940,EUR,QBT,spain
2012-12-17,0.042,0.042,0.04,0.042,6032680,EUR,QBT,spain
2012-12-18,0.043,0.043,0.041,0.043,4123025,EUR,QBT,spain
2012-12-19,0.043,0.045,0.042,0.044,6368572,EUR,QBT,spain
2012-12-20,0.048,0.053,0.047,0.05,28619898,EUR,QBT,spain
2014-04-07,0.111,0.113,0.11,0.112,10445200,EUR,QBT,spain
2014-04-08,0.113,0.114,0.11,0.112,9248500,EUR,QBT,spain
2014-04-09,0.112,0.116,0.111,0.112,26109800,EUR,QBT,spain
2014-04-10,0.114,0.116,0.112,0.114,15701500,EUR,QBT,spain
2014-04-11,0.112,0.113,0.108,0.109,17130700,EUR,QBT,spain
2014-04-14,0.108,0.109,0.102,0.105,19860500,EUR,QBT,spain
2014-04-15,0.105,0.106,0.103,0.103,6099700,EUR,QBT,spain
2014-04-16,0.103,0.105,0.102,0.104,4981100,EUR,QBT,spain
2014-04-17,0.103,0.105,0.103,0.103,1129000,EUR,QBT,spain
