Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-02-28,5.65,5.65,5.65,5.65,16951,EUR,RBT,spain
2018-03-01,5.75,5.75,5.5,5.5,3247,EUR,RBT,spain
2018-03-02,5.4,5.4,5.4,5.4,2760,EUR,RBT,spain
2018-03-05,5.4,5.4,5.4,5.4,1840,EUR,RBT,spain
2018-03-08,5.5,5.5,5.5,5.5,2486,EUR,RBT,spain
2018-03-09,5.7,5.7,5.7,5.5,18,EUR,RBT,spain
2018-03-12,5.7,5.95,5.7,5.95,18210,EUR,RBT,spain
2018-03-13,6.2,6.5,6.2,6.5,14921,EUR,RBT,spain
2018-03-14,6.8,6.95,6.8,6.95,18934,EUR,RBT,spain
2018-03-15,7.0,7.0,7.0,7.0,5489,EUR,RBT,spain
2018-03-16,7.0,7.1,7.0,7.1,4286,EUR,RBT,spain
2018-03-19,6.9,6.9,6.6,6.6,2254,EUR,RBT,spain
2018-03-20,6.3,6.3,6.2,6.2,5020,EUR,RBT,spain
2018-03-21,6.2,6.35,6.2,6.35,1400,EUR,RBT,spain
2018-03-22,6.45,6.45,6.45,6.45,300,EUR,RBT,spain
2018-03-23,6.35,6.35,6.35,6.35,500,EUR,RBT,spain
2018-03-26,6.6,6.6,6.6,6.6,1715,EUR,RBT,spain
2018-03-27,6.75,6.8,6.75,6.8,5283,EUR,RBT,spain
2018-03-28,6.8,6.8,6.8,6.8,791,EUR,RBT,spain
2018-03-29,6.95,6.95,6.95,6.95,3000,EUR,RBT,spain
2018-04-03,7.0,7.0,6.8,6.8,1736,EUR,RBT,spain
2018-04-04,6.8,6.8,6.8,6.8,65,EUR,RBT,spain
2018-04-05,6.8,6.8,6.8,6.8,200,EUR,RBT,spain
2018-04-09,6.6,6.6,6.55,6.55,1089,EUR,RBT,spain
2018-04-11,6.55,6.55,6.55,6.55,700,EUR,RBT,spain
2018-04-12,6.55,6.55,6.55,6.55,750,EUR,RBT,spain
2018-04-13,6.85,6.85,6.85,6.85,1000,EUR,RBT,spain
2018-04-16,6.55,6.65,6.55,6.65,1794,EUR,RBT,spain
2018-04-17,6.65,6.7,6.65,6.7,1000,EUR,RBT,spain
2018-04-18,6.7,6.7,6.7,6.7,1953,EUR,RBT,spain
2018-04-19,6.7,6.85,6.7,6.85,1960,EUR,RBT,spain
2018-04-20,7.0,7.0,7.0,7.0,4392,EUR,RBT,spain
2018-04-23,7.1,7.1,7.0,7.0,4190,EUR,RBT,spain
2018-04-24,7.1,7.1,7.1,7.1,950,EUR,RBT,spain
2018-04-25,7.0,7.0,7.0,7.0,910,EUR,RBT,spain
2018-04-26,6.9,7.0,6.9,7.0,1050,EUR,RBT,spain
2018-04-27,7.1,7.1,7.1,7.1,7449,EUR,RBT,spain
2018-04-30,7.1,7.1,7.1,7.1,508,EUR,RBT,spain
2018-05-02,7.2,7.2,7.2,7.2,400,EUR,RBT,spain
2018-05-03,7.2,7.2,6.9,6.9,3478,EUR,RBT,spain
2018-05-04,7.0,7.0,6.9,6.9,1420,EUR,RBT,spain
2018-05-07,7.05,7.05,7.05,7.05,1052,EUR,RBT,spain
2018-05-08,7.15,7.15,7.15,7.15,1632,EUR,RBT,spain
2018-05-09,7.2,7.2,7.2,7.2,2287,EUR,RBT,spain
2018-05-10,7.3,7.4,7.3,7.4,730,EUR,RBT,spain
2018-05-11,7.4,7.4,7.4,7.4,82,EUR,RBT,spain
2018-05-14,7.45,7.5,7.45,7.5,7154,EUR,RBT,spain
2018-05-15,7.5,7.5,7.5,7.5,1958,EUR,RBT,spain
2018-05-16,7.35,7.35,7.35,7.35,1575,EUR,RBT,spain
2018-05-17,7.5,7.5,7.35,7.35,1526,EUR,RBT,spain
2018-05-18,7.3,7.3,7.2,7.2,945,EUR,RBT,spain
2018-05-21,7.0,7.0,7.0,7.0,1390,EUR,RBT,spain
2018-05-22,6.75,6.75,6.6,6.6,2000,EUR,RBT,spain
2018-05-23,6.5,6.5,6.2,6.2,2889,EUR,RBT,spain
2018-05-24,6.2,6.2,6.2,6.2,1049,EUR,RBT,spain
2018-05-25,6.35,6.35,6.35,6.35,730,EUR,RBT,spain
2018-05-28,6.5,6.5,6.35,6.35,1292,EUR,RBT,spain
2018-05-29,6.2,6.2,6.1,6.1,1563,EUR,RBT,spain
2018-05-30,5.9,5.9,5.9,5.9,3052,EUR,RBT,spain
2018-05-31,6.05,6.2,6.05,6.2,1245,EUR,RBT,spain
2018-06-01,6.15,6.15,6.15,6.15,3000,EUR,RBT,spain
2018-06-04,6.15,6.15,6.15,6.15,300,EUR,RBT,spain
2018-06-05,6.15,6.15,6.15,6.15,755,EUR,RBT,spain
2018-06-06,6.0,6.3,6.0,6.3,997,EUR,RBT,spain
