Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-22,0.26,0.26,0.26,0.26,53736,EUR,RDM,spain
2010-09-23,0.26,0.27,0.25,0.27,42170,EUR,RDM,spain
2010-09-24,0.27,0.27,0.25,0.26,84744,EUR,RDM,spain
2010-09-27,0.25,0.26,0.25,0.25,27436,EUR,RDM,spain
2010-09-28,0.25,0.27,0.25,0.27,190684,EUR,RDM,spain
2010-09-29,0.25,0.26,0.25,0.25,52035,EUR,RDM,spain
2010-09-30,0.25,0.25,0.25,0.25,44917,EUR,RDM,spain
2010-10-01,0.25,0.25,0.25,0.25,10125,EUR,RDM,spain
2010-10-04,0.25,0.25,0.25,0.25,8112,EUR,RDM,spain
2010-10-05,0.25,0.26,0.25,0.26,20340,EUR,RDM,spain
2010-10-06,0.26,0.26,0.25,0.25,9560,EUR,RDM,spain
2010-10-07,0.25,0.26,0.25,0.26,82851,EUR,RDM,spain
2010-10-08,0.26,0.28,0.26,0.27,303172,EUR,RDM,spain
2010-10-11,0.27,0.28,0.26,0.28,80078,EUR,RDM,spain
2010-10-12,0.28,0.28,0.27,0.27,17501,EUR,RDM,spain
2010-10-13,0.27,0.27,0.27,0.27,27400,EUR,RDM,spain
2010-10-14,0.27,0.27,0.27,0.27,5224,EUR,RDM,spain
2010-10-15,0.27,0.28,0.27,0.27,55265,EUR,RDM,spain
2010-10-18,0.27,0.28,0.27,0.27,84151,EUR,RDM,spain
2010-10-19,0.27,0.27,0.27,0.27,18850,EUR,RDM,spain
2010-10-20,0.27,0.27,0.27,0.27,30030,EUR,RDM,spain
2010-10-21,0.27,0.27,0.27,0.27,15000,EUR,RDM,spain
2010-10-22,0.27,0.27,0.27,0.27,56776,EUR,RDM,spain
2010-10-25,0.27,0.27,0.26,0.26,38790,EUR,RDM,spain
2010-10-26,0.26,0.26,0.26,0.26,10513,EUR,RDM,spain
2010-10-27,0.26,0.26,0.26,0.26,0,EUR,RDM,spain
2010-10-28,0.26,0.26,0.26,0.26,1802,EUR,RDM,spain
2010-10-29,0.26,0.26,0.26,0.26,6500,EUR,RDM,spain
2010-11-01,0.27,0.27,0.27,0.26,100,EUR,RDM,spain
2010-11-02,0.26,0.26,0.26,0.26,4479,EUR,RDM,spain
2010-11-03,0.25,0.25,0.25,0.25,16500,EUR,RDM,spain
2010-11-04,0.25,0.26,0.25,0.25,20592,EUR,RDM,spain
2010-11-05,0.26,0.26,0.25,0.25,70500,EUR,RDM,spain
2010-11-08,0.24,0.26,0.24,0.25,99227,EUR,RDM,spain
2010-11-09,0.26,0.26,0.25,0.25,49777,EUR,RDM,spain
2010-11-10,0.25,0.25,0.25,0.25,8613,EUR,RDM,spain
2010-11-11,0.25,0.25,0.25,0.25,19193,EUR,RDM,spain
2010-11-12,0.26,0.26,0.25,0.25,29042,EUR,RDM,spain
2010-11-15,0.25,0.26,0.23,0.25,83497,EUR,RDM,spain
2010-11-16,0.25,0.25,0.24,0.24,92160,EUR,RDM,spain
2010-11-17,0.24,0.25,0.24,0.25,7000,EUR,RDM,spain
2010-11-18,0.25,0.25,0.24,0.24,36460,EUR,RDM,spain
2010-11-19,0.24,0.24,0.24,0.24,7614,EUR,RDM,spain
2010-11-22,0.25,0.25,0.24,0.24,15971,EUR,RDM,spain
2010-11-23,0.24,0.24,0.24,0.24,31130,EUR,RDM,spain
2010-11-24,0.23,0.25,0.23,0.25,80675,EUR,RDM,spain
2010-11-25,0.23,0.24,0.23,0.24,8512,EUR,RDM,spain
2010-11-26,0.23,0.23,0.23,0.23,16250,EUR,RDM,spain
2010-11-29,0.24,0.24,0.24,0.24,10000,EUR,RDM,spain
2010-11-30,0.23,0.23,0.23,0.23,6349,EUR,RDM,spain
2010-12-01,0.23,0.25,0.23,0.23,34980,EUR,RDM,spain
2010-12-02,0.23,0.23,0.23,0.23,11935,EUR,RDM,spain
2010-12-03,0.23,0.24,0.23,0.24,3206,EUR,RDM,spain
2010-12-06,0.24,0.24,0.23,0.23,7500,EUR,RDM,spain
2010-12-07,0.23,0.23,0.23,0.23,17380,EUR,RDM,spain
2010-12-08,0.23,0.23,0.23,0.23,0,EUR,RDM,spain
2010-12-09,0.23,0.23,0.23,0.23,670,EUR,RDM,spain
2010-12-10,0.23,0.23,0.22,0.22,24339,EUR,RDM,spain
2010-12-13,0.23,0.24,0.22,0.24,41601,EUR,RDM,spain
2010-12-14,0.24,0.24,0.23,0.24,63150,EUR,RDM,spain
2010-12-15,0.23,0.23,0.23,0.23,1627,EUR,RDM,spain
2010-12-16,0.23,0.23,0.23,0.23,7270,EUR,RDM,spain
2010-12-17,0.23,0.24,0.23,0.23,12412,EUR,RDM,spain
2010-12-20,0.23,0.23,0.22,0.22,29803,EUR,RDM,spain
2010-12-21,0.22,0.23,0.22,0.23,4000,EUR,RDM,spain
2010-12-22,0.22,0.22,0.22,0.22,13952,EUR,RDM,spain
2010-12-23,0.22,0.22,0.22,0.22,20640,EUR,RDM,spain
2010-12-27,0.23,0.23,0.23,0.23,11762,EUR,RDM,spain
2010-12-28,0.23,0.24,0.23,0.23,51438,EUR,RDM,spain
2010-12-29,0.24,0.24,0.23,0.24,73059,EUR,RDM,spain
2010-12-30,0.23,0.24,0.23,0.24,107768,EUR,RDM,spain
2011-01-03,0.23,0.23,0.23,0.23,21100,EUR,RDM,spain
2011-01-04,0.23,0.24,0.23,0.24,38437,EUR,RDM,spain
2011-01-05,0.23,0.23,0.23,0.23,8222,EUR,RDM,spain
2011-01-06,0.23,0.23,0.23,0.23,1500,EUR,RDM,spain
2011-01-07,0.24,0.24,0.23,0.23,3185,EUR,RDM,spain
2011-01-10,0.23,0.23,0.23,0.23,17933,EUR,RDM,spain
2011-01-11,0.24,0.24,0.23,0.24,4328,EUR,RDM,spain
2011-01-12,0.23,0.23,0.23,0.23,675037,EUR,RDM,spain
2011-01-13,0.23,0.23,0.23,0.23,25214,EUR,RDM,spain
2011-01-14,0.24,0.24,0.23,0.23,21920,EUR,RDM,spain
2011-01-17,0.23,0.24,0.23,0.24,3011,EUR,RDM,spain
2011-01-18,0.24,0.24,0.23,0.24,16125,EUR,RDM,spain
