Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2003-02-11,2.585,2.588,2.55,2.575,2695172,EUR,REE,spain
2003-02-12,2.572,2.588,2.545,2.588,968500,EUR,REE,spain
2003-02-13,2.563,2.62,2.55,2.612,1385784,EUR,REE,spain
2003-02-14,2.612,2.625,2.592,2.612,1999120,EUR,REE,spain
2003-02-17,2.615,2.638,2.615,2.622,1304504,EUR,REE,spain
2003-02-18,2.602,2.7,2.602,2.7,2386208,EUR,REE,spain
2003-02-19,2.65,2.7,2.65,2.652,1242668,EUR,REE,spain
2003-02-20,2.682,2.74,2.652,2.725,952056,EUR,REE,spain
2003-02-21,2.705,2.725,2.675,2.695,709452,EUR,REE,spain
2003-02-24,2.697,2.71,2.665,2.695,923588,EUR,REE,spain
2003-02-25,2.678,2.695,2.64,2.688,1331840,EUR,REE,spain
2003-02-26,2.713,2.743,2.695,2.743,2803944,EUR,REE,spain
2003-02-27,2.703,2.795,2.7,2.795,1801392,EUR,REE,spain
2003-02-28,2.763,2.845,2.763,2.832,2316472,EUR,REE,spain
2003-03-03,2.832,2.845,2.803,2.828,935024,EUR,REE,spain
2003-03-04,2.803,2.805,2.75,2.785,919096,EUR,REE,spain
2003-03-05,2.8,2.8,2.76,2.787,1124348,EUR,REE,spain
2003-03-06,2.787,2.795,2.757,2.795,812800,EUR,REE,spain
2003-03-07,2.777,2.785,2.68,2.7,1147424,EUR,REE,spain
2003-03-10,2.737,2.747,2.705,2.72,616340,EUR,REE,spain
2003-03-11,2.72,2.725,2.655,2.695,997692,EUR,REE,spain
2003-03-12,2.697,2.725,2.655,2.688,1383788,EUR,REE,spain
2003-03-13,2.723,2.725,2.678,2.715,892568,EUR,REE,spain
2003-03-14,2.723,2.73,2.703,2.725,1917572,EUR,REE,spain
2003-03-17,2.72,2.72,2.63,2.71,2865912,EUR,REE,spain
2003-03-18,2.725,2.725,2.655,2.678,1034728,EUR,REE,spain
2003-03-19,2.705,2.705,2.655,2.67,848680,EUR,REE,spain
2003-03-20,2.672,2.685,2.65,2.662,1650340,EUR,REE,spain
2003-03-21,2.682,2.76,2.665,2.755,2074336,EUR,REE,spain
2003-03-24,2.76,2.76,2.707,2.717,674844,EUR,REE,spain
2003-03-25,2.675,2.737,2.675,2.727,758644,EUR,REE,spain
2003-03-26,2.75,2.75,2.713,2.72,1590932,EUR,REE,spain
2003-03-27,2.705,2.72,2.7,2.717,1163604,EUR,REE,spain
2003-03-28,2.713,2.75,2.713,2.74,1947992,EUR,REE,spain
2003-03-31,2.725,2.745,2.713,2.745,1346216,EUR,REE,spain
2003-04-01,2.685,2.733,2.685,2.733,1232768,EUR,REE,spain
2003-04-02,2.737,2.797,2.715,2.797,1398528,EUR,REE,spain
2003-04-03,2.797,2.822,2.763,2.78,1734220,EUR,REE,spain
2003-04-04,2.763,2.825,2.763,2.785,1002432,EUR,REE,spain
2003-04-07,2.783,2.815,2.783,2.79,1120608,EUR,REE,spain
2003-04-08,2.777,2.82,2.777,2.805,984600,EUR,REE,spain
2003-04-09,2.78,2.815,2.78,2.78,726676,EUR,REE,spain
2003-04-10,2.775,2.8,2.763,2.773,1370020,EUR,REE,spain
2003-04-11,2.795,2.795,2.75,2.763,1432136,EUR,REE,spain
2003-04-14,2.76,2.775,2.737,2.77,841200,EUR,REE,spain
2003-04-15,2.73,2.78,2.73,2.773,1892592,EUR,REE,spain
2003-04-16,2.775,2.775,2.733,2.733,829764,EUR,REE,spain
2003-04-17,2.72,2.745,2.7,2.713,738660,EUR,REE,spain
2003-04-18,2.713,2.713,2.713,2.713,0,EUR,REE,spain
2003-04-21,2.713,2.713,2.713,2.713,0,EUR,REE,spain
2003-04-22,2.743,2.743,2.662,2.71,1189336,EUR,REE,spain
2003-04-23,2.76,2.76,2.818,2.71,759252,EUR,REE,spain
2003-04-24,2.705,2.723,2.957,2.65,1965680,EUR,REE,spain
2003-04-25,2.672,2.688,3.28,2.682,818160,EUR,REE,spain
2003-04-28,2.7,2.737,3.28,2.725,884988,EUR,REE,spain
2003-04-29,2.73,2.737,3.28,2.71,1212936,EUR,REE,spain
2003-04-30,2.7,2.723,3.25,2.662,1374184,EUR,REE,spain
2003-05-01,2.662,2.662,2.662,2.662,0,EUR,REE,spain
2003-05-02,2.665,2.697,3.26,2.608,1167292,EUR,REE,spain
2003-05-05,2.65,2.675,3.273,2.588,965456,EUR,REE,spain
2003-05-06,2.585,2.638,3.505,2.625,1219284,EUR,REE,spain
2003-05-07,2.638,2.658,3.505,2.638,1257600,EUR,REE,spain
2003-05-08,2.638,2.65,3.395,2.645,622896,EUR,REE,spain
2003-05-09,2.638,2.652,3.75,2.638,855416,EUR,REE,spain
2003-05-12,2.628,2.655,3.658,2.655,2136380,EUR,REE,spain
2003-05-13,2.652,2.665,3.67,2.665,2579192,EUR,REE,spain
2003-05-14,2.678,2.693,3.7,2.672,787764,EUR,REE,spain
2003-05-15,2.658,2.682,2.658,2.662,475128,EUR,REE,spain
2003-05-16,2.65,2.678,2.65,2.668,1265580,EUR,REE,spain
2003-05-19,2.662,2.67,2.658,2.662,1676028,EUR,REE,spain
2003-05-20,2.662,2.675,2.66,2.668,2186840,EUR,REE,spain
2003-05-21,2.665,2.682,2.665,2.675,805200,EUR,REE,spain
2003-05-22,2.668,2.688,2.665,2.685,2036816,EUR,REE,spain
2003-05-23,2.675,2.685,2.675,2.685,1742772,EUR,REE,spain
2003-05-26,2.675,2.69,2.64,2.65,1364352,EUR,REE,spain
2003-05-27,2.662,2.67,2.638,2.645,2173224,EUR,REE,spain
2003-05-28,2.65,2.662,2.638,2.66,1811952,EUR,REE,spain
2003-05-29,2.668,2.69,2.638,2.69,1648160,EUR,REE,spain
2003-05-30,2.69,2.69,2.64,2.645,1879320,EUR,REE,spain
2003-06-02,2.668,2.67,2.64,2.648,1588392,EUR,REE,spain
2003-06-03,2.65,2.658,2.625,2.63,1181900,EUR,REE,spain
2003-06-04,2.64,2.655,2.63,2.645,2607932,EUR,REE,spain
2003-06-05,2.648,2.648,2.635,2.638,4118144,EUR,REE,spain
2003-06-06,2.648,2.685,2.642,2.668,3480164,EUR,REE,spain
2003-06-09,2.67,2.678,2.662,2.675,1029240,EUR,REE,spain
2003-06-10,2.675,2.76,2.668,2.747,3380120,EUR,REE,spain
2003-06-11,2.75,2.8,2.737,2.785,2184136,EUR,REE,spain
2003-06-12,2.797,2.86,2.77,2.86,2049596,EUR,REE,spain
2003-06-13,2.835,2.86,2.787,2.793,1678916,EUR,REE,spain
