Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2007-01-02,26.31,26.85,26.29,26.63,21875370,EUR,REP,spain
2007-01-03,26.63,26.81,26.37,26.55,12659731,EUR,REP,spain
2007-01-04,26.25,26.55,26.0,26.53,20710380,EUR,REP,spain
2007-01-05,26.53,26.53,25.9,26.04,15003365,EUR,REP,spain
2007-01-08,26.04,26.29,25.9,25.95,7323699,EUR,REP,spain
2007-01-09,25.95,25.95,25.22,25.47,26059848,EUR,REP,spain
2007-01-10,25.47,25.47,25.1,25.22,36485232,EUR,REP,spain
2007-01-11,24.86,25.28,24.73,25.25,10162728,EUR,REP,spain
2007-01-12,25.06,25.46,25.01,25.22,23549090,EUR,REP,spain
2007-01-15,25.22,25.69,25.22,25.4,6696957,EUR,REP,spain
2007-01-16,25.4,25.48,24.82,24.95,33037680,EUR,REP,spain
2007-01-17,24.95,25.03,24.51,24.79,14975506,EUR,REP,spain
2007-01-18,24.79,25.0,24.56,24.72,17666538,EUR,REP,spain
2007-01-19,24.72,24.9,24.51,24.78,35126124,EUR,REP,spain
2007-01-22,24.78,25.0,24.64,24.71,21058922,EUR,REP,spain
2007-01-23,24.6,24.89,24.55,24.7,6303333,EUR,REP,spain
2007-01-24,24.7,25.34,24.7,25.19,23343078,EUR,REP,spain
2007-01-25,25.19,25.38,25.01,25.07,5608791,EUR,REP,spain
2007-01-26,25.07,25.07,24.78,24.9,14645112,EUR,REP,spain
2007-01-29,24.9,25.04,24.81,24.87,3423423,EUR,REP,spain
2007-01-30,24.93,25.29,24.76,25.14,5750215,EUR,REP,spain
2007-01-31,25.14,25.4,24.99,25.14,6134633,EUR,REP,spain
2007-02-01,25.5,25.55,25.2,25.28,7969811,EUR,REP,spain
2007-02-02,25.4,25.47,25.21,25.35,4290502,EUR,REP,spain
2007-02-05,25.35,25.68,25.2,25.64,6000374,EUR,REP,spain
2007-02-06,25.7,25.8,25.4,25.51,15737380,EUR,REP,spain
2007-02-07,25.51,25.55,25.25,25.43,8165943,EUR,REP,spain
2007-02-08,25.4,25.4,25.16,25.27,5595618,EUR,REP,spain
2007-02-09,25.27,25.47,25.27,25.31,3639904,EUR,REP,spain
