Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-22,0.36,0.36,0.34,0.35,174237,EUR,RJFE,spain
2010-11-23,0.34,0.36,0.34,0.34,85887,EUR,RJFE,spain
2010-11-24,0.34,0.34,0.34,0.34,82557,EUR,RJFE,spain
2010-11-25,0.34,0.35,0.33,0.34,34025,EUR,RJFE,spain
2010-11-26,0.33,0.34,0.31,0.34,180780,EUR,RJFE,spain
2010-11-29,0.32,0.35,0.32,0.35,166096,EUR,RJFE,spain
2010-11-30,0.33,0.34,0.33,0.34,14467,EUR,RJFE,spain
2010-12-01,0.33,0.34,0.33,0.34,48083,EUR,RJFE,spain
2010-12-02,0.34,0.34,0.33,0.34,42508,EUR,RJFE,spain
2010-12-03,0.34,0.35,0.34,0.35,90500,EUR,RJFE,spain
2010-12-06,0.35,0.35,0.35,0.35,41832,EUR,RJFE,spain
2010-12-07,0.34,0.35,0.34,0.35,11112,EUR,RJFE,spain
2010-12-08,0.35,0.35,0.34,0.35,14317,EUR,RJFE,spain
2010-12-09,0.35,0.35,0.34,0.35,19641,EUR,RJFE,spain
2010-12-10,0.34,0.36,0.34,0.35,271481,EUR,RJFE,spain
2010-12-13,0.36,0.36,0.35,0.35,123599,EUR,RJFE,spain
2010-12-14,0.35,0.36,0.35,0.36,67962,EUR,RJFE,spain
2010-12-15,0.35,0.37,0.35,0.37,100087,EUR,RJFE,spain
2010-12-16,0.36,0.36,0.35,0.36,66180,EUR,RJFE,spain
2010-12-17,0.35,0.36,0.34,0.35,61793,EUR,RJFE,spain
2010-12-20,0.35,0.35,0.34,0.34,197246,EUR,RJFE,spain
2010-12-21,0.34,0.35,0.34,0.35,120233,EUR,RJFE,spain
2010-12-22,0.34,0.35,0.34,0.35,318624,EUR,RJFE,spain
2010-12-23,0.35,0.35,0.34,0.34,35311,EUR,RJFE,spain
2010-12-27,0.35,0.35,0.33,0.34,95791,EUR,RJFE,spain
2010-12-28,0.33,0.34,0.33,0.33,126293,EUR,RJFE,spain
2010-12-29,0.33,0.33,0.32,0.33,566851,EUR,RJFE,spain
2010-12-30,0.33,0.34,0.32,0.34,220230,EUR,RJFE,spain
2011-01-03,0.34,0.34,0.33,0.33,27166,EUR,RJFE,spain
2011-01-04,0.34,0.34,0.32,0.33,83334,EUR,RJFE,spain
2011-01-05,0.32,0.33,0.32,0.33,22955,EUR,RJFE,spain
2011-01-06,0.33,0.33,0.32,0.33,13939,EUR,RJFE,spain
2011-01-07,0.33,0.33,0.32,0.33,26418,EUR,RJFE,spain
2011-01-10,0.33,0.33,0.31,0.33,212621,EUR,RJFE,spain
2011-01-11,0.32,0.33,0.32,0.33,25572,EUR,RJFE,spain
2011-01-12,0.32,0.34,0.32,0.33,47348,EUR,RJFE,spain
