Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-23,4.89,5.1,4.89,5.1,24140,EUR,ROVI,spain
2010-09-24,5.1,5.14,5.0,5.14,24454,EUR,ROVI,spain
2010-09-27,5.1,5.1,4.99,5.09,38663,EUR,ROVI,spain
2010-09-28,5.05,5.1,5.0,5.08,17818,EUR,ROVI,spain
2010-09-29,5.0,5.07,4.96,5.07,18740,EUR,ROVI,spain
2010-09-30,5.04,5.12,5.03,5.08,8819,EUR,ROVI,spain
2010-10-01,4.8,5.06,4.8,5.05,18012,EUR,ROVI,spain
2010-10-04,5.0,5.09,4.98,5.06,22862,EUR,ROVI,spain
2010-10-05,5.02,5.2,5.02,5.15,33502,EUR,ROVI,spain
2010-10-06,5.2,5.23,5.06,5.22,30529,EUR,ROVI,spain
2010-10-07,5.1,5.29,5.1,5.29,25044,EUR,ROVI,spain
2010-10-08,5.21,5.28,5.07,5.28,29114,EUR,ROVI,spain
2010-10-11,5.29,5.29,5.25,5.29,10898,EUR,ROVI,spain
2010-10-12,5.29,5.29,5.21,5.22,1387,EUR,ROVI,spain
2010-10-13,5.22,5.34,5.22,5.29,35808,EUR,ROVI,spain
2010-10-14,5.25,5.3,5.25,5.3,17547,EUR,ROVI,spain
2010-10-15,5.3,5.3,5.25,5.25,4500,EUR,ROVI,spain
2010-10-18,5.29,5.29,5.23,5.29,7584,EUR,ROVI,spain
2010-10-19,5.29,5.39,5.25,5.29,8166,EUR,ROVI,spain
2010-10-20,5.29,5.29,5.25,5.29,9295,EUR,ROVI,spain
2010-10-21,5.3,5.33,5.25,5.33,29791,EUR,ROVI,spain
2010-10-22,5.25,5.37,5.23,5.34,40670,EUR,ROVI,spain
2010-10-25,5.34,5.38,5.28,5.35,9106,EUR,ROVI,spain
2010-10-26,5.3,5.33,5.26,5.33,6182,EUR,ROVI,spain
2010-10-27,5.33,5.38,5.25,5.25,43092,EUR,ROVI,spain
2010-10-28,5.25,5.33,5.25,5.27,8051,EUR,ROVI,spain
2010-10-29,5.16,5.4,5.16,5.4,45680,EUR,ROVI,spain
2010-11-01,5.28,5.43,5.28,5.42,31037,EUR,ROVI,spain
2010-11-02,5.44,5.44,5.26,5.35,122848,EUR,ROVI,spain
2010-11-03,5.39,5.39,5.25,5.32,14462,EUR,ROVI,spain
2010-11-04,5.38,5.38,5.25,5.25,58173,EUR,ROVI,spain
2010-11-05,5.24,5.3,5.2,5.25,48640,EUR,ROVI,spain
2010-11-08,5.24,5.25,5.21,5.25,19496,EUR,ROVI,spain
2010-11-09,5.24,5.24,5.1,5.23,23129,EUR,ROVI,spain
2010-11-10,5.22,5.23,5.04,5.04,15503,EUR,ROVI,spain
2010-11-11,5.1,5.1,4.8,5.0,173516,EUR,ROVI,spain
2010-11-12,4.97,5.1,4.87,5.04,13318,EUR,ROVI,spain
2010-11-15,4.94,5.09,4.94,5.06,9693,EUR,ROVI,spain
2010-11-16,4.97,5.0,4.88,4.9,19991,EUR,ROVI,spain
2010-11-17,4.87,5.0,4.87,4.93,11604,EUR,ROVI,spain
2010-11-18,4.87,4.95,4.71,4.93,19353,EUR,ROVI,spain
2010-11-19,4.92,4.92,4.75,4.85,18898,EUR,ROVI,spain
2010-11-22,4.9,4.9,4.73,4.9,11852,EUR,ROVI,spain
2010-11-23,4.9,4.9,4.73,4.8,9178,EUR,ROVI,spain
2010-11-24,4.72,4.8,4.6,4.75,45052,EUR,ROVI,spain
2010-11-25,4.8,4.8,4.65,4.78,11810,EUR,ROVI,spain
2010-11-26,4.78,4.94,4.65,4.94,49801,EUR,ROVI,spain
2010-11-29,4.86,4.86,4.71,4.82,11384,EUR,ROVI,spain
2010-11-30,4.51,4.84,4.51,4.84,53178,EUR,ROVI,spain
