Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-02,4.53,4.53,4.49,4.51,3763,EUR,RTA4,spain
2010-11-03,4.51,4.51,4.46,4.51,3830,EUR,RTA4,spain
2010-11-04,4.51,4.51,4.44,4.51,3724,EUR,RTA4,spain
2010-11-05,4.51,4.55,4.51,4.53,3768,EUR,RTA4,spain
2010-11-08,4.56,4.56,4.5,4.53,5573,EUR,RTA4,spain
2010-11-09,4.52,4.54,4.52,4.54,1001,EUR,RTA4,spain
2010-11-10,4.55,4.55,4.53,4.54,1429,EUR,RTA4,spain
2010-11-11,4.54,4.54,4.49,4.51,4387,EUR,RTA4,spain
2010-11-12,4.51,4.51,4.5,4.5,2016,EUR,RTA4,spain
2010-11-15,4.51,4.51,4.5,4.51,1625,EUR,RTA4,spain
2010-11-16,4.51,4.51,4.5,4.51,2625,EUR,RTA4,spain
2010-11-17,4.51,4.51,4.48,4.51,1601,EUR,RTA4,spain
2010-11-18,4.51,4.54,4.48,4.54,7556,EUR,RTA4,spain
2010-11-19,4.54,4.56,4.51,4.56,5886,EUR,RTA4,spain
2010-11-22,4.56,4.57,4.51,4.54,3072,EUR,RTA4,spain
2010-11-23,4.56,4.56,4.49,4.51,3162,EUR,RTA4,spain
2010-11-24,4.52,4.54,4.44,4.53,2438,EUR,RTA4,spain
2010-11-25,4.53,4.53,4.49,4.52,1569,EUR,RTA4,spain
2010-11-26,4.54,4.54,4.43,4.51,3838,EUR,RTA4,spain
2010-11-29,4.51,4.51,4.47,4.51,2238,EUR,RTA4,spain
2010-11-30,4.51,4.51,4.48,4.51,1912,EUR,RTA4,spain
2010-12-01,4.52,4.53,4.47,4.53,4654,EUR,RTA4,spain
2010-12-02,4.56,4.61,4.52,4.59,8240,EUR,RTA4,spain
2010-12-03,4.58,4.59,4.57,4.59,3807,EUR,RTA4,spain
2010-12-06,4.59,4.61,4.56,4.61,7401,EUR,RTA4,spain
2010-12-07,4.55,4.55,4.35,4.51,4935,EUR,RTA4,spain
2010-12-08,4.53,4.54,4.35,4.54,4337,EUR,RTA4,spain
2010-12-09,4.53,4.54,4.47,4.52,6091,EUR,RTA4,spain
2010-12-10,4.52,4.52,4.48,4.51,1785,EUR,RTA4,spain
2010-12-13,4.53,4.53,4.51,4.53,29576,EUR,RTA4,spain
2010-12-14,4.53,4.54,4.42,4.54,2919,EUR,RTA4,spain
2010-12-15,4.54,4.54,4.51,4.54,56184,EUR,RTA4,spain
2010-12-16,4.54,4.54,4.53,4.54,2548,EUR,RTA4,spain
2010-12-17,4.55,4.55,4.4,4.54,2555,EUR,RTA4,spain
2010-12-20,4.53,4.54,4.51,4.54,2122,EUR,RTA4,spain
2010-12-21,4.54,4.54,4.53,4.54,921,EUR,RTA4,spain
2010-12-22,4.54,4.54,4.48,4.53,1181,EUR,RTA4,spain
2010-12-23,4.53,4.53,4.5,4.53,1540,EUR,RTA4,spain
2010-12-27,4.54,4.54,4.48,4.5,1704,EUR,RTA4,spain
2010-12-28,4.48,4.53,4.48,4.53,16928,EUR,RTA4,spain
2010-12-29,4.54,4.54,4.51,4.53,3005,EUR,RTA4,spain
2010-12-30,4.53,4.53,4.35,4.48,27047,EUR,RTA4,spain
2011-01-03,4.53,4.53,4.53,4.53,722,EUR,RTA4,spain
2011-01-04,4.53,4.54,4.48,4.54,3704,EUR,RTA4,spain
2011-01-05,4.51,4.55,4.51,4.55,1071,EUR,RTA4,spain
2011-01-06,4.54,4.54,4.54,4.54,930,EUR,RTA4,spain
2011-01-07,4.55,4.55,4.53,4.53,1771,EUR,RTA4,spain
2011-01-10,4.53,4.54,4.53,4.53,477,EUR,RTA4,spain
2011-01-11,4.53,4.53,4.49,4.52,2182,EUR,RTA4,spain
2011-01-12,4.53,4.55,4.45,4.53,45969,EUR,RTA4,spain
2011-01-13,4.54,4.54,4.53,4.53,1401,EUR,RTA4,spain
2011-01-14,4.53,4.54,4.5,4.54,1735,EUR,RTA4,spain
2011-01-17,4.53,4.53,4.53,4.53,1665,EUR,RTA4,spain
2011-01-18,4.53,4.56,4.48,4.56,15813,EUR,RTA4,spain
2011-01-19,4.55,4.55,4.5,4.54,2325,EUR,RTA4,spain
2011-01-20,4.53,4.55,4.48,4.55,7424,EUR,RTA4,spain
2011-01-21,4.54,4.54,4.51,4.53,2427,EUR,RTA4,spain
2011-01-24,4.51,4.55,4.51,4.53,1677,EUR,RTA4,spain
2011-01-25,4.53,4.53,4.51,4.53,1071,EUR,RTA4,spain
2011-01-26,4.53,4.54,4.51,4.51,4314,EUR,RTA4,spain
2011-01-27,4.52,4.52,4.5,4.51,1847,EUR,RTA4,spain
2011-01-28,4.51,4.52,4.5,4.51,2251,EUR,RTA4,spain
2011-01-31,4.52,4.52,4.5,4.51,1713,EUR,RTA4,spain
2011-02-01,4.51,4.51,4.5,4.51,3086,EUR,RTA4,spain
2011-02-02,4.51,4.52,4.5,4.51,2590,EUR,RTA4,spain
2011-02-03,4.52,4.52,4.51,4.52,2332,EUR,RTA4,spain
2011-02-04,4.52,4.55,4.52,4.55,18886,EUR,RTA4,spain
2011-02-07,4.55,4.55,4.53,4.54,7916,EUR,RTA4,spain
2011-02-08,4.65,5.25,4.63,5.12,116761,EUR,RTA4,spain
2011-02-09,5.48,5.48,5.14,5.14,60232,EUR,RTA4,spain
2011-02-10,5.15,5.15,4.96,5.06,13505,EUR,RTA4,spain
2011-02-11,5.04,5.07,5.0,5.04,7354,EUR,RTA4,spain
2011-02-14,5.3,5.3,4.99,5.07,6971,EUR,RTA4,spain
2011-02-15,5.07,5.07,4.98,5.06,8514,EUR,RTA4,spain
2011-02-16,5.06,5.06,4.98,5.03,4078,EUR,RTA4,spain
2011-02-17,5.01,5.06,4.91,5.02,11417,EUR,RTA4,spain
2011-02-18,5.01,5.03,4.93,5.01,10503,EUR,RTA4,spain
2011-02-21,5.02,5.02,4.92,4.95,1751,EUR,RTA4,spain
2011-02-22,4.95,4.95,4.85,4.89,6733,EUR,RTA4,spain
2011-02-23,4.89,4.89,4.71,4.87,9032,EUR,RTA4,spain
2011-02-24,4.89,4.89,4.84,4.88,5704,EUR,RTA4,spain
2011-02-25,4.89,4.91,4.83,4.88,8748,EUR,RTA4,spain
2011-02-28,4.89,4.89,4.85,4.89,4985,EUR,RTA4,spain
2011-03-01,4.89,4.89,4.86,4.88,4504,EUR,RTA4,spain
2011-03-02,4.88,4.88,4.66,4.87,13995,EUR,RTA4,spain
2011-03-03,4.87,4.89,4.83,4.89,3443,EUR,RTA4,spain
2011-03-04,4.89,4.89,4.87,4.88,2501,EUR,RTA4,spain
2011-03-07,4.89,4.89,4.83,4.86,2524,EUR,RTA4,spain
2011-03-08,4.88,4.89,4.71,4.87,11450,EUR,RTA4,spain
2011-03-09,4.87,4.87,4.84,4.87,2855,EUR,RTA4,spain
2011-03-10,4.87,4.87,4.82,4.86,3286,EUR,RTA4,spain
