Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,3.86,3.89,3.86,3.89,0,EUR,SABE,spain
2009-02-12,3.9,3.9,3.82,3.82,0,EUR,SABE,spain
2009-02-13,3.87,3.95,3.85,3.95,0,EUR,SABE,spain
2009-02-16,3.85,3.86,3.73,3.73,0,EUR,SABE,spain
2009-02-17,3.7,3.72,3.5,3.5,0,EUR,SABE,spain
2009-02-18,3.55,3.56,3.5,3.5,0,EUR,SABE,spain
2009-02-19,3.54,3.58,3.51,3.51,0,EUR,SABE,spain
2009-02-20,3.47,3.47,3.28,3.28,0,EUR,SABE,spain
2009-02-25,3.19,3.2,3.11,3.11,0,EUR,SABE,spain
2009-02-26,3.14,3.27,3.14,3.27,0,EUR,SABE,spain
2009-02-27,3.26,3.28,3.17,3.17,0,EUR,SABE,spain
2009-03-06,2.99,2.99,2.94,2.94,0,EUR,SABE,spain
2009-03-09,3.0,3.0,2.98,2.98,0,EUR,SABE,spain
2009-03-10,2.99,3.17,2.99,3.17,0,EUR,SABE,spain
2009-03-11,3.26,3.38,3.26,3.38,0,EUR,SABE,spain
2009-03-12,3.38,3.45,3.28,3.45,0,EUR,SABE,spain
2009-03-13,3.52,3.54,3.47,3.47,0,EUR,SABE,spain
2009-03-16,3.5,3.51,3.43,3.43,0,EUR,SABE,spain
2009-03-17,3.53,3.54,3.45,3.45,0,EUR,SABE,spain
2009-03-18,3.49,3.57,3.49,3.57,0,EUR,SABE,spain
2009-03-19,3.57,3.71,3.57,3.71,0,EUR,SABE,spain
2009-03-20,3.63,3.64,3.55,3.55,0,EUR,SABE,spain
2009-04-01,3.69,3.78,3.69,3.78,0,EUR,SABE,spain
2009-04-02,3.79,3.81,3.71,3.81,0,EUR,SABE,spain
2009-04-03,3.83,3.9,3.81,3.9,0,EUR,SABE,spain
2009-04-06,3.92,3.94,3.81,3.81,0,EUR,SABE,spain
2009-04-07,3.91,3.92,3.79,3.79,0,EUR,SABE,spain
2009-04-08,3.71,3.84,3.71,3.84,0,EUR,SABE,spain
2009-04-09,3.87,4.11,3.86,4.11,0,EUR,SABE,spain
2009-04-16,4.34,4.37,4.32,4.37,0,EUR,SABE,spain
2009-04-17,4.37,4.4,4.35,4.4,0,EUR,SABE,spain
