Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2000-01-03,7.387,7.413,7.227,7.31,11853305,EUR,SAN,spain
2000-01-04,7.22,7.259,7.072,7.137,11871731,EUR,SAN,spain
2000-01-05,7.002,7.092,6.905,6.963,12575740,EUR,SAN,spain
2000-01-07,7.015,7.291,7.008,7.272,12939012,EUR,SAN,spain
2000-01-10,7.336,7.336,7.143,7.207,9091690,EUR,SAN,spain
2000-01-11,7.194,7.207,6.841,6.963,20606160,EUR,SAN,spain
2000-01-12,6.886,6.899,6.783,6.899,16238944,EUR,SAN,spain
2000-01-13,6.938,6.944,6.751,6.841,14879792,EUR,SAN,spain
2000-01-14,6.873,7.072,6.822,7.021,21215372,EUR,SAN,spain
2000-01-17,7.13,7.143,6.777,6.835,42603144,EUR,SAN,spain
2000-01-18,6.809,6.809,6.449,6.488,27072976,EUR,SAN,spain
2000-01-19,6.43,6.494,6.34,6.488,27846086,EUR,SAN,spain
2000-01-20,6.552,6.732,6.526,6.623,15858486,EUR,SAN,spain
2000-01-21,6.668,6.726,6.379,6.417,24596512,EUR,SAN,spain
2000-01-24,6.488,6.616,6.424,6.488,13331595,EUR,SAN,spain
2000-01-25,6.424,6.501,6.385,6.488,21348660,EUR,SAN,spain
2000-01-26,6.571,6.674,6.488,6.655,30508454,EUR,SAN,spain
2000-01-27,6.726,6.732,6.584,6.674,67606840,EUR,SAN,spain
2000-01-28,6.706,6.706,6.443,6.469,17654480,EUR,SAN,spain
2000-01-31,6.488,6.565,6.391,6.469,66993432,EUR,SAN,spain
2000-02-01,6.578,6.597,6.443,6.546,15687154,EUR,SAN,spain
2000-02-02,6.603,6.61,6.456,6.546,14380909,EUR,SAN,spain
2000-02-03,6.565,6.706,6.488,6.636,15355724,EUR,SAN,spain
2000-02-04,6.713,6.77,6.623,6.693,18727338,EUR,SAN,spain
2000-02-07,6.77,6.899,6.726,6.899,16800052,EUR,SAN,spain
2000-02-08,6.912,7.06,6.822,7.015,16484406,EUR,SAN,spain
2000-02-09,7.066,7.066,6.783,6.886,14711932,EUR,SAN,spain
2000-02-10,6.828,6.886,6.655,6.745,12323281,EUR,SAN,spain
2000-02-11,6.745,6.751,6.327,6.379,23433190,EUR,SAN,spain
2000-02-14,6.629,6.95,6.391,6.687,36031720,EUR,SAN,spain
2000-02-15,6.777,7.008,6.713,6.796,28728010,EUR,SAN,spain
2000-02-16,6.957,7.156,6.848,7.137,45369596,EUR,SAN,spain
2000-02-17,7.085,7.246,7.072,7.13,22647716,EUR,SAN,spain
2000-02-18,7.137,7.162,6.95,6.95,24711812,EUR,SAN,spain
2000-02-21,6.905,7.117,6.873,7.072,12025771,EUR,SAN,spain
2000-02-22,7.066,7.162,6.899,6.976,15620109,EUR,SAN,spain
2000-02-23,7.034,7.13,6.905,7.13,12672405,EUR,SAN,spain
2000-02-24,7.066,7.124,6.905,6.938,14932768,EUR,SAN,spain
2000-02-25,6.957,7.092,6.905,6.982,13399457,EUR,SAN,spain
2000-02-28,7.002,7.04,6.893,6.944,12850615,EUR,SAN,spain
2000-02-29,6.976,7.13,6.944,7.002,10103018,EUR,SAN,spain
2000-03-01,7.034,7.047,6.918,6.989,12316618,EUR,SAN,spain
2000-03-02,7.027,7.117,7.008,7.098,19036828,EUR,SAN,spain
2000-03-03,7.162,7.227,7.002,7.027,22630702,EUR,SAN,spain
2000-03-06,7.143,7.143,7.002,7.002,16647907,EUR,SAN,spain
2000-03-07,7.015,7.098,6.95,6.976,13520608,EUR,SAN,spain
2000-03-08,6.944,7.098,6.938,7.034,12407092,EUR,SAN,spain
