Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,6.59,6.68,6.56,6.68,0,EUR,SCYR,spain
2009-02-12,6.52,6.65,6.23,6.23,0,EUR,SCYR,spain
2009-02-13,6.42,6.75,6.37,6.37,0,EUR,SCYR,spain
2009-02-16,6.35,6.43,6.23,6.23,0,EUR,SCYR,spain
2009-02-17,6.15,6.24,5.86,5.86,0,EUR,SCYR,spain
2009-02-18,6.01,6.11,5.86,5.86,0,EUR,SCYR,spain
2009-02-19,6.06,6.11,5.92,5.92,0,EUR,SCYR,spain
2009-02-20,5.85,5.9,5.51,5.51,0,EUR,SCYR,spain
2009-02-25,5.61,5.61,5.16,5.16,0,EUR,SCYR,spain
2009-02-26,5.37,5.76,5.24,5.76,0,EUR,SCYR,spain
2009-02-27,5.52,5.76,5.43,5.43,0,EUR,SCYR,spain
2009-03-06,5.35,5.45,5.11,5.45,0,EUR,SCYR,spain
2009-03-09,5.01,5.03,4.86,4.86,0,EUR,SCYR,spain
2009-03-10,4.92,5.14,4.76,5.14,0,EUR,SCYR,spain
2009-03-11,5.17,5.48,5.0,5.48,0,EUR,SCYR,spain
2009-03-12,5.07,5.5,5.07,5.5,0,EUR,SCYR,spain
2009-03-13,5.5,5.67,5.41,5.41,0,EUR,SCYR,spain
2009-03-16,5.66,5.71,5.48,5.48,0,EUR,SCYR,spain
2009-03-17,5.43,5.73,5.43,5.73,0,EUR,SCYR,spain
2009-03-18,5.53,5.73,5.4,5.4,0,EUR,SCYR,spain
2009-03-19,5.6,5.72,5.46,5.46,0,EUR,SCYR,spain
2009-03-20,5.43,5.72,5.43,5.72,0,EUR,SCYR,spain
2009-04-01,5.87,6.28,5.87,6.28,0,EUR,SCYR,spain
2009-04-02,6.34,6.59,6.18,6.59,0,EUR,SCYR,spain
2009-04-03,6.43,6.79,6.3,6.79,0,EUR,SCYR,spain
2009-04-06,6.71,6.86,6.6,6.6,0,EUR,SCYR,spain
2009-04-07,6.83,6.93,6.61,6.61,0,EUR,SCYR,spain
2009-04-08,6.75,7.17,6.62,7.17,0,EUR,SCYR,spain
2009-04-09,7.1,7.31,7.01,7.31,0,EUR,SCYR,spain
2009-04-16,7.34,7.94,7.26,7.94,0,EUR,SCYR,spain
2009-04-17,7.78,8.18,7.67,8.18,0,EUR,SCYR,spain
2009-04-20,8.09,8.16,7.76,7.76,0,EUR,SCYR,spain
2009-04-21,7.78,7.79,7.13,7.13,0,EUR,SCYR,spain
2009-04-22,7.43,7.96,7.43,7.96,0,EUR,SCYR,spain
2009-04-23,7.81,7.99,7.6,7.99,0,EUR,SCYR,spain
2009-04-24,7.68,7.8,7.68,7.8,0,EUR,SCYR,spain
2009-04-27,7.84,7.88,7.79,7.88,0,EUR,SCYR,spain
2009-04-28,7.69,7.71,7.25,7.25,0,EUR,SCYR,spain
2009-04-29,7.46,7.81,7.46,7.81,0,EUR,SCYR,spain
2009-04-30,7.76,8.02,7.7,8.02,0,EUR,SCYR,spain
2009-05-05,8.11,8.56,7.95,8.56,0,EUR,SCYR,spain
2009-05-06,8.58,8.58,8.17,8.17,0,EUR,SCYR,spain
2009-05-07,8.15,8.62,8.15,8.62,0,EUR,SCYR,spain
2009-05-08,8.47,8.91,8.45,8.91,0,EUR,SCYR,spain
2009-05-14,9.2,9.63,9.1,9.63,0,EUR,SCYR,spain
2009-05-15,9.64,9.8,9.28,9.28,0,EUR,SCYR,spain
2009-05-18,9.31,10.26,9.3,10.26,0,EUR,SCYR,spain
2009-05-19,10.35,11.32,10.35,11.32,0,EUR,SCYR,spain
2009-05-20,11.3,11.79,10.93,10.93,0,EUR,SCYR,spain
2009-05-21,11.19,11.19,10.83,10.83,0,EUR,SCYR,spain
2009-05-22,11.0,11.42,10.91,11.42,0,EUR,SCYR,spain
2009-05-25,11.41,11.41,11.02,11.02,0,EUR,SCYR,spain
2009-05-26,11.16,11.38,10.97,11.38,0,EUR,SCYR,spain
2009-05-27,11.45,11.67,11.22,11.22,0,EUR,SCYR,spain
2009-05-28,11.38,12.0,11.34,12.0,0,EUR,SCYR,spain
2009-05-29,11.85,12.25,11.53,11.53,0,EUR,SCYR,spain
2009-06-02,11.49,11.5,11.3,11.3,0,EUR,SCYR,spain
2009-06-03,11.37,11.37,10.65,10.65,0,EUR,SCYR,spain
2009-06-04,10.89,11.28,10.24,10.24,0,EUR,SCYR,spain
2009-06-05,10.67,10.84,10.55,10.84,0,EUR,SCYR,spain
2009-06-11,10.57,10.82,10.52,10.82,0,EUR,SCYR,spain
2009-06-12,10.84,10.89,10.53,10.53,0,EUR,SCYR,spain
2009-06-15,10.59,10.94,10.56,10.94,0,EUR,SCYR,spain
2009-06-16,10.6,10.74,10.42,10.74,0,EUR,SCYR,spain
2009-06-17,9.95,9.96,9.71,9.71,0,EUR,SCYR,spain
2009-06-18,9.94,10.05,9.51,9.51,0,EUR,SCYR,spain
2009-06-19,9.75,10.0,9.66,10.0,0,EUR,SCYR,spain
2009-06-24,9.33,9.91,9.25,9.91,0,EUR,SCYR,spain
2009-06-25,9.81,9.97,9.5,9.5,0,EUR,SCYR,spain
2009-06-26,9.85,10.02,9.65,10.02,0,EUR,SCYR,spain
2009-07-02,10.1,10.53,10.04,10.53,0,EUR,SCYR,spain
2009-07-03,10.21,10.33,10.1,10.1,0,EUR,SCYR,spain
2009-07-06,10.1,10.11,9.69,9.69,0,EUR,SCYR,spain
2009-07-07,9.96,10.0,9.66,9.66,0,EUR,SCYR,spain
2009-07-08,9.68,9.81,9.49,9.81,0,EUR,SCYR,spain
2009-07-09,10.64,10.94,10.64,10.78,0,EUR,SCYR,spain
2009-07-10,11.0,11.03,10.15,10.21,0,EUR,SCYR,spain
2009-07-13,9.93,10.34,9.86,10.26,0,EUR,SCYR,spain
2009-07-14,10.3,10.34,9.94,10.15,0,EUR,SCYR,spain
2009-07-15,10.25,10.55,10.25,10.31,0,EUR,SCYR,spain
2009-07-16,10.43,10.79,10.41,10.56,0,EUR,SCYR,spain
2009-07-17,10.63,10.88,10.59,10.75,0,EUR,SCYR,spain
2009-07-20,10.85,10.85,10.5,10.62,0,EUR,SCYR,spain
2009-07-21,10.61,10.81,10.57,10.71,0,EUR,SCYR,spain
2009-07-22,10.74,10.74,10.36,10.66,0,EUR,SCYR,spain
2009-07-23,10.69,10.69,10.39,10.6,0,EUR,SCYR,spain
2009-07-24,10.5,10.78,10.43,10.65,0,EUR,SCYR,spain
2009-07-27,10.78,10.78,10.61,10.63,0,EUR,SCYR,spain
2009-07-28,10.69,10.89,10.67,10.82,0,EUR,SCYR,spain
2009-07-29,10.82,10.88,10.71,10.8,0,EUR,SCYR,spain
2009-07-30,10.83,11.25,10.7,11.04,0,EUR,SCYR,spain
2009-07-31,11.03,11.39,10.94,11.25,0,EUR,SCYR,spain
2009-08-03,11.17,11.41,11.14,11.26,0,EUR,SCYR,spain
2009-08-04,11.26,11.34,11.15,11.25,0,EUR,SCYR,spain
2009-08-05,11.26,11.41,11.24,11.38,0,EUR,SCYR,spain
2009-08-06,11.44,11.47,11.31,11.33,0,EUR,SCYR,spain
2009-08-07,11.37,11.37,11.06,11.27,0,EUR,SCYR,spain
2009-08-10,11.11,11.31,11.05,11.3,0,EUR,SCYR,spain
2009-08-11,11.39,11.48,11.18,11.32,0,EUR,SCYR,spain
2009-08-12,11.27,11.33,11.21,11.28,0,EUR,SCYR,spain
