Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-02-15,4.44,4.44,4.44,4.44,680,EUR,SECU,spain
2012-02-24,4.44,4.44,4.44,4.44,450,EUR,SECU,spain
2012-02-29,4.32,4.32,4.32,4.32,575,EUR,SECU,spain
2012-03-06,4.32,4.41,4.32,4.41,807,EUR,SECU,spain
2012-03-12,4.4,4.4,4.4,4.4,1000,EUR,SECU,spain
2012-05-02,4.31,4.31,4.31,4.31,1160,EUR,SECU,spain
2012-05-03,4.48,4.48,4.48,4.48,1200,EUR,SECU,spain
2012-05-09,4.57,4.57,4.57,4.57,350,EUR,SECU,spain
2012-05-22,4.48,4.48,4.48,4.48,1116,EUR,SECU,spain
2012-06-05,4.39,4.48,4.39,4.48,1184,EUR,SECU,spain
2012-06-11,4.48,4.48,4.48,4.48,1100,EUR,SECU,spain
2012-06-13,4.42,4.42,4.42,4.42,1139,EUR,SECU,spain
2012-06-26,4.33,4.33,4.33,4.33,9528,EUR,SECU,spain
2012-09-04,4.23,4.23,4.23,4.23,600,EUR,SECU,spain
2012-10-03,4.12,4.12,4.02,4.02,1222,EUR,SECU,spain
2012-10-04,3.92,3.92,3.92,3.92,638,EUR,SECU,spain
2013-06-19,3.83,3.83,3.83,3.83,655,EUR,SECU,spain
2013-06-21,3.74,3.74,3.74,3.74,669,EUR,SECU,spain
2013-08-20,3.83,3.83,3.83,3.83,350,EUR,SECU,spain
2013-09-09,3.74,3.74,3.74,3.74,685,EUR,SECU,spain
2013-10-09,3.6,3.6,3.6,3.6,685,EUR,SECU,spain
2013-10-10,3.55,3.55,3.55,3.55,202,EUR,SECU,spain
2013-10-11,3.64,3.64,3.64,3.64,723,EUR,SECU,spain
2013-10-31,3.64,3.64,3.64,3.64,350,EUR,SECU,spain
2013-12-10,3.64,3.64,3.64,3.64,927,EUR,SECU,spain
2014-01-13,3.57,3.57,3.57,3.57,695,EUR,SECU,spain
2014-01-15,3.48,3.48,3.48,3.48,685,EUR,SECU,spain
2014-02-04,3.4,3.4,3.4,3.4,750,EUR,SECU,spain
2014-02-13,3.32,3.32,3.32,3.32,755,EUR,SECU,spain
2014-02-19,3.24,3.24,3.24,3.24,771,EUR,SECU,spain
2014-03-25,3.32,3.32,3.16,3.16,1506,EUR,SECU,spain
2014-03-28,3.31,3.31,3.31,3.31,450,EUR,SECU,spain
2014-03-31,3.38,3.42,3.38,3.42,1048,EUR,SECU,spain
2014-04-02,3.5,3.5,3.5,3.5,526,EUR,SECU,spain
2014-04-03,3.51,3.51,3.51,3.51,200,EUR,SECU,spain
2014-04-14,3.36,3.36,3.36,3.36,526,EUR,SECU,spain
2014-04-16,3.26,3.26,3.26,3.26,780,EUR,SECU,spain
2014-05-05,3.23,3.23,3.23,3.23,300,EUR,SECU,spain
2014-05-09,3.16,3.16,3.16,3.16,800,EUR,SECU,spain
2014-05-29,3.22,3.28,3.22,3.28,1680,EUR,SECU,spain
2014-05-30,3.4,3.4,3.4,3.4,780,EUR,SECU,spain
2014-06-03,3.4,3.43,3.4,3.43,1800,EUR,SECU,spain
2014-06-04,3.6,3.6,3.6,3.6,800,EUR,SECU,spain
2014-06-05,3.68,3.76,3.68,3.76,1600,EUR,SECU,spain
2014-06-06,3.85,3.85,3.85,3.85,800,EUR,SECU,spain
2014-06-09,3.95,4.09,3.95,4.09,1000,EUR,SECU,spain
2014-06-10,4.2,4.2,4.2,4.2,800,EUR,SECU,spain
2014-06-11,4.2,4.2,4.2,4.2,4,EUR,SECU,spain
2014-06-12,4.2,4.2,4.15,4.15,696,EUR,SECU,spain
2014-06-16,4.0,4.0,4.0,4.0,700,EUR,SECU,spain
2014-06-17,3.92,3.92,3.92,3.92,225,EUR,SECU,spain
2014-06-24,3.8,3.8,3.8,3.8,500,EUR,SECU,spain
2014-07-01,3.95,3.95,3.95,3.95,800,EUR,SECU,spain
2014-07-02,2.02,2.02,2.02,2.02,3200,EUR,SECU,spain
2014-07-03,2.07,2.12,2.07,2.12,3200,EUR,SECU,spain
2014-07-04,2.17,2.21,2.17,2.21,3510,EUR,SECU,spain
2014-07-07,2.16,2.26,2.16,2.26,2494,EUR,SECU,spain
2014-07-08,2.3,2.35,2.3,2.35,3200,EUR,SECU,spain
2014-07-09,2.41,2.45,2.41,2.41,2730,EUR,SECU,spain
2014-07-15,2.45,2.45,2.45,2.45,2000,EUR,SECU,spain
2014-07-18,2.33,2.33,2.33,2.33,1200,EUR,SECU,spain
2014-09-08,2.25,2.25,2.25,2.33,108,EUR,SECU,spain
2014-09-22,2.37,2.37,2.37,2.37,1600,EUR,SECU,spain
2014-09-30,2.46,2.46,2.46,2.46,2250,EUR,SECU,spain
2014-10-14,2.51,2.51,2.51,2.51,404,EUR,SECU,spain
2014-10-15,2.52,2.52,2.52,2.52,1200,EUR,SECU,spain
2014-10-20,2.55,2.55,2.55,2.55,600,EUR,SECU,spain
2014-10-24,2.58,2.6,2.58,2.6,3200,EUR,SECU,spain
2014-10-28,2.52,2.52,2.52,2.52,1600,EUR,SECU,spain
2014-12-08,2.48,2.52,2.48,2.52,4000,EUR,SECU,spain
2015-01-27,2.5,2.54,2.5,2.54,3200,EUR,SECU,spain
2015-01-28,2.55,2.55,2.55,2.55,1200,EUR,SECU,spain
2015-01-29,2.67,2.79,2.67,2.79,2400,EUR,SECU,spain
2015-01-30,2.89,2.89,2.89,2.89,1786,EUR,SECU,spain
2015-02-02,2.83,2.83,2.83,2.83,800,EUR,SECU,spain
2015-02-03,2.88,3.0,2.88,3.0,3200,EUR,SECU,spain
2015-02-09,3.05,3.05,3.0,3.0,1800,EUR,SECU,spain
2015-02-17,3.15,3.3,3.15,3.15,1356,EUR,SECU,spain
2015-02-27,3.1,3.1,3.1,3.15,200,EUR,SECU,spain
2015-03-03,3.25,3.25,3.25,3.15,200,EUR,SECU,spain
2015-03-11,3.31,3.31,3.31,3.31,632,EUR,SECU,spain
2015-03-13,3.44,3.44,3.44,3.44,800,EUR,SECU,spain
2015-03-16,3.58,3.71,3.58,3.71,1160,EUR,SECU,spain
2015-03-17,3.83,4.0,3.83,4.0,3100,EUR,SECU,spain
2015-03-18,4.12,4.2,4.12,4.2,3850,EUR,SECU,spain
2015-03-19,4.4,4.42,4.4,4.42,13456,EUR,SECU,spain
2015-03-20,4.54,4.72,4.54,4.72,5340,EUR,SECU,spain
2015-03-23,4.96,5.15,4.96,5.15,10734,EUR,SECU,spain
2015-03-24,5.21,5.28,5.21,5.28,8944,EUR,SECU,spain
2015-03-25,5.28,5.28,5.28,5.28,304,EUR,SECU,spain
2015-03-26,5.01,5.01,5.01,5.01,600,EUR,SECU,spain
2015-03-27,4.82,4.82,4.63,4.63,3300,EUR,SECU,spain
2015-03-30,4.5,4.5,4.5,4.5,1640,EUR,SECU,spain
2015-04-02,4.5,4.5,4.5,4.5,416,EUR,SECU,spain
2015-04-07,4.53,4.53,4.53,4.5,352,EUR,SECU,spain
2015-04-08,4.5,4.5,4.5,4.5,820,EUR,SECU,spain
2015-04-09,4.5,4.5,4.5,4.5,2800,EUR,SECU,spain
2015-04-13,4.53,4.53,4.53,4.53,1060,EUR,SECU,spain
2015-04-15,4.7,4.7,4.7,4.53,200,EUR,SECU,spain
2015-04-16,4.7,4.7,4.7,4.53,220,EUR,SECU,spain
2015-04-20,4.53,4.53,4.53,4.53,300,EUR,SECU,spain
2015-04-24,4.7,4.7,4.7,4.53,110,EUR,SECU,spain
2015-04-27,4.53,4.53,4.53,4.53,304,EUR,SECU,spain
2015-04-28,4.72,4.9,4.72,4.9,1930,EUR,SECU,spain
2015-04-29,5.12,5.34,5.12,5.34,2240,EUR,SECU,spain
2015-04-30,5.35,5.35,5.35,5.35,2760,EUR,SECU,spain
2015-05-05,5.08,5.08,5.08,5.35,360,EUR,SECU,spain
2015-05-25,5.08,5.08,5.08,5.35,172,EUR,SECU,spain
2015-05-26,5.08,5.08,5.08,5.35,110,EUR,SECU,spain
2015-06-01,10.17,10.17,10.17,10.7,50,EUR,SECU,spain
2015-06-03,10.7,10.7,10.7,10.7,390,EUR,SECU,spain
2015-06-09,10.17,10.17,10.17,10.7,7,EUR,SECU,spain
2015-06-29,10.17,10.17,10.17,10.7,142,EUR,SECU,spain
2015-07-08,10.17,10.17,10.17,10.7,100,EUR,SECU,spain
2015-07-13,10.7,10.7,10.17,10.17,750,EUR,SECU,spain
2015-07-14,9.85,9.85,9.37,9.37,550,EUR,SECU,spain
2015-07-15,9.15,9.15,9.15,9.37,35,EUR,SECU,spain
2015-07-16,9.83,9.83,9.83,9.83,250,EUR,SECU,spain
2015-07-24,10.03,10.03,10.03,10.03,513,EUR,SECU,spain
2015-07-28,10.03,10.03,10.03,10.03,255,EUR,SECU,spain
2015-07-29,10.0,10.0,10.0,10.0,560,EUR,SECU,spain
2015-07-30,10.0,10.0,10.0,10.0,505,EUR,SECU,spain
2015-07-31,10.0,10.0,10.0,10.0,500,EUR,SECU,spain
2015-08-21,10.0,10.0,10.0,10.0,250,EUR,SECU,spain
2015-08-24,10.0,10.0,10.0,10.0,150,EUR,SECU,spain
2015-08-25,10.0,10.0,10.0,10.0,350,EUR,SECU,spain
2015-08-27,10.0,10.0,10.0,10.0,500,EUR,SECU,spain
2015-08-31,10.0,10.0,10.0,10.0,250,EUR,SECU,spain
2015-09-01,10.0,10.0,10.0,10.0,250,EUR,SECU,spain
2015-09-04,10.0,10.0,10.0,10.0,260,EUR,SECU,spain
2015-10-01,10.45,10.45,10.45,10.0,20,EUR,SECU,spain
2015-10-05,10.0,10.0,10.0,10.0,20,EUR,SECU,spain
2015-10-19,10.0,10.0,10.0,10.0,100,EUR,SECU,spain
2015-10-28,10.0,10.0,10.0,10.0,15,EUR,SECU,spain
2015-10-30,10.0,10.0,10.0,10.0,115,EUR,SECU,spain
2015-11-02,10.0,10.0,10.0,10.0,892,EUR,SECU,spain
2015-11-05,10.0,10.0,10.0,10.0,230,EUR,SECU,spain
2015-12-10,10.45,10.45,10.45,10.45,240,EUR,SECU,spain
2015-12-15,10.45,10.45,10.45,10.45,500,EUR,SECU,spain
2015-12-23,10.45,10.45,10.45,10.45,98,EUR,SECU,spain
2015-12-30,10.0,10.0,10.0,10.0,600,EUR,SECU,spain
2015-12-31,10.0,10.0,10.0,10.0,250,EUR,SECU,spain
2016-01-13,10.0,10.0,10.0,10.0,255,EUR,SECU,spain
2016-01-19,9.9,9.9,9.9,9.9,510,EUR,SECU,spain
2016-01-21,9.9,9.9,9.9,9.9,1697,EUR,SECU,spain
2016-01-22,9.9,9.9,9.9,9.9,660,EUR,SECU,spain
2016-01-25,9.9,9.9,9.9,9.9,500,EUR,SECU,spain
2016-01-26,9.9,9.9,9.9,9.9,605,EUR,SECU,spain
2016-01-27,9.9,9.9,9.9,9.9,260,EUR,SECU,spain
2016-02-08,9.9,9.9,9.9,9.9,255,EUR,SECU,spain
2016-02-12,9.83,9.83,9.83,9.83,700,EUR,SECU,spain
2016-02-15,9.7,9.7,9.7,9.7,762,EUR,SECU,spain
2016-02-19,9.7,9.7,9.7,9.7,425,EUR,SECU,spain
2016-03-14,10.13,10.13,10.13,9.7,100,EUR,SECU,spain
2016-04-19,9.65,9.65,9.65,9.7,5,EUR,SECU,spain
2016-04-20,10.13,10.13,10.13,9.7,5,EUR,SECU,spain
2016-04-28,10.13,10.13,10.13,10.13,250,EUR,SECU,spain
2016-05-03,10.03,10.03,10.03,10.03,375,EUR,SECU,spain
2016-05-04,10.03,10.03,10.03,10.03,275,EUR,SECU,spain
2016-05-30,10.03,10.03,10.03,10.03,598,EUR,SECU,spain
2016-05-31,10.0,10.0,10.0,10.0,500,EUR,SECU,spain
2016-06-10,10.4,10.4,10.4,10.4,242,EUR,SECU,spain
2016-06-13,10.03,10.03,10.03,10.03,310,EUR,SECU,spain
2016-06-27,10.53,10.53,10.53,10.53,270,EUR,SECU,spain
2016-07-08,9.51,9.51,9.51,9.32,20,EUR,SECU,spain
2016-07-12,9.71,9.71,9.67,9.67,555,EUR,SECU,spain
2016-07-13,9.95,9.95,9.95,9.95,200,EUR,SECU,spain
2016-07-14,10.12,10.12,10.12,10.12,200,EUR,SECU,spain
2016-07-27,9.63,9.63,9.63,9.63,200,EUR,SECU,spain
2016-08-08,9.63,9.63,9.63,9.63,540,EUR,SECU,spain
2016-08-10,9.63,9.63,9.63,9.63,442,EUR,SECU,spain
2016-08-11,9.63,9.63,9.63,9.63,520,EUR,SECU,spain
2016-08-12,9.63,9.63,9.63,9.63,520,EUR,SECU,spain
2016-08-16,9.63,9.63,9.63,9.63,260,EUR,SECU,spain
2016-08-17,9.57,9.57,9.57,9.57,670,EUR,SECU,spain
2016-09-15,10.02,10.02,10.02,9.57,100,EUR,SECU,spain
2016-09-20,9.57,9.57,9.57,9.57,125,EUR,SECU,spain
2016-09-29,9.57,9.57,9.57,9.57,80,EUR,SECU,spain
2016-10-05,9.55,9.55,9.55,9.55,285,EUR,SECU,spain
2016-10-14,9.53,9.53,9.53,9.53,285,EUR,SECU,spain
2016-10-24,9.53,9.53,9.53,9.53,290,EUR,SECU,spain
2016-11-01,9.98,9.98,9.98,9.53,40,EUR,SECU,spain
2016-11-10,9.53,9.53,9.53,9.53,1290,EUR,SECU,spain
2016-11-11,9.53,9.53,9.53,9.53,580,EUR,SECU,spain
2016-11-14,9.53,9.53,9.53,9.53,590,EUR,SECU,spain
2016-11-15,9.53,9.53,9.53,9.53,590,EUR,SECU,spain
2016-11-16,9.53,9.53,9.53,9.53,526,EUR,SECU,spain
2016-11-17,9.53,9.53,9.53,9.53,536,EUR,SECU,spain
2016-11-18,9.53,9.53,9.53,9.53,530,EUR,SECU,spain
2016-11-21,9.53,9.53,9.53,9.53,578,EUR,SECU,spain
2016-12-30,10.0,10.0,10.0,10.0,500,EUR,SECU,spain
