Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2007-06-05,28.2,29.17,27.86,28.26,0,EUR,SGREN,spain
2007-06-06,28.5,28.69,27.37,27.5,0,EUR,SGREN,spain
2007-06-07,27.55,27.78,26.51,26.65,0,EUR,SGREN,spain
2007-06-08,26.48,27.2,26.0,26.84,0,EUR,SGREN,spain
2007-06-11,27.26,27.29,26.84,27.07,0,EUR,SGREN,spain
2007-06-12,27.0,27.3,26.5,26.71,0,EUR,SGREN,spain
2007-06-13,26.54,26.79,26.18,26.56,0,EUR,SGREN,spain
2007-06-14,26.75,27.64,26.65,27.52,0,EUR,SGREN,spain
2007-06-15,27.56,28.27,27.56,28.02,0,EUR,SGREN,spain
2007-06-18,28.2,28.29,27.44,27.6,0,EUR,SGREN,spain
2007-06-19,27.6,28.05,27.21,27.6,0,EUR,SGREN,spain
2007-06-20,27.66,27.94,27.3,27.52,0,EUR,SGREN,spain
2007-06-21,27.25,27.42,26.7,27.32,0,EUR,SGREN,spain
2007-06-22,27.46,27.46,26.72,26.81,0,EUR,SGREN,spain
2007-06-25,26.62,26.63,26.15,26.32,0,EUR,SGREN,spain
2007-06-26,26.2,26.5,25.54,26.11,0,EUR,SGREN,spain
2007-06-27,25.84,26.18,25.73,25.94,0,EUR,SGREN,spain
2007-06-28,26.2,26.59,26.15,26.51,0,EUR,SGREN,spain
2007-06-29,26.98,27.08,26.53,27.0,0,EUR,SGREN,spain
2007-07-02,27.08,27.85,26.95,27.7,0,EUR,SGREN,spain
2007-07-03,27.96,28.24,27.82,28.22,0,EUR,SGREN,spain
2007-07-04,28.25,28.4,27.6,28.32,0,EUR,SGREN,spain
2007-07-05,28.47,28.6,28.11,28.34,0,EUR,SGREN,spain
2007-07-06,28.31,28.61,28.04,28.43,0,EUR,SGREN,spain
2007-07-09,28.53,28.7,28.08,28.58,0,EUR,SGREN,spain
2007-07-10,28.98,29.85,28.98,29.53,0,EUR,SGREN,spain
2007-07-11,29.37,29.82,28.65,29.68,0,EUR,SGREN,spain
2007-07-12,29.85,30.28,29.55,30.26,0,EUR,SGREN,spain
2007-07-13,30.94,31.05,30.3,30.75,0,EUR,SGREN,spain
2007-07-16,30.76,30.84,30.14,30.61,0,EUR,SGREN,spain
2007-07-17,30.53,30.7,30.12,30.55,0,EUR,SGREN,spain
2007-07-18,30.25,30.47,29.84,29.87,0,EUR,SGREN,spain
2007-07-19,30.09,30.75,29.92,30.45,0,EUR,SGREN,spain
2007-07-20,30.47,30.58,29.91,29.95,0,EUR,SGREN,spain
2007-07-23,29.95,30.63,29.7,30.61,0,EUR,SGREN,spain
2007-07-24,30.59,30.69,30.01,30.12,0,EUR,SGREN,spain
2007-07-25,29.81,30.46,29.64,29.96,0,EUR,SGREN,spain
2007-07-26,30.25,30.37,29.05,29.18,0,EUR,SGREN,spain
2007-07-27,28.83,29.5,28.47,28.79,0,EUR,SGREN,spain
2007-07-30,29.0,29.94,28.85,29.01,0,EUR,SGREN,spain
2007-07-31,29.25,29.98,29.12,29.96,0,EUR,SGREN,spain
2007-08-01,29.18,29.88,28.88,29.31,0,EUR,SGREN,spain
2007-08-02,29.34,29.81,29.15,29.31,0,EUR,SGREN,spain
2007-08-03,29.3,29.52,28.53,28.76,0,EUR,SGREN,spain
2007-08-06,28.58,29.27,28.05,28.42,0,EUR,SGREN,spain
2007-08-07,28.74,29.55,28.68,29.47,0,EUR,SGREN,spain
2007-08-08,29.5,31.19,29.45,31.08,0,EUR,SGREN,spain
2007-08-09,30.98,32.79,30.66,30.88,0,EUR,SGREN,spain
2007-08-10,30.46,31.37,30.23,30.66,0,EUR,SGREN,spain
2007-08-13,30.86,30.88,29.02,29.97,0,EUR,SGREN,spain
2007-08-15,29.08,29.28,28.1,28.55,0,EUR,SGREN,spain
2007-08-16,27.44,27.47,26.1,26.2,0,EUR,SGREN,spain
2007-08-17,26.09,27.83,25.75,26.86,0,EUR,SGREN,spain
2007-08-20,27.01,27.95,27.01,27.52,0,EUR,SGREN,spain
2007-08-21,27.97,28.25,27.1,27.4,0,EUR,SGREN,spain
2007-08-22,27.5,28.3,27.41,28.19,0,EUR,SGREN,spain
2007-08-23,28.44,29.13,28.16,28.3,0,EUR,SGREN,spain
2007-08-24,28.12,28.68,27.82,28.56,0,EUR,SGREN,spain
2007-08-27,28.75,28.89,28.36,28.43,0,EUR,SGREN,spain
2007-08-28,28.4,28.6,27.71,27.9,0,EUR,SGREN,spain
2007-08-29,27.5,28.24,27.26,28.14,0,EUR,SGREN,spain
2007-08-30,28.37,28.68,27.71,28.56,0,EUR,SGREN,spain
2007-08-31,28.65,29.49,28.65,29.26,0,EUR,SGREN,spain
2007-09-03,29.25,29.63,29.04,29.41,0,EUR,SGREN,spain
2007-09-04,29.35,30.07,29.1,30.02,0,EUR,SGREN,spain
2007-09-05,29.8,30.1,29.14,29.22,0,EUR,SGREN,spain
2007-09-06,29.25,29.64,28.66,29.05,0,EUR,SGREN,spain
2007-09-07,28.86,29.15,27.76,27.83,0,EUR,SGREN,spain
2007-09-10,27.85,28.4,27.31,27.36,0,EUR,SGREN,spain
2007-09-11,27.71,28.17,27.52,28.1,0,EUR,SGREN,spain
2007-09-12,28.21,28.26,26.81,27.94,0,EUR,SGREN,spain
