Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-27,1.66,1.66,1.6,1.62,81765,EUR,SLRS,spain
2010-09-28,1.6,1.64,1.6,1.61,51005,EUR,SLRS,spain
2010-09-29,1.61,1.63,1.5,1.54,449476,EUR,SLRS,spain
2010-09-30,1.52,1.6,1.5,1.56,248605,EUR,SLRS,spain
2010-10-01,1.6,1.6,1.52,1.52,271462,EUR,SLRS,spain
2010-10-04,1.56,1.56,1.52,1.53,52169,EUR,SLRS,spain
2010-10-05,1.55,1.57,1.54,1.57,62017,EUR,SLRS,spain
2010-10-06,1.57,1.57,1.5,1.55,49149,EUR,SLRS,spain
2010-10-07,1.57,1.57,1.52,1.55,94235,EUR,SLRS,spain
2010-10-08,1.54,1.54,1.52,1.54,31575,EUR,SLRS,spain
2010-10-11,1.52,1.54,1.5,1.51,54035,EUR,SLRS,spain
2010-10-12,1.5,1.52,1.5,1.5,28719,EUR,SLRS,spain
2010-10-13,1.5,1.54,1.5,1.54,46535,EUR,SLRS,spain
2010-10-14,1.55,1.55,1.51,1.54,37648,EUR,SLRS,spain
2010-10-15,1.53,1.56,1.53,1.56,73709,EUR,SLRS,spain
2010-10-18,1.59,1.62,1.54,1.57,146447,EUR,SLRS,spain
2010-10-19,1.58,1.6,1.56,1.56,51612,EUR,SLRS,spain
2010-10-20,1.54,1.6,1.53,1.59,136218,EUR,SLRS,spain
2010-10-21,1.6,1.6,1.57,1.6,85492,EUR,SLRS,spain
2010-10-22,1.6,1.63,1.57,1.59,64823,EUR,SLRS,spain
2010-10-25,1.57,1.58,1.55,1.58,37553,EUR,SLRS,spain
2010-10-26,1.56,1.58,1.54,1.57,65658,EUR,SLRS,spain
2010-10-27,1.59,1.59,1.54,1.55,69754,EUR,SLRS,spain
2010-10-28,1.55,1.57,1.52,1.52,46632,EUR,SLRS,spain
2010-10-29,1.52,1.56,1.52,1.56,73045,EUR,SLRS,spain
2010-11-01,1.58,1.58,1.53,1.54,21273,EUR,SLRS,spain
2010-11-02,1.54,1.58,1.51,1.56,41614,EUR,SLRS,spain
2010-11-03,1.54,1.57,1.52,1.54,58612,EUR,SLRS,spain
2010-11-04,1.53,1.56,1.53,1.53,28407,EUR,SLRS,spain
2010-11-05,1.57,1.57,1.51,1.52,56110,EUR,SLRS,spain
2010-11-08,1.52,1.55,1.5,1.54,58508,EUR,SLRS,spain
2010-11-09,1.51,1.54,1.5,1.52,25304,EUR,SLRS,spain
2010-11-10,1.54,1.54,1.5,1.5,95214,EUR,SLRS,spain
2010-11-11,1.51,1.52,1.41,1.42,283002,EUR,SLRS,spain
2010-11-12,1.44,1.46,1.41,1.42,101617,EUR,SLRS,spain
2010-11-15,1.42,1.58,1.41,1.58,394979,EUR,SLRS,spain
2010-11-16,1.57,1.57,1.51,1.52,178676,EUR,SLRS,spain
2010-11-17,1.51,1.57,1.46,1.56,206584,EUR,SLRS,spain
2010-11-18,1.57,1.58,1.51,1.54,141613,EUR,SLRS,spain
2010-11-19,1.55,1.57,1.5,1.52,74750,EUR,SLRS,spain
2010-11-22,1.51,1.54,1.43,1.43,85165,EUR,SLRS,spain
2010-11-23,1.41,1.43,1.36,1.39,218568,EUR,SLRS,spain
2010-11-24,1.43,1.44,1.36,1.42,85191,EUR,SLRS,spain
2010-11-25,1.44,1.44,1.38,1.41,35653,EUR,SLRS,spain
2010-11-26,1.4,1.42,1.35,1.35,77604,EUR,SLRS,spain
2010-11-29,1.36,1.38,1.29,1.31,98883,EUR,SLRS,spain
2010-11-30,1.3,1.31,1.24,1.25,72836,EUR,SLRS,spain
2010-12-01,1.24,1.35,1.21,1.29,130063,EUR,SLRS,spain
2010-12-02,1.27,1.34,1.27,1.29,74040,EUR,SLRS,spain
2010-12-03,1.27,1.31,1.26,1.29,73439,EUR,SLRS,spain
2010-12-06,1.26,1.32,1.26,1.26,34895,EUR,SLRS,spain
2010-12-07,1.33,1.34,1.27,1.28,103761,EUR,SLRS,spain
2010-12-08,1.3,1.33,1.28,1.33,33653,EUR,SLRS,spain
2010-12-09,1.34,1.36,1.3,1.32,97647,EUR,SLRS,spain
2010-12-10,1.3,1.33,1.3,1.31,77129,EUR,SLRS,spain
2010-12-13,1.3,1.32,1.3,1.32,70786,EUR,SLRS,spain
2010-12-14,1.33,1.38,1.3,1.38,148980,EUR,SLRS,spain
2010-12-15,1.37,1.45,1.34,1.45,195786,EUR,SLRS,spain
2010-12-16,1.42,1.54,1.42,1.52,333242,EUR,SLRS,spain
2010-12-17,1.51,1.53,1.42,1.42,364165,EUR,SLRS,spain
2010-12-20,1.43,1.46,1.36,1.41,185290,EUR,SLRS,spain
2010-12-21,1.39,1.44,1.36,1.43,217053,EUR,SLRS,spain
2010-12-22,1.43,1.45,1.39,1.45,139389,EUR,SLRS,spain
2010-12-23,1.45,1.47,1.43,1.45,77876,EUR,SLRS,spain
2010-12-27,1.43,1.48,1.42,1.47,80113,EUR,SLRS,spain
2010-12-28,1.45,1.49,1.44,1.46,88355,EUR,SLRS,spain
2010-12-29,1.44,1.45,1.42,1.45,88925,EUR,SLRS,spain
2010-12-30,1.42,1.45,1.42,1.45,120891,EUR,SLRS,spain
2011-01-03,1.49,1.49,1.44,1.44,30476,EUR,SLRS,spain
2011-01-04,1.43,1.45,1.3,1.41,172793,EUR,SLRS,spain
