Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-09-27,1.07,1.08,1.07,1.07,79273,EUR,SNCE,spain
2010-09-28,1.08,1.08,1.07,1.08,21335,EUR,SNCE,spain
2010-09-29,1.08,1.08,1.07,1.07,11194,EUR,SNCE,spain
2010-09-30,1.07,1.08,1.04,1.05,72702,EUR,SNCE,spain
2010-10-01,1.05,1.12,1.05,1.08,77701,EUR,SNCE,spain
2010-10-04,1.09,1.1,1.06,1.1,41109,EUR,SNCE,spain
2010-10-05,1.09,1.09,1.05,1.08,96391,EUR,SNCE,spain
2010-10-06,1.08,1.09,1.06,1.08,2972,EUR,SNCE,spain
2010-10-07,1.07,1.08,1.04,1.06,99918,EUR,SNCE,spain
2010-10-08,1.07,1.07,1.0,1.04,49143,EUR,SNCE,spain
2010-10-11,1.02,1.07,1.02,1.07,59086,EUR,SNCE,spain
2010-10-12,1.07,1.07,1.03,1.05,16931,EUR,SNCE,spain
2010-10-13,1.05,1.07,1.04,1.07,86978,EUR,SNCE,spain
2010-10-14,1.05,1.07,1.05,1.06,20601,EUR,SNCE,spain
2010-10-15,1.07,1.07,1.04,1.06,14989,EUR,SNCE,spain
2010-10-18,1.07,1.07,1.04,1.06,14597,EUR,SNCE,spain
2010-10-19,1.06,1.06,1.04,1.05,13716,EUR,SNCE,spain
2010-10-20,1.04,1.06,1.03,1.04,36399,EUR,SNCE,spain
2010-10-21,1.05,1.05,1.04,1.05,43377,EUR,SNCE,spain
2010-10-22,1.05,1.05,1.04,1.05,15588,EUR,SNCE,spain
2010-10-25,1.01,1.03,1.01,1.03,154550,EUR,SNCE,spain
2010-10-26,1.07,1.14,1.07,1.09,508754,EUR,SNCE,spain
2010-10-27,1.08,1.09,1.05,1.05,167231,EUR,SNCE,spain
2010-10-28,1.1,1.25,1.07,1.19,864950,EUR,SNCE,spain
2010-10-29,1.19,1.2,1.11,1.15,228871,EUR,SNCE,spain
2010-11-01,1.17,1.18,1.12,1.14,72553,EUR,SNCE,spain
2010-11-02,1.14,1.14,1.04,1.09,214064,EUR,SNCE,spain
2010-11-03,1.11,1.11,1.07,1.07,77600,EUR,SNCE,spain
2010-11-04,1.08,1.11,1.03,1.07,108556,EUR,SNCE,spain
2010-11-05,1.07,1.1,1.05,1.1,103153,EUR,SNCE,spain
2010-11-08,1.1,1.1,1.06,1.08,65333,EUR,SNCE,spain
2010-11-09,1.07,1.09,1.07,1.09,31501,EUR,SNCE,spain
2010-11-10,1.08,1.08,1.05,1.07,39963,EUR,SNCE,spain
2010-11-11,1.05,1.08,1.04,1.08,65178,EUR,SNCE,spain
2010-11-12,1.04,1.07,1.04,1.07,40517,EUR,SNCE,spain
2010-11-15,1.05,1.08,1.05,1.06,53886,EUR,SNCE,spain
2010-11-16,1.06,1.06,1.03,1.05,133159,EUR,SNCE,spain
2010-11-17,1.03,1.05,1.03,1.04,33879,EUR,SNCE,spain
2010-11-18,1.04,1.07,1.03,1.03,54201,EUR,SNCE,spain
2010-11-19,1.03,1.06,1.03,1.04,77758,EUR,SNCE,spain
2010-11-22,1.06,1.06,1.0,1.03,86551,EUR,SNCE,spain
2010-11-23,1.0,1.01,0.96,0.99,148880,EUR,SNCE,spain
2010-11-24,0.98,1.01,0.92,1.01,187098,EUR,SNCE,spain
2010-11-25,0.96,1.02,0.96,0.98,59778,EUR,SNCE,spain
2010-11-26,0.98,1.1,0.98,1.08,294801,EUR,SNCE,spain
2010-11-29,1.08,1.09,1.02,1.02,165217,EUR,SNCE,spain
2010-11-30,1.06,1.06,1.0,1.03,87217,EUR,SNCE,spain
2010-12-01,1.06,1.08,1.03,1.06,82167,EUR,SNCE,spain
2010-12-02,1.09,1.09,1.03,1.06,252854,EUR,SNCE,spain
2010-12-03,1.04,1.05,1.02,1.02,114682,EUR,SNCE,spain
2010-12-06,1.05,1.05,1.0,1.05,57251,EUR,SNCE,spain
2010-12-07,1.02,1.16,1.0,1.12,662788,EUR,SNCE,spain
2010-12-08,1.11,1.14,1.07,1.08,109672,EUR,SNCE,spain
2010-12-09,1.07,1.12,1.06,1.08,179458,EUR,SNCE,spain
2010-12-10,1.1,1.14,1.06,1.12,187431,EUR,SNCE,spain
2010-12-13,1.13,1.13,1.09,1.1,67395,EUR,SNCE,spain
2010-12-14,1.12,1.18,1.09,1.15,410843,EUR,SNCE,spain
2010-12-15,1.15,1.16,1.11,1.15,136405,EUR,SNCE,spain
2010-12-16,1.13,1.17,1.13,1.13,152608,EUR,SNCE,spain
2010-12-17,1.13,1.16,1.11,1.13,93958,EUR,SNCE,spain
2010-12-20,1.12,1.12,1.09,1.1,116551,EUR,SNCE,spain
2010-12-21,1.12,1.12,1.07,1.1,104889,EUR,SNCE,spain
2010-12-22,1.13,1.13,1.09,1.11,92397,EUR,SNCE,spain
2010-12-23,1.17,1.26,1.16,1.18,870496,EUR,SNCE,spain
2010-12-27,1.18,1.18,1.12,1.16,240624,EUR,SNCE,spain
2010-12-28,1.15,1.15,1.11,1.15,254947,EUR,SNCE,spain
2010-12-29,1.15,1.15,1.12,1.12,160751,EUR,SNCE,spain
2010-12-30,1.12,1.14,1.11,1.14,168661,EUR,SNCE,spain
2011-01-03,1.14,1.15,1.12,1.13,152433,EUR,SNCE,spain
2011-01-04,1.15,1.15,1.1,1.11,67664,EUR,SNCE,spain
2011-01-05,1.11,1.11,1.07,1.09,122373,EUR,SNCE,spain
2011-01-06,1.11,1.11,1.07,1.08,47495,EUR,SNCE,spain
2011-01-07,1.07,1.15,1.07,1.1,186618,EUR,SNCE,spain
2011-01-10,1.13,1.14,1.09,1.09,129637,EUR,SNCE,spain
2011-01-11,1.11,1.12,1.09,1.11,60300,EUR,SNCE,spain
2011-01-12,1.1,1.18,1.08,1.13,568731,EUR,SNCE,spain
2011-01-13,1.15,1.16,1.13,1.13,89643,EUR,SNCE,spain
2011-01-14,1.14,1.16,1.12,1.14,108397,EUR,SNCE,spain
2011-01-17,1.15,1.15,1.1,1.12,121274,EUR,SNCE,spain
2011-01-18,1.13,1.2,1.12,1.17,247395,EUR,SNCE,spain
2011-01-19,1.17,1.19,1.13,1.15,143940,EUR,SNCE,spain
2011-01-20,1.13,1.17,1.12,1.15,67720,EUR,SNCE,spain
2011-01-21,1.15,1.18,1.12,1.15,268012,EUR,SNCE,spain
2011-01-24,1.14,1.16,1.14,1.15,76085,EUR,SNCE,spain
2011-01-25,1.16,1.18,1.15,1.15,102710,EUR,SNCE,spain
2011-01-26,1.15,1.24,1.15,1.21,643329,EUR,SNCE,spain
2011-01-27,1.21,1.26,1.2,1.21,439625,EUR,SNCE,spain
2011-01-28,1.23,1.25,1.17,1.17,269029,EUR,SNCE,spain
2011-01-31,1.17,1.19,1.16,1.18,196212,EUR,SNCE,spain
2011-02-01,1.18,1.21,1.18,1.19,123216,EUR,SNCE,spain
2011-02-02,1.21,1.27,1.19,1.25,502060,EUR,SNCE,spain
2011-02-03,1.28,1.35,1.27,1.3,755275,EUR,SNCE,spain
2011-02-04,1.33,1.37,1.3,1.37,475469,EUR,SNCE,spain
2011-02-07,1.35,1.37,1.32,1.32,406991,EUR,SNCE,spain
2011-02-08,1.35,1.35,1.32,1.33,187848,EUR,SNCE,spain
2011-02-09,1.33,1.33,1.3,1.3,171619,EUR,SNCE,spain
2011-02-10,1.32,1.33,1.26,1.26,192869,EUR,SNCE,spain
2011-02-11,1.28,1.31,1.26,1.28,198564,EUR,SNCE,spain
2011-02-14,1.31,1.52,1.31,1.44,1221671,EUR,SNCE,spain
2011-02-15,1.46,1.59,1.43,1.59,1123401,EUR,SNCE,spain
2011-02-16,1.63,1.7,1.5,1.55,1107353,EUR,SNCE,spain
2011-02-17,1.55,1.58,1.47,1.55,495132,EUR,SNCE,spain
2011-02-18,1.59,1.64,1.55,1.59,714784,EUR,SNCE,spain
2011-02-21,1.59,1.64,1.55,1.55,451680,EUR,SNCE,spain
2011-02-22,1.54,1.54,1.49,1.51,348565,EUR,SNCE,spain
2011-02-23,1.51,1.51,1.49,1.49,114301,EUR,SNCE,spain
2011-02-24,1.48,1.5,1.46,1.49,147934,EUR,SNCE,spain
2011-02-25,1.54,1.58,1.52,1.55,253921,EUR,SNCE,spain
2011-02-28,1.59,1.59,1.5,1.54,236007,EUR,SNCE,spain
2011-03-01,1.56,1.56,1.46,1.49,322893,EUR,SNCE,spain
2011-03-02,1.43,1.45,1.37,1.42,641281,EUR,SNCE,spain
2011-03-03,1.41,1.44,1.39,1.43,180275,EUR,SNCE,spain
2011-03-04,1.43,1.44,1.37,1.38,177352,EUR,SNCE,spain
2011-03-07,1.37,1.41,1.37,1.4,133555,EUR,SNCE,spain
2011-03-08,1.4,1.44,1.39,1.42,104774,EUR,SNCE,spain
2011-03-09,1.43,1.43,1.38,1.41,69840,EUR,SNCE,spain
2011-03-10,1.41,1.41,1.36,1.38,77757,EUR,SNCE,spain
2011-03-11,1.37,1.37,1.31,1.34,187248,EUR,SNCE,spain
2011-03-14,1.31,1.39,1.31,1.32,171287,EUR,SNCE,spain
2011-03-15,1.3,1.32,1.25,1.3,336785,EUR,SNCE,spain
2011-03-16,1.3,1.35,1.25,1.25,286993,EUR,SNCE,spain
2011-03-17,1.27,1.31,1.25,1.31,135430,EUR,SNCE,spain
2011-03-18,1.35,1.48,1.32,1.45,447279,EUR,SNCE,spain
2011-03-21,1.52,1.59,1.5,1.59,976707,EUR,SNCE,spain
2011-03-22,1.64,1.64,1.48,1.53,1020805,EUR,SNCE,spain
2011-03-23,1.52,1.63,1.48,1.63,627938,EUR,SNCE,spain
2011-03-24,1.62,1.8,1.58,1.76,2539896,EUR,SNCE,spain
2011-03-25,1.77,1.79,1.64,1.67,1216305,EUR,SNCE,spain
2011-03-28,1.7,1.76,1.69,1.73,658531,EUR,SNCE,spain
2011-03-29,1.76,1.83,1.7,1.72,1067024,EUR,SNCE,spain
2011-03-30,1.7,1.72,1.61,1.66,1273069,EUR,SNCE,spain
2011-03-31,1.71,1.71,1.58,1.6,509651,EUR,SNCE,spain
2011-04-01,1.58,1.66,1.54,1.66,441111,EUR,SNCE,spain
2011-04-04,1.67,1.68,1.58,1.61,416447,EUR,SNCE,spain
2011-04-05,1.62,1.62,1.56,1.6,285497,EUR,SNCE,spain
2011-04-06,1.57,1.66,1.57,1.65,338023,EUR,SNCE,spain
2011-04-07,1.65,1.69,1.65,1.66,322086,EUR,SNCE,spain
2011-04-08,1.65,1.67,1.63,1.66,188532,EUR,SNCE,spain
2011-04-11,1.64,1.66,1.62,1.65,132340,EUR,SNCE,spain
2011-04-12,1.62,1.64,1.6,1.6,199410,EUR,SNCE,spain
2011-04-13,1.6,1.62,1.6,1.6,177541,EUR,SNCE,spain
2011-04-14,1.62,1.62,1.57,1.59,156162,EUR,SNCE,spain
2011-04-15,1.61,1.61,1.46,1.52,393215,EUR,SNCE,spain
2011-04-18,1.5,1.54,1.4,1.43,403121,EUR,SNCE,spain
2011-04-19,1.41,1.53,1.41,1.52,226345,EUR,SNCE,spain
2011-04-20,1.54,1.54,1.51,1.51,101500,EUR,SNCE,spain
2011-04-21,1.54,1.55,1.5,1.52,63525,EUR,SNCE,spain
2011-04-26,1.5,1.52,1.48,1.51,75343,EUR,SNCE,spain
