Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-12-06,9.24,9.24,8.7,9.04,26240,EUR,SPK,spain
2018-12-07,9.2,9.2,9.0,9.1,45533,EUR,SPK,spain
2018-12-10,9.9,9.9,9.06,9.5,58196,EUR,SPK,spain
2018-12-11,9.5,9.5,9.16,9.18,48988,EUR,SPK,spain
2018-12-12,9.16,9.34,8.94,9.0,62436,EUR,SPK,spain
2018-12-13,9.0,9.34,9.0,9.16,30146,EUR,SPK,spain
2018-12-14,9.2,9.5,9.06,9.48,21550,EUR,SPK,spain
2018-12-17,9.46,9.5,9.26,9.4,43089,EUR,SPK,spain
2018-12-18,9.46,9.5,9.3,9.48,19644,EUR,SPK,spain
2018-12-19,9.38,9.62,9.34,9.46,22444,EUR,SPK,spain
2018-12-20,9.46,9.5,9.18,9.5,21047,EUR,SPK,spain
2018-12-21,9.44,9.5,9.44,9.5,21256,EUR,SPK,spain
2018-12-24,9.5,9.5,9.36,9.36,1633,EUR,SPK,spain
2018-12-27,9.4,9.5,9.24,9.4,14417,EUR,SPK,spain
2018-12-28,9.4,9.46,9.28,9.46,21499,EUR,SPK,spain
2018-12-31,9.5,10.0,9.26,10.0,214319,EUR,SPK,spain
2019-01-02,9.4,9.96,9.4,9.56,17006,EUR,SPK,spain
2019-01-03,9.62,9.96,9.62,9.7,2613,EUR,SPK,spain
2019-01-04,9.7,10.4,9.7,10.15,35841,EUR,SPK,spain
2019-01-07,11.0,11.0,10.0,10.5,72431,EUR,SPK,spain
2019-01-08,10.7,10.75,10.3,10.5,32250,EUR,SPK,spain
2019-01-09,11.0,11.0,10.45,10.55,13804,EUR,SPK,spain
2019-01-10,10.55,10.55,10.25,10.5,12202,EUR,SPK,spain
2019-01-11,10.7,10.7,10.3,10.5,31246,EUR,SPK,spain
2019-01-14,10.7,11.3,10.55,11.0,169982,EUR,SPK,spain
2019-01-15,11.5,11.8,11.25,11.75,165750,EUR,SPK,spain
2019-01-16,11.95,12.75,11.8,12.5,335607,EUR,SPK,spain
2019-01-17,12.9,12.9,12.2,12.3,104778,EUR,SPK,spain
2019-01-18,12.5,12.5,12.3,12.35,56835,EUR,SPK,spain
2019-01-21,12.75,12.75,12.4,12.4,35227,EUR,SPK,spain
2019-01-22,12.4,12.4,11.3,12.0,56963,EUR,SPK,spain
2019-01-23,12.15,12.45,11.9,12.3,38623,EUR,SPK,spain
2019-01-24,12.5,12.5,12.3,12.42,9367,EUR,SPK,spain
2019-01-25,12.44,12.46,12.3,12.46,24615,EUR,SPK,spain
2019-01-28,12.48,12.88,12.3,12.54,49966,EUR,SPK,spain
2019-01-29,12.8,12.98,12.58,12.6,77171,EUR,SPK,spain
2019-01-30,12.84,12.84,12.42,12.68,27828,EUR,SPK,spain
2019-01-31,12.72,12.72,12.4,12.4,11562,EUR,SPK,spain
2019-02-01,12.4,12.4,11.5,12.16,35962,EUR,SPK,spain
2019-02-04,12.46,12.46,12.1,12.26,8731,EUR,SPK,spain
2019-02-05,12.2,12.4,12.2,12.3,17868,EUR,SPK,spain
2019-02-06,12.3,12.3,11.9,12.1,37719,EUR,SPK,spain
2019-02-07,12.12,12.16,11.54,11.76,77986,EUR,SPK,spain
2019-02-08,11.76,12.18,11.76,11.9,14117,EUR,SPK,spain
2019-02-11,12.14,12.18,11.5,11.7,24658,EUR,SPK,spain
2019-02-12,11.98,12.0,11.76,11.92,11536,EUR,SPK,spain
2019-02-13,12.06,12.06,11.7,11.88,15632,EUR,SPK,spain
2019-02-14,11.78,11.9,11.54,11.72,27487,EUR,SPK,spain
2019-02-15,11.74,11.98,11.62,11.96,15568,EUR,SPK,spain
2019-02-18,12.02,12.02,11.76,11.82,17862,EUR,SPK,spain
2019-02-19,12.1,12.1,11.7,11.7,4965,EUR,SPK,spain
2019-02-20,11.72,11.9,11.6,11.9,11155,EUR,SPK,spain
2019-02-21,11.76,11.9,11.7,11.7,5693,EUR,SPK,spain
2019-02-22,11.7,11.9,11.7,11.86,5166,EUR,SPK,spain
2019-02-25,12.1,12.2,11.6,11.8,21960,EUR,SPK,spain
2019-02-26,11.7,11.9,11.7,11.8,4207,EUR,SPK,spain
2019-02-27,11.96,11.96,11.56,11.8,18275,EUR,SPK,spain
2019-02-28,11.62,11.8,11.24,11.8,42116,EUR,SPK,spain
2019-03-01,11.78,11.78,11.44,11.76,12597,EUR,SPK,spain
2019-03-04,11.7,11.76,11.42,11.5,7283,EUR,SPK,spain
2019-03-05,11.22,11.38,10.4,11.38,84932,EUR,SPK,spain
2019-03-06,11.14,11.5,11.14,11.42,13713,EUR,SPK,spain
2019-03-07,11.28,11.86,11.16,11.7,22221,EUR,SPK,spain
2019-03-08,11.32,11.68,11.32,11.54,59660,EUR,SPK,spain
2019-03-11,11.68,11.68,11.2,11.66,11340,EUR,SPK,spain
2019-03-12,11.7,11.7,11.36,11.4,10011,EUR,SPK,spain
2019-03-13,11.22,11.48,11.22,11.32,14520,EUR,SPK,spain
2019-03-14,11.4,11.46,11.0,11.3,17564,EUR,SPK,spain
2019-03-15,11.3,11.3,10.92,11.3,34492,EUR,SPK,spain
2019-03-18,11.08,11.48,11.06,11.48,5543,EUR,SPK,spain
2019-03-19,11.6,11.6,11.2,11.32,2888,EUR,SPK,spain
2019-03-20,11.64,11.64,11.02,11.2,17503,EUR,SPK,spain
2019-03-21,11.28,11.28,10.88,10.96,6550,EUR,SPK,spain
2019-03-22,11.0,11.1,10.62,10.64,5994,EUR,SPK,spain
2019-03-25,10.5,10.98,10.5,10.98,22394,EUR,SPK,spain
2019-03-26,11.0,11.26,10.62,11.2,16268,EUR,SPK,spain
2019-03-27,11.2,11.5,11.2,11.3,9910,EUR,SPK,spain
2019-03-28,11.3,11.38,11.2,11.3,4224,EUR,SPK,spain
2019-03-29,11.02,11.84,11.02,11.84,9273,EUR,SPK,spain
2019-04-01,11.84,11.88,11.6,11.88,20713,EUR,SPK,spain
2019-04-02,11.62,11.8,11.62,11.72,3057,EUR,SPK,spain
2019-04-03,11.52,11.9,11.28,11.48,34902,EUR,SPK,spain
2019-04-04,11.68,11.7,11.16,11.5,15208,EUR,SPK,spain
2019-04-05,11.34,11.62,11.34,11.62,6036,EUR,SPK,spain
2019-04-08,11.68,11.84,11.3,11.84,28788,EUR,SPK,spain
2019-04-09,11.42,11.5,11.28,11.48,18611,EUR,SPK,spain
2019-04-10,11.34,11.5,11.34,11.4,5201,EUR,SPK,spain
2019-04-11,11.48,11.5,11.26,11.42,8034,EUR,SPK,spain
2019-04-12,11.44,11.44,11.2,11.2,7789,EUR,SPK,spain
2019-04-15,11.48,11.8,11.14,11.52,28054,EUR,SPK,spain
2019-04-16,11.7,11.7,11.26,11.5,19607,EUR,SPK,spain
2019-04-17,11.5,11.5,11.36,11.48,1797,EUR,SPK,spain
2019-04-18,11.28,11.5,11.28,11.48,2887,EUR,SPK,spain
2019-04-23,11.3,11.4,11.12,11.36,16130,EUR,SPK,spain
2019-04-24,11.18,11.4,11.16,11.4,6760,EUR,SPK,spain
2019-04-25,11.18,11.7,11.18,11.48,14765,EUR,SPK,spain
2019-04-26,11.7,11.7,11.48,11.48,9741,EUR,SPK,spain
2019-04-29,11.48,11.7,11.48,11.58,38072,EUR,SPK,spain
2019-04-30,11.5,11.68,11.3,11.58,40529,EUR,SPK,spain
2019-05-02,11.34,11.34,10.9,11.3,29029,EUR,SPK,spain
2019-05-03,11.34,11.34,11.1,11.1,4261,EUR,SPK,spain
2019-05-06,11.12,11.22,10.92,11.22,566,EUR,SPK,spain
2019-05-07,11.2,11.3,11.0,11.12,5985,EUR,SPK,spain
2019-05-08,11.1,11.42,11.08,11.18,8908,EUR,SPK,spain
2019-05-09,11.2,11.42,11.04,11.18,5929,EUR,SPK,spain
2019-05-10,11.4,11.4,11.2,11.2,4547,EUR,SPK,spain
2019-05-13,11.36,11.38,11.12,11.38,5369,EUR,SPK,spain
2019-05-14,11.18,11.24,11.0,11.1,23296,EUR,SPK,spain
2019-05-15,11.06,11.28,10.8,10.8,13109,EUR,SPK,spain
2019-05-16,10.8,11.18,10.8,10.94,7309,EUR,SPK,spain
2019-05-17,11.02,11.02,10.8,10.88,3391,EUR,SPK,spain
2019-05-20,10.76,11.14,10.76,10.82,6721,EUR,SPK,spain
2019-05-21,11.26,11.26,10.82,11.14,11541,EUR,SPK,spain
2019-05-22,10.96,11.36,10.96,11.2,10430,EUR,SPK,spain
2019-05-23,11.1,11.18,10.92,11.16,2190,EUR,SPK,spain
2019-05-24,11.08,11.26,11.08,11.26,1538,EUR,SPK,spain
2019-05-27,11.08,11.38,11.08,11.32,10102,EUR,SPK,spain
2019-05-28,11.06,11.28,11.06,11.24,2768,EUR,SPK,spain
2019-05-29,11.24,11.42,11.2,11.42,9773,EUR,SPK,spain
2019-05-30,11.38,11.38,11.2,11.42,258,EUR,SPK,spain
2019-05-31,11.2,11.5,11.12,11.5,13488,EUR,SPK,spain
2019-06-03,11.48,11.48,11.3,11.48,688,EUR,SPK,spain
2019-06-04,11.48,11.6,11.3,11.58,7486,EUR,SPK,spain
2019-06-05,11.58,11.74,11.58,11.6,8933,EUR,SPK,spain
2019-06-06,11.62,11.7,11.6,11.7,1263,EUR,SPK,spain
2019-06-07,11.6,11.7,11.5,11.64,4681,EUR,SPK,spain
2019-06-10,11.74,11.74,11.6,11.7,3745,EUR,SPK,spain
2019-06-11,11.6,11.6,11.56,11.6,2793,EUR,SPK,spain
2019-06-12,11.56,11.66,11.4,11.5,3456,EUR,SPK,spain
2019-06-13,11.38,11.7,11.36,11.7,8858,EUR,SPK,spain
2019-06-14,11.68,11.7,11.58,11.7,4233,EUR,SPK,spain
2019-06-17,11.34,11.64,11.34,11.58,3593,EUR,SPK,spain
2019-06-18,11.32,11.7,11.32,11.7,4282,EUR,SPK,spain
2019-06-19,11.54,11.54,11.48,11.5,12497,EUR,SPK,spain
2019-06-20,11.4,11.5,11.4,11.5,1834,EUR,SPK,spain
2019-06-21,11.5,11.5,11.36,11.5,7395,EUR,SPK,spain
2019-06-24,11.38,11.5,11.2,11.38,8599,EUR,SPK,spain
2019-06-25,11.3,11.4,11.22,11.4,7381,EUR,SPK,spain
2019-06-26,11.42,11.8,11.3,11.6,48527,EUR,SPK,spain
2019-06-27,11.7,11.7,11.38,11.46,7010,EUR,SPK,spain
2019-06-28,11.32,11.54,11.3,11.54,6176,EUR,SPK,spain
2019-07-01,11.54,11.54,11.5,11.5,1899,EUR,SPK,spain
2019-07-02,11.5,11.5,11.38,11.48,2954,EUR,SPK,spain
2019-07-03,11.36,11.5,11.32,11.48,1632,EUR,SPK,spain
2019-07-04,11.5,11.5,11.34,11.48,1586,EUR,SPK,spain
2019-07-05,11.32,11.5,11.32,11.48,13424,EUR,SPK,spain
2019-07-08,11.5,11.54,11.38,11.5,1470,EUR,SPK,spain
2019-07-09,11.5,11.5,11.3,11.4,4138,EUR,SPK,spain
2019-07-10,11.34,11.4,11.1,11.3,16981,EUR,SPK,spain
2019-07-11,11.12,11.3,11.12,11.3,10197,EUR,SPK,spain
2019-07-12,11.44,11.44,11.18,11.28,13817,EUR,SPK,spain
2019-07-15,11.26,11.38,11.26,11.36,7333,EUR,SPK,spain
2019-07-16,11.28,11.32,11.16,11.3,9156,EUR,SPK,spain
2019-07-17,11.16,11.28,11.14,11.28,6011,EUR,SPK,spain
2019-07-18,11.14,11.3,11.1,11.3,4366,EUR,SPK,spain
2019-07-19,11.16,11.28,11.14,11.28,6820,EUR,SPK,spain
2019-07-22,11.16,11.48,11.12,11.3,1733,EUR,SPK,spain
2019-07-23,11.22,11.4,11.22,11.4,6733,EUR,SPK,spain
2019-07-24,11.3,11.4,11.28,11.4,4282,EUR,SPK,spain
2019-07-25,11.32,11.4,11.32,11.4,2435,EUR,SPK,spain
2019-07-26,11.38,11.38,11.08,11.38,6357,EUR,SPK,spain
2019-07-29,11.38,11.38,11.16,11.36,2394,EUR,SPK,spain
2019-07-30,11.06,11.38,11.04,11.3,5158,EUR,SPK,spain
2019-07-31,11.32,11.4,11.12,11.4,17927,EUR,SPK,spain
2019-08-01,11.4,11.8,11.4,11.66,15321,EUR,SPK,spain
2019-08-02,11.7,11.7,11.5,11.6,2471,EUR,SPK,spain
2019-08-05,11.76,11.76,11.44,11.68,4735,EUR,SPK,spain
2019-08-06,11.22,11.6,11.22,11.6,1226,EUR,SPK,spain
2019-08-07,11.6,11.6,11.54,11.6,764,EUR,SPK,spain
2019-08-08,11.68,11.68,11.52,11.66,2165,EUR,SPK,spain
2019-08-09,11.66,11.66,11.12,11.12,8172,EUR,SPK,spain
2019-08-12,11.22,11.46,11.12,11.44,2443,EUR,SPK,spain
2019-08-13,11.48,11.48,11.44,11.44,1431,EUR,SPK,spain
2019-08-14,11.14,11.42,10.9,11.0,6418,EUR,SPK,spain
2019-08-15,11.02,11.04,10.66,11.04,7105,EUR,SPK,spain
