Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-10,0.53,0.53,0.51,0.53,123591,EUR,SPSL,spain
2010-11-11,0.52,0.53,0.51,0.51,69629,EUR,SPSL,spain
2010-11-12,0.51,0.52,0.5,0.51,95119,EUR,SPSL,spain
2010-11-15,0.51,0.52,0.5,0.51,25933,EUR,SPSL,spain
2010-11-16,0.49,0.5,0.46,0.46,367128,EUR,SPSL,spain
2010-11-17,0.46,0.47,0.44,0.45,366754,EUR,SPSL,spain
2010-11-18,0.45,0.46,0.45,0.45,125738,EUR,SPSL,spain
2010-11-19,0.45,0.46,0.45,0.45,49017,EUR,SPSL,spain
2010-11-22,0.45,0.47,0.44,0.44,123990,EUR,SPSL,spain
2010-11-23,0.44,0.46,0.43,0.43,82699,EUR,SPSL,spain
2010-11-24,0.43,0.44,0.43,0.44,101467,EUR,SPSL,spain
2010-11-25,0.43,0.43,0.42,0.42,117868,EUR,SPSL,spain
2010-11-26,0.42,0.42,0.4,0.4,90592,EUR,SPSL,spain
2010-11-29,0.4,0.42,0.37,0.37,105806,EUR,SPSL,spain
2010-11-30,0.37,0.37,0.36,0.36,129182,EUR,SPSL,spain
2010-12-01,0.36,0.4,0.36,0.4,86106,EUR,SPSL,spain
2010-12-02,0.4,0.42,0.4,0.42,68010,EUR,SPSL,spain
2010-12-03,0.4,0.43,0.4,0.42,66428,EUR,SPSL,spain
2010-12-06,0.41,0.42,0.41,0.42,10813,EUR,SPSL,spain
2010-12-07,0.41,0.43,0.41,0.42,13955,EUR,SPSL,spain
2010-12-08,0.42,0.43,0.4,0.41,44441,EUR,SPSL,spain
2010-12-09,0.42,0.42,0.41,0.41,49542,EUR,SPSL,spain
2010-12-10,0.41,0.41,0.41,0.41,30386,EUR,SPSL,spain
2010-12-13,0.41,0.42,0.41,0.41,40206,EUR,SPSL,spain
2010-12-14,0.45,0.46,0.42,0.44,151955,EUR,SPSL,spain
2010-12-15,0.43,0.44,0.42,0.43,42482,EUR,SPSL,spain
2010-12-16,0.45,0.46,0.43,0.44,102142,EUR,SPSL,spain
2010-12-17,0.43,0.45,0.41,0.41,147853,EUR,SPSL,spain
2010-12-20,0.42,0.42,0.4,0.4,183953,EUR,SPSL,spain
2010-12-21,0.4,0.41,0.4,0.4,101975,EUR,SPSL,spain
2010-12-22,0.4,0.41,0.4,0.4,53257,EUR,SPSL,spain
2010-12-23,0.4,0.41,0.38,0.39,254013,EUR,SPSL,spain
2010-12-27,0.4,0.4,0.38,0.38,126876,EUR,SPSL,spain
2010-12-28,0.38,0.39,0.38,0.39,113166,EUR,SPSL,spain
2010-12-29,0.38,0.4,0.38,0.38,255524,EUR,SPSL,spain
2010-12-30,0.39,0.4,0.38,0.39,295361,EUR,SPSL,spain
2011-01-03,0.41,0.41,0.39,0.4,90470,EUR,SPSL,spain
2011-01-04,0.4,0.4,0.39,0.39,155518,EUR,SPSL,spain
2011-01-05,0.39,0.39,0.38,0.39,56965,EUR,SPSL,spain
2011-01-06,0.39,0.39,0.38,0.39,25443,EUR,SPSL,spain
2011-01-07,0.39,0.39,0.36,0.38,213056,EUR,SPSL,spain
2011-01-10,0.37,0.41,0.37,0.38,140644,EUR,SPSL,spain
2011-01-11,0.38,0.39,0.37,0.38,21868,EUR,SPSL,spain
2011-01-12,0.39,0.4,0.36,0.38,929564,EUR,SPSL,spain
2011-01-13,0.38,0.39,0.38,0.39,129677,EUR,SPSL,spain
2011-01-14,0.4,0.4,0.38,0.39,161991,EUR,SPSL,spain
2011-01-17,0.39,0.39,0.38,0.39,32485,EUR,SPSL,spain
2011-01-18,0.4,0.41,0.39,0.4,261298,EUR,SPSL,spain
2011-01-19,0.4,0.41,0.39,0.41,454480,EUR,SPSL,spain
2011-01-20,0.42,0.42,0.4,0.41,81653,EUR,SPSL,spain
2011-01-21,0.41,0.44,0.41,0.43,612905,EUR,SPSL,spain
2011-01-24,0.43,0.43,0.42,0.43,107405,EUR,SPSL,spain
2011-01-25,0.42,0.44,0.42,0.43,46951,EUR,SPSL,spain
2011-01-26,0.43,0.45,0.43,0.44,191658,EUR,SPSL,spain
2011-01-27,0.43,0.45,0.43,0.43,153576,EUR,SPSL,spain
2011-01-28,0.43,0.44,0.43,0.43,66478,EUR,SPSL,spain
2011-01-31,0.43,0.43,0.42,0.43,79650,EUR,SPSL,spain
2011-02-01,0.42,0.46,0.42,0.46,219999,EUR,SPSL,spain
2011-02-02,0.46,0.48,0.46,0.48,437328,EUR,SPSL,spain
2011-02-03,0.49,0.51,0.48,0.5,561719,EUR,SPSL,spain
2011-02-04,0.5,0.51,0.49,0.5,109641,EUR,SPSL,spain
2011-02-07,0.51,0.55,0.51,0.54,592833,EUR,SPSL,spain
2011-02-08,0.54,0.55,0.52,0.54,296743,EUR,SPSL,spain
2011-02-09,0.54,0.55,0.53,0.55,263333,EUR,SPSL,spain
2011-02-10,0.55,0.55,0.53,0.54,144810,EUR,SPSL,spain
2011-02-11,0.53,0.55,0.53,0.54,61049,EUR,SPSL,spain
2011-02-14,0.55,0.58,0.55,0.56,670507,EUR,SPSL,spain
2011-02-15,0.55,0.62,0.55,0.61,1385067,EUR,SPSL,spain
2011-02-16,0.63,0.64,0.59,0.62,948468,EUR,SPSL,spain
2011-02-17,0.62,0.62,0.59,0.61,284570,EUR,SPSL,spain
2011-02-18,0.59,0.6,0.57,0.58,205800,EUR,SPSL,spain
2011-02-21,0.57,0.62,0.56,0.56,773193,EUR,SPSL,spain
2011-02-22,0.57,0.58,0.56,0.57,584838,EUR,SPSL,spain
2011-02-23,0.56,0.6,0.56,0.57,363055,EUR,SPSL,spain
2011-02-24,0.58,0.58,0.55,0.57,374020,EUR,SPSL,spain
2011-02-25,0.57,0.57,0.54,0.54,308727,EUR,SPSL,spain
2011-02-28,0.55,0.56,0.54,0.55,268784,EUR,SPSL,spain
2011-03-01,0.55,0.56,0.54,0.54,74642,EUR,SPSL,spain
2011-03-02,0.54,0.55,0.5,0.51,341135,EUR,SPSL,spain
2011-03-03,0.51,0.53,0.51,0.51,75966,EUR,SPSL,spain
2011-03-04,0.51,0.53,0.51,0.51,128978,EUR,SPSL,spain
2011-03-07,0.51,0.51,0.5,0.5,79459,EUR,SPSL,spain
2011-03-08,0.5,0.5,0.5,0.5,28853,EUR,SPSL,spain
2011-03-09,0.51,0.53,0.5,0.52,299879,EUR,SPSL,spain
2011-03-10,0.51,0.52,0.51,0.52,85096,EUR,SPSL,spain
2011-03-11,0.52,0.53,0.51,0.51,18599,EUR,SPSL,spain
2011-03-14,0.51,0.52,0.51,0.51,42791,EUR,SPSL,spain
2011-03-15,0.5,0.5,0.45,0.46,782019,EUR,SPSL,spain
2011-03-16,0.47,0.49,0.45,0.46,297033,EUR,SPSL,spain
2011-03-17,0.44,0.48,0.44,0.46,405199,EUR,SPSL,spain
2011-03-18,0.46,0.48,0.45,0.45,124007,EUR,SPSL,spain
2011-03-21,0.47,0.47,0.45,0.45,87321,EUR,SPSL,spain
2011-03-22,0.46,0.48,0.46,0.47,193536,EUR,SPSL,spain
2011-03-23,0.46,0.47,0.46,0.47,31427,EUR,SPSL,spain
2011-03-24,0.46,0.47,0.46,0.47,66471,EUR,SPSL,spain
2011-03-25,0.47,0.55,0.47,0.55,1546511,EUR,SPSL,spain
2011-03-28,0.56,0.57,0.51,0.52,1182792,EUR,SPSL,spain
2011-03-29,0.54,0.55,0.51,0.51,1115901,EUR,SPSL,spain
2011-03-30,0.51,0.52,0.5,0.52,428451,EUR,SPSL,spain
2011-03-31,0.52,0.52,0.51,0.51,316653,EUR,SPSL,spain
2011-04-01,0.52,0.52,0.49,0.5,254655,EUR,SPSL,spain
2011-04-04,0.51,0.51,0.49,0.5,125072,EUR,SPSL,spain
2011-04-05,0.5,0.51,0.49,0.5,371969,EUR,SPSL,spain
2011-04-06,0.49,0.5,0.49,0.49,319752,EUR,SPSL,spain
2011-04-07,0.49,0.49,0.48,0.49,213890,EUR,SPSL,spain
2011-04-08,0.49,0.49,0.47,0.47,762069,EUR,SPSL,spain
2011-04-11,0.48,0.49,0.47,0.48,862549,EUR,SPSL,spain
2011-04-12,0.49,0.49,0.48,0.48,317967,EUR,SPSL,spain
2011-04-13,0.48,0.49,0.48,0.48,465614,EUR,SPSL,spain
2011-04-14,0.48,0.48,0.47,0.47,392506,EUR,SPSL,spain
2011-04-15,0.47,0.48,0.45,0.46,363341,EUR,SPSL,spain
2011-04-18,0.46,0.46,0.43,0.44,296239,EUR,SPSL,spain
2011-04-19,0.45,0.45,0.43,0.44,188455,EUR,SPSL,spain
2011-04-20,0.44,0.45,0.44,0.45,104048,EUR,SPSL,spain
2011-04-21,0.44,0.45,0.43,0.43,190577,EUR,SPSL,spain
2011-04-26,0.42,0.43,0.41,0.42,1032126,EUR,SPSL,spain
2011-04-27,0.43,0.45,0.42,0.44,189747,EUR,SPSL,spain
2011-04-28,0.45,0.47,0.45,0.46,641014,EUR,SPSL,spain
2011-04-29,0.46,0.46,0.44,0.45,83475,EUR,SPSL,spain
2011-05-02,0.45,0.46,0.44,0.45,55486,EUR,SPSL,spain
2011-05-03,0.45,0.45,0.44,0.45,103337,EUR,SPSL,spain
2011-05-04,0.45,0.45,0.44,0.45,40405,EUR,SPSL,spain
2011-05-05,0.45,0.45,0.43,0.45,186906,EUR,SPSL,spain
2011-05-06,0.45,0.45,0.44,0.44,357395,EUR,SPSL,spain
2011-05-09,0.44,0.46,0.42,0.43,545347,EUR,SPSL,spain
2011-05-10,0.42,0.43,0.42,0.43,486029,EUR,SPSL,spain
2011-05-11,0.43,0.43,0.41,0.42,921804,EUR,SPSL,spain
2011-05-12,0.41,0.41,0.4,0.4,2693019,EUR,SPSL,spain
2011-05-13,0.41,0.41,0.4,0.4,568067,EUR,SPSL,spain
2011-05-16,0.4,0.4,0.39,0.4,772274,EUR,SPSL,spain
2011-05-17,0.39,0.4,0.39,0.39,369364,EUR,SPSL,spain
2011-05-18,0.39,0.39,0.38,0.39,707077,EUR,SPSL,spain
2011-05-19,0.39,0.39,0.38,0.39,399612,EUR,SPSL,spain
2011-05-20,0.39,0.39,0.38,0.39,576378,EUR,SPSL,spain
2011-05-23,0.39,0.39,0.37,0.38,316338,EUR,SPSL,spain
2011-05-24,0.38,0.38,0.37,0.38,301994,EUR,SPSL,spain
2011-05-25,0.37,0.38,0.36,0.38,289611,EUR,SPSL,spain
2011-05-26,0.38,0.38,0.37,0.37,242094,EUR,SPSL,spain
2011-05-27,0.37,0.38,0.37,0.37,273619,EUR,SPSL,spain
2011-05-30,0.37,0.38,0.37,0.38,939055,EUR,SPSL,spain
2011-05-31,0.38,0.41,0.38,0.4,2139523,EUR,SPSL,spain
2011-06-01,0.4,0.4,0.39,0.39,954346,EUR,SPSL,spain
2011-06-02,0.39,0.39,0.39,0.39,263554,EUR,SPSL,spain
2011-06-03,0.39,0.4,0.39,0.39,343978,EUR,SPSL,spain
2011-06-06,0.4,0.4,0.38,0.38,372335,EUR,SPSL,spain
2011-06-07,0.38,0.39,0.38,0.38,183887,EUR,SPSL,spain
2011-06-08,0.38,0.38,0.37,0.38,257415,EUR,SPSL,spain
2011-06-09,0.38,0.38,0.37,0.38,149028,EUR,SPSL,spain
2011-06-10,0.38,0.39,0.37,0.39,420954,EUR,SPSL,spain
2011-06-13,0.39,0.4,0.39,0.4,646281,EUR,SPSL,spain
2011-06-14,0.41,0.42,0.4,0.42,879799,EUR,SPSL,spain
2011-06-15,0.42,0.42,0.4,0.4,573144,EUR,SPSL,spain
2011-06-16,0.41,0.41,0.39,0.4,287309,EUR,SPSL,spain
2011-06-17,0.39,0.4,0.39,0.4,193850,EUR,SPSL,spain
2011-06-20,0.4,0.4,0.38,0.39,185256,EUR,SPSL,spain
2011-06-21,0.38,0.39,0.38,0.39,142786,EUR,SPSL,spain
2011-06-22,0.39,0.4,0.39,0.39,73444,EUR,SPSL,spain
2011-06-23,0.39,0.4,0.38,0.38,187451,EUR,SPSL,spain
2011-06-24,0.38,0.39,0.36,0.37,437378,EUR,SPSL,spain
2011-06-27,0.37,0.39,0.36,0.38,536148,EUR,SPSL,spain
2011-06-28,0.39,0.39,0.36,0.38,377510,EUR,SPSL,spain
2011-06-29,0.39,0.39,0.38,0.39,579924,EUR,SPSL,spain
2011-06-30,0.39,0.4,0.38,0.39,361289,EUR,SPSL,spain
2011-07-01,0.39,0.39,0.39,0.39,211656,EUR,SPSL,spain
2011-07-04,0.39,0.4,0.39,0.39,258965,EUR,SPSL,spain
2011-07-05,0.4,0.4,0.39,0.4,163356,EUR,SPSL,spain
2011-07-06,0.39,0.39,0.38,0.39,51994,EUR,SPSL,spain
2011-07-07,0.39,0.39,0.38,0.38,164716,EUR,SPSL,spain
2011-07-08,0.39,0.39,0.38,0.38,261910,EUR,SPSL,spain
2011-07-11,0.39,0.39,0.37,0.38,219331,EUR,SPSL,spain
2011-07-12,0.37,0.38,0.36,0.37,205636,EUR,SPSL,spain
2011-07-13,0.37,0.38,0.36,0.37,183823,EUR,SPSL,spain
2011-07-14,0.37,0.38,0.36,0.37,128994,EUR,SPSL,spain
2011-07-15,0.37,0.38,0.37,0.37,16854,EUR,SPSL,spain
2011-07-18,0.37,0.38,0.37,0.38,78571,EUR,SPSL,spain
2011-07-19,0.38,0.38,0.37,0.38,136705,EUR,SPSL,spain
2011-07-20,0.38,0.38,0.37,0.38,43208,EUR,SPSL,spain
2011-07-21,0.38,0.38,0.37,0.38,64328,EUR,SPSL,spain
2011-07-22,0.38,0.38,0.38,0.38,127632,EUR,SPSL,spain
2011-07-25,0.37,0.38,0.37,0.37,38245,EUR,SPSL,spain
2011-07-26,0.37,0.38,0.37,0.37,53700,EUR,SPSL,spain
2011-07-27,0.38,0.38,0.36,0.36,86456,EUR,SPSL,spain
2011-07-28,0.38,0.38,0.36,0.37,53022,EUR,SPSL,spain
2011-07-29,0.37,0.37,0.36,0.36,147295,EUR,SPSL,spain
2011-08-01,0.36,0.37,0.36,0.36,224564,EUR,SPSL,spain
2011-08-02,0.36,0.36,0.34,0.34,219385,EUR,SPSL,spain
2011-08-03,0.33,0.35,0.32,0.34,242866,EUR,SPSL,spain
2011-08-04,0.34,0.34,0.33,0.34,107511,EUR,SPSL,spain
2011-08-05,0.34,0.34,0.31,0.33,254879,EUR,SPSL,spain
2011-08-08,0.32,0.33,0.3,0.31,286248,EUR,SPSL,spain
2011-08-09,0.3,0.32,0.29,0.31,196339,EUR,SPSL,spain
2011-08-10,0.31,0.32,0.29,0.3,242595,EUR,SPSL,spain
2011-08-11,0.31,0.31,0.29,0.29,288640,EUR,SPSL,spain
2011-08-12,0.3,0.31,0.29,0.31,128437,EUR,SPSL,spain
2011-08-15,0.3,0.32,0.3,0.32,60500,EUR,SPSL,spain
2011-08-16,0.33,0.33,0.31,0.32,110852,EUR,SPSL,spain
2011-08-17,0.32,0.33,0.32,0.33,98668,EUR,SPSL,spain
2011-08-18,0.32,0.33,0.3,0.31,117213,EUR,SPSL,spain
2011-08-19,0.33,0.33,0.29,0.31,87715,EUR,SPSL,spain
2011-08-22,0.31,0.32,0.3,0.31,15575,EUR,SPSL,spain
2011-08-23,0.32,0.33,0.31,0.32,152772,EUR,SPSL,spain
2011-08-24,0.33,0.34,0.32,0.33,430689,EUR,SPSL,spain
2011-08-25,0.34,0.34,0.33,0.33,250727,EUR,SPSL,spain
