Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2000-01-03,21.343,21.624,20.476,20.641,16261147,EUR,TEF,spain
2000-01-04,20.435,20.699,19.444,19.791,18071832,EUR,TEF,spain
2000-01-05,18.998,19.386,18.734,18.866,19914712,EUR,TEF,spain
2000-01-07,18.907,18.94,18.594,18.899,21069784,EUR,TEF,spain
2000-01-10,19.791,19.791,19.246,19.469,13541027,EUR,TEF,spain
2000-01-11,19.774,19.774,19.196,19.485,14517801,EUR,TEF,spain
2000-01-12,19.254,19.725,19.023,19.031,21643312,EUR,TEF,spain
2000-01-13,19.816,21.88,19.692,20.187,46723140,EUR,TEF,spain
2000-01-14,20.228,20.972,19.981,20.806,45231224,EUR,TEF,spain
2000-01-17,21.384,22.466,21.219,22.004,34317392,EUR,TEF,spain
2000-01-18,22.416,22.937,21.838,21.88,32978260,EUR,TEF,spain
2000-01-19,21.715,22.227,21.574,21.715,21197052,EUR,TEF,spain
2000-01-20,21.632,21.855,21.104,21.17,21833672,EUR,TEF,spain
2000-01-21,20.798,21.161,20.559,20.839,21653376,EUR,TEF,spain
2000-01-24,20.806,21.244,20.517,20.724,17989320,EUR,TEF,spain
2000-01-25,20.385,20.55,20.022,20.138,19121556,EUR,TEF,spain
2000-01-26,20.352,20.798,20.212,20.798,24590882,EUR,TEF,spain
2000-01-27,21.178,22.326,20.988,21.872,30465440,EUR,TEF,spain
2000-01-28,22.127,22.293,21.426,21.756,22105632,EUR,TEF,spain
2000-01-31,21.384,21.789,21.054,21.384,20451214,EUR,TEF,spain
2000-02-01,21.475,22.334,21.393,22.185,23941380,EUR,TEF,spain
2000-02-02,22.21,23.234,22.028,22.928,25873824,EUR,TEF,spain
2000-02-03,23.11,23.903,22.961,23.82,24365828,EUR,TEF,spain
2000-02-04,23.944,24.728,23.936,24.109,21134624,EUR,TEF,spain
2000-02-07,24.142,24.604,23.622,23.622,19529268,EUR,TEF,spain
2000-02-08,23.903,24.637,23.779,24.233,16740272,EUR,TEF,spain
2000-02-09,24.398,26.165,24.373,25.348,26729468,EUR,TEF,spain
2000-02-10,24.935,25.992,24.893,25.314,26616772,EUR,TEF,spain
2000-02-11,25.851,26.371,25.645,26.371,20139898,EUR,TEF,spain
2000-02-14,26.462,26.751,25.81,26.016,19693152,EUR,TEF,spain
2000-02-15,25.925,26.016,24.943,24.976,18058048,EUR,TEF,spain
2000-02-16,25.182,25.339,24.068,24.522,31744668,EUR,TEF,spain
2000-02-17,24.522,24.885,23.779,24.315,15540976,EUR,TEF,spain
2000-02-18,24.357,24.827,24.274,24.415,17272788,EUR,TEF,spain
2000-02-21,23.779,24.093,23.556,23.762,11743106,EUR,TEF,spain
2000-02-22,23.614,24.208,23.077,23.201,21855536,EUR,TEF,spain
2000-02-23,23.407,23.828,23.267,23.432,25539856,EUR,TEF,spain
2000-02-24,23.779,24.728,23.729,24.051,20828920,EUR,TEF,spain
2000-02-25,24.398,24.67,24.249,24.58,14853828,EUR,TEF,spain
2000-02-28,24.439,24.67,24.109,24.233,12708039,EUR,TEF,spain
2000-02-29,24.398,24.811,24.068,24.646,15314814,EUR,TEF,spain
2000-03-01,24.877,25.389,24.563,24.687,15787624,EUR,TEF,spain
2000-03-02,24.893,26.008,24.704,26.008,24114062,EUR,TEF,spain
2000-03-03,26.214,27.081,23.944,26.586,27121592,EUR,TEF,spain
2000-03-06,27.04,27.346,26.627,26.916,16566438,EUR,TEF,spain
2000-03-07,26.916,27.081,26.008,26.008,13198051,EUR,TEF,spain
2000-03-08,25.471,25.802,25.034,25.447,17792608,EUR,TEF,spain
2000-03-09,25.513,25.678,25.191,25.191,13508129,EUR,TEF,spain
