Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,5.98,6.03,5.98,6.03,0,EUR,TL5,spain
2009-02-12,6.0,6.04,5.94,5.94,0,EUR,TL5,spain
2009-02-13,5.99,6.18,5.97,5.97,0,EUR,TL5,spain
2009-02-16,5.99,6.0,5.71,5.71,0,EUR,TL5,spain
2009-02-17,5.72,5.84,5.62,5.84,0,EUR,TL5,spain
2009-02-18,5.83,5.85,5.4,5.4,0,EUR,TL5,spain
2009-02-19,5.56,5.73,5.32,5.73,0,EUR,TL5,spain
2009-02-20,5.5,5.53,5.36,5.36,0,EUR,TL5,spain
2009-02-25,5.13,5.17,4.95,5.17,0,EUR,TL5,spain
2009-02-26,5.15,5.93,5.04,5.93,0,EUR,TL5,spain
2009-02-27,5.53,5.73,5.5,5.73,0,EUR,TL5,spain
2009-03-06,4.75,4.79,4.51,4.51,0,EUR,TL5,spain
2009-03-09,4.49,4.52,4.46,4.46,0,EUR,TL5,spain
2009-03-10,4.57,4.7,4.52,4.52,0,EUR,TL5,spain
2009-03-11,4.65,4.83,4.65,4.83,0,EUR,TL5,spain
2009-03-12,4.62,4.66,4.42,4.42,0,EUR,TL5,spain
2009-03-13,4.5,4.58,4.37,4.37,0,EUR,TL5,spain
2009-03-16,4.66,4.8,4.58,4.8,0,EUR,TL5,spain
2009-03-17,4.69,4.78,4.52,4.52,0,EUR,TL5,spain
2009-03-18,4.65,4.74,4.61,4.61,0,EUR,TL5,spain
2009-03-19,4.76,4.76,4.6,4.6,0,EUR,TL5,spain
2009-03-20,4.58,4.67,4.45,4.45,0,EUR,TL5,spain
2009-04-01,5.38,5.47,5.38,5.47,0,EUR,TL5,spain
2009-04-02,5.57,5.75,5.38,5.38,0,EUR,TL5,spain
2009-04-03,5.59,5.6,5.44,5.44,0,EUR,TL5,spain
2009-04-06,5.83,5.95,5.75,5.75,0,EUR,TL5,spain
2009-04-07,5.92,6.14,5.9,5.9,0,EUR,TL5,spain
2009-04-08,5.97,6.41,5.94,6.41,0,EUR,TL5,spain
2009-04-09,6.49,7.35,6.45,7.35,0,EUR,TL5,spain
2009-04-16,7.28,7.53,6.85,6.85,0,EUR,TL5,spain
2009-04-17,6.7,7.02,6.67,7.02,0,EUR,TL5,spain
2009-04-20,6.85,6.89,6.3,6.3,0,EUR,TL5,spain
2009-04-21,6.37,6.49,6.21,6.21,0,EUR,TL5,spain
2009-04-22,6.5,6.82,6.48,6.82,0,EUR,TL5,spain
2009-04-23,6.86,6.95,6.75,6.95,0,EUR,TL5,spain
2009-04-24,6.75,6.81,6.71,6.81,0,EUR,TL5,spain
2009-04-27,6.74,7.05,6.74,7.05,0,EUR,TL5,spain
2009-04-28,6.95,7.16,6.77,7.16,0,EUR,TL5,spain
2009-04-29,7.14,7.2,7.0,7.0,0,EUR,TL5,spain
2009-04-30,7.18,7.22,7.08,7.22,0,EUR,TL5,spain
2009-05-05,7.7,7.86,7.55,7.86,0,EUR,TL5,spain
2009-05-06,7.74,7.89,7.74,7.89,0,EUR,TL5,spain
2009-05-07,7.85,8.01,7.11,7.11,0,EUR,TL5,spain
2009-05-08,7.57,7.96,7.5,7.96,0,EUR,TL5,spain
2009-05-14,7.17,7.28,7.08,7.08,0,EUR,TL5,spain
2009-05-15,7.15,7.15,6.75,6.75,0,EUR,TL5,spain
2009-05-18,6.65,6.93,6.64,6.93,0,EUR,TL5,spain
2009-05-19,6.94,7.06,6.82,6.82,0,EUR,TL5,spain
2009-05-20,6.9,7.1,6.87,7.1,0,EUR,TL5,spain
2009-05-21,6.95,6.96,6.7,6.7,0,EUR,TL5,spain
2009-05-22,6.8,7.14,6.77,7.14,0,EUR,TL5,spain
2009-05-25,7.01,7.12,6.95,7.12,0,EUR,TL5,spain
2009-05-26,7.1,7.21,6.94,7.21,0,EUR,TL5,spain
2009-05-27,7.05,7.17,6.95,6.95,0,EUR,TL5,spain
2009-05-28,7.05,7.05,6.95,7.05,0,EUR,TL5,spain
