Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-05-08,8.65,8.7,8.2,8.48,4087764,EUR,TLGO,spain
2015-05-11,8.5,8.6,8.27,8.3,1279252,EUR,TLGO,spain
2015-05-12,8.37,8.37,8.03,8.1,1888910,EUR,TLGO,spain
2015-05-13,8.16,8.17,7.8,7.97,2199038,EUR,TLGO,spain
2015-05-14,8.0,8.1,7.91,8.0,509766,EUR,TLGO,spain
2015-05-15,8.0,8.18,7.96,8.18,618810,EUR,TLGO,spain
2015-05-18,8.2,8.32,8.12,8.32,447887,EUR,TLGO,spain
2015-05-19,8.201,8.278,8.087,8.092,286626,EUR,TLGO,spain
2015-05-20,8.102,8.102,7.915,8.092,301010,EUR,TLGO,spain
2015-05-21,8.079,8.175,7.993,8.092,144770,EUR,TLGO,spain
2015-05-22,8.043,8.141,8.013,8.062,96289,EUR,TLGO,spain
2015-05-25,8.003,8.131,7.974,7.993,165692,EUR,TLGO,spain
2015-05-26,7.974,7.977,7.915,7.964,176042,EUR,TLGO,spain
2015-05-27,7.944,8.041,7.845,7.944,293145,EUR,TLGO,spain
2015-05-28,8.018,8.018,7.895,7.984,134730,EUR,TLGO,spain
2015-05-29,7.897,8.013,7.897,7.944,108876,EUR,TLGO,spain
2015-06-01,8.05,8.05,7.89,7.89,107327,EUR,TLGO,spain
2015-06-02,7.983,7.996,7.845,7.86,371899,EUR,TLGO,spain
2015-06-03,7.86,7.895,7.816,7.826,215120,EUR,TLGO,spain
2015-06-04,7.839,7.897,7.618,7.76,274144,EUR,TLGO,spain
2015-06-05,7.76,7.821,7.74,7.74,197720,EUR,TLGO,spain
2015-06-08,7.675,7.711,7.415,7.543,291870,EUR,TLGO,spain
2015-06-09,7.467,7.527,7.315,7.513,214057,EUR,TLGO,spain
2015-06-10,7.513,7.632,7.416,7.553,90754,EUR,TLGO,spain
2015-06-11,7.602,7.661,7.414,7.464,248158,EUR,TLGO,spain
2015-06-12,7.345,7.627,7.328,7.434,350136,EUR,TLGO,spain
2015-06-15,7.325,7.424,7.177,7.257,473096,EUR,TLGO,spain
2015-06-16,7.345,7.655,7.2,7.553,598209,EUR,TLGO,spain
2015-06-17,7.661,7.845,7.582,7.83,381315,EUR,TLGO,spain
2015-06-18,7.866,7.866,7.712,7.791,186500,EUR,TLGO,spain
2015-06-19,7.809,8.126,7.711,7.801,257668,EUR,TLGO,spain
2015-06-22,7.88,8.057,7.74,7.947,1352210,EUR,TLGO,spain
2015-06-23,8.057,8.057,7.74,7.888,301558,EUR,TLGO,spain
2015-06-24,7.788,7.918,7.765,7.81,160873,EUR,TLGO,spain
2015-06-25,7.77,7.877,7.616,7.622,163309,EUR,TLGO,spain
2015-06-26,7.671,7.671,7.474,7.533,163881,EUR,TLGO,spain
2015-06-29,7.217,7.375,7.167,7.217,112451,EUR,TLGO,spain
2015-06-30,7.288,7.288,7.098,7.098,689902,EUR,TLGO,spain
2015-07-01,7.108,7.217,7.069,7.138,347494,EUR,TLGO,spain
2015-07-02,7.128,7.157,7.048,7.118,151325,EUR,TLGO,spain
2015-07-03,7.167,7.167,7.039,7.108,59436,EUR,TLGO,spain
2015-07-06,6.91,7.088,6.782,6.995,342131,EUR,TLGO,spain
