Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-06-17,39.91,39.92,38.98,38.98,0,EUR,TRE,spain
2010-06-18,38.98,39.53,38.98,39.53,0,EUR,TRE,spain
2010-06-21,40.33,40.5,40.31,40.31,0,EUR,TRE,spain
2010-06-22,40.31,40.38,40.3,40.38,0,EUR,TRE,spain
2010-06-23,40.38,40.43,40.26,40.26,0,EUR,TRE,spain
2010-06-24,40.26,40.26,38.63,38.63,0,EUR,TRE,spain
2010-06-25,38.63,38.69,38.39,38.39,0,EUR,TRE,spain
2010-06-28,38.68,39.06,38.65,39.06,0,EUR,TRE,spain
2010-06-29,39.06,39.06,37.5,37.5,0,EUR,TRE,spain
2010-06-30,37.5,37.52,36.83,36.83,0,EUR,TRE,spain
2010-07-01,36.83,36.95,36.53,36.95,0,EUR,TRE,spain
2010-07-05,37.22,37.45,37.2,37.45,0,EUR,TRE,spain
2010-07-06,37.45,39.25,37.45,38.75,0,EUR,TRE,spain
2010-07-07,38.75,40.27,38.74,40.27,0,EUR,TRE,spain
2010-07-08,40.27,40.28,39.81,39.81,0,EUR,TRE,spain
2010-07-09,39.78,39.78,39.47,39.47,0,EUR,TRE,spain
2010-07-12,39.53,39.54,39.35,39.35,0,EUR,TRE,spain
2010-07-13,39.35,40.1,39.35,40.1,0,EUR,TRE,spain
2010-07-14,40.1,40.11,39.66,39.66,0,EUR,TRE,spain
2010-07-15,39.66,39.67,39.06,39.06,0,EUR,TRE,spain
2010-07-16,39.06,39.08,37.93,37.93,0,EUR,TRE,spain
2010-07-19,37.9,38.27,37.89,38.22,0,EUR,TRE,spain
2010-07-20,38.6,38.71,38.16,38.235,0,EUR,TRE,spain
2010-07-21,38.52,39.025,38.51,39.025,0,EUR,TRE,spain
2010-07-22,38.8,40.33,38.79,40.33,0,EUR,TRE,spain
2010-07-23,40.14,40.69,40.13,40.6,0,EUR,TRE,spain
2010-07-26,40.87,40.89,40.82,40.84,0,EUR,TRE,spain
2010-07-27,40.92,40.93,40.41,40.535,0,EUR,TRE,spain
2010-07-29,41.01,41.02,40.83,40.89,0,EUR,TRE,spain
2010-07-30,40.48,40.5,39.76,39.76,0,EUR,TRE,spain
2010-08-02,40.14,42.19,40.13,42.19,0,EUR,TRE,spain
2010-08-03,42.25,42.72,42.18,42.65,0,EUR,TRE,spain
2010-08-04,42.53,42.72,42.49,42.72,0,EUR,TRE,spain
2010-08-05,42.83,42.84,42.65,42.68,0,EUR,TRE,spain
2010-08-06,42.85,42.86,42.2,42.295,0,EUR,TRE,spain
2010-08-09,42.7,42.71,42.545,42.545,0,EUR,TRE,spain
2010-08-10,42.31,42.47,41.35,41.35,0,EUR,TRE,spain
2010-08-11,41.14,41.18,40.33,40.33,0,EUR,TRE,spain
2010-08-12,40.39,40.42,39.565,39.565,0,EUR,TRE,spain
2010-08-13,39.95,39.96,39.875,39.875,0,EUR,TRE,spain
2010-08-16,39.95,39.98,39.69,39.695,0,EUR,TRE,spain
2010-08-17,40.0,41.54,39.99,41.37,0,EUR,TRE,spain
2010-08-18,41.18,41.26,41.04,41.04,0,EUR,TRE,spain
2010-08-19,41.17,41.18,39.795,39.795,0,EUR,TRE,spain
2010-08-20,39.71,39.805,39.69,39.805,0,EUR,TRE,spain
2010-08-23,39.87,39.95,39.83,39.95,0,EUR,TRE,spain
2010-08-24,39.54,39.55,38.95,38.975,0,EUR,TRE,spain
2010-08-25,38.92,38.95,38.015,38.015,0,EUR,TRE,spain
2010-08-26,38.27,38.795,38.25,38.795,0,EUR,TRE,spain
2010-08-27,38.67,39.81,38.67,39.81,0,EUR,TRE,spain
2010-08-30,39.97,40.02,39.4,39.4,0,EUR,TRE,spain
2010-08-31,38.94,40.1,38.93,40.06,0,EUR,TRE,spain
2010-09-01,40.28,40.55,40.27,40.475,0,EUR,TRE,spain
2010-09-02,40.64,40.64,38.89,38.995,0,EUR,TRE,spain
2010-09-03,39.25,39.34,38.85,38.875,0,EUR,TRE,spain
2010-09-06,39.09,39.1,38.85,38.85,0,EUR,TRE,spain
2010-09-07,38.77,38.77,38.46,38.46,0,EUR,TRE,spain
2010-09-08,38.36,38.72,38.35,38.625,0,EUR,TRE,spain
2010-09-09,38.58,39.355,38.54,39.355,0,EUR,TRE,spain
2010-09-10,39.35,39.35,38.945,38.945,0,EUR,TRE,spain
2010-09-13,39.21,39.27,39.2,39.27,0,EUR,TRE,spain
2010-09-14,39.28,39.29,39.18,39.18,0,EUR,TRE,spain
2010-09-15,39.2,39.2,38.745,38.745,0,EUR,TRE,spain
2010-09-16,38.7,38.99,38.67,38.945,0,EUR,TRE,spain
2010-09-17,39.14,39.16,39.01,39.01,0,EUR,TRE,spain
2010-09-20,38.94,39.75,38.93,39.75,0,EUR,TRE,spain
2010-09-21,40.09,40.11,39.83,39.84,0,EUR,TRE,spain
2010-09-22,39.81,39.81,38.9,38.9,0,EUR,TRE,spain
