Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-08-01,0.53,0.53,0.53,0.53,5000,EUR,TVAZ,spain
2011-08-02,0.53,0.53,0.53,0.52,5000,EUR,TVAZ,spain
2011-08-03,0.52,0.52,0.52,0.49,5000,EUR,TVAZ,spain
2011-08-04,0.48,0.48,0.48,0.46,5000,EUR,TVAZ,spain
2011-08-05,0.45,0.45,0.45,0.45,5000,EUR,TVAZ,spain
2011-08-08,0.45,0.45,0.45,0.42,5000,EUR,TVAZ,spain
2011-08-09,0.38,0.41,0.38,0.4,49500,EUR,TVAZ,spain
2011-08-10,0.43,0.43,0.42,0.41,11000,EUR,TVAZ,spain
2011-08-11,0.43,0.43,0.43,0.43,5000,EUR,TVAZ,spain
2011-08-12,0.47,0.47,0.47,0.47,5000,EUR,TVAZ,spain
2011-08-15,0.46,0.46,0.46,0.47,5000,EUR,TVAZ,spain
2011-08-16,0.46,0.46,0.46,0.46,5000,EUR,TVAZ,spain
2011-08-17,0.46,0.46,0.46,0.47,5000,EUR,TVAZ,spain
2011-08-18,0.45,0.45,0.45,0.43,5000,EUR,TVAZ,spain
2011-08-19,0.42,0.42,0.42,0.43,800,EUR,TVAZ,spain
2011-08-22,0.41,0.41,0.41,0.42,5000,EUR,TVAZ,spain
2011-08-23,0.41,0.41,0.41,0.42,5000,EUR,TVAZ,spain
2011-08-24,0.42,0.42,0.42,0.43,5000,EUR,TVAZ,spain
2011-08-25,0.42,0.42,0.42,0.43,5400,EUR,TVAZ,spain
2011-08-26,0.41,0.41,0.41,0.42,5000,EUR,TVAZ,spain
2011-08-29,0.42,0.42,0.42,0.41,5000,EUR,TVAZ,spain
2011-08-30,0.43,0.43,0.43,0.42,5000,EUR,TVAZ,spain
2011-08-31,0.42,0.42,0.42,0.43,5000,EUR,TVAZ,spain
2011-09-01,0.41,0.41,0.41,0.42,5000,EUR,TVAZ,spain
2011-09-02,0.42,0.42,0.42,0.41,10000,EUR,TVAZ,spain
2011-09-05,0.42,0.42,0.42,0.41,10000,EUR,TVAZ,spain
2011-09-06,0.41,0.41,0.41,0.41,10000,EUR,TVAZ,spain
2011-09-07,0.41,0.41,0.41,0.42,10000,EUR,TVAZ,spain
2011-09-08,0.42,0.42,0.42,0.44,10000,EUR,TVAZ,spain
