Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-05,0.07,0.07,0.07,0.07,1475648,EUR,UBS,spain
2010-10-06,0.07,0.07,0.07,0.07,1653408,EUR,UBS,spain
2010-10-07,0.07,0.07,0.07,0.07,1469369,EUR,UBS,spain
2010-10-08,0.07,0.07,0.07,0.07,3844582,EUR,UBS,spain
2010-10-11,0.07,0.08,0.07,0.07,2575325,EUR,UBS,spain
2010-10-12,0.07,0.07,0.07,0.07,511592,EUR,UBS,spain
2010-10-13,0.07,0.07,0.07,0.07,568490,EUR,UBS,spain
2010-10-14,0.07,0.07,0.07,0.07,1136399,EUR,UBS,spain
2010-10-15,0.07,0.07,0.07,0.07,1804007,EUR,UBS,spain
2010-10-18,0.07,0.07,0.07,0.07,1533659,EUR,UBS,spain
2010-10-19,0.07,0.08,0.07,0.08,4293278,EUR,UBS,spain
2010-10-20,0.08,0.08,0.07,0.07,963004,EUR,UBS,spain
2010-10-21,0.07,0.07,0.07,0.07,1515162,EUR,UBS,spain
2010-10-22,0.07,0.07,0.07,0.07,1852208,EUR,UBS,spain
2010-10-25,0.07,0.07,0.07,0.07,1300698,EUR,UBS,spain
2010-10-26,0.07,0.07,0.07,0.07,642633,EUR,UBS,spain
2010-10-27,0.07,0.07,0.07,0.07,1742263,EUR,UBS,spain
2010-10-28,0.07,0.07,0.07,0.07,1098013,EUR,UBS,spain
2010-10-29,0.07,0.07,0.07,0.07,442312,EUR,UBS,spain
2010-11-01,0.07,0.07,0.07,0.07,283000,EUR,UBS,spain
2010-11-02,0.07,0.07,0.07,0.07,910694,EUR,UBS,spain
2010-11-03,0.07,0.07,0.07,0.07,1490350,EUR,UBS,spain
2010-11-04,0.07,0.07,0.07,0.07,1238457,EUR,UBS,spain
2010-11-05,0.07,0.07,0.07,0.07,1808306,EUR,UBS,spain
2010-11-08,0.07,0.07,0.07,0.07,486053,EUR,UBS,spain
2010-11-09,0.07,0.07,0.07,0.07,1365822,EUR,UBS,spain
2010-11-10,0.07,0.07,0.06,0.06,1523129,EUR,UBS,spain
2010-11-11,0.06,0.07,0.06,0.06,811710,EUR,UBS,spain
2010-11-12,0.06,0.07,0.06,0.06,2680127,EUR,UBS,spain
2010-11-15,0.06,0.06,0.06,0.06,674829,EUR,UBS,spain
2010-11-16,0.06,0.06,0.06,0.06,2135969,EUR,UBS,spain
2010-11-17,0.06,0.06,0.06,0.06,1197510,EUR,UBS,spain
2010-11-18,0.06,0.06,0.06,0.06,528193,EUR,UBS,spain
2010-11-19,0.06,0.06,0.06,0.06,2516090,EUR,UBS,spain
2010-11-22,0.06,0.06,0.06,0.06,621173,EUR,UBS,spain
2010-11-23,0.06,0.06,0.05,0.05,750947,EUR,UBS,spain
2010-11-24,0.06,0.06,0.05,0.05,2072812,EUR,UBS,spain
2010-11-25,0.05,0.06,0.05,0.05,3022649,EUR,UBS,spain
2010-11-26,0.05,0.05,0.05,0.05,3564685,EUR,UBS,spain
2010-11-29,0.05,0.05,0.05,0.05,515315,EUR,UBS,spain
2010-11-30,0.05,0.05,0.04,0.04,3622207,EUR,UBS,spain
2010-12-01,0.05,0.05,0.04,0.05,1178106,EUR,UBS,spain
2010-12-02,0.05,0.05,0.05,0.05,3223348,EUR,UBS,spain
2010-12-03,0.05,0.08,0.05,0.07,18317188,EUR,UBS,spain
2010-12-06,0.07,0.07,0.06,0.06,2285405,EUR,UBS,spain
2010-12-07,0.06,0.07,0.06,0.06,1773357,EUR,UBS,spain
2010-12-08,0.06,0.06,0.06,0.06,523850,EUR,UBS,spain
2010-12-09,0.06,0.06,0.06,0.06,490305,EUR,UBS,spain
2010-12-10,0.06,0.06,0.06,0.06,1402455,EUR,UBS,spain
2010-12-13,0.06,0.06,0.06,0.06,1171850,EUR,UBS,spain
2010-12-14,0.06,0.06,0.06,0.06,1092417,EUR,UBS,spain
2010-12-15,0.06,0.06,0.06,0.06,823306,EUR,UBS,spain
2010-12-16,0.06,0.06,0.06,0.06,277068,EUR,UBS,spain
2010-12-17,0.06,0.06,0.06,0.06,776902,EUR,UBS,spain
2010-12-20,0.05,0.05,0.05,0.05,917977,EUR,UBS,spain
2010-12-21,0.05,0.05,0.05,0.05,536309,EUR,UBS,spain
2010-12-22,0.05,0.05,0.05,0.05,583283,EUR,UBS,spain
2010-12-23,0.05,0.05,0.05,0.05,916131,EUR,UBS,spain
2010-12-27,0.05,0.05,0.05,0.05,534365,EUR,UBS,spain
2010-12-28,0.05,0.06,0.05,0.06,5054938,EUR,UBS,spain
2010-12-29,0.06,0.06,0.06,0.06,1913911,EUR,UBS,spain
2010-12-30,0.06,0.06,0.05,0.06,1918357,EUR,UBS,spain
2011-01-03,0.06,0.06,0.06,0.06,391076,EUR,UBS,spain
2011-01-04,0.06,0.06,0.06,0.06,703553,EUR,UBS,spain
2011-01-05,0.06,0.06,0.05,0.06,441948,EUR,UBS,spain
2011-01-06,0.06,0.06,0.05,0.06,116314,EUR,UBS,spain
2011-01-07,0.06,0.06,0.05,0.05,620639,EUR,UBS,spain
2011-01-10,0.06,0.06,0.05,0.06,888007,EUR,UBS,spain
2011-01-11,0.06,0.06,0.05,0.06,881661,EUR,UBS,spain
2011-01-12,0.06,0.06,0.06,0.06,5751684,EUR,UBS,spain
2011-01-13,0.06,0.06,0.06,0.06,1023951,EUR,UBS,spain
2011-01-14,0.06,0.06,0.06,0.06,1002883,EUR,UBS,spain
2011-01-17,0.06,0.06,0.06,0.06,682451,EUR,UBS,spain
2011-01-18,0.06,0.06,0.06,0.06,708018,EUR,UBS,spain
2011-01-19,0.06,0.06,0.06,0.06,4043041,EUR,UBS,spain
2011-01-20,0.06,0.06,0.06,0.06,1762037,EUR,UBS,spain
2011-01-21,0.06,0.06,0.06,0.06,5169195,EUR,UBS,spain
2011-01-24,0.06,0.06,0.06,0.06,1123184,EUR,UBS,spain
2011-01-25,0.06,0.06,0.06,0.06,817661,EUR,UBS,spain
2011-01-26,0.06,0.06,0.06,0.06,5460844,EUR,UBS,spain
2011-01-27,0.06,0.07,0.06,0.07,7000442,EUR,UBS,spain
2011-01-28,0.07,0.07,0.06,0.06,10450860,EUR,UBS,spain
2011-01-31,0.07,0.07,0.06,0.07,3271349,EUR,UBS,spain
2011-02-01,0.07,0.07,0.07,0.07,3460520,EUR,UBS,spain
2011-02-02,0.07,0.08,0.07,0.08,10932150,EUR,UBS,spain
2011-02-03,0.08,0.08,0.07,0.07,14185755,EUR,UBS,spain
2011-02-04,0.08,0.08,0.08,0.08,8877199,EUR,UBS,spain
2011-02-07,0.09,0.11,0.09,0.1,47280468,EUR,UBS,spain
2011-02-08,0.1,0.12,0.09,0.1,36246300,EUR,UBS,spain
2011-02-09,0.1,0.1,0.09,0.09,9016563,EUR,UBS,spain
2011-02-10,0.09,0.09,0.08,0.09,11561991,EUR,UBS,spain
2011-02-11,0.08,0.1,0.08,0.09,9173784,EUR,UBS,spain
2011-02-14,0.09,0.1,0.09,0.09,4455706,EUR,UBS,spain
2011-02-15,0.09,0.09,0.09,0.09,2166152,EUR,UBS,spain
2011-02-16,0.09,0.09,0.09,0.09,2008524,EUR,UBS,spain
2011-02-17,0.09,0.09,0.08,0.08,3718405,EUR,UBS,spain
2011-02-18,0.08,0.09,0.08,0.08,3019913,EUR,UBS,spain
2011-02-21,0.08,0.09,0.08,0.08,6001916,EUR,UBS,spain
2011-02-22,0.09,0.09,0.08,0.09,4688785,EUR,UBS,spain
2011-02-23,0.09,0.09,0.09,0.09,7184512,EUR,UBS,spain
2011-02-24,0.09,0.09,0.08,0.09,1977234,EUR,UBS,spain
2011-02-25,0.09,0.09,0.08,0.09,2264261,EUR,UBS,spain
2011-02-28,0.09,0.09,0.08,0.08,3710468,EUR,UBS,spain
2011-03-01,0.09,0.09,0.08,0.09,2579189,EUR,UBS,spain
2011-03-02,0.09,0.09,0.08,0.09,5271456,EUR,UBS,spain
2011-03-03,0.09,0.09,0.08,0.08,3402409,EUR,UBS,spain
2011-03-04,0.09,0.09,0.08,0.09,5997014,EUR,UBS,spain
2011-03-07,0.09,0.1,0.09,0.09,14386099,EUR,UBS,spain
2011-03-08,0.09,0.1,0.09,0.09,7759280,EUR,UBS,spain
2011-03-09,0.09,0.09,0.09,0.09,3370961,EUR,UBS,spain
2011-03-10,0.09,0.09,0.09,0.09,2999974,EUR,UBS,spain
2011-03-11,0.09,0.09,0.09,0.09,1260156,EUR,UBS,spain
2011-03-14,0.09,0.09,0.08,0.09,3275477,EUR,UBS,spain
2011-03-15,0.08,0.09,0.08,0.08,4847515,EUR,UBS,spain
2011-03-16,0.09,0.09,0.08,0.08,2915056,EUR,UBS,spain
2011-03-17,0.08,0.09,0.08,0.09,2556183,EUR,UBS,spain
2011-03-18,0.09,0.09,0.08,0.09,2335515,EUR,UBS,spain
2011-03-21,0.09,0.09,0.09,0.09,9875273,EUR,UBS,spain
2011-03-22,0.09,0.09,0.09,0.09,4216020,EUR,UBS,spain
2011-03-23,0.09,0.09,0.09,0.09,768652,EUR,UBS,spain
2011-03-24,0.09,0.09,0.09,0.09,1662446,EUR,UBS,spain
2011-03-25,0.09,0.09,0.09,0.09,2684709,EUR,UBS,spain
2011-03-28,0.09,0.09,0.09,0.09,4446441,EUR,UBS,spain
2011-03-29,0.09,0.09,0.09,0.09,2246106,EUR,UBS,spain
2011-03-30,0.09,0.1,0.09,0.1,10446427,EUR,UBS,spain
2011-03-31,0.1,0.1,0.09,0.09,8741516,EUR,UBS,spain
2011-04-01,0.09,0.09,0.09,0.09,3007025,EUR,UBS,spain
2011-04-04,0.09,0.09,0.09,0.09,1742029,EUR,UBS,spain
2011-04-05,0.09,0.09,0.09,0.09,1130901,EUR,UBS,spain
2011-04-06,0.09,0.09,0.09,0.09,1136278,EUR,UBS,spain
2011-04-07,0.09,0.09,0.09,0.09,733011,EUR,UBS,spain
2011-04-08,0.09,0.09,0.09,0.09,4090752,EUR,UBS,spain
2011-04-11,0.09,0.09,0.09,0.09,1874035,EUR,UBS,spain
2011-04-12,0.09,0.09,0.09,0.09,2227727,EUR,UBS,spain
2011-04-13,0.09,0.09,0.09,0.09,2202574,EUR,UBS,spain
2011-04-14,0.09,0.09,0.09,0.09,2532964,EUR,UBS,spain
2011-04-15,0.09,0.09,0.08,0.08,4222624,EUR,UBS,spain
2011-04-18,0.08,0.08,0.08,0.08,5343420,EUR,UBS,spain
2011-04-19,0.08,0.08,0.08,0.08,1405523,EUR,UBS,spain
2011-04-20,0.08,0.08,0.08,0.08,819442,EUR,UBS,spain
2011-04-21,0.08,0.08,0.08,0.08,521434,EUR,UBS,spain
2011-04-26,0.08,0.08,0.08,0.08,490765,EUR,UBS,spain
2011-04-27,0.08,0.08,0.08,0.08,375258,EUR,UBS,spain
2011-04-28,0.08,0.08,0.08,0.08,1170225,EUR,UBS,spain
2011-04-29,0.08,0.08,0.07,0.08,2771586,EUR,UBS,spain
2011-05-02,0.08,0.08,0.08,0.08,1063321,EUR,UBS,spain
2011-05-03,0.08,0.08,0.07,0.07,2472990,EUR,UBS,spain
2011-05-04,0.07,0.07,0.07,0.07,1397171,EUR,UBS,spain
2011-05-05,0.07,0.07,0.07,0.07,7279385,EUR,UBS,spain
2011-05-06,0.07,0.07,0.06,0.07,10127649,EUR,UBS,spain
2011-05-09,0.07,0.07,0.06,0.06,15897539,EUR,UBS,spain
2011-05-10,0.06,0.06,0.06,0.06,6485366,EUR,UBS,spain
2011-05-11,0.06,0.07,0.06,0.06,9123529,EUR,UBS,spain
2011-05-12,0.07,0.07,0.06,0.06,6458761,EUR,UBS,spain
2011-05-13,0.06,0.07,0.06,0.06,3603360,EUR,UBS,spain
2011-05-16,0.06,0.06,0.06,0.06,5003363,EUR,UBS,spain
2011-05-17,0.06,0.06,0.06,0.06,3136242,EUR,UBS,spain
2011-05-18,0.06,0.06,0.06,0.06,5235090,EUR,UBS,spain
2011-05-19,0.06,0.06,0.06,0.06,4423862,EUR,UBS,spain
2011-05-20,0.06,0.06,0.06,0.06,5530134,EUR,UBS,spain
2011-05-23,0.06,0.06,0.06,0.06,3639968,EUR,UBS,spain
2011-05-24,0.06,0.06,0.06,0.06,2949425,EUR,UBS,spain
2011-05-25,0.06,0.06,0.06,0.06,1027240,EUR,UBS,spain
2011-05-26,0.06,0.06,0.06,0.06,3077090,EUR,UBS,spain
2011-05-27,0.06,0.06,0.06,0.06,1536163,EUR,UBS,spain
2011-05-30,0.06,0.06,0.05,0.05,2876181,EUR,UBS,spain
2011-05-31,0.06,0.06,0.06,0.06,1518803,EUR,UBS,spain
2011-06-01,0.06,0.06,0.06,0.06,4982319,EUR,UBS,spain
2011-06-02,0.06,0.06,0.06,0.06,3411798,EUR,UBS,spain
2011-06-03,0.06,0.06,0.06,0.06,1666820,EUR,UBS,spain
2011-06-06,0.06,0.06,0.05,0.06,2853283,EUR,UBS,spain
2011-06-07,0.06,0.06,0.05,0.05,2152240,EUR,UBS,spain
2011-06-08,0.05,0.06,0.05,0.05,2994352,EUR,UBS,spain
2011-06-09,0.05,0.05,0.05,0.05,3159974,EUR,UBS,spain
2011-06-10,0.05,0.05,0.05,0.05,1553392,EUR,UBS,spain
2011-06-13,0.05,0.05,0.05,0.05,2088562,EUR,UBS,spain
2011-06-14,0.05,0.06,0.05,0.06,15798524,EUR,UBS,spain
2011-06-15,0.06,0.06,0.05,0.05,18684726,EUR,UBS,spain
2011-06-16,0.05,0.06,0.05,0.05,4070122,EUR,UBS,spain
2011-06-17,0.05,0.06,0.05,0.05,2149893,EUR,UBS,spain
2011-06-20,0.05,0.05,0.05,0.05,2710848,EUR,UBS,spain
2011-06-21,0.05,0.06,0.05,0.06,3735079,EUR,UBS,spain
2011-06-22,0.06,0.06,0.05,0.06,2175986,EUR,UBS,spain
2011-06-23,0.05,0.05,0.05,0.05,1236089,EUR,UBS,spain
2011-06-24,0.05,0.06,0.05,0.05,941694,EUR,UBS,spain
2011-06-27,0.05,0.06,0.05,0.05,1517493,EUR,UBS,spain
2011-06-28,0.06,0.06,0.05,0.05,2920051,EUR,UBS,spain
2011-06-29,0.05,0.06,0.05,0.05,3903628,EUR,UBS,spain
2011-06-30,0.05,0.06,0.05,0.06,13065536,EUR,UBS,spain
2011-07-01,0.06,0.06,0.05,0.06,5665631,EUR,UBS,spain
2011-07-04,0.06,0.06,0.05,0.06,5760818,EUR,UBS,spain
2011-07-05,0.05,0.06,0.05,0.05,1413551,EUR,UBS,spain
2011-07-06,0.05,0.06,0.05,0.05,1891451,EUR,UBS,spain
2011-07-07,0.05,0.06,0.05,0.05,5074770,EUR,UBS,spain
2011-07-08,0.05,0.05,0.05,0.05,7667426,EUR,UBS,spain
2011-07-11,0.05,0.05,0.05,0.05,3883692,EUR,UBS,spain
2011-07-12,0.05,0.05,0.05,0.05,3450207,EUR,UBS,spain
2011-07-13,0.05,0.05,0.05,0.05,3468316,EUR,UBS,spain
2011-07-14,0.05,0.05,0.05,0.05,3310411,EUR,UBS,spain
2011-07-15,0.05,0.05,0.05,0.05,3828304,EUR,UBS,spain
2011-07-18,0.05,0.05,0.05,0.05,1653044,EUR,UBS,spain
2011-07-19,0.05,0.05,0.05,0.05,3760381,EUR,UBS,spain
2011-07-20,0.05,0.05,0.05,0.05,3742000,EUR,UBS,spain
2011-07-21,0.05,0.05,0.05,0.05,3824988,EUR,UBS,spain
2011-07-22,0.05,0.05,0.05,0.05,4434394,EUR,UBS,spain
2011-07-25,0.05,0.05,0.05,0.05,1238251,EUR,UBS,spain
2011-07-26,0.05,0.05,0.05,0.05,1255761,EUR,UBS,spain
2011-07-27,0.05,0.05,0.05,0.05,900400,EUR,UBS,spain
