Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-11-24,15.43,15.5,15.21,15.21,7092,EUR,VALO,spain
2011-11-25,15.12,15.18,14.87,14.87,6088,EUR,VALO,spain
2011-11-28,14.95,15.55,14.95,15.47,6094,EUR,VALO,spain
2011-11-29,15.5,15.5,15.06,15.16,11776,EUR,VALO,spain
2011-11-30,15.09,15.59,15.02,15.53,9099,EUR,VALO,spain
2011-12-01,15.3,15.43,15.3,15.36,5546,EUR,VALO,spain
2011-12-02,15.89,15.89,15.62,15.9,5444,EUR,VALO,spain
2011-12-05,16.21,16.21,15.78,16.2,5629,EUR,VALO,spain
2011-12-06,16.18,16.19,16.11,16.11,5313,EUR,VALO,spain
2011-12-07,16.08,16.08,15.85,15.87,6176,EUR,VALO,spain
2011-12-08,15.32,15.35,15.16,14.94,6618,EUR,VALO,spain
2011-12-09,15.25,15.25,15.07,15.28,6454,EUR,VALO,spain
2011-12-12,15.5,15.5,15.01,15.01,9465,EUR,VALO,spain
2011-12-13,15.19,15.22,15.11,15.1,7339,EUR,VALO,spain
2011-12-14,15.11,15.11,14.63,14.56,7686,EUR,VALO,spain
2011-12-15,15.16,15.16,14.9,14.9,6485,EUR,VALO,spain
2011-12-16,14.86,14.86,14.65,14.78,12896,EUR,VALO,spain
2011-12-19,14.48,14.64,14.33,14.61,5913,EUR,VALO,spain
2011-12-20,14.25,14.8,14.25,14.69,8033,EUR,VALO,spain
2011-12-21,14.98,14.98,14.61,14.61,7094,EUR,VALO,spain
2011-12-22,14.83,15.11,14.56,15.09,8406,EUR,VALO,spain
2011-12-23,15.03,15.24,14.69,15.23,6816,EUR,VALO,spain
2011-12-27,15.11,15.21,14.93,15.24,5835,EUR,VALO,spain
2011-12-28,15.15,15.16,14.97,14.93,7102,EUR,VALO,spain
2011-12-29,14.96,14.99,14.8,14.98,8954,EUR,VALO,spain
2011-12-30,14.98,14.98,14.98,14.98,0,EUR,VALO,spain
2012-01-02,14.67,14.92,14.67,14.9,8095,EUR,VALO,spain
2012-01-03,15.29,15.76,15.14,15.73,5704,EUR,VALO,spain
2012-01-04,16.11,16.12,16.01,16.09,5372,EUR,VALO,spain
2012-01-05,16.07,16.07,15.99,15.99,5280,EUR,VALO,spain
2012-01-06,16.09,16.09,16.09,16.09,1800,EUR,VALO,spain
2012-01-09,15.91,15.99,15.72,15.94,5354,EUR,VALO,spain
2012-01-10,16.07,16.45,16.07,16.45,7238,EUR,VALO,spain
2012-01-11,16.17,16.32,16.17,16.32,5211,EUR,VALO,spain
2012-01-12,16.26,16.49,16.08,16.08,8272,EUR,VALO,spain
2012-01-13,16.21,16.31,15.88,15.93,8852,EUR,VALO,spain
2012-01-16,16.08,16.08,15.92,15.92,2831,EUR,VALO,spain
2012-01-17,16.27,16.74,16.27,16.74,5937,EUR,VALO,spain
2012-01-18,16.99,16.99,16.88,16.99,6051,EUR,VALO,spain
2012-01-19,17.28,17.28,16.88,17.04,7715,EUR,VALO,spain
2012-01-20,17.15,17.21,16.83,16.86,9383,EUR,VALO,spain
2012-01-23,16.96,17.0,16.91,17.0,6023,EUR,VALO,spain
2012-01-24,16.94,16.94,16.58,16.54,8287,EUR,VALO,spain
