Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-16,25.51,25.82,25.51,25.67,74201,EUR,VIS,spain
2010-11-17,25.63,25.83,25.44,25.73,140760,EUR,VIS,spain
2010-11-18,25.73,26.04,25.71,25.86,46600,EUR,VIS,spain
2010-11-19,25.76,26.05,25.49,26.05,97852,EUR,VIS,spain
2010-11-22,26.1,26.4,25.52,26.21,126944,EUR,VIS,spain
2010-11-23,26.32,26.32,25.71,26.08,89295,EUR,VIS,spain
2010-11-24,25.87,26.08,25.73,25.97,93581,EUR,VIS,spain
2010-11-25,26.22,27.76,26.13,27.71,180303,EUR,VIS,spain
2010-11-26,27.71,27.74,25.95,26.22,236052,EUR,VIS,spain
2010-11-29,26.4,26.76,26.3,26.59,216506,EUR,VIS,spain
2010-11-30,26.53,26.56,26.04,26.33,156593,EUR,VIS,spain
2010-12-01,26.25,26.81,26.22,26.62,149470,EUR,VIS,spain
2010-12-02,26.96,27.01,26.72,26.82,327946,EUR,VIS,spain
2010-12-03,26.69,27.0,26.69,26.72,109517,EUR,VIS,spain
2010-12-06,26.84,27.18,26.76,26.98,104222,EUR,VIS,spain
2010-12-07,27.18,27.36,26.64,27.3,133212,EUR,VIS,spain
2010-12-08,27.32,27.4,26.89,27.22,121844,EUR,VIS,spain
2010-12-09,27.71,27.71,26.98,27.22,186366,EUR,VIS,spain
2010-12-10,26.97,27.21,26.74,26.82,196931,EUR,VIS,spain
2010-12-13,26.82,28.41,26.82,27.9,508548,EUR,VIS,spain
2010-12-14,27.88,29.34,27.4,28.25,325270,EUR,VIS,spain
2010-12-15,28.31,28.31,27.45,27.45,167357,EUR,VIS,spain
2010-12-16,27.38,27.68,27.21,27.51,170864,EUR,VIS,spain
2010-12-17,27.71,28.98,27.61,28.25,246730,EUR,VIS,spain
2010-12-20,28.5,29.19,28.35,28.35,108631,EUR,VIS,spain
2010-12-21,28.2,28.45,27.34,28.44,265007,EUR,VIS,spain
2010-12-22,28.39,28.39,27.86,28.22,120904,EUR,VIS,spain
2010-12-23,27.91,28.43,27.91,28.27,40293,EUR,VIS,spain
2010-12-27,28.02,28.24,27.61,28.1,41532,EUR,VIS,spain
2010-12-28,27.78,28.0,27.47,27.75,100628,EUR,VIS,spain
2010-12-29,27.52,28.2,27.52,28.16,50872,EUR,VIS,spain
2010-12-30,28.24,28.24,27.73,28.07,76279,EUR,VIS,spain
2011-01-03,27.76,28.6,27.76,28.46,101139,EUR,VIS,spain
2011-01-04,28.09,28.58,28.02,28.51,127977,EUR,VIS,spain
2011-01-05,28.16,28.51,26.49,27.57,298017,EUR,VIS,spain
2011-01-06,27.36,27.45,27.22,27.3,55767,EUR,VIS,spain
2011-01-07,27.21,27.83,26.21,26.37,179626,EUR,VIS,spain
2011-01-10,26.23,26.72,26.12,26.55,172079,EUR,VIS,spain
2011-01-11,26.86,27.19,26.63,27.11,89914,EUR,VIS,spain
2011-01-12,27.2,27.32,26.95,27.31,147399,EUR,VIS,spain
2011-01-13,27.06,27.31,26.89,27.07,242265,EUR,VIS,spain
2011-01-14,26.72,27.07,26.68,26.98,161464,EUR,VIS,spain
2011-01-17,27.12,27.25,26.97,27.15,142781,EUR,VIS,spain
2011-01-18,27.07,27.41,27.07,27.31,142237,EUR,VIS,spain
2011-01-19,27.43,27.62,27.3,27.45,100673,EUR,VIS,spain
2011-01-20,27.32,27.55,26.43,26.43,156754,EUR,VIS,spain
2011-01-21,26.43,26.82,26.32,26.41,124949,EUR,VIS,spain
2011-01-24,26.34,26.47,25.73,26.32,62116,EUR,VIS,spain
2011-01-25,25.9,26.38,25.73,26.38,88457,EUR,VIS,spain
2011-01-26,26.13,26.67,26.0,26.42,65219,EUR,VIS,spain
2011-01-27,26.57,26.7,26.38,26.55,91865,EUR,VIS,spain
2011-01-28,26.72,26.72,26.29,26.29,97789,EUR,VIS,spain
2011-01-31,25.94,26.51,25.18,26.26,158661,EUR,VIS,spain
2011-02-01,26.27,26.67,26.27,26.59,121329,EUR,VIS,spain
2011-02-02,26.71,27.88,26.68,27.87,178540,EUR,VIS,spain
2011-02-03,27.73,27.8,26.9,27.18,157310,EUR,VIS,spain
2011-02-04,27.12,27.41,26.55,26.75,133063,EUR,VIS,spain
2011-02-07,26.85,27.09,26.56,27.07,205329,EUR,VIS,spain
2011-02-08,26.8,27.09,26.72,26.86,165867,EUR,VIS,spain
2011-02-09,27.13,27.13,26.72,26.87,97641,EUR,VIS,spain
