Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-11,3.87,3.95,3.86,3.88,5427,EUR,VOC,spain
2010-10-12,3.86,3.86,3.86,3.88,349,EUR,VOC,spain
2010-10-13,3.85,3.96,3.83,3.94,1628,EUR,VOC,spain
2010-10-14,3.84,4.0,3.75,3.98,26586,EUR,VOC,spain
2010-10-15,3.96,3.98,3.89,3.96,1290,EUR,VOC,spain
2010-10-18,3.83,3.96,3.83,3.88,1416,EUR,VOC,spain
2010-10-19,3.83,3.96,3.83,3.87,2799,EUR,VOC,spain
2010-10-20,3.9,3.9,3.83,3.83,1182,EUR,VOC,spain
2010-10-21,3.84,3.85,3.63,3.77,11678,EUR,VOC,spain
2010-10-22,3.77,3.77,3.7,3.71,29800,EUR,VOC,spain
2010-10-25,3.71,3.78,3.67,3.7,2884,EUR,VOC,spain
2010-10-26,3.67,3.7,3.6,3.6,10536,EUR,VOC,spain
2010-10-27,3.6,3.77,3.56,3.56,36800,EUR,VOC,spain
2010-10-28,3.56,3.7,3.55,3.69,3670,EUR,VOC,spain
2010-10-29,3.6,3.72,3.6,3.7,6560,EUR,VOC,spain
2010-11-01,3.74,3.75,3.61,3.75,3418,EUR,VOC,spain
2010-11-02,3.74,3.74,3.52,3.6,28130,EUR,VOC,spain
2010-11-03,3.68,3.69,3.57,3.69,22818,EUR,VOC,spain
2010-11-04,3.63,3.75,3.63,3.7,10159,EUR,VOC,spain
2010-11-05,3.7,3.85,3.7,3.85,19130,EUR,VOC,spain
2010-11-08,3.85,3.85,3.71,3.79,13343,EUR,VOC,spain
2010-11-09,3.75,3.79,3.65,3.75,11799,EUR,VOC,spain
2010-11-10,3.68,3.82,3.48,3.67,42070,EUR,VOC,spain
2010-11-11,3.64,3.7,3.58,3.6,22766,EUR,VOC,spain
2010-11-12,3.51,3.59,3.46,3.5,36824,EUR,VOC,spain
2010-11-15,3.55,3.65,3.52,3.57,17118,EUR,VOC,spain
2010-11-16,3.44,3.51,3.44,3.45,15167,EUR,VOC,spain
2010-11-17,3.4,3.56,3.35,3.4,161385,EUR,VOC,spain
2010-11-18,3.4,3.46,3.4,3.46,15507,EUR,VOC,spain
2010-11-19,3.4,3.46,3.35,3.36,13284,EUR,VOC,spain
2010-11-22,3.35,3.5,3.35,3.4,5340,EUR,VOC,spain
2010-11-23,3.4,3.49,3.38,3.49,13132,EUR,VOC,spain
2010-11-24,3.41,3.53,3.41,3.53,6819,EUR,VOC,spain
2010-11-25,3.4,3.52,3.4,3.45,6033,EUR,VOC,spain
2010-11-26,3.52,3.52,3.37,3.5,5240,EUR,VOC,spain
2010-11-29,3.5,3.5,3.37,3.38,776,EUR,VOC,spain
2010-11-30,3.37,3.37,3.32,3.33,2322,EUR,VOC,spain
2010-12-01,3.13,3.59,3.13,3.59,18077,EUR,VOC,spain
2010-12-02,3.35,3.66,3.35,3.6,135837,EUR,VOC,spain
2010-12-03,3.42,3.66,3.42,3.66,166838,EUR,VOC,spain
2010-12-06,3.68,3.69,3.6,3.69,2261,EUR,VOC,spain
2010-12-07,3.69,3.7,3.55,3.7,7314,EUR,VOC,spain
2010-12-08,3.35,3.73,3.35,3.72,14158,EUR,VOC,spain
2010-12-09,3.6,3.68,3.58,3.68,5516,EUR,VOC,spain
2010-12-10,3.55,3.69,3.46,3.67,12201,EUR,VOC,spain
2010-12-13,3.55,3.63,3.55,3.58,4615,EUR,VOC,spain
2010-12-14,3.58,3.58,3.56,3.56,4006,EUR,VOC,spain
2010-12-15,3.56,3.62,3.5,3.52,27700,EUR,VOC,spain
2010-12-16,3.35,3.62,3.35,3.55,9333,EUR,VOC,spain
2010-12-17,3.55,3.55,3.45,3.47,2966,EUR,VOC,spain
2010-12-20,3.45,3.48,3.43,3.47,24065,EUR,VOC,spain
2010-12-21,3.47,3.49,3.43,3.44,16789,EUR,VOC,spain
2010-12-22,3.45,3.6,3.43,3.6,50787,EUR,VOC,spain
2010-12-23,3.46,3.49,3.42,3.49,7767,EUR,VOC,spain
2010-12-27,3.4,3.4,3.37,3.37,5643,EUR,VOC,spain
2010-12-28,3.31,3.49,3.31,3.4,3367,EUR,VOC,spain
2010-12-29,3.35,3.42,3.33,3.42,4777,EUR,VOC,spain
2010-12-30,3.42,3.49,3.4,3.49,15981,EUR,VOC,spain
2011-01-03,3.42,3.42,3.42,3.49,159,EUR,VOC,spain
2011-01-04,3.42,3.49,3.37,3.48,1996,EUR,VOC,spain
2011-01-05,3.48,3.48,3.35,3.48,18171,EUR,VOC,spain
2011-01-06,3.45,3.49,3.4,3.49,16373,EUR,VOC,spain
2011-01-07,3.43,3.43,3.41,3.41,900,EUR,VOC,spain
2011-01-10,3.41,3.41,3.33,3.4,17897,EUR,VOC,spain
2011-01-11,3.41,3.46,3.36,3.46,9694,EUR,VOC,spain
2011-01-12,3.4,3.5,3.4,3.5,5641,EUR,VOC,spain
2011-01-13,3.5,3.5,3.4,3.5,12073,EUR,VOC,spain
2011-01-14,3.5,3.5,3.42,3.44,2270,EUR,VOC,spain
2011-01-17,3.45,3.45,3.31,3.45,9640,EUR,VOC,spain
2011-01-18,3.45,3.52,3.35,3.4,39175,EUR,VOC,spain
2011-01-19,3.5,3.5,3.38,3.4,2379,EUR,VOC,spain
2011-01-20,3.4,3.45,3.39,3.4,6063,EUR,VOC,spain
2011-01-21,3.39,3.5,3.39,3.5,41784,EUR,VOC,spain
2011-01-24,3.5,3.52,3.48,3.52,45647,EUR,VOC,spain
2011-01-25,3.48,3.56,3.48,3.5,6597,EUR,VOC,spain
2011-01-26,3.47,3.6,3.46,3.6,19743,EUR,VOC,spain
2011-01-27,3.6,3.7,3.6,3.62,5153,EUR,VOC,spain
2011-01-28,3.65,3.77,3.63,3.63,18772,EUR,VOC,spain
2011-01-31,3.46,3.72,3.46,3.65,9829,EUR,VOC,spain
2011-02-01,3.65,3.7,3.59,3.65,115448,EUR,VOC,spain
2011-02-02,3.65,3.8,3.65,3.68,19948,EUR,VOC,spain
2011-02-03,3.68,3.68,3.66,3.68,9530,EUR,VOC,spain
2011-02-04,3.61,3.68,3.61,3.66,3429,EUR,VOC,spain
2011-02-07,3.65,3.68,3.65,3.66,12699,EUR,VOC,spain
2011-02-08,3.68,3.78,3.68,3.75,5044,EUR,VOC,spain
2011-02-09,3.74,3.8,3.7,3.75,13344,EUR,VOC,spain
2011-02-10,3.75,3.75,3.69,3.75,4203,EUR,VOC,spain
2011-02-11,3.61,3.79,3.61,3.79,3068,EUR,VOC,spain
2011-02-14,3.79,3.85,3.72,3.85,65554,EUR,VOC,spain
2011-02-15,3.89,3.89,3.85,3.88,12163,EUR,VOC,spain
2011-02-16,3.81,3.81,3.71,3.77,10806,EUR,VOC,spain
2011-02-17,3.77,3.77,3.74,3.74,4837,EUR,VOC,spain
2011-02-18,3.73,3.73,3.73,3.73,1345,EUR,VOC,spain
2011-02-21,3.75,3.8,3.71,3.75,3219,EUR,VOC,spain
