Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-10-12,0.62,0.63,0.62,0.62,41001,EUR,VOLB,spain
2011-10-13,0.62,0.62,0.6,0.62,10001,EUR,VOLB,spain
2011-10-14,0.64,0.64,0.61,0.63,32135,EUR,VOLB,spain
2011-10-17,0.64,0.64,0.64,0.62,10174,EUR,VOLB,spain
2011-10-18,0.61,0.63,0.61,0.62,12663,EUR,VOLB,spain
2011-10-19,0.61,0.61,0.61,0.62,10000,EUR,VOLB,spain
2011-10-20,0.61,0.61,0.61,0.62,13000,EUR,VOLB,spain
2011-10-21,0.63,0.63,0.63,0.62,30000,EUR,VOLB,spain
2011-10-24,0.64,0.65,0.61,0.64,15756,EUR,VOLB,spain
2011-10-25,0.65,0.65,0.64,0.63,12502,EUR,VOLB,spain
2011-10-26,0.65,0.65,0.61,0.61,31698,EUR,VOLB,spain
2011-10-27,0.62,0.65,0.62,0.64,14890,EUR,VOLB,spain
2011-10-28,0.67,0.67,0.67,0.65,10000,EUR,VOLB,spain
2011-10-31,0.67,0.67,0.64,0.66,24958,EUR,VOLB,spain
2011-11-01,0.67,0.67,0.64,0.65,10420,EUR,VOLB,spain
2011-11-02,0.64,0.65,0.61,0.64,16479,EUR,VOLB,spain
2011-11-03,0.67,0.67,0.67,0.65,11561,EUR,VOLB,spain
2011-11-04,0.66,0.66,0.66,0.66,10000,EUR,VOLB,spain
2011-11-07,0.7,0.7,0.69,0.67,12500,EUR,VOLB,spain
2011-11-08,0.69,0.69,0.69,0.67,12230,EUR,VOLB,spain
2011-11-09,0.67,0.69,0.66,0.67,17250,EUR,VOLB,spain
2011-11-10,0.69,0.69,0.65,0.66,13380,EUR,VOLB,spain
2011-11-11,0.68,0.68,0.67,0.68,15001,EUR,VOLB,spain
2011-11-14,0.69,0.69,0.66,0.69,17478,EUR,VOLB,spain
2011-11-15,0.68,0.7,0.68,0.69,31555,EUR,VOLB,spain
2011-11-16,0.7,0.73,0.7,0.72,27495,EUR,VOLB,spain
2011-11-17,0.76,0.76,0.7,0.7,46988,EUR,VOLB,spain
2011-11-18,0.76,0.76,0.7,0.7,38381,EUR,VOLB,spain
2011-11-21,0.75,0.75,0.7,0.71,129789,EUR,VOLB,spain
2011-11-22,0.73,0.76,0.72,0.74,111003,EUR,VOLB,spain
2011-11-23,0.76,0.76,0.76,0.73,5000,EUR,VOLB,spain
2011-11-24,0.76,0.77,0.73,0.74,26542,EUR,VOLB,spain
2011-11-25,0.76,0.76,0.73,0.74,100516,EUR,VOLB,spain
2011-11-28,0.76,0.78,0.76,0.76,19400,EUR,VOLB,spain
2011-11-29,0.78,0.79,0.75,0.76,20015,EUR,VOLB,spain
2011-11-30,0.79,0.84,0.77,0.82,82539,EUR,VOLB,spain
2011-12-01,0.84,0.85,0.84,0.81,17624,EUR,VOLB,spain
2011-12-02,0.8,0.83,0.79,0.8,7203,EUR,VOLB,spain
2011-12-05,0.79,0.79,0.78,0.79,12500,EUR,VOLB,spain
2011-12-06,0.76,0.77,0.76,0.78,15703,EUR,VOLB,spain
2011-12-07,0.78,0.8,0.77,0.78,7001,EUR,VOLB,spain
2011-12-08,0.78,0.78,0.78,0.78,0,EUR,VOLB,spain
2011-12-09,0.78,0.78,0.72,0.76,28226,EUR,VOLB,spain
2011-12-12,0.78,0.78,0.77,0.77,31950,EUR,VOLB,spain
2011-12-13,0.8,0.8,0.75,0.77,7016,EUR,VOLB,spain
2011-12-14,0.79,0.79,0.75,0.78,6195,EUR,VOLB,spain
2011-12-15,0.79,0.79,0.76,0.78,5895,EUR,VOLB,spain
2011-12-16,0.77,0.77,0.76,0.77,3327,EUR,VOLB,spain
2011-12-19,0.78,0.78,0.77,0.77,1007,EUR,VOLB,spain
2011-12-20,0.78,0.79,0.78,0.77,1195,EUR,VOLB,spain
2011-12-21,0.77,0.79,0.77,0.77,1120,EUR,VOLB,spain
2011-12-22,0.78,0.78,0.77,0.77,1100,EUR,VOLB,spain
2011-12-23,0.79,0.79,0.79,0.79,1000,EUR,VOLB,spain
2011-12-27,0.79,0.79,0.76,0.76,22823,EUR,VOLB,spain
2011-12-28,0.77,0.78,0.77,0.75,5096,EUR,VOLB,spain
2011-12-29,0.79,0.79,0.79,0.77,1001,EUR,VOLB,spain
2011-12-30,0.79,0.79,0.79,0.77,1000,EUR,VOLB,spain
2012-01-02,0.8,0.8,0.8,0.8,10000,EUR,VOLB,spain
2012-01-03,0.79,0.79,0.79,0.78,11800,EUR,VOLB,spain
2012-01-04,0.82,0.82,0.8,0.81,16502,EUR,VOLB,spain
2012-01-05,0.82,0.82,0.78,0.81,317842,EUR,VOLB,spain
2012-01-06,0.83,0.83,0.83,0.81,10862,EUR,VOLB,spain
2012-01-09,0.82,0.82,0.8,0.81,15455,EUR,VOLB,spain
2012-01-10,0.84,0.84,0.82,0.82,26033,EUR,VOLB,spain
2012-01-11,0.85,0.85,0.82,0.83,20526,EUR,VOLB,spain
2012-01-12,0.85,0.85,0.85,0.83,7999,EUR,VOLB,spain
2012-01-13,0.84,0.84,0.82,0.83,8953,EUR,VOLB,spain
2012-01-16,0.86,0.87,0.83,0.84,23007,EUR,VOLB,spain
2012-01-17,0.85,0.85,0.82,0.83,19548,EUR,VOLB,spain
2012-01-18,0.84,0.84,0.83,0.84,16011,EUR,VOLB,spain
2012-01-19,0.86,0.86,0.83,0.85,39367,EUR,VOLB,spain
2012-01-20,0.87,0.87,0.84,0.85,29127,EUR,VOLB,spain
2012-01-23,0.87,0.87,0.85,0.86,30383,EUR,VOLB,spain
2012-01-24,0.88,0.88,0.85,0.86,54210,EUR,VOLB,spain
2012-01-25,0.91,0.91,0.85,0.92,83334,EUR,VOLB,spain
2012-01-26,0.91,0.93,0.9,0.92,163750,EUR,VOLB,spain
2012-01-27,0.91,0.91,0.88,0.92,18435,EUR,VOLB,spain
2012-01-30,0.92,0.92,0.91,0.93,23202,EUR,VOLB,spain
2012-01-31,0.91,0.94,0.91,0.93,17815,EUR,VOLB,spain
2012-02-01,0.93,0.93,0.9,0.91,15609,EUR,VOLB,spain
2012-02-02,0.93,0.93,0.9,0.91,13096,EUR,VOLB,spain
2012-02-03,0.94,0.97,0.94,0.96,25644,EUR,VOLB,spain
2012-02-06,0.99,0.99,0.92,0.94,17879,EUR,VOLB,spain
2012-02-07,0.95,0.95,0.94,0.92,6150,EUR,VOLB,spain
2012-02-08,0.93,0.93,0.93,0.92,5000,EUR,VOLB,spain
2012-02-09,0.9,0.93,0.9,0.92,7640,EUR,VOLB,spain
2012-02-10,0.89,0.91,0.89,0.9,5149,EUR,VOLB,spain
2012-02-13,0.91,0.91,0.91,0.92,18879,EUR,VOLB,spain
2012-02-14,0.95,0.95,0.93,0.93,9065,EUR,VOLB,spain
2012-02-15,0.91,0.94,0.91,0.92,15493,EUR,VOLB,spain
2012-02-16,0.94,0.94,0.94,0.94,5000,EUR,VOLB,spain
2012-02-17,0.94,0.94,0.9,0.92,15309,EUR,VOLB,spain
2012-02-20,0.94,0.94,0.89,0.91,6117,EUR,VOLB,spain
2012-02-21,0.92,0.92,0.91,0.91,20050,EUR,VOLB,spain
2012-02-22,0.92,0.96,0.92,0.94,66173,EUR,VOLB,spain
2012-02-23,0.95,0.95,0.92,0.92,7500,EUR,VOLB,spain
2012-02-24,0.92,0.92,0.92,0.93,13570,EUR,VOLB,spain
2012-02-27,0.94,0.94,0.92,0.92,18948,EUR,VOLB,spain
2012-02-28,0.91,0.91,0.91,0.92,15890,EUR,VOLB,spain
2012-02-29,0.94,0.94,0.9,0.93,10002,EUR,VOLB,spain
2012-03-01,0.91,0.94,0.91,0.92,9048,EUR,VOLB,spain
2012-03-02,0.95,0.95,0.95,0.96,5000,EUR,VOLB,spain
2012-03-05,0.97,0.97,0.97,0.97,5000,EUR,VOLB,spain
2012-03-06,0.95,0.95,0.92,0.94,16200,EUR,VOLB,spain
2012-03-07,0.95,0.97,0.94,0.95,37185,EUR,VOLB,spain
2012-03-08,0.97,0.97,0.96,0.95,5006,EUR,VOLB,spain
2012-03-09,0.93,0.96,0.93,0.95,5007,EUR,VOLB,spain
2012-03-12,0.97,0.97,0.94,0.95,13915,EUR,VOLB,spain
2012-03-13,0.96,0.96,0.95,0.96,11000,EUR,VOLB,spain
2012-03-14,0.96,0.96,0.96,0.96,10000,EUR,VOLB,spain
2012-03-15,0.95,0.97,0.95,0.96,8356,EUR,VOLB,spain
2012-03-16,0.95,0.97,0.95,0.96,9000,EUR,VOLB,spain
2012-03-19,0.96,0.96,0.92,0.94,5500,EUR,VOLB,spain
2012-03-20,0.93,0.94,0.93,0.93,7290,EUR,VOLB,spain
2012-03-21,0.92,0.92,0.92,0.92,10000,EUR,VOLB,spain
2012-03-22,0.94,0.94,0.94,0.94,5000,EUR,VOLB,spain
2012-03-23,0.92,0.92,0.92,0.93,10000,EUR,VOLB,spain
2012-03-26,0.94,0.94,0.94,0.94,5000,EUR,VOLB,spain
2012-03-27,0.94,0.94,0.94,0.93,5000,EUR,VOLB,spain
2012-03-28,0.97,0.97,0.94,0.95,35941,EUR,VOLB,spain
2012-03-29,0.97,0.97,0.97,0.97,20000,EUR,VOLB,spain
2012-03-30,0.96,0.96,0.93,0.94,21423,EUR,VOLB,spain
2012-04-02,0.96,0.96,0.96,0.96,20000,EUR,VOLB,spain
2012-04-03,0.97,0.97,0.97,0.95,10000,EUR,VOLB,spain
2012-04-04,0.97,0.97,0.95,0.95,51887,EUR,VOLB,spain
2012-04-05,0.94,0.94,0.94,0.94,0,EUR,VOLB,spain
2012-04-10,0.97,0.97,0.94,0.95,22980,EUR,VOLB,spain
2012-04-11,0.96,0.96,0.96,0.94,12000,EUR,VOLB,spain
2012-04-12,0.96,0.96,0.95,0.94,32000,EUR,VOLB,spain
2012-04-13,0.93,0.96,0.93,0.94,20500,EUR,VOLB,spain
2012-04-16,0.97,0.97,0.95,0.96,21350,EUR,VOLB,spain
2012-04-17,0.97,0.97,0.94,0.95,40001,EUR,VOLB,spain
2012-04-18,0.93,0.93,0.91,0.92,13518,EUR,VOLB,spain
2012-04-19,0.93,0.93,0.93,0.93,5000,EUR,VOLB,spain
2012-04-20,0.93,0.93,0.91,0.92,8153,EUR,VOLB,spain
2012-04-23,0.94,0.94,0.86,0.91,20501,EUR,VOLB,spain
2012-04-24,0.92,0.94,0.91,0.92,11310,EUR,VOLB,spain
2012-04-25,0.9,0.91,0.9,0.91,6000,EUR,VOLB,spain
2012-04-26,0.9,0.9,0.87,0.87,5000,EUR,VOLB,spain
2012-04-27,0.84,0.84,0.84,0.85,10787,EUR,VOLB,spain
2012-04-30,0.85,0.85,0.85,0.85,5000,EUR,VOLB,spain
2012-05-02,0.87,0.87,0.87,0.85,5000,EUR,VOLB,spain
2012-05-03,0.85,0.85,0.85,0.85,5000,EUR,VOLB,spain
2012-05-04,0.84,0.84,0.83,0.84,5369,EUR,VOLB,spain
2012-05-07,0.86,0.86,0.86,0.86,5000,EUR,VOLB,spain
2012-05-08,0.84,0.86,0.84,0.86,5016,EUR,VOLB,spain
2012-05-09,0.85,0.89,0.82,0.85,74043,EUR,VOLB,spain
2012-05-10,0.88,0.88,0.88,0.88,5000,EUR,VOLB,spain
