Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2016-07-29,3.24,3.26,3.24,3.26,13418,EUR,VOZ,spain
2016-08-01,3.15,3.15,3.15,3.15,6200,EUR,VOZ,spain
2016-08-02,3.2,3.2,3.1,3.1,2562,EUR,VOZ,spain
2016-08-04,3.17,3.17,3.17,3.1,6,EUR,VOZ,spain
2016-08-08,3.03,3.03,3.03,3.03,1612,EUR,VOZ,spain
2016-08-09,2.96,2.96,2.96,2.96,1650,EUR,VOZ,spain
2016-08-10,2.9,3.03,2.9,2.9,1692,EUR,VOZ,spain
2016-08-18,2.83,2.83,2.83,2.83,2068,EUR,VOZ,spain
2016-08-25,2.82,2.82,2.82,2.82,500,EUR,VOZ,spain
2016-08-26,2.88,2.88,2.88,2.88,502,EUR,VOZ,spain
2016-09-09,2.82,2.82,2.82,2.82,1736,EUR,VOZ,spain
2016-09-30,2.86,2.86,2.86,2.86,2000,EUR,VOZ,spain
2016-10-05,2.8,2.8,2.8,2.8,1748,EUR,VOZ,spain
2016-10-07,2.74,2.74,2.74,2.74,1900,EUR,VOZ,spain
2016-10-10,2.61,2.61,2.48,2.48,8414,EUR,VOZ,spain
2016-10-11,2.47,2.54,2.47,2.54,800,EUR,VOZ,spain
2016-10-12,2.6,2.6,2.6,2.6,1503,EUR,VOZ,spain
2016-10-13,2.66,2.66,2.66,2.66,1857,EUR,VOZ,spain
2016-10-14,2.72,2.72,2.72,2.72,1858,EUR,VOZ,spain
2016-10-17,2.78,2.78,2.78,2.78,1149,EUR,VOZ,spain
2016-10-18,2.82,2.82,2.82,2.82,1151,EUR,VOZ,spain
2016-10-19,2.76,2.76,2.76,2.76,3716,EUR,VOZ,spain
2016-11-21,2.7,2.7,2.7,2.7,1900,EUR,VOZ,spain
2016-11-28,2.64,2.64,2.64,2.64,1402,EUR,VOZ,spain
2016-12-16,2.6,2.6,2.6,2.6,7000,EUR,VOZ,spain
2016-12-20,2.54,2.54,2.54,2.54,769,EUR,VOZ,spain
2016-12-21,2.54,2.54,2.54,2.54,787,EUR,VOZ,spain
2016-12-22,2.54,2.54,2.54,2.54,787,EUR,VOZ,spain
2016-12-23,2.54,2.54,2.54,2.54,787,EUR,VOZ,spain
2016-12-27,2.53,2.53,2.53,2.53,787,EUR,VOZ,spain
2016-12-28,2.53,2.53,2.53,2.53,787,EUR,VOZ,spain
2016-12-29,2.53,2.53,2.53,2.53,787,EUR,VOZ,spain
2016-12-30,2.53,2.53,2.53,2.53,787,EUR,VOZ,spain
2017-02-07,2.5,2.5,2.5,2.5,5000,EUR,VOZ,spain
2017-02-13,2.45,2.45,2.44,2.44,4500,EUR,VOZ,spain
2017-02-14,2.4,2.4,2.4,2.4,3000,EUR,VOZ,spain
2017-02-15,2.35,2.35,2.35,2.35,5000,EUR,VOZ,spain
2017-03-01,2.35,2.35,2.35,2.35,4000,EUR,VOZ,spain
2017-03-08,2.3,2.3,2.3,2.3,12500,EUR,VOZ,spain
2017-03-09,2.25,2.25,2.25,2.25,2232,EUR,VOZ,spain
2017-03-13,2.2,2.2,2.2,2.2,6443,EUR,VOZ,spain
2017-03-20,2.2,2.2,2.2,2.2,1800,EUR,VOZ,spain
2017-03-21,2.2,2.2,2.2,2.2,1757,EUR,VOZ,spain
2017-03-22,2.15,2.15,2.15,2.15,2500,EUR,VOZ,spain
2017-03-23,2.1,2.2,2.1,2.2,7837,EUR,VOZ,spain
2017-03-24,2.15,2.25,2.15,2.25,3601,EUR,VOZ,spain
2017-03-27,2.2,2.2,2.2,2.2,2500,EUR,VOZ,spain
2017-03-29,2.15,2.15,2.15,2.15,2500,EUR,VOZ,spain
2017-03-30,2.1,2.1,2.1,2.1,14999,EUR,VOZ,spain
2017-03-31,2.05,2.05,2.05,2.05,15000,EUR,VOZ,spain
2017-04-03,2.0,2.0,2.0,2.0,584,EUR,VOZ,spain
2017-04-18,2.0,2.0,2.0,2.0,1900,EUR,VOZ,spain
2017-05-08,2.0,2.0,2.0,2.0,1980,EUR,VOZ,spain
2017-05-09,2.0,2.0,2.0,2.0,20,EUR,VOZ,spain
2017-06-15,2.05,2.05,2.05,2.05,1500,EUR,VOZ,spain
2017-06-16,2.0,2.0,2.0,2.0,3750,EUR,VOZ,spain
2017-08-07,1.96,1.96,1.96,1.96,2750,EUR,VOZ,spain
2017-09-04,1.92,1.92,1.92,1.92,1002,EUR,VOZ,spain
2017-09-28,1.92,1.92,1.92,1.92,43103,EUR,VOZ,spain
2017-10-05,1.88,1.88,1.88,1.88,2000,EUR,VOZ,spain
2017-10-30,1.92,1.92,1.92,1.92,309,EUR,VOZ,spain
2017-11-06,1.96,1.96,1.96,1.96,400,EUR,VOZ,spain
2017-11-08,1.99,1.99,1.99,1.99,3000,EUR,VOZ,spain
2017-11-14,1.95,1.95,1.95,1.95,3000,EUR,VOZ,spain
2017-11-15,1.91,1.91,1.91,1.91,2750,EUR,VOZ,spain
2017-11-21,1.95,1.95,1.95,1.95,308,EUR,VOZ,spain
2017-12-22,1.99,1.99,1.99,1.95,100,EUR,VOZ,spain
2018-01-02,1.9,1.9,1.9,1.9,2809,EUR,VOZ,spain
2018-01-16,1.93,1.93,1.93,1.9,100,EUR,VOZ,spain
2018-01-17,1.86,1.86,1.86,1.86,3000,EUR,VOZ,spain
2018-01-22,1.82,1.82,1.82,1.82,4000,EUR,VOZ,spain
2018-01-23,1.86,1.86,1.85,1.85,6000,EUR,VOZ,spain
2018-01-24,1.89,1.89,1.89,1.89,200,EUR,VOZ,spain
2018-01-29,1.93,1.93,1.93,1.93,2900,EUR,VOZ,spain
2018-01-30,1.89,1.89,1.89,1.89,5000,EUR,VOZ,spain
2018-01-31,1.85,1.85,1.85,1.85,6800,EUR,VOZ,spain
2018-02-01,1.76,1.81,1.76,1.81,12000,EUR,VOZ,spain
2018-02-02,1.72,1.77,1.72,1.77,11400,EUR,VOZ,spain
2018-02-05,1.73,1.73,1.65,1.65,9700,EUR,VOZ,spain
2018-02-06,1.61,1.61,1.61,1.61,3200,EUR,VOZ,spain
2018-02-07,1.58,1.58,1.58,1.58,6400,EUR,VOZ,spain
2018-02-08,1.55,1.55,1.55,1.55,7600,EUR,VOZ,spain
2018-02-09,1.52,1.52,1.52,1.52,6600,EUR,VOZ,spain
2018-02-12,1.55,1.55,1.55,1.55,1500,EUR,VOZ,spain
2018-02-13,1.5,1.5,1.5,1.5,3200,EUR,VOZ,spain
2018-02-14,1.53,1.53,1.53,1.53,1500,EUR,VOZ,spain
2018-02-15,1.47,1.47,1.4,1.4,6700,EUR,VOZ,spain
2018-02-19,1.43,1.43,1.43,1.43,2000,EUR,VOZ,spain
2018-02-28,1.4,1.4,1.4,1.4,1950,EUR,VOZ,spain
2018-03-01,1.37,1.37,1.37,1.37,3700,EUR,VOZ,spain
2018-03-02,1.34,1.34,1.34,1.34,3800,EUR,VOZ,spain
2018-03-05,1.31,1.31,1.31,1.31,3900,EUR,VOZ,spain
2018-03-06,1.28,1.28,1.28,1.28,3940,EUR,VOZ,spain
2018-03-07,1.22,1.22,1.16,1.16,4000,EUR,VOZ,spain
2018-03-09,1.11,1.11,1.11,1.11,3100,EUR,VOZ,spain
2018-03-13,1.06,1.06,1.06,1.06,3000,EUR,VOZ,spain
2018-04-03,1.06,1.06,1.06,1.06,100,EUR,VOZ,spain
2018-04-04,1.11,1.13,1.11,1.13,11800,EUR,VOZ,spain
2018-04-05,1.18,1.23,1.18,1.23,9800,EUR,VOZ,spain
2018-04-06,1.29,1.29,1.26,1.26,9952,EUR,VOZ,spain
2018-04-09,1.2,1.2,1.14,1.14,5000,EUR,VOZ,spain
2018-04-10,1.19,1.19,1.19,1.19,7400,EUR,VOZ,spain
2018-04-11,1.22,1.22,1.22,1.22,7166,EUR,VOZ,spain
2018-04-12,1.28,1.28,1.28,1.28,10000,EUR,VOZ,spain
2018-04-13,1.31,1.31,1.31,1.31,3900,EUR,VOZ,spain
2018-04-16,1.37,1.43,1.37,1.43,3800,EUR,VOZ,spain
2018-04-17,1.5,1.57,1.5,1.57,3500,EUR,VOZ,spain
2018-04-18,1.64,1.72,1.64,1.72,30640,EUR,VOZ,spain
2018-04-19,1.8,1.89,1.8,1.89,10140,EUR,VOZ,spain
2018-04-20,1.98,1.98,1.93,1.93,85631,EUR,VOZ,spain
2018-04-23,1.87,1.89,1.87,1.89,8169,EUR,VOZ,spain
2018-04-24,1.9,1.9,1.9,1.9,2670,EUR,VOZ,spain
2018-04-26,1.94,1.94,1.94,1.9,100,EUR,VOZ,spain
2018-04-27,1.94,1.94,1.94,1.94,2200,EUR,VOZ,spain
2018-04-30,1.94,1.94,1.94,1.94,1295,EUR,VOZ,spain
2018-05-02,1.94,1.94,1.94,1.94,1500,EUR,VOZ,spain
2018-05-04,2.02,2.04,2.02,2.04,4573,EUR,VOZ,spain
2018-05-08,2.04,2.04,2.04,2.04,2150,EUR,VOZ,spain
2018-05-11,1.94,1.94,1.94,1.94,2400,EUR,VOZ,spain
2018-05-14,1.93,1.93,1.93,1.93,409,EUR,VOZ,spain
2018-05-15,1.94,1.94,1.94,1.94,3000,EUR,VOZ,spain
2018-05-16,1.98,1.98,1.98,1.98,2600,EUR,VOZ,spain
2018-05-18,2.02,2.02,2.02,2.02,1000,EUR,VOZ,spain
2018-05-24,1.94,2.0,1.94,2.0,1560,EUR,VOZ,spain
2018-05-25,2.02,2.02,2.02,2.02,1248,EUR,VOZ,spain
2018-06-04,1.94,1.94,1.94,1.94,1000,EUR,VOZ,spain
2018-06-06,1.98,1.98,1.98,1.98,724,EUR,VOZ,spain
2018-06-08,1.98,1.98,1.98,1.98,4033,EUR,VOZ,spain
2018-06-11,2.02,2.02,2.02,2.02,1500,EUR,VOZ,spain
2018-06-15,1.99,1.99,1.99,1.99,2000,EUR,VOZ,spain
2018-06-29,1.94,1.94,1.94,1.94,622,EUR,VOZ,spain
2018-07-10,1.94,1.94,1.94,1.94,1000,EUR,VOZ,spain
2018-07-13,1.94,1.94,1.94,1.94,1000,EUR,VOZ,spain
2018-07-20,1.9,1.9,1.9,1.9,1000,EUR,VOZ,spain
2018-08-03,1.9,1.9,1.9,1.9,10,EUR,VOZ,spain
2018-08-14,1.95,1.95,1.95,1.95,12500,EUR,VOZ,spain
2018-08-20,1.95,1.95,1.95,1.95,11500,EUR,VOZ,spain
2018-08-21,1.95,1.95,1.95,1.95,1140,EUR,VOZ,spain
2018-09-18,1.94,1.94,1.94,1.94,1500,EUR,VOZ,spain
2018-09-24,1.94,1.95,1.94,1.95,20120,EUR,VOZ,spain
2018-09-25,2.04,2.14,2.04,2.14,23019,EUR,VOZ,spain
2018-09-26,2.24,2.34,2.24,2.34,8715,EUR,VOZ,spain
2018-09-27,2.44,2.56,2.44,2.56,13494,EUR,VOZ,spain
2018-09-28,2.68,2.68,2.56,2.56,28669,EUR,VOZ,spain
2018-10-01,2.66,2.66,2.66,2.66,33798,EUR,VOZ,spain
2018-10-02,2.66,2.74,2.66,2.74,25437,EUR,VOZ,spain
2018-10-03,2.74,2.8,2.74,2.8,42411,EUR,VOZ,spain
2018-10-04,2.94,3.08,2.94,3.08,1837,EUR,VOZ,spain
2018-10-05,3.06,3.06,3.06,3.06,5409,EUR,VOZ,spain
2018-10-08,3.18,3.32,3.18,3.32,12049,EUR,VOZ,spain
2018-10-09,3.42,3.42,3.42,3.42,10058,EUR,VOZ,spain
2018-10-10,3.42,3.5,3.42,3.5,3100,EUR,VOZ,spain
2018-10-11,3.4,3.4,3.4,3.5,79,EUR,VOZ,spain
2018-10-15,3.34,3.34,3.34,3.34,1700,EUR,VOZ,spain
2018-10-16,3.2,3.2,3.2,3.2,474,EUR,VOZ,spain
2018-10-18,3.06,3.06,3.06,3.06,1696,EUR,VOZ,spain
2018-10-19,3.12,3.26,3.12,3.26,1634,EUR,VOZ,spain
2018-10-22,3.32,3.4,3.32,3.4,4356,EUR,VOZ,spain
2018-10-23,3.4,3.4,3.4,3.4,1571,EUR,VOZ,spain
2018-10-24,3.48,3.48,3.48,3.48,2733,EUR,VOZ,spain
2018-10-25,3.64,3.82,3.64,3.82,1932,EUR,VOZ,spain
2018-10-26,4.0,4.18,4.0,4.18,2250,EUR,VOZ,spain
2018-10-30,4.28,4.28,4.28,4.28,1000,EUR,VOZ,spain
2018-10-31,4.28,4.28,4.28,4.28,244,EUR,VOZ,spain
2018-11-02,4.28,4.28,4.28,4.28,53,EUR,VOZ,spain
2018-11-07,4.26,4.26,4.26,4.28,100,EUR,VOZ,spain
2018-11-12,4.18,4.18,4.08,4.08,1220,EUR,VOZ,spain
