Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-11,0.21,0.22,0.21,0.21,18750,EUR,VTSG,spain
2010-10-12,0.21,0.23,0.21,0.22,152624,EUR,VTSG,spain
2010-10-13,0.23,0.23,0.21,0.22,126911,EUR,VTSG,spain
2010-10-14,0.21,0.22,0.21,0.22,106123,EUR,VTSG,spain
2010-10-15,0.22,0.22,0.21,0.22,124245,EUR,VTSG,spain
2010-10-18,0.22,0.22,0.22,0.22,25125,EUR,VTSG,spain
2010-10-19,0.22,0.22,0.21,0.21,4388,EUR,VTSG,spain
2010-10-20,0.22,0.22,0.21,0.22,20046,EUR,VTSG,spain
2010-10-21,0.21,0.22,0.21,0.22,65133,EUR,VTSG,spain
2010-10-22,0.22,0.22,0.21,0.21,285279,EUR,VTSG,spain
2010-10-25,0.21,0.22,0.21,0.22,174483,EUR,VTSG,spain
2010-10-26,0.21,0.22,0.21,0.21,34429,EUR,VTSG,spain
2010-10-27,0.21,0.21,0.21,0.21,31276,EUR,VTSG,spain
2010-10-28,0.21,0.22,0.21,0.21,169527,EUR,VTSG,spain
2010-10-29,0.21,0.21,0.21,0.21,72641,EUR,VTSG,spain
2010-11-01,0.22,0.23,0.22,0.23,790497,EUR,VTSG,spain
2010-11-02,0.23,0.23,0.22,0.23,738194,EUR,VTSG,spain
2010-11-03,0.24,0.24,0.23,0.23,528832,EUR,VTSG,spain
2010-11-04,0.23,0.24,0.23,0.23,251481,EUR,VTSG,spain
2010-11-05,0.23,0.23,0.22,0.23,274163,EUR,VTSG,spain
2010-11-08,0.22,0.24,0.22,0.23,258901,EUR,VTSG,spain
2010-11-09,0.23,0.23,0.22,0.23,109953,EUR,VTSG,spain
2010-11-10,0.23,0.23,0.22,0.23,125350,EUR,VTSG,spain
2010-11-11,0.22,0.23,0.22,0.22,166710,EUR,VTSG,spain
2010-11-12,0.22,0.22,0.21,0.22,151481,EUR,VTSG,spain
2010-11-15,0.22,0.24,0.21,0.22,260028,EUR,VTSG,spain
2010-11-16,0.22,0.23,0.21,0.22,267401,EUR,VTSG,spain
2010-11-17,0.22,0.23,0.21,0.23,106149,EUR,VTSG,spain
2010-11-18,0.22,0.23,0.22,0.23,73013,EUR,VTSG,spain
2010-11-19,0.23,0.23,0.22,0.23,131287,EUR,VTSG,spain
2010-11-22,0.23,0.23,0.22,0.23,228732,EUR,VTSG,spain
2010-11-23,0.23,0.23,0.21,0.22,126087,EUR,VTSG,spain
2010-11-24,0.21,0.22,0.21,0.21,117279,EUR,VTSG,spain
2010-11-25,0.22,0.22,0.21,0.21,85504,EUR,VTSG,spain
2010-11-26,0.21,0.21,0.18,0.21,456476,EUR,VTSG,spain
2010-11-29,0.21,0.22,0.2,0.21,126086,EUR,VTSG,spain
2010-11-30,0.2,0.21,0.2,0.21,78038,EUR,VTSG,spain
2010-12-01,0.2,0.21,0.2,0.21,1007518,EUR,VTSG,spain
2010-12-02,0.21,0.21,0.2,0.21,282472,EUR,VTSG,spain
2010-12-03,0.2,0.21,0.2,0.21,323948,EUR,VTSG,spain
2010-12-06,0.21,0.21,0.2,0.21,163068,EUR,VTSG,spain
2010-12-07,0.2,0.21,0.2,0.21,49632,EUR,VTSG,spain
2010-12-08,0.21,0.21,0.2,0.2,74380,EUR,VTSG,spain
2010-12-09,0.2,0.21,0.2,0.21,45067,EUR,VTSG,spain
2010-12-10,0.21,0.21,0.21,0.21,23996,EUR,VTSG,spain
2010-12-13,0.21,0.21,0.2,0.21,98105,EUR,VTSG,spain
