Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-11-08,2.56,2.56,2.56,2.56,0,EUR,XNOR,spain
2011-11-09,2.58,2.58,2.58,2.58,0,EUR,XNOR,spain
2011-11-10,2.5,2.5,2.5,2.5,0,EUR,XNOR,spain
2011-11-11,2.54,2.54,2.54,2.54,0,EUR,XNOR,spain
2011-11-14,2.57,2.57,2.57,2.57,0,EUR,XNOR,spain
2011-11-15,2.49,2.49,2.48,2.5,14000,EUR,XNOR,spain
2011-11-16,2.52,2.52,2.52,2.52,0,EUR,XNOR,spain
2011-11-17,2.52,2.52,2.52,2.52,0,EUR,XNOR,spain
2011-11-18,2.5,2.5,2.5,2.5,0,EUR,XNOR,spain
2011-11-21,2.5,2.5,2.5,2.5,0,EUR,XNOR,spain
2011-11-22,2.4,2.4,2.39,2.38,10000,EUR,XNOR,spain
2011-11-23,2.39,2.39,2.39,2.39,0,EUR,XNOR,spain
2011-11-24,2.35,2.35,2.35,2.35,0,EUR,XNOR,spain
2011-11-25,2.29,2.29,2.29,2.29,0,EUR,XNOR,spain
2011-11-28,2.33,2.36,2.32,2.38,18000,EUR,XNOR,spain
2011-11-29,2.4,2.4,2.4,2.4,0,EUR,XNOR,spain
2011-11-30,2.48,2.48,2.48,2.46,946,EUR,XNOR,spain
2011-12-01,2.53,2.53,2.53,2.53,0,EUR,XNOR,spain
2011-12-02,2.54,2.54,2.52,2.55,319,EUR,XNOR,spain
2011-12-05,2.64,2.64,2.64,2.64,0,EUR,XNOR,spain
2011-12-06,2.58,2.58,2.58,2.58,0,EUR,XNOR,spain
2011-12-07,2.59,2.59,2.59,2.5,6000,EUR,XNOR,spain
2011-12-08,2.5,2.5,2.5,2.5,0,EUR,XNOR,spain
2011-12-09,2.5,2.5,2.5,2.5,0,EUR,XNOR,spain
2011-12-12,2.5,2.5,2.5,2.5,0,EUR,XNOR,spain
2011-12-13,2.48,2.48,2.48,2.48,0,EUR,XNOR,spain
2011-12-14,2.42,2.42,2.42,2.42,0,EUR,XNOR,spain
2011-12-15,2.44,2.44,2.44,2.46,10000,EUR,XNOR,spain
2011-12-16,2.45,2.45,2.37,2.4,6390,EUR,XNOR,spain
2011-12-19,2.35,2.35,2.35,2.33,10000,EUR,XNOR,spain
2011-12-20,2.31,2.31,2.3,2.33,6000,EUR,XNOR,spain
2011-12-21,2.33,2.33,2.33,2.33,0,EUR,XNOR,spain
2011-12-22,2.37,2.37,2.37,2.37,0,EUR,XNOR,spain
2011-12-23,2.42,2.42,2.42,2.42,0,EUR,XNOR,spain
2011-12-27,2.38,2.38,2.38,2.38,0,EUR,XNOR,spain
2011-12-28,2.38,2.38,2.38,2.38,0,EUR,XNOR,spain
2011-12-29,2.37,2.37,2.37,2.37,0,EUR,XNOR,spain
2011-12-30,2.38,2.38,2.38,2.38,0,EUR,XNOR,spain
2012-01-02,2.35,2.35,2.35,2.35,0,EUR,XNOR,spain
2012-01-03,2.44,2.44,2.44,2.44,0,EUR,XNOR,spain
2012-01-04,2.42,2.42,2.42,2.42,0,EUR,XNOR,spain
2012-01-05,2.53,2.53,2.53,2.53,0,EUR,XNOR,spain
2012-01-06,2.58,2.58,2.58,2.58,0,EUR,XNOR,spain
2012-01-09,2.59,2.59,2.59,2.59,0,EUR,XNOR,spain
2012-01-10,2.67,2.67,2.67,2.67,0,EUR,XNOR,spain
2012-01-11,2.69,2.69,2.69,2.71,10000,EUR,XNOR,spain
2012-01-12,2.73,2.74,2.73,2.72,12000,EUR,XNOR,spain
2012-01-13,2.67,2.67,2.67,2.63,2500,EUR,XNOR,spain
2012-01-16,2.79,2.79,2.79,2.81,4000,EUR,XNOR,spain
2012-01-17,2.81,2.81,2.81,2.81,0,EUR,XNOR,spain
2012-01-18,2.8,2.8,2.8,2.83,2500,EUR,XNOR,spain
2012-01-19,3.0,3.01,3.0,3.0,11673,EUR,XNOR,spain
2012-01-20,3.06,3.06,3.06,3.0,10000,EUR,XNOR,spain
2012-01-23,2.96,2.96,2.96,2.96,0,EUR,XNOR,spain
2012-01-24,2.99,2.99,2.99,2.99,0,EUR,XNOR,spain
2012-01-25,3.05,3.05,3.05,3.04,10000,EUR,XNOR,spain
2012-01-26,3.11,3.22,3.11,3.09,10000,EUR,XNOR,spain
2012-01-27,3.11,3.12,3.11,3.1,10000,EUR,XNOR,spain
2012-01-30,3.06,3.06,3.06,3.06,0,EUR,XNOR,spain
2012-01-31,3.05,3.05,3.05,3.05,0,EUR,XNOR,spain
2012-02-01,3.07,3.07,3.07,3.06,10000,EUR,XNOR,spain
2012-02-02,3.08,3.08,3.08,3.08,0,EUR,XNOR,spain
2012-02-03,3.09,3.09,3.09,3.09,0,EUR,XNOR,spain
2012-02-06,3.09,3.09,3.09,3.1,10000,EUR,XNOR,spain
2012-02-07,3.11,3.11,3.11,3.11,10000,EUR,XNOR,spain
2012-02-08,3.07,3.07,3.07,3.07,0,EUR,XNOR,spain
