Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2017-02-22,1.05,1.05,1.05,1.05,4770,EUR,YABA,spain
2017-02-23,1.06,1.07,1.06,1.07,5230,EUR,YABA,spain
2017-02-28,1.08,1.08,1.08,1.08,4630,EUR,YABA,spain
2017-03-07,1.08,1.08,1.08,1.08,5080,EUR,YABA,spain
2017-03-08,1.06,1.06,1.06,1.06,510000,EUR,YABA,spain
2017-03-09,1.07,1.07,1.06,1.06,14765,EUR,YABA,spain
2017-03-10,1.08,1.08,1.08,1.08,1030000,EUR,YABA,spain
2017-03-13,1.08,1.08,1.08,1.08,382245,EUR,YABA,spain
2017-03-21,1.08,1.08,1.08,1.08,505235,EUR,YABA,spain
2017-10-25,1.06,1.06,1.05,1.06,4810,EUR,YABA,spain
2018-02-19,1.07,1.07,1.07,1.07,4675,EUR,YABA,spain
2018-03-01,1.08,1.08,1.08,1.08,1850,EUR,YABA,spain
2018-03-23,1.07,1.07,1.07,1.08,120,EUR,YABA,spain
2018-04-10,1.08,1.08,1.08,1.08,10000,EUR,YABA,spain
2018-04-20,1.08,1.08,1.08,1.08,9710,EUR,YABA,spain
2018-05-21,1.07,1.07,1.06,1.06,10000,EUR,YABA,spain
2018-06-14,1.07,1.07,1.07,1.07,2000,EUR,YABA,spain
2018-07-05,1.08,1.08,1.08,1.07,50,EUR,YABA,spain
2018-07-16,1.08,1.08,1.08,1.07,50,EUR,YABA,spain
2018-10-23,1.02,1.02,1.02,1.03,104,EUR,YABA,spain
2018-11-20,1.03,1.03,1.03,1.03,10422,EUR,YABA,spain
2018-11-29,1.03,1.03,1.03,1.03,10422,EUR,YABA,spain
2018-12-05,1.03,1.03,1.03,1.03,156344,EUR,YABA,spain
2019-03-01,1.04,1.04,1.04,1.03,100,EUR,YABA,spain
2019-03-21,1.03,1.03,1.03,1.03,250000,EUR,YABA,spain
2019-04-16,1.03,1.03,1.03,1.03,232245,EUR,YABA,spain
2019-05-06,1.04,1.04,1.04,1.04,950,EUR,YABA,spain
2019-05-08,1.05,1.05,1.05,1.05,1000,EUR,YABA,spain
2019-05-15,1.06,1.06,1.06,1.06,900,EUR,YABA,spain
2019-05-20,1.07,1.07,1.07,1.07,2000,EUR,YABA,spain
2019-06-04,1.07,1.07,1.07,1.07,9822,EUR,YABA,spain
2019-10-29,1.06,1.06,1.05,1.05,10422,EUR,YABA,spain
2019-11-11,1.05,1.05,1.05,1.05,200000,EUR,YABA,spain
2019-11-21,1.05,1.05,1.05,1.05,200000,EUR,YABA,spain
2019-12-27,1.05,1.05,1.05,1.05,908475,EUR,YABA,spain
2020-03-18,1.04,1.04,1.04,1.04,4808,EUR,YABA,spain
2020-05-26,1.05,1.05,1.05,1.05,4762,EUR,YABA,spain
2020-05-29,1.06,1.06,1.06,1.06,5238,EUR,YABA,spain
2020-06-05,1.07,1.07,1.07,1.07,4673,EUR,YABA,spain
2020-06-08,1.08,1.08,1.08,1.08,4630,EUR,YABA,spain
2020-06-10,1.09,1.09,1.09,1.09,4630,EUR,YABA,spain
2020-06-11,1.1,1.1,1.1,1.1,262,EUR,YABA,spain
2020-06-12,1.11,1.11,1.11,1.11,5300,EUR,YABA,spain
2020-06-16,1.12,1.12,1.12,1.12,770,EUR,YABA,spain
2020-07-07,1.11,1.11,1.11,1.11,262,EUR,YABA,spain
