Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2019-01-29,1.1,1.1,1.1,1.1,4588,EUR,YAC1,spain
2019-02-04,1.11,1.11,1.11,1.11,4505,EUR,YAC1,spain
2019-02-06,1.12,1.12,1.12,1.12,5000,EUR,YAC1,spain
2019-02-07,1.13,1.13,1.13,1.13,3571,EUR,YAC1,spain
2019-02-12,1.14,1.14,1.14,1.14,4386,EUR,YAC1,spain
2019-02-13,1.11,1.11,1.11,1.11,10000,EUR,YAC1,spain
2019-02-18,1.1,1.1,1.09,1.09,21237,EUR,YAC1,spain
2019-02-19,1.08,1.08,1.07,1.07,9305,EUR,YAC1,spain
2019-02-20,1.06,1.06,1.05,1.05,9458,EUR,YAC1,spain
2019-03-05,1.06,1.06,1.06,1.06,4717,EUR,YAC1,spain
2019-03-07,1.07,1.07,1.07,1.07,4673,EUR,YAC1,spain
2019-03-08,1.08,1.08,1.08,1.08,4630,EUR,YAC1,spain
2019-03-12,1.09,1.09,1.09,1.09,2752,EUR,YAC1,spain
2019-03-19,1.08,1.08,1.08,1.08,10000,EUR,YAC1,spain
2019-03-21,1.09,1.09,1.09,1.09,4030,EUR,YAC1,spain
2019-03-26,1.1,1.1,1.1,1.1,4000,EUR,YAC1,spain
2019-03-27,1.07,1.07,1.06,1.06,9632,EUR,YAC1,spain
2019-03-29,1.07,1.07,1.07,1.07,4673,EUR,YAC1,spain
2019-04-02,1.08,1.08,1.08,1.08,4630,EUR,YAC1,spain
2019-04-05,1.09,1.09,1.09,1.09,2000,EUR,YAC1,spain
2019-05-10,1.08,1.08,1.08,1.08,4000,EUR,YAC1,spain
2019-05-24,1.09,1.09,1.09,1.09,8088,EUR,YAC1,spain
2019-06-04,1.09,1.09,1.09,1.09,6500,EUR,YAC1,spain
2019-06-12,1.08,1.08,1.07,1.07,40588,EUR,YAC1,spain
2019-06-13,1.08,1.08,1.08,1.08,4630,EUR,YAC1,spain
2019-06-14,1.09,1.09,1.08,1.08,11000,EUR,YAC1,spain
2019-06-18,1.09,1.09,1.09,1.09,1000,EUR,YAC1,spain
