Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-02-28,19.6,19.6,19.6,19.6,773,EUR,YAML,spain
2018-03-21,19.6,19.6,19.6,19.6,260,EUR,YAML,spain
2018-03-22,19.6,19.6,19.6,19.6,265,EUR,YAML,spain
2018-03-27,19.6,19.6,19.6,19.6,525,EUR,YAML,spain
2018-04-16,19.6,19.6,19.6,19.6,10000,EUR,YAML,spain
2018-04-19,19.6,19.6,19.6,19.6,505,EUR,YAML,spain
2018-04-24,19.6,19.6,19.6,19.6,7894,EUR,YAML,spain
2018-04-25,19.6,19.6,19.6,19.6,2550,EUR,YAML,spain
2018-04-26,19.6,19.6,19.6,19.6,2295,EUR,YAML,spain
2018-04-27,19.6,19.6,19.6,19.6,1531,EUR,YAML,spain
2018-04-30,19.6,19.6,19.6,19.6,2550,EUR,YAML,spain
2018-05-08,19.6,19.6,19.6,19.6,760,EUR,YAML,spain
2018-05-10,19.6,19.6,19.6,19.6,2045,EUR,YAML,spain
2018-05-18,19.7,19.7,19.7,19.7,1000,EUR,YAML,spain
2018-05-21,19.8,19.8,19.8,19.8,1025,EUR,YAML,spain
2018-05-31,19.8,19.8,19.8,19.8,1200,EUR,YAML,spain
2018-06-01,19.9,19.9,19.9,19.9,1400,EUR,YAML,spain
2018-06-04,20.0,20.0,20.0,20.0,1450,EUR,YAML,spain
2018-06-06,20.2,20.4,20.2,20.4,3650,EUR,YAML,spain
2018-06-08,20.4,20.4,20.4,20.4,1500,EUR,YAML,spain
2018-06-11,20.6,20.6,20.6,20.6,1400,EUR,YAML,spain
2018-06-12,20.8,20.8,20.8,20.8,1400,EUR,YAML,spain
2018-06-13,20.8,20.8,20.8,20.8,1500,EUR,YAML,spain
2018-06-15,21.0,21.0,21.0,21.0,2115,EUR,YAML,spain
2018-06-21,21.2,21.2,21.2,21.2,600,EUR,YAML,spain
2018-06-22,21.4,21.4,21.4,21.4,1650,EUR,YAML,spain
2018-06-29,21.4,21.4,21.4,21.4,875,EUR,YAML,spain
2018-07-05,21.4,21.4,21.4,21.4,3400,EUR,YAML,spain
2018-07-11,21.4,21.4,21.4,21.4,1260,EUR,YAML,spain
2018-07-16,21.4,21.4,21.4,21.4,1300,EUR,YAML,spain
2018-07-17,21.4,21.4,21.4,21.4,1350,EUR,YAML,spain
2018-07-18,21.4,21.4,21.4,21.4,1350,EUR,YAML,spain
2018-07-19,21.4,21.4,21.4,21.4,640,EUR,YAML,spain
2018-07-20,21.4,21.4,21.4,21.4,2287,EUR,YAML,spain
2018-07-23,21.4,21.4,21.4,21.4,925,EUR,YAML,spain
2019-03-11,21.6,21.6,21.6,21.6,250,EUR,YAML,spain
2019-05-10,21.8,21.8,21.8,21.8,230,EUR,YAML,spain
2019-07-01,21.6,21.6,21.6,21.6,80,EUR,YAML,spain
2019-07-04,21.6,21.6,21.6,21.6,90,EUR,YAML,spain
2019-07-09,21.6,21.6,21.6,21.6,190,EUR,YAML,spain
2019-09-02,21.8,21.8,21.8,21.8,200,EUR,YAML,spain
2019-10-14,22.0,22.0,22.0,22.0,200,EUR,YAML,spain
2019-11-26,21.6,21.6,21.6,22.0,100,EUR,YAML,spain
2019-12-09,22.0,22.0,22.0,22.0,8,EUR,YAML,spain
2019-12-19,22.0,22.0,22.0,22.0,3,EUR,YAML,spain
2020-01-02,22.4,22.4,22.4,22.4,200,EUR,YAML,spain
2020-01-08,22.4,22.4,22.4,22.4,6,EUR,YAML,spain
2020-01-22,22.4,22.4,22.4,22.4,5,EUR,YAML,spain
2020-01-24,22.8,22.8,22.8,22.8,202,EUR,YAML,spain
2020-01-27,22.8,22.8,22.8,22.8,2,EUR,YAML,spain
2020-02-27,22.4,22.4,22.4,22.8,26,EUR,YAML,spain
2020-03-03,22.8,22.8,22.8,22.8,200,EUR,YAML,spain
2020-03-18,22.4,22.4,22.4,22.8,195,EUR,YAML,spain
2020-03-19,22.4,22.4,22.4,22.8,195,EUR,YAML,spain
2020-03-23,22.4,22.4,22.4,22.8,195,EUR,YAML,spain
2020-05-14,22.4,22.4,22.4,22.4,2035,EUR,YAML,spain
2020-05-29,22.8,22.8,22.8,22.8,200,EUR,YAML,spain
2020-06-09,22.4,22.4,22.4,22.4,225,EUR,YAML,spain
2020-06-10,22.4,22.4,22.4,22.4,455,EUR,YAML,spain
2020-06-11,22.4,22.4,22.4,22.4,465,EUR,YAML,spain
2020-06-12,22.0,22.0,22.0,22.0,265,EUR,YAML,spain
2020-06-17,21.0,21.0,21.0,21.0,880,EUR,YAML,spain
2020-06-18,21.0,21.0,21.0,21.0,3490,EUR,YAML,spain
2020-06-19,21.0,21.0,21.0,21.0,485,EUR,YAML,spain
2020-06-23,21.2,21.2,21.2,21.0,100,EUR,YAML,spain
2020-06-24,21.2,21.2,21.2,21.2,485,EUR,YAML,spain
2020-06-25,21.2,21.4,21.2,21.4,480,EUR,YAML,spain
2020-06-26,21.4,21.4,21.4,21.4,426,EUR,YAML,spain
2020-06-29,21.8,21.8,21.8,21.8,470,EUR,YAML,spain
2020-06-30,22.0,22.0,22.0,22.0,735,EUR,YAML,spain
2020-07-02,21.8,21.8,21.8,22.0,70,EUR,YAML,spain
2020-09-03,22.0,22.2,22.0,22.2,485,EUR,YAML,spain
2020-09-15,21.8,21.8,21.8,21.8,230,EUR,YAML,spain
2020-09-16,21.8,21.8,21.8,21.8,465,EUR,YAML,spain
2020-10-26,21.8,21.8,21.8,21.8,235,EUR,YAML,spain
2020-11-03,21.8,21.8,21.8,21.8,165,EUR,YAML,spain
2020-11-12,21.8,21.8,21.8,21.8,250,EUR,YAML,spain
2020-11-17,21.8,21.8,21.8,21.8,150,EUR,YAML,spain
2020-12-03,21.8,21.8,21.8,21.8,400,EUR,YAML,spain
2020-12-04,22.0,22.0,22.0,22.0,200,EUR,YAML,spain
2021-01-14,21.6,21.6,21.4,21.4,480,EUR,YAML,spain
2021-01-15,21.4,21.4,21.4,21.4,510,EUR,YAML,spain
2021-01-18,21.8,21.8,21.8,21.8,235,EUR,YAML,spain
