Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-05-09,6.44,6.49,6.44,6.49,466,EUR,YAP67,spain
2018-05-15,6.44,6.44,6.44,6.44,523,EUR,YAP67,spain
2018-07-12,6.49,6.49,6.49,6.49,576,EUR,YAP67,spain
2018-07-17,6.54,6.54,6.54,6.54,764,EUR,YAP67,spain
2018-07-18,6.59,6.59,6.59,6.59,496,EUR,YAP67,spain
2018-07-24,6.63,6.63,6.63,6.63,303,EUR,YAP67,spain
2018-09-03,6.68,6.68,6.68,6.68,754,EUR,YAP67,spain
2018-09-04,6.63,6.63,6.63,6.63,754,EUR,YAP67,spain
2018-09-07,6.59,6.59,6.59,6.59,759,EUR,YAP67,spain
2018-09-10,6.54,6.54,6.54,6.54,764,EUR,YAP67,spain
2018-09-20,6.59,6.59,6.59,6.59,760,EUR,YAP67,spain
2018-09-24,6.54,6.54,6.54,6.59,156,EUR,YAP67,spain
2018-09-25,6.54,6.54,6.54,6.54,1142,EUR,YAP67,spain
2018-11-19,6.59,6.59,6.59,6.59,628,EUR,YAP67,spain
2019-03-19,6.54,6.54,6.54,6.54,628,EUR,YAP67,spain
2019-03-26,6.59,6.59,6.59,6.59,760,EUR,YAP67,spain
2019-05-06,6.54,6.54,6.54,6.54,760,EUR,YAP67,spain
2019-05-23,6.59,6.59,6.59,6.59,760,EUR,YAP67,spain
2019-06-26,6.63,6.63,6.63,6.63,287,EUR,YAP67,spain
2019-07-23,6.55,6.55,6.5,6.5,1515,EUR,YAP67,spain
2019-08-01,6.55,6.55,6.55,6.55,0,EUR,YAP67,spain
2019-09-18,6.85,6.85,6.85,6.85,0,EUR,YAP67,spain
2019-10-07,6.8,6.85,6.8,6.85,195,EUR,YAP67,spain
2019-10-16,6.9,6.9,6.9,6.9,285,EUR,YAP67,spain
2019-11-14,6.85,6.85,6.8,6.8,1460,EUR,YAP67,spain
2020-01-13,6.75,6.75,6.75,6.75,500,EUR,YAP67,spain
2020-01-31,6.5,6.5,6.5,6.5,747,EUR,YAP67,spain
2020-02-05,6.55,6.55,6.55,6.55,300,EUR,YAP67,spain
2020-06-25,6.5,6.5,6.5,6.55,100,EUR,YAP67,spain
2020-06-26,6.5,6.5,6.5,6.5,200,EUR,YAP67,spain
2020-06-30,6.45,6.45,6.45,6.5,100,EUR,YAP67,spain
2020-07-01,6.45,6.45,6.45,6.5,100,EUR,YAP67,spain
2020-07-02,6.45,6.45,6.45,6.45,200,EUR,YAP67,spain
2020-07-03,6.4,6.4,6.4,6.4,200,EUR,YAP67,spain
2020-07-06,6.35,6.35,6.35,6.35,255,EUR,YAP67,spain
2020-07-22,6.3,6.3,6.3,6.3,200,EUR,YAP67,spain
2020-10-02,6.25,6.25,6.2,6.2,400,EUR,YAP67,spain
2020-10-07,6.1,6.1,6.1,6.1,814,EUR,YAP67,spain
2020-10-22,6.05,6.05,6.05,6.05,400,EUR,YAP67,spain
2020-10-23,6.0,6.0,6.0,6.0,450,EUR,YAP67,spain
2020-10-26,6.0,6.0,6.0,6.0,400,EUR,YAP67,spain
2020-10-27,5.95,5.95,5.95,5.95,500,EUR,YAP67,spain
2020-10-28,5.9,5.9,5.9,5.9,220,EUR,YAP67,spain
2020-10-30,5.85,5.85,5.8,5.8,600,EUR,YAP67,spain
2020-11-03,5.75,5.75,5.75,5.75,450,EUR,YAP67,spain
2020-11-04,5.7,5.7,5.7,5.7,300,EUR,YAP67,spain
2020-11-18,5.65,5.65,5.65,5.65,250,EUR,YAP67,spain
2020-11-20,5.6,5.6,5.6,5.6,250,EUR,YAP67,spain
2020-11-23,5.55,5.55,5.55,5.55,250,EUR,YAP67,spain
2020-11-24,5.5,5.5,5.5,5.5,200,EUR,YAP67,spain
2020-12-15,5.45,5.45,5.45,5.45,225,EUR,YAP67,spain
2020-12-16,5.4,5.4,5.35,5.35,695,EUR,YAP67,spain
2020-12-17,5.3,5.3,5.25,5.25,475,EUR,YAP67,spain
2020-12-18,5.2,5.2,5.15,5.15,475,EUR,YAP67,spain
2020-12-22,5.1,5.1,5.05,5.05,425,EUR,YAP67,spain
2020-12-23,5.0,5.0,5.0,5.0,225,EUR,YAP67,spain
2020-12-28,4.96,4.96,4.92,4.92,450,EUR,YAP67,spain
2020-12-29,4.88,4.88,4.84,4.84,450,EUR,YAP67,spain
2020-12-30,4.8,4.8,4.76,4.76,450,EUR,YAP67,spain
2020-12-31,4.76,4.76,4.76,4.76,225,EUR,YAP67,spain
