Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-10-02,16.5,16.5,16.5,16.5,325,EUR,YARE,spain
2015-10-14,17.0,17.0,17.0,17.0,1000,EUR,YARE,spain
2016-08-19,16.8,16.8,16.8,16.8,1000,EUR,YARE,spain
2017-01-03,17.05,17.05,17.05,17.05,2976,EUR,YARE,spain
2017-01-30,17.05,17.05,17.05,17.05,100,EUR,YARE,spain
2017-02-22,17.05,17.05,17.05,17.05,2933,EUR,YARE,spain
2017-02-23,17.05,17.05,17.05,17.05,17595,EUR,YARE,spain
2017-02-27,17.05,17.05,17.05,17.05,2641,EUR,YARE,spain
2017-02-28,17.05,17.05,17.05,17.05,16730,EUR,YARE,spain
2017-03-01,17.05,17.05,17.05,17.05,24224,EUR,YARE,spain
2017-03-02,17.05,17.05,17.05,17.05,12900,EUR,YARE,spain
2017-03-03,17.05,17.05,17.05,17.05,8868,EUR,YARE,spain
2017-03-06,17.05,17.05,17.05,17.05,180,EUR,YARE,spain
2017-03-07,17.05,17.05,17.05,17.05,26000,EUR,YARE,spain
2017-03-08,17.05,17.05,17.05,17.05,5583,EUR,YARE,spain
2017-04-03,17.1,17.1,17.1,17.1,300,EUR,YARE,spain
2017-04-28,17.05,17.05,17.05,17.05,1760,EUR,YARE,spain
2018-02-20,15.32,15.32,15.32,15.32,300,EUR,YARE,spain
2018-02-23,12.5,12.5,12.5,12.5,400,EUR,YARE,spain
2018-04-19,12.7,12.7,12.7,12.7,395,EUR,YARE,spain
2018-12-27,12.9,12.9,12.9,12.9,390,EUR,YARE,spain
2018-12-28,13.1,13.2,13.1,13.2,765,EUR,YARE,spain
2019-01-02,13.4,13.4,13.4,13.4,385,EUR,YARE,spain
2019-01-03,13.6,13.8,13.6,13.8,732,EUR,YARE,spain
2019-01-04,14.0,14.2,14.0,14.2,710,EUR,YARE,spain
2019-01-07,14.4,14.4,14.4,14.2,173,EUR,YARE,spain
2019-01-23,8.28,8.39,8.28,8.39,691,EUR,YARE,spain
2019-01-24,8.51,8.85,8.51,8.85,668,EUR,YARE,spain
2019-01-25,11.76,11.76,11.76,11.76,242,EUR,YARE,spain
2019-01-28,1.65,1.65,1.65,1.65,3456,EUR,YARE,spain
2019-05-20,1.33,1.33,1.33,1.33,300,EUR,YARE,spain
2019-06-26,1.31,1.31,1.31,1.31,7640,EUR,YARE,spain
2019-07-24,1.41,1.41,1.41,1.41,730,EUR,YARE,spain
2019-07-25,1.41,1.41,1.41,1.41,6360,EUR,YARE,spain
