Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2019-01-04,2.78,2.78,2.78,2.78,1799,EUR,YARP,spain
2019-01-14,2.8,2.8,2.8,2.8,1786,EUR,YARP,spain
2019-02-08,2.8,2.8,2.8,2.8,1786,EUR,YARP,spain
2019-04-03,2.78,2.78,2.78,2.78,1786,EUR,YARP,spain
2019-05-10,2.8,2.8,2.8,2.8,1786,EUR,YARP,spain
2019-07-03,2.78,2.78,2.78,2.78,1786,EUR,YARP,spain
2019-07-25,2.8,2.8,2.8,2.8,1786,EUR,YARP,spain
2019-09-19,2.78,2.78,2.78,2.78,1786,EUR,YARP,spain
2019-10-22,2.8,2.82,2.8,2.8,1800,EUR,YARP,spain
2019-10-23,2.82,2.84,2.82,2.84,2125,EUR,YARP,spain
2019-12-04,2.82,2.82,2.8,2.8,3565,EUR,YARP,spain
2019-12-05,2.78,2.78,2.76,2.76,2341,EUR,YARP,spain
2020-02-10,2.78,2.8,2.78,2.8,2544,EUR,YARP,spain
2020-02-11,2.82,2.82,2.82,2.82,556,EUR,YARP,spain
2020-02-13,2.8,2.8,2.78,2.78,3100,EUR,YARP,spain
2020-02-26,2.76,2.78,2.76,2.78,3613,EUR,YARP,spain
2020-02-27,2.8,2.8,2.76,2.76,1833,EUR,YARP,spain
2020-02-28,2.74,2.74,2.74,2.74,305,EUR,YARP,spain
2020-05-18,2.74,2.74,2.74,2.74,1830,EUR,YARP,spain
2020-05-19,2.78,2.82,2.78,2.82,2352,EUR,YARP,spain
2020-06-16,2.84,2.84,2.84,2.84,818,EUR,YARP,spain
2020-07-15,2.86,2.86,2.86,2.86,300,EUR,YARP,spain
2020-08-07,2.88,2.88,2.88,2.88,700,EUR,YARP,spain
2020-08-24,2.86,2.86,2.86,2.86,1800,EUR,YARP,spain
2020-08-25,2.88,2.88,2.88,2.88,300,EUR,YARP,spain
