Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-11-30,10.9,10.9,10.9,10.9,9651,EUR,YATO,spain
2018-12-04,10.8,10.8,10.8,10.8,400,EUR,YATO,spain
2018-12-05,10.8,10.8,10.8,10.8,1700,EUR,YATO,spain
2018-12-06,10.7,10.7,10.7,10.7,469,EUR,YATO,spain
2018-12-07,10.8,10.8,10.8,10.8,420,EUR,YATO,spain
2018-12-11,10.7,10.7,10.7,10.7,469,EUR,YATO,spain
2018-12-12,10.7,10.7,10.7,10.7,9,EUR,YATO,spain
2018-12-18,10.7,10.7,10.7,10.7,950,EUR,YATO,spain
2018-12-20,10.6,10.6,10.6,10.6,773,EUR,YATO,spain
2018-12-24,10.7,10.7,10.7,10.6,95,EUR,YATO,spain
2018-12-28,10.7,10.7,10.7,10.6,47,EUR,YATO,spain
2019-01-08,10.5,10.5,10.5,10.5,0,EUR,YATO,spain
2019-01-09,10.6,10.6,10.6,10.6,500,EUR,YATO,spain
2019-01-17,10.5,10.5,10.4,10.4,878,EUR,YATO,spain
2019-01-22,10.4,10.4,10.4,10.4,600,EUR,YATO,spain
2019-01-24,10.5,10.5,10.5,10.4,9,EUR,YATO,spain
2019-01-28,10.4,10.4,10.4,10.4,600,EUR,YATO,spain
2019-03-05,10.5,10.5,10.5,10.5,478,EUR,YATO,spain
2019-03-06,10.5,10.5,10.5,10.5,478,EUR,YATO,spain
2019-03-08,10.5,10.5,10.5,10.5,473,EUR,YATO,spain
2019-03-21,10.5,10.5,10.5,10.5,189,EUR,YATO,spain
2019-03-28,10.5,10.5,10.5,10.5,1100,EUR,YATO,spain
2019-04-03,10.5,10.5,10.5,10.5,16591,EUR,YATO,spain
2019-04-11,10.6,10.6,10.6,10.6,20400,EUR,YATO,spain
2019-04-29,10.4,10.4,10.4,10.4,9553,EUR,YATO,spain
2019-04-30,10.4,10.4,10.4,10.4,627,EUR,YATO,spain
2019-05-02,10.4,10.4,10.4,10.4,5000,EUR,YATO,spain
2019-05-16,10.5,10.5,10.5,10.4,190,EUR,YATO,spain
2019-05-17,10.5,10.5,10.5,10.5,300,EUR,YATO,spain
2019-05-22,10.5,10.5,10.5,10.5,20000,EUR,YATO,spain
2019-06-12,10.6,10.6,10.6,10.6,300,EUR,YATO,spain
2019-06-19,10.7,10.7,10.7,10.7,300,EUR,YATO,spain
2019-06-25,10.6,10.6,10.6,10.6,2000,EUR,YATO,spain
2019-07-01,10.5,10.5,10.5,10.6,100,EUR,YATO,spain
2019-07-03,10.5,10.5,10.5,10.5,1546,EUR,YATO,spain
2019-07-15,10.6,10.6,10.6,10.6,350,EUR,YATO,spain
2019-08-08,10.5,10.5,10.5,10.5,8200,EUR,YATO,spain
2019-08-15,10.5,10.5,10.5,10.5,2350,EUR,YATO,spain
2019-08-16,10.6,10.6,10.6,10.6,473,EUR,YATO,spain
2019-08-30,10.5,10.5,10.5,10.5,10000,EUR,YATO,spain
2019-09-10,10.5,10.5,10.5,10.5,10,EUR,YATO,spain
2019-09-23,10.6,10.6,10.6,10.6,200,EUR,YATO,spain
2019-10-04,10.6,10.6,10.6,10.6,1200,EUR,YATO,spain
2019-10-14,10.7,10.7,10.7,10.7,469,EUR,YATO,spain
2019-10-16,10.7,10.7,10.7,10.7,160,EUR,YATO,spain
2019-10-18,10.7,10.7,10.7,10.7,9840,EUR,YATO,spain
2019-10-29,10.8,10.8,10.8,10.8,464,EUR,YATO,spain
2019-10-30,10.9,10.9,10.9,10.9,1536,EUR,YATO,spain
2019-11-27,10.9,10.9,10.9,10.9,1000,EUR,YATO,spain
2019-12-18,10.9,10.9,10.9,10.9,90,EUR,YATO,spain
2019-12-24,11.0,11.0,11.0,11.0,3000,EUR,YATO,spain
2020-01-24,11.1,11.1,11.1,11.1,200,EUR,YATO,spain
2020-02-05,11.1,11.1,11.0,11.0,479,EUR,YATO,spain
2020-02-24,11.0,11.0,11.0,11.0,180,EUR,YATO,spain
2020-03-03,11.0,11.0,11.0,11.0,50,EUR,YATO,spain
2020-03-04,11.1,11.1,11.1,11.1,3502,EUR,YATO,spain
2020-03-05,11.1,11.1,11.1,11.1,4000,EUR,YATO,spain
2020-03-09,11.1,11.1,11.1,11.1,3472,EUR,YATO,spain
2020-03-11,11.1,11.1,11.1,11.1,7000,EUR,YATO,spain
2020-03-17,11.0,11.0,11.0,11.0,1046,EUR,YATO,spain
2020-03-24,10.9,10.9,10.9,10.9,460,EUR,YATO,spain
2020-03-25,10.8,10.8,10.7,10.7,933,EUR,YATO,spain
2020-03-26,10.6,10.6,10.5,10.5,951,EUR,YATO,spain
2020-03-27,10.4,10.4,10.4,10.4,482,EUR,YATO,spain
2020-03-30,10.0,10.0,9.9,9.9,994,EUR,YATO,spain
2020-03-31,9.85,9.85,9.85,9.85,507,EUR,YATO,spain
2020-04-01,9.8,9.8,9.75,9.75,1026,EUR,YATO,spain
2020-04-02,9.7,9.7,9.7,9.7,534,EUR,YATO,spain
2020-04-03,9.65,9.65,9.6,9.65,600,EUR,YATO,spain
2020-04-07,9.7,9.7,9.7,9.7,500,EUR,YATO,spain
2020-04-08,9.75,9.75,9.75,9.75,500,EUR,YATO,spain
2020-04-09,9.8,9.8,9.8,9.8,500,EUR,YATO,spain
2020-04-16,9.75,9.75,9.75,9.75,514,EUR,YATO,spain
2020-04-21,9.7,9.7,9.7,9.7,1017,EUR,YATO,spain
2020-04-22,9.65,9.65,9.65,9.65,520,EUR,YATO,spain
2020-04-23,9.6,9.6,9.6,9.6,522,EUR,YATO,spain
2020-04-24,9.55,9.55,9.55,9.55,525,EUR,YATO,spain
2020-04-27,9.5,9.5,9.5,9.5,1528,EUR,YATO,spain
2020-05-11,9.45,9.45,9.45,9.45,531,EUR,YATO,spain
2020-05-15,9.4,9.4,9.4,9.4,533,EUR,YATO,spain
2020-05-18,9.35,9.35,9.35,9.35,1036,EUR,YATO,spain
2020-05-19,9.3,9.3,9.3,9.3,964,EUR,YATO,spain
2020-05-22,9.25,9.25,9.25,9.25,542,EUR,YATO,spain
2020-05-25,9.2,9.2,9.15,9.15,1400,EUR,YATO,spain
2020-05-26,9.2,9.2,9.2,9.2,545,EUR,YATO,spain
2020-05-27,9.3,9.3,9.3,9.3,542,EUR,YATO,spain
2020-05-28,9.2,9.2,9.2,9.2,2066,EUR,YATO,spain
2020-05-29,9.25,9.25,9.25,9.25,542,EUR,YATO,spain
2020-06-01,9.5,9.5,9.5,9.5,539,EUR,YATO,spain
2020-06-02,9.6,9.6,9.6,9.6,525,EUR,YATO,spain
2020-06-05,9.65,9.65,9.65,9.65,520,EUR,YATO,spain
2020-06-08,9.7,9.7,9.7,9.65,100,EUR,YATO,spain
2020-06-09,9.85,9.85,9.85,9.85,2017,EUR,YATO,spain
2020-06-11,9.9,9.9,9.9,9.9,507,EUR,YATO,spain
2020-06-12,9.95,9.95,9.95,9.95,504,EUR,YATO,spain
2020-06-18,10.0,10.0,10.0,10.0,501,EUR,YATO,spain
2020-06-22,10.1,10.1,10.1,10.1,497,EUR,YATO,spain
2020-06-29,9.88,9.88,9.88,9.88,1002,EUR,YATO,spain
2020-07-13,9.85,9.85,9.85,9.85,509,EUR,YATO,spain
2020-07-17,9.8,9.8,9.8,9.8,512,EUR,YATO,spain
2020-07-20,9.75,9.75,9.75,9.8,100,EUR,YATO,spain
2020-08-05,9.75,9.75,9.75,9.75,514,EUR,YATO,spain
2020-08-06,9.7,9.7,9.7,9.7,517,EUR,YATO,spain
2020-08-07,9.65,9.65,9.65,9.65,520,EUR,YATO,spain
2020-08-10,9.6,9.6,9.6,9.6,522,EUR,YATO,spain
2020-08-12,9.55,9.55,9.55,9.55,525,EUR,YATO,spain
2020-08-13,9.5,9.5,9.5,9.5,528,EUR,YATO,spain
2020-08-14,9.55,9.55,9.45,9.45,1051,EUR,YATO,spain
2020-08-17,9.4,9.4,9.4,9.4,533,EUR,YATO,spain
2020-08-18,9.45,9.45,9.45,9.45,1067,EUR,YATO,spain
2020-08-20,9.45,9.45,9.45,9.45,1933,EUR,YATO,spain
2020-08-21,9.4,9.4,9.4,9.4,533,EUR,YATO,spain
2020-08-24,9.35,9.35,9.35,9.35,536,EUR,YATO,spain
2020-08-25,9.3,9.3,9.3,9.3,539,EUR,YATO,spain
2020-08-26,9.25,9.25,9.25,9.25,542,EUR,YATO,spain
2020-08-27,9.2,9.2,9.2,9.2,545,EUR,YATO,spain
2020-08-28,9.25,9.25,9.25,9.25,500,EUR,YATO,spain
2020-08-31,9.2,9.2,9.2,9.2,545,EUR,YATO,spain
2020-09-01,9.15,9.15,9.15,9.15,548,EUR,YATO,spain
2020-09-02,9.1,9.1,9.1,9.1,1051,EUR,YATO,spain
2020-09-07,9.15,9.15,9.15,9.15,548,EUR,YATO,spain
2020-09-08,9.1,9.1,9.1,9.1,551,EUR,YATO,spain
2020-09-09,9.1,9.1,9.1,9.1,1000,EUR,YATO,spain
2020-09-18,9.05,9.05,9.05,9.05,554,EUR,YATO,spain
2020-09-21,9.0,9.0,9.0,9.0,557,EUR,YATO,spain
2020-09-22,9.0,9.0,9.0,9.0,1500,EUR,YATO,spain
2020-09-24,8.95,8.95,8.95,8.95,864,EUR,YATO,spain
2020-09-29,8.9,8.9,8.9,8.9,563,EUR,YATO,spain
2020-10-02,8.85,8.85,8.85,8.85,566,EUR,YATO,spain
2020-10-05,8.9,8.9,8.9,8.9,500,EUR,YATO,spain
2020-10-13,8.9,8.9,8.9,8.9,200,EUR,YATO,spain
2020-10-15,8.85,8.85,8.85,8.85,566,EUR,YATO,spain
2020-10-21,8.8,8.8,8.8,8.8,3070,EUR,YATO,spain
2020-10-22,8.75,8.75,8.75,8.75,573,EUR,YATO,spain
2020-10-23,8.7,8.7,8.7,8.7,576,EUR,YATO,spain
2020-10-26,8.65,8.65,8.65,8.65,580,EUR,YATO,spain
2020-10-27,8.7,8.7,8.6,8.6,1080,EUR,YATO,spain
2020-10-28,8.55,8.55,8.55,8.55,586,EUR,YATO,spain
2020-10-29,8.5,8.5,8.5,8.5,590,EUR,YATO,spain
2020-11-02,8.45,8.45,8.45,8.45,593,EUR,YATO,spain
2020-11-09,8.55,8.55,8.55,8.55,590,EUR,YATO,spain
2020-11-10,8.6,8.65,8.6,8.65,1163,EUR,YATO,spain
2020-11-11,8.75,8.75,8.75,8.75,576,EUR,YATO,spain
2020-11-12,8.8,8.85,8.8,8.8,570,EUR,YATO,spain
2020-11-13,8.85,8.85,8.85,8.85,500,EUR,YATO,spain
2020-11-16,8.9,8.9,8.9,8.9,563,EUR,YATO,spain
2020-11-17,8.95,8.95,8.95,8.95,22560,EUR,YATO,spain
2020-11-18,9.0,9.0,9.0,9.0,17150,EUR,YATO,spain
2020-11-20,9.05,9.05,9.05,9.05,554,EUR,YATO,spain
2020-11-24,9.1,9.1,9.1,9.1,20500,EUR,YATO,spain
2020-11-25,9.15,9.15,9.15,9.15,548,EUR,YATO,spain
2020-11-27,9.2,9.2,9.1,9.2,548,EUR,YATO,spain
2020-11-30,9.3,9.3,9.3,9.3,1542,EUR,YATO,spain
2020-12-01,9.35,9.35,9.35,9.35,4186,EUR,YATO,spain
2020-12-07,9.4,9.45,9.4,9.45,1064,EUR,YATO,spain
2020-12-08,9.5,9.55,9.5,9.55,1053,EUR,YATO,spain
2020-12-09,9.6,9.6,9.6,9.55,6,EUR,YATO,spain
2020-12-10,9.6,9.6,9.6,9.6,1041,EUR,YATO,spain
2020-12-16,9.95,9.95,9.95,9.95,1020,EUR,YATO,spain
2020-12-17,9.9,9.9,9.9,9.9,500,EUR,YATO,spain
2020-12-21,9.95,9.95,9.95,9.95,1020,EUR,YATO,spain
2020-12-28,10.0,10.0,10.0,10.0,1020,EUR,YATO,spain
2021-01-07,10.0,10.0,10.0,10.0,1020,EUR,YATO,spain
2021-01-08,10.0,10.0,9.9,9.9,1527,EUR,YATO,spain
2021-01-11,9.85,9.85,9.85,9.85,509,EUR,YATO,spain
2021-01-14,9.85,9.85,9.85,9.85,4541,EUR,YATO,spain
2021-01-18,9.9,9.9,9.9,9.9,1020,EUR,YATO,spain
2021-01-19,9.85,9.85,9.85,9.85,500,EUR,YATO,spain
2021-01-20,9.9,9.9,9.9,9.85,10,EUR,YATO,spain
2021-01-25,9.8,9.8,9.8,9.85,160,EUR,YATO,spain
2021-01-26,9.8,9.8,9.8,9.8,512,EUR,YATO,spain
2021-02-02,9.75,9.75,9.75,9.75,524,EUR,YATO,spain
2021-02-03,9.75,9.75,9.75,9.75,50,EUR,YATO,spain
