Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-07-26,6.28,6.28,6.28,6.28,790,EUR,YCPS,spain
2018-11-19,6.33,6.38,6.33,6.38,1000,EUR,YCPS,spain
2018-11-20,6.3,6.3,6.3,6.3,800,EUR,YCPS,spain
2018-11-22,6.35,6.35,6.35,6.35,300,EUR,YCPS,spain
2018-12-05,6.4,6.4,6.4,6.4,300,EUR,YCPS,spain
2019-01-04,6.45,6.45,6.45,6.45,450,EUR,YCPS,spain
2019-01-07,6.5,6.5,6.5,6.5,400,EUR,YCPS,spain
2019-01-28,6.55,6.55,6.55,6.55,450,EUR,YCPS,spain
2019-05-24,6.5,6.5,6.5,6.5,550,EUR,YCPS,spain
2019-06-03,6.45,6.45,6.45,6.45,3334,EUR,YCPS,spain
2019-06-04,6.5,6.5,6.5,6.5,450,EUR,YCPS,spain
2019-08-01,6.55,6.55,6.55,6.55,300,EUR,YCPS,spain
2019-08-21,6.6,6.6,6.6,6.6,350,EUR,YCPS,spain
2019-08-22,6.65,6.7,6.65,6.7,1055,EUR,YCPS,spain
2019-08-27,6.75,6.8,6.75,6.8,440,EUR,YCPS,spain
2019-09-23,6.75,6.75,6.75,6.75,800,EUR,YCPS,spain
2019-09-30,6.8,6.8,6.8,6.8,300,EUR,YCPS,spain
2019-11-06,6.85,6.85,6.85,6.85,200,EUR,YCPS,spain
2019-11-14,6.9,6.9,6.9,6.9,400,EUR,YCPS,spain
2019-11-28,6.93,6.93,6.93,6.93,720,EUR,YCPS,spain
2019-11-29,6.8,6.85,6.8,6.85,936,EUR,YCPS,spain
2019-12-02,6.9,6.9,6.9,6.9,725,EUR,YCPS,spain
2019-12-03,6.95,6.95,6.95,6.95,720,EUR,YCPS,spain
2019-12-05,7.0,7.0,7.0,7.0,442,EUR,YCPS,spain
2020-01-13,7.05,7.05,7.05,7.05,200,EUR,YCPS,spain
2020-03-03,7.1,7.1,7.1,7.1,600,EUR,YCPS,spain
2020-05-25,7.1,7.1,7.1,7.1,4,EUR,YCPS,spain
2020-07-13,6.85,6.85,6.8,6.8,1566,EUR,YCPS,spain
2020-07-14,6.85,6.85,6.85,6.85,200,EUR,YCPS,spain
2020-08-07,6.8,6.8,6.8,6.8,736,EUR,YCPS,spain
2020-08-11,6.75,6.8,6.75,6.8,941,EUR,YCPS,spain
2020-08-12,6.75,6.8,6.75,6.8,941,EUR,YCPS,spain
2020-08-13,6.75,6.75,6.75,6.8,182,EUR,YCPS,spain
2020-08-20,6.75,6.75,6.75,6.8,190,EUR,YCPS,spain
2020-08-24,6.7,6.7,6.7,6.8,180,EUR,YCPS,spain
2020-08-25,6.75,6.75,6.75,6.8,170,EUR,YCPS,spain
2020-09-07,6.7,6.7,6.65,6.65,1499,EUR,YCPS,spain
2020-09-08,6.6,6.6,6.55,6.55,1522,EUR,YCPS,spain
2020-09-09,6.5,6.5,6.45,6.45,1546,EUR,YCPS,spain
2020-09-10,6.4,6.4,6.35,6.35,1570,EUR,YCPS,spain
2020-09-11,6.3,6.3,6.3,6.3,794,EUR,YCPS,spain
2020-09-14,6.25,6.25,6.2,6.2,1607,EUR,YCPS,spain
2020-09-15,6.15,6.15,6.15,6.15,814,EUR,YCPS,spain
2020-09-16,6.1,6.1,6.05,6.05,1647,EUR,YCPS,spain
2020-09-18,6.0,6.0,5.95,5.95,1675,EUR,YCPS,spain
2020-09-21,5.9,5.9,5.85,5.85,1703,EUR,YCPS,spain
2020-09-22,5.75,5.75,5.75,5.75,870,EUR,YCPS,spain
2020-09-23,5.65,5.65,5.65,5.65,885,EUR,YCPS,spain
2020-09-24,5.55,5.55,5.55,5.55,232,EUR,YCPS,spain
2020-09-28,5.45,5.45,5.45,5.55,101,EUR,YCPS,spain
2021-01-07,5.55,5.55,5.55,5.5,40,EUR,YCPS,spain
